01-010076TP,b7d78c63edeadaad65afa9377b208b16
01-010077A,d977a2a1c7ff2c7626e58b56608b576c
01-010030TM,163a2c95fdc0133f3182e4a2f5981be1
01-080101-010078A,6ae229a71515ce19ab2433b0a627246b
01-010076TM,01f6a80b5d60416bde4be18811327d12
05-050101A,a6a4ad04bd595317b0079bb650a01d78
04-040021TM,f82bd4a6ab8a9d362f159e5f849a581a
03-030047A,986cbc5ea93a511bc592e46313c92d0f
03-030035TC,8c01015c6d4a29110278d4f246d3710f
01-110304-11030401A,d977a2a1c7ff2c7626e58b56608b576c
04-040021TP,a6802efafda307dedca9cd91fac20dbb
01-010041TC,d977a2a1c7ff2c7626e58b56608b576c
01-010052A,ff1e0c26dd62c99a3c3f84425115f9c7
915-150009TM,1a44f6d0f05186195bc181a560434d4d
01-010065TM,9d9599fe4b082dacd3c78b3092d2d689
01-010076A,d977a2a1c7ff2c7626e58b56608b576c
05-050102A,0fec58aacd6a62d325a1710fbf7dc0cf
03-030035TP,e589f06a1e31217e0180fa75ee1beadd
915-150009TP,d2e7587229c3885463b891d3614cc054
04-040021TC,96925422ed8dcd6c1e4a3565680a927b
04-040010TM,ee3e4de10c46cc607ae85f2e6657a31e
01-010076TC,2b19a64f9e45e2870e741e85f4618ef1
03-030046A,c178514aa30db127d45b21517258d0f8
915-150009TC,99142123935409b93c41af5ec368f9b2
04-040010TP,3209a352c438ba0e02c457eed5a5f4ce
01-010030TC,b16bc7b0749f43703e0dc648c43512c1
01-010054TM,8cef06adee08acc58c2564ba45a92776
05-050301TP,d7dc2244dcc7fecc58c0c3f61dbc3c9c
05-050301TM,d977a2a1c7ff2c7626e58b56608b576c
04-040014TC,87a5e69893d7f7e018944f9895caf1d9
05-050301TC,ffc1acb4f56a9e3a2b0a163ba14a7197
01-010054TP,61d5e3a01d9ea407a2d234c1825059bf
902-0204-02040102SA,807b34011e0250259a38031e6943c5b6
05-050309A,736157ad34d20b9c81f8fff54f9a9631
04-040003TP,65691ef982935fd3b44ba3dd108cd83f
01-010019A,d977a2a1c7ff2c7626e58b56608b576c
03-030055TC,d6f2a3364d836fb5b3d000c436cfe5f4
04-040003TM,8faa25e5191430c9e9919d991f82646a
01-110304-11030403A,d977a2a1c7ff2c7626e58b56608b576c
01-010043TM,7880cb33e90d0f0bb0dad5532b72c6d6
05-050312TP,506c015a866fcfd78105d0dad33e5604
05-0709-070954TC,d977a2a1c7ff2c7626e58b56608b576c
04-040003TC,73ad8a2aeacf9e3eeff989980e0e8450
05-050312TC,5d72b43503f22b39630f179807bb9baa
03-030055TP,974842103fe6dcd3736360bbf8539c5d
01-010018A,5ce2e528cdac2fe999b5381cc2c71816
03-030066TC,d977a2a1c7ff2c7626e58b56608b576c
01-010054TC,0ffb287847436932184298721cb34355
01-110304-11030402A,d977a2a1c7ff2c7626e58b56608b576c
01-010032TM,dbba37160eee312c9f519454243ffc1c
03-030068TP,a82f85d868da942fcbce92030bda4e62
01-080101-010079TC,0dde666fc88618c6ccd20c33addcc0a0
01-010032TP,d6659af1938f1d182c07fafb874de7ab
03-030068TM,65a14d1f4f59ffbb8338a7043bf3a01b
01-080101-010079TP,c6a0f0ebd273fc3e966145040c4da6db
05-0709-070954TP,d977a2a1c7ff2c7626e58b56608b576c
01-080101-010079TM,9d46672adaa196e3c5332680817805ac
05-050307A,d977a2a1c7ff2c7626e58b56608b576c
01-010017A,94e3bdce9575af42f713c012e310963c
03-030033TC,f6ae6f677bcb945b8020ab0e4040069d
01-010043TC,4eabe142441c98a110c9ee12d712cfe6
05-050007TC,b65a056e377dd16eedcda4f04a751251
01-110304-11030402TC,d977a2a1c7ff2c7626e58b56608b576c
03-030033TP,f84f3cb1d367d1116ddf89117591a918
05-050007TM,d977a2a1c7ff2c7626e58b56608b576c
01-110304-11030402TP,d977a2a1c7ff2c7626e58b56608b576c
03-02010301-030087TM,d977a2a1c7ff2c7626e58b56608b576c
05-050203TP,a8fdbc611b2e9f7c4c152c9ba817869a
05-050007TP,26775f8fb4f7818f49d5dc49b38a3129
05-050105TC,d977a2a1c7ff2c7626e58b56608b576c
05-050308A,ec4833957306512adf3cd6b652995fbb
05-050203TM,d977a2a1c7ff2c7626e58b56608b576c
04-040016TC,e6bcb2e1d0134c14259cc37457c02026
04-040021A,256ebcd7c18287ed9edb6e1583c0bb11
01-010016A,325ffea105db74838c2fae4cfd427ceb
04-040016TP,2e2f7ca96cc502c48c011200d1dbad96
