Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
50	Zaragoza	2013	Secano	1523826,0	599282,0	328089,0	208512,0	62681,0	440301,0	11842,0	56564,0	371895,0	371714,0	202534,0	50242,0	118938,0	112529,0	0,0	21533,0	57057,0	33939,0
22	Huesca	2012	Regadío	209633,0	209313,0	161516,0	27620,0	20177,0	8,0	8,0	0,0	0,0	312,0	266,0	0,0	46,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2012	Secano	1352659,0	311849,0	220381,0	72627,0	18841,0	318895,0	9762,0	87808,0	221325,0	646073,0	370077,0	121155,0	154841,0	75842,0	0,0	7450,0	33073,0	35319,0
44	Teruel	2012	Regadío	39926,0	37065,0	19227,0	12595,0	5243,0	837,0	837,0	0,0	0,0	2024,0	1979,0	0,0	45,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2012	Secano	1440117,0	406042,0	199689,0	159608,0	46745,0	509816,0	13617,0	135175,0	361024,0	467635,0	188710,0	88479,0	190446,0	56624,0	0,0	9877,0	34494,0	12253,0
50	Zaragoza	2012	Regadío	195995,0	194893,0	143512,0	14050,0	37331,0	1,0	1,0	0,0	0,0	1101,0	1005,0	0,0	96,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2012	Secano	1529946,0	600844,0	324086,0	213229,0	63529,0	445080,0	12195,0	56954,0	375931,0	372061,0	200862,0	51639,0	119560,0	111961,0	0,0	21578,0	56543,0	33840,0
22	Huesca	2011	Regadío	209603,0	209255,0	169155,0	21558,0	18542,0	33,0	33,0	0,0	0,0	315,0	264,0	0,0	51,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2011	Secano	1352689,0	313038,0	220067,0	73782,0	19189,0	325988,0	11565,0	92336,0	222087,0	631229,0	365880,0	116414,0	148935,0	82434,0	0,0	14929,0	32858,0	34647,0
44	Teruel	2011	Regadío	38486,0	36674,0	19203,0	12361,0	5110,0	917,0	917,0	0,0	0,0	895,0	848,0	0,0	47,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2011	Secano	1441853,0	405262,0	203010,0	156527,0	45725,0	515865,0	13705,0	132699,0	369461,0	464898,0	186882,0	86042,0	191974,0	55828,0	0,0	9466,0	34305,0	12057,0
50	Zaragoza	2011	Regadío	192019,0	190997,0	142437,0	11522,0	37038,0	1,0	1,0	0,0	0,0	1021,0	898,0	0,0	123,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2011	Secano	1447923,0	564653,0	322571,0	177517,0	64565,0	426493,0	11846,0	60359,0	354288,0	349475,0	200801,0	40138,0	108536,0	107302,0	0,0	20223,0	54800,0	32279,0
22	Huesca	2010	Regadío	208937,0	208752,0	164901,0	25647,0	18204,0	10,0	10,0	0,0	0,0	175,0	175,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2010	Secano	1353355,0	317106,0	217689,0	80265,0	19152,0	266147,0	5844,0	13931,0	246372,0	690187,0	368614,0	123729,0	197844,0	79915,0	0,0	13982,0	32393,0	33540,0
44	Teruel	2010	Regadío	38868,0	37262,0	18925,0	13527,0	4810,0	632,0	632,0	0,0	0,0	974,0	974,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2010	Secano	1441419,0	409351,0	197011,0	165790,0	46550,0	509837,0	13707,0	130022,0	366108,0	469672,0	250989,0	97965,0	120718,0	52559,0	0,0	7911,0	33102,0	11546,0
50	Zaragoza	2010	Regadío	201348,0	200795,0	141499,0	22712,0	36584,0	0,0	0,0	0,0	0,0	553,0	553,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2010	Secano	1524593,0	602514,0	305097,0	227448,0	69969,0	423712,0	0,0	59742,0	363970,0	393756,0	202159,0	68613,0	122984,0	104611,0	10,0	18932,0	53450,0	32219,0
22	Huesca	2009	Regadío	210266,0	210151,0	162839,0	29078,0	18234,0	0,0	0,0	0,0	0,0	115,0	115,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2009	Secano	1352026,0	318482,0	212442,0	86012,0	20028,0	434233,0	384,0	99918,0	333931,0	515680,0	314018,0	83428,0	118234,0	83631,0	0,0	16946,0	32781,0	33904,0
44	Teruel	2009	Regadío	36848,0	36731,0	19848,0	11823,0	5060,0	0,0	0,0	0,0	0,0	117,0	117,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2009	Secano	1443500,0	427692,0	189763,0	190883,0	47046,0	495253,0	6857,0	129041,0	359355,0	468297,0	239698,0	104062,0	124537,0	52258,0	0,0	7889,0	32744,0	11625,0
50	Zaragoza	2009	Regadío	199345,0	198905,0	141406,0	21972,0	35527,0	0,0	0,0	0,0	0,0	440,0	440,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2009	Secano	1526596,0	602279,0	296387,0	233293,0	72599,0	477256,0	0,0	65979,0	411277,0	340658,0	176589,0	46820,0	117249,0	106403,0	203,0	19814,0	54280,0	32106,0
22	Huesca	2008	Regadío	219662,0	217742,0	160113,0	37260,0	20369,0	1545,0	1545,0	0,0	0,0	375,0	375,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2008	Secano	1342630,0	337365,0	204684,0	111796,0	20885,0	404010,0	24672,0	94522,0	284816,0	477547,0	246059,0	94584,0	136904,0	123708,0	46,0	73078,0	22804,0	27780,0
44	Teruel	2008	Regadío	38257,0	37460,0	19793,0	12753,0	4914,0	680,0	680,0	0,0	0,0	117,0	117,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2008	Secano	1442081,0	430710,0	191455,0	192243,0	47012,0	480405,0	11419,0	155926,0	313060,0	478803,0	239934,0	114412,0	124457,0	52163,0	0,0	7859,0	32615,0	11689,0
50	Zaragoza	2008	Regadío	200483,0	200045,0	140380,0	24336,0	35329,0	0,0	0,0	0,0	0,0	438,0	438,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2008	Secano	1525458,0	601811,0	295453,0	233810,0	72548,0	465576,0	0,0	99115,0	366461,0	350895,0	179555,0	53041,0	118299,0	107176,0	240,0	21478,0	53493,0	31965,0
22	Huesca	2007	Regadío	209981,0	207899,0	151501,0	36145,0	20253,0	1618,0	1618,0	0,0	0,0	464,0	464,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2007	Secano	1343663,0	337224,0	187158,0	127878,0	22188,0	405031,0	25034,0	94522,0	285475,0	477988,0	246032,0	97450,0	134506,0	123420,0	46,0	73080,0	22504,0	27790,0
44	Teruel	2007	Regadío	39542,0	36345,0	19479,0	11963,0	4903,0	1072,0	1072,0	0,0	0,0	2125,0	2125,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2007	Secano	1439298,0	409332,0	181652,0	181463,0	46217,0	562229,0	13456,0	188326,0	360447,0	402961,0	175463,0	104218,0	123280,0	64776,0	1147,0	21258,0	36564,0	5807,0
50	Zaragoza	2007	Regadío	207867,0	207501,0	141398,0	33464,0	32639,0	10,0	10,0	0,0	0,0	356,0	356,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2007	Secano	1509436,0	626705,0	263678,0	302209,0	60818,0	271572,0	0,0	109871,0	161701,0	459739,0	162420,0	139127,0	158192,0	151420,0	3005,0	53621,0	74824,0	19970,0
22	Huesca	2006	Regadío	200555,0	198428,0	139928,0	39013,0	19487,0	1422,0	1422,0	0,0	0,0	705,0	705,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2006	Secano	1343833,0	341712,0	182356,0	137746,0	21610,0	420539,0	21361,0	109460,0	289718,0	449528,0	233450,0	89288,0	126790,0	132054,0	0,0	88352,0	19195,0	24507,0
44	Teruel	2006	Regadío	39381,0	36188,0	19303,0	12249,0	4636,0	1072,0	1072,0	0,0	0,0	2121,0	2121,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2006	Secano	1439091,0	407035,0	178421,0	182820,0	45794,0	563899,0	13456,0	188326,0	362117,0	403381,0	175463,0	104525,0	123393,0	64776,0	1147,0	21258,0	36564,0	5807,0
50	Zaragoza	2006	Regadío	217825,0	217229,0	131041,0	53348,0	32840,0	10,0	10,0	0,0	0,0	586,0	586,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
