Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción provincia nombre	Inscripción provincia código	Sexo	Personas
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Huesca	22	Hombre	16,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Huesca	22	Mujer	29,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Teruel	44	Hombre	11,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Teruel	44	Mujer	5,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Zaragoza	50	Hombre	84,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	Zaragoza	50	Mujer	130,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Huesca	22	Hombre	6,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Huesca	22	Mujer	6,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Teruel	44	Hombre	1,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Teruel	44	Mujer	1,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Zaragoza	50	Hombre	6,0
2009	1	Europa	01	UE-27_2007	122	Polonia	Zaragoza	50	Mujer	4,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Huesca	22	Hombre	5,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Huesca	22	Mujer	9,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Teruel	44	Hombre	2,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Teruel	44	Mujer	4,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Zaragoza	50	Hombre	56,0
2009	1	Europa	01	UE-27_2007	123	Portugal	Zaragoza	50	Mujer	60,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Huesca	22	Hombre	87,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Huesca	22	Mujer	91,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Teruel	44	Hombre	48,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Teruel	44	Mujer	65,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Zaragoza	50	Hombre	704,0
2009	1	Europa	01	UE-27_2007	126	Alemania	Zaragoza	50	Mujer	750,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	Huesca	22	Hombre	2,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	Huesca	22	Mujer	1,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	Zaragoza	50	Hombre	6,0
2009	1	Europa	01	UE-27_2007	128	Rumanía	Zaragoza	50	Mujer	3,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Huesca	22	Hombre	5,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Huesca	22	Mujer	6,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Teruel	44	Hombre	11,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Teruel	44	Mujer	6,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Zaragoza	50	Hombre	33,0
2009	1	Europa	01	UE-27_2007	131	Suecia	Zaragoza	50	Mujer	29,0
2009	1	Europa	01	UE-27_2007	136	Letonia	Teruel	44	Mujer	1,0
2009	1	Europa	01	UE-27_2007	141	Estonia	Teruel	44	Hombre	1,0
2009	1	Europa	01	UE-27_2007	141	Estonia	Zaragoza	50	Mujer	1,0
2009	1	Europa	01	UE-27_2007	142	Lituania	Huesca	22	Hombre	1,0
2009	1	Europa	01	UE-27_2007	142	Lituania	Zaragoza	50	Hombre	2,0
2009	1	Europa	01	UE-27_2007	143	República Checa	Teruel	44	Hombre	1,0
2009	1	Europa	01	UE-27_2007	143	República Checa	Teruel	44	Mujer	5,0
2009	1	Europa	01	UE-27_2007	143	República Checa	Zaragoza	50	Hombre	7,0
2009	1	Europa	01	UE-27_2007	143	República Checa	Zaragoza	50	Mujer	2,0
2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Zaragoza	50	Hombre	2,0
2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Zaragoza	50	Mujer	1,0
2009	1	Europa	01	UE-27_2007	147	Eslovenia	Huesca	22	Hombre	1,0
2009	1	Europa	01	UE-27_2007	147	Eslovenia	Huesca	22	Mujer	2,0
2009	1	Europa	01	UE-27_2007	147	Eslovenia	Teruel	44	Hombre	1,0
2009	1	Europa	02	Resto de Europa	114	Islandia	Huesca	22	Mujer	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	Huesca	22	Mujer	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	Teruel	44	Hombre	2,0
2009	1	Europa	02	Resto de Europa	120	Noruega	Teruel	44	Mujer	1,0
2009	1	Europa	02	Resto de Europa	120	Noruega	Zaragoza	50	Hombre	8,0
2009	1	Europa	02	Resto de Europa	120	Noruega	Zaragoza	50	Mujer	12,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Huesca	22	Hombre	131,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Huesca	22	Mujer	139,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Teruel	44	Hombre	33,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Teruel	44	Mujer	44,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Zaragoza	50	Hombre	178,0
2009	1	Europa	02	Resto de Europa	124	Andorra	Zaragoza	50	Mujer	168,0
2009	1	Europa	02	Resto de Europa	132	Suiza	Huesca	22	Hombre	45,0
2009	1	Europa	02	Resto de Europa	132	Suiza	Huesca	22	Mujer	53,0
2009	1	Europa	02	Resto de Europa	132	Suiza	Teruel	44	Hombre	46,0
2009	1	Europa	02	Resto de Europa	132	Suiza	Teruel	44	Mujer	64,0
