Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	03	Sobrarbe	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	03	Sobrarbe	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	10	0	0
Septiembre 2021	202109	Septiembre	2021	03	Sobrarbe	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	2	46	23
Septiembre 2021	202109	Septiembre	2021	03	Sobrarbe	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	8	2880	360
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	44	0	0
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	2	765	382,5
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	45	0	0
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	1	99	99
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	47	2627	55,89361702127659574468085106382978723404
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	56	2667	47,625
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	10	0	0
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	1	66	66
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	26	0	0
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	6	41	6,83333333333333333333333333333333333333
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	195	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	25	3112	124,48
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	175	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	28	5790	206,785714285714285714285714285714285714
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	231	17470	75,62770562770562770562770562770562770563
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	187	11122	59,47593582887700534759358288770053475936
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	7	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	24	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	4	68	17
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	540	270
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	315	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	85	3421	40,24705882352941176470588235294117647059
