Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
22174	Peralta de Alcofea	No es zona montañosa	No es zona desfavorecida	116,14
22175	Peralta de Calasanz	Pirineos	No es zona desfavorecida	114,88
22176	Peraltilla	No es zona montañosa	Zona desfavorecida	16,2
22177	Perarrúa	Pirineos	No es zona desfavorecida	30,05
22178	Pertusa	No es zona montañosa	No es zona desfavorecida	29,37
22181	Piracés	No es zona montañosa	No es zona desfavorecida	25,15
22182	Plan	Pirineos	No es zona desfavorecida	93,36
22184	Poleñino	No es zona montañosa	No es zona desfavorecida	33,02
22186	Pozán de Vero	No es zona montañosa	Zona desfavorecida	14,75
22187	Puebla de Castro (La)	Pirineos	No es zona desfavorecida	29,39
22188	Puente de Montañana	Pirineos	No es zona desfavorecida	48,56
22189	Puértolas	Pirineos	No es zona desfavorecida	99,86
22190	Pueyo de Araguás (El)	Pirineos	No es zona desfavorecida	61,84
22193	Pueyo de Santa Cruz	No es zona montañosa	No es zona desfavorecida	9,29
22195	Quicena	No es zona montañosa	No es zona desfavorecida	9,67
22197	Robres	No es zona montañosa	No es zona desfavorecida	64,24
22199	Sabiñánigo	Pirineos	No es zona desfavorecida	586,82
22200	Sahún	Pirineos	No es zona desfavorecida	73,36
22201	Salas Altas	No es zona montañosa	Zona desfavorecida	20,74
22202	Salas Bajas	No es zona montañosa	Zona desfavorecida	12,93
22203	Salillas	No es zona montañosa	No es zona desfavorecida	28,33
22204	Sallent de Gállego	Pirineos	No es zona desfavorecida	162,14
22205	San Esteban de Litera	No es zona montañosa	No es zona desfavorecida	71,9
22206	Sangarrén	No es zona montañosa	No es zona desfavorecida	32,22
22207	San Juan de Plan	Pirineos	No es zona desfavorecida	55,53
22208	Santa Cilia	Pirineos	No es zona desfavorecida	28,08
22209	Santa Cruz de la Serós	Pirineos	No es zona desfavorecida	26,96
22212	Santaliestra y San Quílez	Pirineos	No es zona desfavorecida	23,34
22213	Sariñena	No es zona montañosa	No es zona desfavorecida	275,57
22214	Secastilla	Pirineos	No es zona desfavorecida	47,42
22215	Seira	Pirineos	No es zona desfavorecida	69,4
22217	Sena	No es zona montañosa	No es zona desfavorecida	104,69
22218	Senés de Alcubierre	No es zona montañosa	No es zona desfavorecida	20,53
22220	Sesa	No es zona montañosa	No es zona desfavorecida	30,84
22221	Sesué	Pirineos	No es zona desfavorecida	5,35
22222	Siétamo	No es zona montañosa	No es zona desfavorecida	48,98
22223	Sopeira	Pirineos	No es zona desfavorecida	44,09
22225	Tamarite de Litera	No es zona montañosa	No es zona desfavorecida	110,58
22226	Tardienta	No es zona montañosa	No es zona desfavorecida	90,65
22227	Tella-Sin	Pirineos	No es zona desfavorecida	89,51
22228	Tierz	No es zona montañosa	No es zona desfavorecida	6,54
22229	Tolva	Pirineos	No es zona desfavorecida	58,97
22230	Torla-Ordesa	Pirineos	No es zona desfavorecida	370,41
22232	Torralba de Aragón	No es zona montañosa	No es zona desfavorecida	40,39
22233	Torre la Ribera	Pirineos	No es zona desfavorecida	32,06
22234	Torrente de Cinca	No es zona montañosa	No es zona desfavorecida	56,8
22235	Torres de Alcanadre	No es zona montañosa	No es zona desfavorecida	17,63
22236	Torres de Barbués	No es zona montañosa	No es zona desfavorecida	13,94
22239	Tramaced	No es zona montañosa	No es zona desfavorecida	15,42
22242	Valfarta	No es zona montañosa	No es zona desfavorecida	33,2
22243	Valle de Bardají	Pirineos	No es zona desfavorecida	45,48
22244	Valle de Lierp	Pirineos	No es zona desfavorecida	32,76
22245	Velilla de Cinca	No es zona montañosa	No es zona desfavorecida	16,54
22246	Beranuy	Pirineos	No es zona desfavorecida	127,56
22247	Viacamp y Litera	Pirineos	No es zona desfavorecida	107,74
