Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2013	13	Campo de Borja	11524,0	51353,0	48941,0	379991,0	379803,0
2013	14	Aranda	6136,0	12641,0	11461,0	53021,0	52941,0
2013	15	Ribera Alta del Ebro	7603,0	81710,0	78077,0	520726,0	519817,0
2013	16	Valdejalón	9859,0	145738,0	135415,0	926621,0	925137,0
2013	17	D.C. Zaragoza	29105,0	722301,0	621082,0	4259930,0	4240535,0
2013	18	Ribera Baja del Ebro	5970,0	81733,0	78159,0	499516,0	498222,0
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	32664,0	68109,0	66420,0	494506,0	494168,0
2013	20	Comunidad de Calatayud	33126,0	107812,0	102656,0	609437,0	606025,0
2013	21	Campo de Cariñena	6599,0	49626,0	48150,0	371388,0	371176,0
2013	22	Campo de Belchite	7517,0	38510,0	36278,0	250032,0	249743,0
2013	23	Bajo Martín	8042,0	31736,0	31736,0	225652,0	211031,0
2013	24	Campo de Daroca	10347,0	38809,0	36972,0	184364,0	183959,0
2013	25	Jiloca	23672,0	61160,0	61160,0	383674,0	364690,0
2013	26	Cuencas Mineras	13837,0	33193,0	33193,0	221462,0	193750,0
2013	27	Andorra-Sierra de Arcos	8584,0	25525,0	25525,0	178594,0	165824,0
2013	28	Bajo Aragón	17273,0	67275,0	67275,0	563079,0	544639,0
2013	29	Comunidad de Teruel	27125,0	83291,0	83291,0	516769,0	474096,0
2013	30	Maestrazgo	7664,0	24202,0	24202,0	159579,0	117270,0
2013	31	Sierra de Albarracín	11661,0	49912,0	49912,0	289175,0	266891,0
2013	32	Gúdar-Javalambre	19135,0	51629,0	51629,0	346823,0	267259,0
2013	33	Matarraña / Matarranya	13366,0	33271,0	33271,0	169270,0	134200,0
2014	01	La Jacetania	4824,0	79528,0	68873,0	391891,0	330948,0
2014	02	Alto Gállego	2695,0	32629,0	28027,0	178463,0	136194,0
2014	03	Sobrarbe	4796,0	47630,0	44929,0	300653,0	253087,0
2014	04	La Ribagorza	8650,0	60536,0	59626,0	337420,0	300042,0
2014	05	Cinco Villas	12388,0	294639,0	285339,0	1872920,0	1865180,0
2014	06	Hoya de Huesca / Plana de Uesca	14070,0	183575,0	181182,0	1192697,0	1148894,0
2014	07	Somontano de Barbastro	10370,0	80064,0	78737,0	592076,0	576279,0
2014	08	Cinca Medio	7066,0	112725,0	112711,0	846654,0	832339,0
2014	09	La Litera / La Llitera	8725,0	172295,0	165969,0	1334956,0	1299511,0
2014	10	Los Monegros	12233,0	257210,0	257140,0	1921107,0	1859903,0
2014	11	Bajo Cinca / Baix Cinca	9639,0	245538,0	245463,0	1630593,0	1568270,0
2014	12	Tarazona y el Moncayo	7840,0	33875,0	33059,0	237346,0	235641,0
2014	13	Campo de Borja	9883,0	51444,0	49427,0	383989,0	383663,0
2014	14	Aranda	5329,0	12575,0	11605,0	53953,0	52799,0
2014	15	Ribera Alta del Ebro	7051,0	84097,0	81476,0	541502,0	536741,0
2014	16	Valdejalón	8905,0	146354,0	138270,0	948676,0	945998,0
2014	17	D.C. Zaragoza	28960,0	550857,0	542571,0	3705301,0	3623951,0
2014	18	Ribera Baja del Ebro	5587,0	82994,0	80284,0	507824,0	505793,0
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6050,0	70987,0	69669,0	516036,0	515605,0
2014	20	Comunidad de Calatayud	29759,0	108742,0	104483,0	624779,0	618005,0
2014	21	Campo de Cariñena	6110,0	49872,0	48673,0	375760,0	375133,0
2014	22	Campo de Belchite	6987,0	38587,0	36706,0	253327,0	252849,0
2014	23	Bajo Martín	8077,0	34057,0	34057,0	243845,0	236081,0
2014	24	Campo de Daroca	9637,0	39008,0	37517,0	187217,0	186588,0
2014	25	Jiloca	23295,0	65074,0	64425,0	415339,0	400073,0
2014	26	Cuencas Mineras	13670,0	36109,0	34947,0	234288,0	205727,0
2014	27	Andorra-Sierra de Arcos	8627,0	29471,0	26772,0	188895,0	177554,0
2014	28	Bajo Aragón	17355,0	71015,0	68797,0	573004,0	555555,0
2014	29	Comunidad de Teruel	25189,0	90499,0	86953,0	542212,0	498693,0
2014	30	Maestrazgo	7066,0	26307,0	24994,0	167739,0	129146,0
2014	31	Sierra de Albarracín	11277,0	51885,0	50715,0	298797,0	195398,0
2014	32	Gúdar-Javalambre	19282,0	56330,0	54372,0	366830,0	240244,0
2014	33	Matarraña / Matarranya	13417,0	37037,0	34767,0	177410,0	140475,0
2015	01	La Jacetania	2846,0	84214,0	56758,0	322011,0	321563,0
2015	02	Alto Gállego	1386,0	34446,0	20430,0	145991,0	145991,0
2015	03	Sobrarbe	2693,0	51245,0	34205,0	239051,0	239051,0
2015	04	La Ribagorza	4747,0	68383,0	56607,0	347599,0	347599,0
2015	05	Cinco Villas	12593,0	297088,0	289858,0	1892641,0	1879353,0
2015	06	Hoya de Huesca / Plana de Uesca	9458,0	198320,0	188159,0	1243038,0	1242494,0
2015	07	Somontano de Barbastro	7029,0	92518,0	89665,0	671490,0	671490,0
2015	08	Cinca Medio	5937,0	127512,0	124934,0	944781,0	944781,0
2015	09	La Litera / La Llitera	6363,0	187830,0	182564,0	1420236,0	1420236,0
2015	10	Los Monegros	10553,0	271541,0	262619,0	1950817,0	1948770,0
2015	11	Bajo Cinca / Baix Cinca	8579,0	258335,0	247778,0	1618584,0	1617875,0
2015	12	Tarazona y el Moncayo	7838,0	35864,0	35267,0	250255,0	247881,0
2015	13	Campo de Borja	9862,0	55146,0	53429,0	413151,0	412777,0
2015	14	Aranda	5348,0	14789,0	14030,0	71310,0	63553,0
2015	15	Ribera Alta del Ebro	7076,0	92745,0	89936,0	600972,0	597526,0
2015	16	Valdejalón	8826,0	148396,0	142578,0	975032,0	971711,0
2015	17	D.C. Zaragoza	29661,0	638006,0	629901,0	4314533,0	4140841,0
2015	18	Ribera Baja del Ebro	5544,0	85446,0	83725,0	524044,0	520745,0
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5912,0	86962,0	85992,0	656534,0	550595,0
2015	20	Comunidad de Calatayud	29812,0	117975,0	114759,0	694406,0	688503,0
2015	21	Campo de Cariñena	6104,0	52702,0	51792,0	397789,0	397044,0
2015	22	Campo de Belchite	6950,0	40450,0	38916,0	267504,0	266458,0
2015	23	Bajo Martín	8129,0	39072,0	38800,0	279811,0	248857,0
2015	24	Campo de Daroca	9605,0	45157,0	44011,0	217114,0	216011,0
2015	25	Jiloca	23447,0	81937,0	80446,0	513807,0	467399,0
2015	26	Cuencas Mineras	13706,0	40047,0	36987,0	252370,0	218593,0
2015	27	Andorra-Sierra de Arcos	8703,0	30705,0	29619,0	202338,0	185896,0
2015	28	Bajo Aragón	17359,0	82106,0	80897,0	676533,0	655133,0
2015	29	Comunidad de Teruel	25205,0	87661,0	83645,0	525898,0	438129,0
2015	30	Maestrazgo	7106,0	31002,0	25730,0	172204,0	158516,0
2015	31	Sierra de Albarracín	12361,0	52634,0	16536,0	79563,0	61292,0
2015	32	Gúdar-Javalambre	19398,0	56710,0	29925,0	209094,0	183077,0
2015	33	Matarraña / Matarranya	13479,0	36056,0	29640,0	149496,0	143617,0
2016	01	La Jacetania	2953,0	84411,11	65516,78	366758,0	238417,0
2016	02	Alto Gállego	1450,0	36671,53	27280,45	186672,0	109645,0
2016	03	Sobrarbe	2829,0	54702,45	38451,88	267514,0	176715,0
2016	04	La Ribagorza	4887,0	76198,08	65112,83	391991,0	323380,0
2016	05	Cinco Villas	12586,0	339570,37	333618,87	2204303,0	2189301,0
2016	06	Hoya de Huesca / Plana de Uesca	9510,0	219949,14	209450,71	1383362,0	1259095,0
2016	07	Somontano de Barbastro	7200,0	107897,97	103882,54	775554,0	745988,0
2016	08	Cinca Medio	5786,0	128462,08	125882,01	951891,0	934659,0
2016	09	La Litera / La Llitera	6341,0	206445,0	190055,55	1446011,0	1381683,0
2016	10	Los Monegros	10663,0	297180,86	289534,12	2139161,0	1941830,0
2016	11	Bajo Cinca / Baix Cinca	8682,0	310726,6	277167,34	1748838,0	1647538,0
2016	12	Tarazona y el Moncayo	7820,0	36433,13	35976,73	255280,0	252904,0
2016	13	Campo de Borja	9845,0	59544,77	58096,98	451506,0	450683,0
2016	14	Aranda	5512,0	16441,77	16027,49	70004,0	66283,0
2016	15	Ribera Alta del Ebro	7072,0	95710,24	93234,25	625705,0	622179,0
2016	16	Valdejalón	8926,0	151522,5	147627,2	1022762,0	1020079,0
2016	17	D.C. Zaragoza	28705,0	647847,67	638858,9	4355843,0	3826191,0
2016	18	Ribera Baja del Ebro	5523,0	88981,89	86654,95	545888,0	543040,0
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5876,0	90546,23	89983,41	551473,0	551007,0
2016	20	Comunidad de Calatayud	29841,0	121665,63	118356,67	720076,0	710545,0
2016	21	Campo de Cariñena	6114,0	57355,95	56960,33	432159,0	431421,0
2016	22	Campo de Belchite	6835,0	40880,77	39736,01	273336,0	272540,0
2016	23	Bajo Martín	8137,0	44284,76	44284,76	322286,0	287557,0
2016	24	Campo de Daroca	9433,0	49154,04	47769,2	236388,0	235412,0
2016	25	Jiloca	23538,0	86558,48	86178,4	508892,0	465230,0
2016	26	Cuencas Mineras	13769,0	42964,85	42536,18	286116,0	229871,0
2016	27	Andorra-Sierra de Arcos	8730,0	32947,8	31515,37	211358,0	185715,0
2016	28	Bajo Aragón	17470,0	87683,56	86869,81	707484,0	677046,0
2016	29	Comunidad de Teruel	25264,0	95211,3	92294,94	575608,0	467524,0
2016	30	Maestrazgo	7169,0	32261,21	30961,93	205997,0	159015,0
2016	31	Sierra de Albarracín	12389,0	54246,7	21252,06	101420,0	68958,0
2016	32	Gúdar-Javalambre	19702,0	58436,05	43935,69	302968,0	197169,0
2016	33	Matarraña / Matarranya	13551,0	40907,98	37937,35	185950,0	158663,0
2017	01	La Jacetania	2971,0	78342,0	75146,0	412446,0	412446,0
2017	02	Alto Gállego	1477,0	36232,0	33000,0	231130,0	231130,0
2017	03	Sobrarbe	2871,0	58917,0	55224,0	389757,0	389624,0
2017	04	La Ribagorza	4899,0	83478,0	80872,0	480475,0	480475,0
2017	05	Cinco Villas	12556,0	349330,0	344474,0	2244175,0	2244175,0
2017	06	Hoya de Huesca / Plana de Uesca	9516,0	222179,0	220853,0	1459548,0	1454072,0
2017	07	Somontano de Barbastro	7164,0	110149,0	109593,0	819714,0	819434,0
2017	08	Cinca Medio	5824,0	139682,0	139682,0	1060084,0	1060084,0
2017	09	La Litera / La Llitera	6350,0	230390,0	220264,0	1701454,0	1701454,0
2017	10	Los Monegros	10657,0	318276,0	318256,0	2374257,0	2369142,0
2017	11	Bajo Cinca / Baix Cinca	8527,0	333106,0	332928,0	2084788,0	1872894,0
2017	12	Tarazona y el Moncayo	7823,0	39123,0	38895,0	278678,0	276938,0
2017	13	Campo de Borja	9808,0	60660,0	59471,0	460893,0	460893,0
2017	14	Aranda	6460,0	16863,0	16178,0	71074,0	66419,0
2017	15	Ribera Alta del Ebro	7064,0	98596,0	96547,0	641313,0	641313,0
2017	16	Valdejalón	9165,0	159323,0	157117,0	1077269,0	1077269,0
2017	17	D.C. Zaragoza	28616,0	722533,0	665863,0	4534275,0	3900654,0
2017	18	Ribera Baja del Ebro	5104,0	93754,0	93734,0	584749,0	584749,0
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	31826,0	102013,0	101836,0	622810,0	622810,0
2017	20	Comunidad de Calatayud	29740,0	121681,0	119516,0	726316,0	726316,0
2017	21	Campo de Cariñena	6094,0	59586,0	59100,0	450305,0	450305,0
2017	22	Campo de Belchite	6787,0	41934,0	41172,0	282347,0	282347,0
2017	23	Bajo Martín	8156,0	45330,0	45330,0	328592,0	292741,0
2017	24	Campo de Daroca	9390,0	49996,0	49239,0	247079,0	247079,0
2017	25	Jiloca	23530,0	86634,0	86634,0	505943,0	461471,0
2017	26	Cuencas Mineras	13834,0	44543,0	44543,0	296306,0	239645,0
2017	27	Andorra-Sierra de Arcos	8761,0	32226,0	32226,0	209179,0	186296,0
2017	28	Bajo Aragón	17499,0	87688,0	87688,0	712012,0	678966,0
2017	29	Comunidad de Teruel	25262,0	99031,0	99031,0	611527,0	491449,0
2017	30	Maestrazgo	7162,0	33277,0	33277,0	220275,0	168893,0
2017	31	Sierra de Albarracín	12439,0	53921,0	53921,0	312327,0	64371,0
2017	32	Gúdar-Javalambre	19791,0	57855,0	57855,0	391072,0	188642,0
2017	33	Matarraña / Matarranya	13638,0	40900,0	40900,0	201969,0	160478,0
2018	01	La Jacetania	5413,0	91591,0	90355,0	461401,0	393641,0
2018	02	Alto Gállego	3190,0	37280,0	34731,0	241133,0	197394,0
2018	03	Sobrarbe	5473,0	56944,0	54631,0	373989,0	316295,0
2018	04	La Ribagorza	9658,0	91437,0	90011,0	499883,0	464912,0
2018	05	Cinco Villas	12553,0	376798,0	373981,0	2432768,0	2427193,0
2018	06	Hoya de Huesca / Plana de Uesca	15242,0	235166,0	234015,0	1535207,0	1496521,0
2018	07	Somontano de Barbastro	11066,0	114929,0	114626,0	856807,0	839578,0
2018	08	Cinca Medio	7211,0	160265,0	160265,0	1206518,0	1206021,0
2018	09	La Litera / La Llitera	8818,0	248339,0	241103,0	1863762,0	1860075,0
2018	10	Los Monegros	12448,0	358678,0	358659,0	2650169,0	2577323,0
2018	11	Bajo Cinca / Baix Cinca	9997,0	337040,0	317955,0	1930813,0	1873409,0
2018	12	Tarazona y el Moncayo	7861,0	41767,0	41666,0	297509,0	294933,0
2018	13	Campo de Borja	9752,0	65752,0	64834,0	496049,0	495309,0
2018	14	Aranda	6271,0	17895,0	17495,0	76195,0	72457,0
2018	15	Ribera Alta del Ebro	6991,0	101003,0	99264,0	662160,0	657431,0
2018	16	Valdejalón	9146,0	168542,0	168166,0	1137423,0	1131004,0
2018	17	D.C. Zaragoza	29053,0	766675,0	717590,0	4891291,0	4184596,0
2018	18	Ribera Baja del Ebro	5072,0	95645,0	95625,0	597697,0	594997,0
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5836,0	99167,0	99099,0	602065,0	601640,0
2018	20	Comunidad de Calatayud	29951,0	131025,0	129530,0	787283,0	778173,0
2018	21	Campo de Cariñena	6075,0	60533,0	60124,0	456521,0	455828,0
2018	22	Campo de Belchite	6809,0	47888,0	47347,0	327541,0	325965,0
2018	23	Bajo Martín	8186,0	48591,0	47901,0	348594,0	323159,0
2018	24	Campo de Daroca	9425,0	54815,0	54627,0	271238,0	270042,0
2018	25	Jiloca	18087,0	70020,0	67626,0	397278,0	365151,0
2018	26	Cuencas Mineras	16372,0	45991,0	42946,0	287253,0	249109,0
2018	27	Andorra-Sierra de Arcos	7244,0	32896,0	30956,0	216278,0	194726,0
2018	28	Bajo Aragón	13365,0	45829,0	44808,0	265572,0	247212,0
2018	29	Comunidad de Teruel	31312,0	112296,0	106743,0	639308,0	541756,0
2018	30	Maestrazgo	6048,0	20749,0	17061,0	105606,0	96290,0
2018	31	Sierra de Albarracín	13409,0	55643,0	19369,0	95713,0	72051,0
2018	32	Gúdar-Javalambre	23163,0	62637,0	38062,0	266171,0	236942,0
2018	33	Matarraña / Matarranya	13596,0	40206,0	34035,0	151775,0	135364,0
2019	01	La Jacetania	5370,0	90027,0	89647,0	459560,0	393303,0
2019	02	Alto Gállego	3237,0	49057,0	47219,0	336119,0	287323,0
2019	03	Sobrarbe	5570,0	54618,0	53102,0	361758,0	317538,0
2019	04	La Ribagorza	9681,0	94840,0	94146,0	507273,0	474477,0
2019	05	Cinco Villas	12494,0	398788,0	398670,0	2606903,0	2589857,0
2019	06	Hoya de Huesca / Plana de Uesca	15204,0	242730,0	241721,0	1579936,0	1553224,0
2019	07	Somontano de Barbastro	11180,0	117225,0	117164,0	846721,0	838477,0
2019	08	Cinca Medio	7173,0	160767,0	160767,0	1185495,0	1185393,0
2019	09	La Litera / La Llitera	8791,0	269124,0	261065,0	1992460,0	1989967,0
2019	10	Los Monegros	12430,0	371385,0	371385,0	2729662,0	2649054,0
2019	11	Bajo Cinca / Baix Cinca	9945,0	349846,0	333835,0	2000996,0	1958060,0
2019	12	Tarazona y el Moncayo	7611,0	42372,0	42318,0	300798,0	298706,0
2019	13	Campo de Borja	9700,0	69743,0	68842,0	524816,0	524760,0
2019	14	Aranda	5764,0	17773,0	17539,0	76493,0	73491,0
2019	15	Ribera Alta del Ebro	6963,0	101799,0	100477,0	664529,0	664384,0
2019	16	Valdejalón	9096,0	169666,0	169501,0	1141935,0	1140799,0
2019	17	D.C. Zaragoza	28970,0	658817,0	630900,0	4283450,0	4205629,0
2019	18	Ribera Baja del Ebro	4876,0	96122,0	96122,0	584115,0	583990,0
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7751,0	111926,0	104429,0	607238,0	607204,0
2019	20	Comunidad de Calatayud	29956,0	133743,0	133069,0	809065,0	808235,0
2019	21	Campo de Cariñena	5996,0	60504,0	60207,0	457586,0	457545,0
2019	22	Campo de Belchite	6792,0	50347,0	50209,0	347549,0	347498,0
2019	23	Bajo Martín	8173,0	49911,0	49640,0	360196,0	323205,0
2019	24	Campo de Daroca	9353,0	56928,0	56795,0	279346,0	279254,0
2019	25	Jiloca	23541,0	102107,0	100698,0	603444,0	535369,0
2019	26	Cuencas Mineras	13876,0	46541,0	43413,0	289946,0	247318,0
2019	27	Andorra-Sierra de Arcos	8839,0	36528,0	35464,0	241446,0	219855,0
2019	28	Bajo Aragón	17737,0	109497,0	108302,0	806390,0	778447,0
2019	29	Comunidad de Teruel	25321,0	122861,0	118395,0	727958,0	590084,0
2019	30	Maestrazgo	7223,0	36303,0	32168,0	210911,0	189164,0
2019	31	Sierra de Albarracín	12408,0	60622,0	24551,0	130901,0	96482,0
2019	32	Gúdar-Javalambre	20090,0	71809,0	45235,0	319667,0	285101,0
2019	33	Matarraña / Matarranya	13783,0	67401,0	59925,0	303969,0	260968,0
