Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
15	Ribera Alta del Ebro	2017	Secano	25646,0	10709,0	5744,0	4854,0	111,0	6359,0	0,0	3113,0	3246,0	2327,0	2089,0	238,0	0,0	6251,0	0,0	1869,0	2390,0	1992,0
16	Valdejalón	2017	Regadío	17502,0	17455,0	5335,0	2975,0	9145,0	0,0	0,0	0,0	0,0	47,0	47,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16	Valdejalón	2017	Secano	76454,0	37147,0	14391,0	16916,0	5840,0	25850,0	0,0	9176,0	16674,0	6516,0	5135,0	1381,0	0,0	6941,0	0,0	1972,0	3956,0	1013,0
17	D.C. Zaragoza	2017	Regadío	31850,0	31775,0	25495,0	4618,0	1662,0	0,0	0,0	0,0	0,0	75,0	75,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17	D.C. Zaragoza	2017	Secano	197032,0	68627,0	33637,0	34390,0	600,0	80463,0	0,0	41972,0	38491,0	19460,0	16540,0	2920,0	0,0	28482,0	0,0	9866,0	16321,0	2295,0
18	Ribera Baja del Ebro	2017	Regadío	14929,0	14925,0	11555,0	1079,0	2291,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18	Ribera Baja del Ebro	2017	Secano	84222,0	41930,0	20841,0	20959,0	130,0	30733,0	0,0	11807,0	18926,0	5148,0	2284,0	2864,0	0,0	6411,0	0,0	1173,0	3043,0	2195,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Regadío	13925,0	13925,0	4303,0	2584,0	7038,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Secano	85935,0	23988,0	7007,0	8494,0	8487,0	30741,0	0,0	9036,0	21705,0	22334,0	12850,0	9484,0	0,0	8872,0	0,0	574,0	2691,0	5607,0
20	Comunidad de Calatayud	2017	Regadío	12299,0	12225,0	3438,0	4622,0	4165,0	0,0	0,0	0,0	0,0	74,0	74,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20	Comunidad de Calatayud	2017	Secano	238944,0	68935,0	31029,0	23257,0	14649,0	90659,0	0,0	48093,0	42566,0	67347,0	37505,0	14118,0	15724,0	12003,0	0,0	1479,0	6331,0	4193,0
21	Campo de Cariñena	2017	Regadío	8389,0	8378,0	1935,0	1055,0	5388,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21	Campo de Cariñena	2017	Secano	68947,0	37694,0	13362,0	13047,0	11285,0	15673,0	0,0	9601,0	6072,0	11461,0	10756,0	705,0	0,0	4119,0	0,0	755,0	2508,0	856,0
22	Campo de Belchite	2017	Regadío	4971,0	4960,0	1376,0	1535,0	2049,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Campo de Belchite	2017	Secano	99202,0	63419,0	31790,0	29724,0	1905,0	26793,0	0,0	9460,0	17333,0	5545,0	4815,0	730,0	0,0	3445,0	0,0	499,0	2131,0	815,0
23	Bajo Martín	2017	Regadío	5162,0	5157,0	2419,0	1875,0	863,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
23	Bajo Martín	2017	Secano	74373,0	47034,0	21432,0	22566,0	3036,0	17187,0	0,0	5671,0	11516,0	7321,0	6537,0	784,0	0,0	2831,0	0,0	671,0	1710,0	450,0
24	Campo de Daroca	2017	Regadío	1868,0	1840,0	1404,0	373,0	63,0	0,0	0,0	0,0	0,0	28,0	28,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
24	Campo de Daroca	2017	Secano	109637,0	55812,0	39708,0	13099,0	3005,0	10000,0	0,0	2363,0	7637,0	38483,0	19010,0	6570,0	12903,0	5342,0	0,0	397,0	2859,0	2086,0
25	Jiloca	2017	Regadío	6736,0	6702,0	4732,0	1928,0	42,0	0,0	0,0	0,0	0,0	34,0	34,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
25	Jiloca	2017	Secano	185367,0	88027,0	56860,0	29581,0	1586,0	21767,0	0,0	7398,0	14369,0	67320,0	20142,0	16184,0	30994,0	8253,0	0,0	1512,0	5513,0	1228,0
26	Cuencas Mineras	2017	Regadío	1440,0	1437,0	490,0	932,0	15,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
26	Cuencas Mineras	2017	Secano	139446,0	31656,0	15857,0	14583,0	1216,0	62485,0	0,0	48796,0	13689,0	41227,0	23626,0	7210,0	10391,0	4078,0	0,0	729,0	2360,0	989,0
27	Andorra-Sierra de Arcos	2017	Regadío	877,0	842,0	177,0	582,0	83,0	0,0	0,0	0,0	0,0	35,0	35,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
27	Andorra-Sierra de Arcos	2017	Secano	66774,0	16912,0	6737,0	7528,0	2647,0	27514,0	0,0	16488,0	11026,0	17896,0	13379,0	4517,0	0,0	4452,0	0,0	2142,0	1928,0	382,0
28	Bajo Aragón	2017	Regadío	10662,0	10613,0	5225,0	1859,0	3529,0	0,0	0,0	0,0	0,0	49,0	49,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
28	Bajo Aragón	2017	Secano	119708,0	45276,0	13441,0	14657,0	17178,0	42861,0	0,0	19944,0	22917,0	25145,0	16170,0	8975,0	0,0	6426,0	0,0	1776,0	3243,0	1407,0
29	Comunidad de Teruel	2017	Regadío	9066,0	8957,0	5767,0	3073,0	117,0	0,0	0,0	0,0	0,0	109,0	109,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
29	Comunidad de Teruel	2017	Secano	270288,0	92693,0	51210,0	40019,0	1464,0	92476,0	0,0	39540,0	52936,0	73034,0	25010,0	29567,0	18457,0	12085,0	0,0	1684,0	7231,0	3170,0
30	Maestrazgo	2017	Regadío	826,0	820,0	285,0	426,0	109,0	5,0	5,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
30	Maestrazgo	2017	Secano	119682,0	9489,0	5208,0	3216,0	1065,0	67701,0	0,0	44445,0	23256,0	38040,0	27075,0	10965,0	0,0	4452,0	0,0	584,0	2520,0	1348,0
31	Sierra de Albarracín	2017	Regadío	527,0	502,0	285,0	217,0	0,0	14,0	14,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31	Sierra de Albarracín	2017	Secano	142010,0	16110,0	8473,0	7253,0	384,0	42928,0	0,0	29255,0	13673,0	80276,0	40717,0	39559,0	0,0	2696,0	0,0	324,0	1881,0	491,0
32	Gúdar-Javalambre	2017	Regadío	2765,0	2608,0	536,0	1399,0	673,0	144,0	144,0	0,0	0,0	13,0	13,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
32	Gúdar-Javalambre	2017	Secano	232741,0	20849,0	8779,0	8119,0	3951,0	72250,0	0,0	48976,0	23274,0	129235,0	72466,0	56769,0	0,0	10407,0	0,0	883,0	7384,0	2140,0
33	Matarraña / Matarranya	2017	Regadío	1151,0	1141,0	120,0	494,0	527,0	2,0	2,0	0,0	0,0	8,0	8,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
33	Matarraña / Matarranya	2017	Secano	92321,0	26043,0	3534,0	3417,0	19092,0	12244,0	0,0	871,0	11373,0	50857,0	41169,0	8744,0	944,0	3177,0	0,0	588,0	1607,0	982,0
01	La Jacetania	2016	Regadío	1428,0	1425,0	1300,0	122,0	3,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
01	La Jacetania	2016	Secano	184337,0	21944,0	19261,0	2606,0	77,0	6304,0	1516,0	1929,0	2859,0	139008,0	82828,0	14722,0	41458,0	17081,0	0,0	9251,0	3196,0	4634,0
02	Alto Gállego	2016	Regadío	956,0	949,0	870,0	53,0	26,0	5,0	5,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2016	Secano	135025,0	7225,0	6026,0	1195,0	4,0	2084,0	2084,0	0,0	0,0	111349,0	67997,0	6182,0	37170,0	14367,0	0,0	9540,0	2417,0	2410,0
03	Sobrarbe	2016	Regadío	1650,0	1631,0	1564,0	65,0	2,0	18,0	18,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
03	Sobrarbe	2016	Secano	218570,0	12144,0	11060,0	749,0	335,0	5653,0	3544,0	23,0	2086,0	175740,0	99552,0	16473,0	59715,0	25033,0	0,0	16849,0	2103,0	6081,0
04	La Ribagorza	2016	Regadío	1283,0	1274,0	1065,0	202,0	7,0	5,0	5,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
04	La Ribagorza	2016	Secano	244754,0	29952,0	26287,0	2680,0	985,0	6856,0	6652,0	132,0	72,0	185414,0	87537,0	36398,0	61479,0	22532,0	0,0	13495,0	3432,0	5605,0
05	Cinco Villas	2016	Regadío	73323,0	73225,0	68643,0	3120,0	1462,0	0,0	0,0	0,0	0,0	98,0	98,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
05	Cinco Villas	2016	Secano	236010,0	73492,0	54858,0	17291,0	1343,0	50339,0	0,0	9561,0	40778,0	94058,0	65963,0	8072,0	20023,0	18121,0	0,0	3021,0	8218,0	6882,0
06	Hoya de Huesca / Plana de Uesca	2016	Regadío	24767,0	24748,0	21969,0	1844,0	935,0	0,0	0,0	0,0	0,0	19,0	19,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
06	Hoya de Huesca / Plana de Uesca	2016	Secano	227789,0	99634,0	84936,0	8746,0	5952,0	41551,0	0,0	896,0	40655,0	71838,0	49800,0	9915,0	12123,0	14766,0	0,0	4121,0	6598,0	4047,0
07	Somontano de Barbastro	2016	Regadío	16562,0	16539,0	13447,0	1520,0	1572,0	0,0	0,0	0,0	0,0	23,0	23,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
07	Somontano de Barbastro	2016	Secano	100111,0	36088,0	23523,0	5091,0	7474,0	21390,0	0,0	336,0	21054,0	35534,0	18301,0	10299,0	6934,0	7099,0	0,0	1108,0	3351,0	2640,0
08	Cinca Medio	2016	Regadío	34346,0	34284,0	29343,0	2233,0	2708,0	0,0	0,0	0,0	0,0	62,0	62,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
08	Cinca Medio	2016	Secano	23317,0	5314,0	3190,0	1770,0	354,0	6221,0	0,0	790,0	5431,0	6026,0	1262,0	580,0	4184,0	5756,0	0,0	1147,0	2169,0	2440,0
09	La Litera / La Llitera	2016	Regadío	26638,0	26636,0	22626,0	2313,0	1697,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
09	La Litera / La Llitera	2016	Secano	46748,0	16393,0	12172,0	2657,0	1564,0	8572,0	0,0	110,0	8462,0	17216,0	7421,0	7047,0	2748,0	4567,0	0,0	1483,0	1982,0	1102,0
10	Los Monegros	2016	Regadío	77029,0	76847,0	71381,0	4493,0	973,0	0,0	0,0	0,0	0,0	182,0	182,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10	Los Monegros	2016	Secano	199503,0	105127,0	62929,0	40930,0	1268,0	52558,0	0,0	20625,0	31933,0	26240,0	20311,0	3556,0	2373,0	15578,0	0,0	2545,0	8490,0	4543,0
11	Bajo Cinca / Baix Cinca	2016	Regadío	33886,0	33864,0	16057,0	3032,0	14775,0	0,0	0,0	0,0	0,0	22,0	22,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11	Bajo Cinca / Baix Cinca	2016	Secano	108347,0	38201,0	16741,0	18693,0	2767,0	29778,0	0,0	10690,0	19088,0	29733,0	14040,0	15693,0	0,0	10635,0	0,0	1657,0	4271,0	4707,0
12	Tarazona y el Moncayo	2016	Regadío	4428,0	4376,0	2751,0	853,0	772,0	0,0	0,0	0,0	0,0	52,0	52,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12	Tarazona y el Moncayo	2016	Secano	40790,0	8406,0	3722,0	3931,0	753,0	17136,0	0,0	6806,0	10330,0	12834,0	8629,0	1085,0	3120,0	2414,0	0,0	643,0	1352,0	419,0
13	Campo de Borja	2016	Regadío	10385,0	10373,0	5105,0	952,0	4316,0	0,0	0,0	0,0	0,0	12,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
13	Campo de Borja	2016	Secano	58693,0	23852,0	7525,0	7920,0	8407,0	20417,0	0,0	8820,0	11597,0	10514,0	6129,0	4385,0	0,0	3910,0	0,0	777,0	1898,0	1235,0
14	Aranda	2016	Regadío	334,0	330,0	87,0	30,0	213,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14	Aranda	2016	Secano	55766,0	6408,0	1973,0	1847,0	2588,0	23843,0	0,0	10949,0	12894,0	23730,0	10089,0	4699,0	8942,0	1785,0	0,0	240,0	967,0	578,0
15	Ribera Alta del Ebro	2016	Regadío	14941,0	14726,0	13861,0	249,0	616,0	0,0	0,0	0,0	0,0	215,0	215,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15	Ribera Alta del Ebro	2016	Secano	26630,0	10149,0	5612,0	4459,0	78,0	7895,0	0,0	3116,0	4779,0	2364,0	2126,0	238,0	0,0	6222,0	0,0	1859,0	2381,0	1982,0
