Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	22	22113	Fueva (La)	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22114	Gistaín	Españoles	01	UE-15	Europa	Mujeres	75
1998	22	22115	Grado (El)	Españoles	01	UE-15	Europa	Mujeres	274
1998	22	22115	Grado (El)	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22116	Grañén	Españoles	01	UE-15	Europa	Mujeres	958
1998	22	22116	Grañén	Extranjeros	06	Resto de América	América	Mujeres	3
1998	22	22117	Graus	Españoles	01	UE-15	Europa	Mujeres	1592
1998	22	22117	Graus	Extranjeros	01	UE-15	Europa	Mujeres	4
1998	22	22117	Graus	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	22	22117	Graus	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22119	Gurrea de Gállego	Españoles	01	UE-15	Europa	Mujeres	915
1998	22	22122	Hoz de Jaca	Españoles	01	UE-15	Europa	Mujeres	43
1998	22	22124	Huerto	Españoles	01	UE-15	Europa	Mujeres	121
1998	22	22125	Huesca	Españoles	01	UE-15	Europa	Mujeres	23466
1998	22	22125	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	42
1998	22	22125	Huesca	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22125	Huesca	Extranjeros	04	Resto de África	África	Mujeres	19
1998	22	22125	Huesca	Extranjeros	05	América del Norte	América	Mujeres	8
1998	22	22125	Huesca	Extranjeros	06	Resto de América	América	Mujeres	33
1998	22	22125	Huesca	Extranjeros	07	Asia	Asia	Mujeres	12
1998	22	22126	Ibieca	Españoles	01	UE-15	Europa	Mujeres	52
1998	22	22127	Igriés	Españoles	01	UE-15	Europa	Mujeres	91
1998	22	22128	Ilche	Españoles	01	UE-15	Europa	Mujeres	133
1998	22	22128	Ilche	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22129	Isábena	Españoles	01	UE-15	Europa	Mujeres	125
