Municipio código	Municipio nombre	Salario Percepciones	Salario Retribución	Salario medio por percepción	Pensión Percepciones	Pensión Retribución	Pensión media por percepción	Desempleo Perceptores	Desempleo Retribución	Desempleo prestación media anual	Año
22006	Aísa	155,0	1275776,95	8230,81903225806	56,0	377616,56	6743,15285714286	14,0	35587,33	2541,95214285714	2003
22006	Aísa	198,0	1378923,88	6964,26202020202	50,0	329097,41	6581,9482	17,0	28598,71	1682,27705882353	2004
22006	Aísa	171,0	1474935,36	8625,35298245614	60,0	429063,27	7151,0545	15,0	39847,97	2656,53133333333	2005
22006	Aísa	157,0	1474622,05	9392,49713375796	61,0	462292,25	7578,56147540984	21,0	59129,1	2815,67142857143	2006
22006	Aísa	168,0	1505391,6	8960,66428571429	62,0	463161,46	7470,34612903226	26,0	64557,0	2482,96153846154	2007
22006	Aísa	152,0	1525693,12	10037,4547368421	63,0	568714,29	9027,21095238095	15,0	32311,52	2154,10133333333	2008
22006	Aísa	142,0	1540603,75	10849,3221830986	63,0	540622,65	8581,3119047619	18,0	44205,35	2455,85277777778	2009
22006	Aísa	149,0	1691912,88	11355,12	61,0	573585,64	9403,04327868853	23,0	70230,56	3053,50260869565	2010
22007	Albalate de Cinca	494,0	3303541,49	6687,330951417	287,0	1364700,92	4755,05547038328	20,0	36371,87	1818,5935	1999
22007	Albalate de Cinca	560,0	3816015,01	6814,31251785714	290,0	1458193,9	5028,25482758621	24,0	48019,2	2000,8	2000
22007	Albalate de Cinca	583,0	4276974,57	7336,14849056604	288,0	1521698,56	5283,67555555556	32,0	79368,06	2480,251875	2001
22007	Albalate de Cinca	654,0	4853725,51	7421,59863914373	286,0	1634784,08	5716,02825174825	38,0	102121,43	2687,40605263158	2002
22007	Albalate de Cinca	706,0	5197080,29	7361,30352691218	292,0	1809427,75	6196,67037671233	43,0	120790,67	2809,08534883721	2003
22007	Albalate de Cinca	653,0	5399934,41	8269,42482388974	303,0	1923137,42	6346,98818481848	49,0	117519,29	2398,35285714286	2004
22007	Albalate de Cinca	718,0	6100658,19	8496,73842618384	317,0	1979000,45	6242,90362776025	46,0	103128,35	2241,92065217391	2005
22007	Albalate de Cinca	809,0	6749813,99	8343,40419035847	307,0	2141446,37	6975,39534201954	51,0	102578,01	2011,33352941176	2006
22007	Albalate de Cinca	795,0	7308100,34	9192,57904402516	309,0	2285511,87	7396,47854368932	59,0	153905,14	2608,56169491525	2007
22007	Albalate de Cinca	727,0	7902925,22	10870,5986519945	350,0	2621975,4	7491,35828571429	95,0	227805,42	2397,95178947368	2008
22007	Albalate de Cinca	656,0	7178388,38	10942,6652134146	347,0	2715341,17	7825,19069164265	157,0	514010,76	3273,95388535032	2009
22007	Albalate de Cinca	704,0	7013872,96	9962,88772727273	332,0	2817752,81	8487,20725903614	160,0	540730,34	3379,564625	2010
22008	Albalatillo	54,0	431807,51	7996,43537037037	79,0	394904,56	4998,79189873418				1999
22008	Albalatillo	62,0	486025,11	7839,11467741936	82,0	398681,3	4861,96707317073				2000
22008	Albalatillo	68,0	517236,8	7606,42352941177	80,0	408473,08	5105,9135				2001
22008	Albalatillo	89,0	582645,5	6546,57865168539	77,0	472981,82	6142,62103896104	7,0	26725,52	3817,93142857143	2002
22008	Albalatillo	91,0	628641,11	6908,14406593407	80,0	532008,74	6650,10925				2003
22008	Albalatillo	77,0	618083,85	8027,06298701299	80,0	541062,47	6763,280875				2004
22008	Albalatillo	91,0	840168,26	9232,61824175824	77,0	524747,44	6814,90181818182				2005
22008	Albalatillo	82,0	757211,64	9234,28829268293	78,0	528284,53	6772,87858974359				2006
22008	Albalatillo	85,0	808853,18	9515,91976470588	82,0	564755,81	6887,26597560976	9,0	31255,65	3472,85	2007
22008	Albalatillo	63,0	710694,46	11280,8644444444	88,0	671071,85	7625,81647727273	10,0	35616,15	3561,615	2008
22008	Albalatillo	66,0	731344,39	11080,9756060606	79,0	649400,08	8220,25417721519	12,0	55587,51	4632,2925	2009
22008	Albalatillo	59,0	772793,98	13098,2030508475	82,0	683952,37	8340,88256097561	19,0	62778,96	3304,15578947368	2010
22009	Albelda	277,0	1742724,55	6291,42436823105	303,0	1393111,63	4597,72815181518	17,0	42333,72	2490,21882352941	1999
22009	Albelda	267,0	1893702,6	7092,5191011236	313,0	1452571,41	4640,80322683706	24,0	45804,1	1908,50416666667	2000
22009	Albelda	304,0	2158573,43	7100,57049342105	296,0	1543043,33	5212,98422297297	26,0	53445,62	2055,60076923077	2001
22009	Albelda	280,0	2578562,51	9209,15182142857	292,0	1562250,98	5350,1745890411	25,0	70988,15	2839,526	2002
22009	Albelda	315,0	2673023,73	8485,78961904762	280,0	1584938,05	5660,49303571429	28,0	70301,59	2510,77107142857	2003
22009	Albelda	313,0	2906365,7	9285,51341853035	277,0	1608196,2	5805,76245487365	27,0	66945,58	2479,46592592593	2004
22009	Albelda	326,0	3187980,13	9779,08015337423	275,0	1746058,01	6349,30185454545	29,0	81646,4	2815,39310344828	2005
22009	Albelda	331,0	3296151,49	9958,16160120846	286,0	1874264,06	6553,37083916084	27,0	86996,19	3222,08111111111	2006
22009	Albelda	371,0	3826685,8	10314,5169811321	299,0	1988541,62	6650,64086956522	20,0	63685,6	3184,28	2007
22009	Albelda	351,0	4073505,37	11605,4284045584	317,0	2368181,56	7470,60429022082	34,0	94223,17	2771,26970588235	2008
22009	Albelda	311,0	4014402,68	12908,0472025723	310,0	2300726,6	7421,69870967742	42,0	164188,08	3909,24	2009
22009	Albelda	281,0	3681967,18	13103,0860498221	302,0	2385267,41	7898,23645695364	56,0	238706,87	4262,62267857143	2010
22011	Albero Alto	13,0	60316,88	4639,76	29,0	130012,35	4483,18448275862				1999
22011	Albero Alto	12,0	66731,47	5560,95583333333	25,0	121887,82	4875,5128	0,0	0,0		2000
22011	Albero Alto	12,0	80124,13	6677,01083333333	24,0	124716,89	5196,53708333333				2001
