Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2015,0	05	Cinco Villas	332	Leves	1	01	General
2015,0	05	Cinco Villas	10	Leves	1	05	Trabajadores Autónomos
2015,0	06	Hoya de Huesca / Plana de Uesca	637	Leves	1	01	General
2015,0	06	Hoya de Huesca / Plana de Uesca	13	Leves	1	05	Trabajadores Autónomos
2015,0	07	Somontano de Barbastro	225	Leves	1	01	General
2015,0	07	Somontano de Barbastro	8	Leves	1	05	Trabajadores Autónomos
2015,0	07	Somontano de Barbastro	1	Leves	1	08	Especial Trabajadores del Mar
2015,0	08	Cinca Medio	285	Leves	1	01	General
2015,0	08	Cinca Medio	7	Leves	1	05	Trabajadores Autónomos
2015,0	09	La Litera / La Llitera	235	Leves	1	01	General
2015,0	09	La Litera / La Llitera	5	Leves	1	05	Trabajadores Autónomos
2015,0	10	Los Monegros	177	Leves	1	01	General
2015,0	10	Los Monegros	4	Leves	1	05	Trabajadores Autónomos
2015,0	11	Bajo Cinca / Baix Cinca	310	Leves	1	01	General
2015,0	11	Bajo Cinca / Baix Cinca	7	Leves	1	05	Trabajadores Autónomos
2015,0	11	Bajo Cinca / Baix Cinca	1	Leves	1	09	Especial Minería del Carbón
2015,0	12	Tarazona y el Moncayo	119	Leves	1	01	General
2015,0	12	Tarazona y el Moncayo	4	Leves	1	05	Trabajadores Autónomos
2015,0	13	Campo de Borja	128	Leves	1	01	General
2015,0	13	Campo de Borja	7	Leves	1	05	Trabajadores Autónomos
2015,0	14	Aranda	42	Leves	1	01	General
2015,0	14	Aranda	2	Leves	1	05	Trabajadores Autónomos
2015,0	15	Ribera Alta del Ebro	512	Leves	1	01	General
2015,0	15	Ribera Alta del Ebro	12	Leves	1	05	Trabajadores Autónomos
2015,0	15	Ribera Alta del Ebro	1	Leves	1	09	Especial Minería del Carbón
2015,0	16	Valdejalón	459	Leves	1	01	General
2015,0	16	Valdejalón	14	Leves	1	05	Trabajadores Autónomos
2015,0	16	Valdejalón	1	Leves	1	08	Especial Trabajadores del Mar
2015,0	17	D.C. Zaragoza	6599	Leves	1	01	General
2015,0	17	D.C. Zaragoza	84	Leves	1	05	Trabajadores Autónomos
2015,0	18	Ribera Baja del Ebro	95	Leves	1	01	General
2015,0	18	Ribera Baja del Ebro	2	Leves	1	05	Trabajadores Autónomos
2015,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	131	Leves	1	01	General
2015,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8	Leves	1	05	Trabajadores Autónomos
