Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2015	1	7833,0	PP-PAR
01	La Jacetania	2015	2	6384,0	PSOE
01	La Jacetania	2015	3	166,0	PODEMOS
01	La Jacetania	2015	3	5004,0	PODEMOS-Ahora Alto Aragón en Común
01	La Jacetania	2015	4	3490,0	C's
01	La Jacetania	2015	5	1923,0	IU-CHA-UPeC
01	La Jacetania	2015	6	315,0	EB
01	La Jacetania	2015	7	406,0	PACMA
01	La Jacetania	2015	8	267,0	UPYD
01	La Jacetania	2015	9	71,0	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2015	10	0,0	VOX
01	La Jacetania	2015	11	25,0	Independientes-FIA
01	La Jacetania	2015	12	53,0	PCPE
01	La Jacetania	2015	13	0,0	BAR
02	Alto Gállego	2015	1	6053,0	PP-PAR
02	Alto Gállego	2015	2	5049,0	PSOE
02	Alto Gállego	2015	3	3871,0	PODEMOS-Ahora Alto Aragón en Común
02	Alto Gállego	2015	4	2331,0	C's
02	Alto Gállego	2015	5	1434,0	IU-CHA-UPeC
02	Alto Gállego	2015	6	325,0	EB
02	Alto Gállego	2015	7	291,0	PACMA
02	Alto Gállego	2015	8	136,0	UPYD
02	Alto Gállego	2015	9	54,0	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2015	11	23,0	Independientes-FIA
02	Alto Gállego	2015	12	36,0	PCPE
03	Sobrarbe	2015	1	3925,0	PP-PAR
03	Sobrarbe	2015	2	3271,0	PSOE
03	Sobrarbe	2015	3	1948,0	PODEMOS-Ahora Alto Aragón en Común
03	Sobrarbe	2015	4	1188,0	C's
03	Sobrarbe	2015	5	757,0	IU-CHA-UPeC
03	Sobrarbe	2015	6	117,0	EB
03	Sobrarbe	2015	7	105,0	PACMA
03	Sobrarbe	2015	8	73,0	UPYD
03	Sobrarbe	2015	9	19,0	RECORTES CERO-GRUPO VERDE
03	Sobrarbe	2015	11	3,0	Independientes-FIA
03	Sobrarbe	2015	12	16,0	PCPE
04	La Ribagorza	2015	1	6813,0	PP-PAR
04	La Ribagorza	2015	2	4181,0	PSOE
04	La Ribagorza	2015	3	3164,0	PODEMOS-Ahora Alto Aragón en Común
04	La Ribagorza	2015	4	1992,0	C's
04	La Ribagorza	2015	5	804,0	IU-CHA-UPeC
04	La Ribagorza	2015	6	274,0	EB
04	La Ribagorza	2015	7	295,0	PACMA
04	La Ribagorza	2015	8	120,0	UPYD
04	La Ribagorza	2015	9	59,0	RECORTES CERO-GRUPO VERDE
