Año	Comarca código	Comarca nombre	Población
1940	04	La Ribagorza	29667,0
1940	05	Cinco Villas	45677,0
1940	06	Hoya de Huesca / Plana de Uesca	54325,0
1940	07	Somontano de Barbastro	28361,0
1940	08	Cinca Medio	17438,0
1940	09	La Litera / La Llitera	21117,0
1940	10	Los Monegros	30548,0
1940	11	Bajo Cinca / Baix Cinca	22993,0
1940	12	Tarazona y el Moncayo	21251,0
1940	13	Campo de Borja	21241,0
1940	14	Aranda	13105,0
1940	15	Ribera Alta del Ebro	25769,0
1940	16	Valdejalón	31209,0
1940	17	D.C. Zaragoza	228571,0
1940	18	Ribera Baja del Ebro	14156,0
1940	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19633,0
1940	20	Comunidad de Calatayud	83848,0
1940	21	Campo de Cariñena	16937,0
1940	22	Campo de Belchite	16103,0
1940	23	Bajo Martín	16362,0
1940	24	Campo de Daroca	21952,0
1940	25	Jiloca	40089,0
1940	26	Cuencas Mineras	21349,0
1940	27	Andorra-Sierra de Arcos	12736,0
1940	28	Bajo Aragón	31451,0
1940	29	Comunidad de Teruel	47450,0
1940	30	Maestrazgo	15352,0
1940	31	Sierra de Albarracín	14114,0
1940	32	Gúdar-Javalambre	26937,0
1940	33	Matarraña / Matarranya	20120,0
1950	01	La Jacetania	24270,0
1950	02	Alto Gállego	12424,0
1950	03	Sobrarbe	18290,0
1950	04	La Ribagorza	25694,0
1950	05	Cinco Villas	42682,0
1950	06	Hoya de Huesca / Plana de Uesca	54618,0
1950	07	Somontano de Barbastro	26211,0
1950	08	Cinca Medio	17338,0
1950	09	La Litera / La Llitera	21655,0
1950	10	Los Monegros	28234,0
1950	11	Bajo Cinca / Baix Cinca	23209,0
1950	12	Tarazona y el Moncayo	22396,0
1950	13	Campo de Borja	21272,0
1950	14	Aranda	12490,0
1950	15	Ribera Alta del Ebro	25629,0
1950	16	Valdejalón	30702,0
1950	17	D.C. Zaragoza	268770,0
1950	18	Ribera Baja del Ebro	14894,0
1950	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19538,0
1950	20	Comunidad de Calatayud	81981,0
1950	21	Campo de Cariñena	16903,0
1950	22	Campo de Belchite	16197,0
1950	23	Bajo Martín	15992,0
1950	24	Campo de Daroca	21677,0
1950	25	Jiloca	38857,0
1950	26	Cuencas Mineras	22813,0
1950	27	Andorra-Sierra de Arcos	14096,0
1950	28	Bajo Aragón	30401,0
1950	29	Comunidad de Teruel	51188,0
1950	30	Maestrazgo	13711,0
1950	31	Sierra de Albarracín	13667,0
1950	32	Gúdar-Javalambre	24264,0
1950	33	Matarraña / Matarranya	18280,0
1960	01	La Jacetania	21167,0
1960	02	Alto Gállego	13411,0
1960	03	Sobrarbe	15122,0
1960	04	La Ribagorza	23201,0
1960	05	Cinco Villas	40779,0
1960	06	Hoya de Huesca / Plana de Uesca	52338,0
1960	07	Somontano de Barbastro	25978,0
1960	08	Cinca Medio	20102,0
1960	09	La Litera / La Llitera	21940,0
1960	10	Los Monegros	28841,0
1960	11	Bajo Cinca / Baix Cinca	26033,0
1960	12	Tarazona y el Moncayo	20145,0
1960	13	Campo de Borja	19616,0
1960	14	Aranda	10780,0
1960	15	Ribera Alta del Ebro	26437,0
1960	16	Valdejalón	28960,0
1960	17	D.C. Zaragoza	330140,0
1960	18	Ribera Baja del Ebro	14642,0
1960	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18398,0
1960	20	Comunidad de Calatayud	71999,0
1960	21	Campo de Cariñena	14705,0
1960	22	Campo de Belchite	12827,0
1960	23	Bajo Martín	14185,0
1960	24	Campo de Daroca	17568,0
1960	25	Jiloca	33548,0
1960	26	Cuencas Mineras	22222,0
1960	27	Andorra-Sierra de Arcos	16918,0
1960	28	Bajo Aragón	28383,0
1960	29	Comunidad de Teruel	49979,0
1960	30	Maestrazgo	11350,0
1960	31	Sierra de Albarracín	12132,0
1960	32	Gúdar-Javalambre	19827,0
1960	33	Matarraña / Matarranya	15214,0
1970	01	La Jacetania	17926,0
1970	02	Alto Gállego	12687,0
1970	03	Sobrarbe	9525,0
1970	04	La Ribagorza	16665,0
1970	05	Cinco Villas	37640,0
1970	06	Hoya de Huesca / Plana de Uesca	53374,0
1970	07	Somontano de Barbastro	24804,0
1970	08	Cinca Medio	23989,0
1970	09	La Litera / La Llitera	21831,0
1970	10	Los Monegros	27698,0
1970	11	Bajo Cinca / Baix Cinca	23475,0
1970	12	Tarazona y el Moncayo	17636,0
1970	13	Campo de Borja	17254,0
1970	14	Aranda	8984,0
1970	15	Ribera Alta del Ebro	24551,0
1970	16	Valdejalón	25268,0
1970	17	D.C. Zaragoza	496531,0
1970	18	Ribera Baja del Ebro	12594,0
1970	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16119,0
1970	20	Comunidad de Calatayud	56851,0
1970	21	Campo de Cariñena	12731,0
1970	22	Campo de Belchite	9254,0
1970	23	Bajo Martín	11292,0
1970	24	Campo de Daroca	11807,0
1970	25	Jiloca	23700,0
1970	26	Cuencas Mineras	16255,0
1970	27	Andorra-Sierra de Arcos	12242,0
1970	28	Bajo Aragón	25837,0
1970	29	Comunidad de Teruel	42867,0
1970	30	Maestrazgo	7389,0
1970	31	Sierra de Albarracín	8631,0
1970	32	Gúdar-Javalambre	13173,0
1970	33	Matarraña / Matarranya	12475,0
1981	01	La Jacetania	16948,0
1981	02	Alto Gállego	12501,0
1981	03	Sobrarbe	7091,0
1981	04	La Ribagorza	12953,0
1981	05	Cinco Villas	34757,0
1981	06	Hoya de Huesca / Plana de Uesca	58074,0
1981	07	Somontano de Barbastro	24094,0
1981	08	Cinca Medio	22947,0
1981	09	La Litera / La Llitera	20761,0
1981	10	Los Monegros	25661,0
1981	11	Bajo Cinca / Baix Cinca	22978,0
1981	12	Tarazona y el Moncayo	15671,0
1981	13	Campo de Borja	15580,0
1981	14	Aranda	8438,0
1981	15	Ribera Alta del Ebro	21728,0
1981	16	Valdejalón	22715,0
1981	17	D.C. Zaragoza	600740,0
1981	18	Ribera Baja del Ebro	10817,0
1981	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14563,0
1981	20	Comunidad de Calatayud	47355,0
1981	21	Campo de Cariñena	11362,0
1981	22	Campo de Belchite	6982,0
1981	23	Bajo Martín	9665,0
1981	24	Campo de Daroca	8779,0
1981	25	Jiloca	18470,0
1981	26	Cuencas Mineras	14109,0
1981	27	Andorra-Sierra de Arcos	12428,0
1981	28	Bajo Aragón	25597,0
1981	29	Comunidad de Teruel	42345,0
1981	30	Maestrazgo	4964,0
1981	31	Sierra de Albarracín	6093,0
1981	32	Gúdar-Javalambre	9139,0
