Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2015,0	Hombres	20	Comunidad de Calatayud	164	Leves	1
2015,0	Hombres	21	Campo de Cariñena	115	Leves	1
2015,0	Hombres	22	Campo de Belchite	20	Leves	1
2015,0	Hombres	23	Bajo Martín	59	Leves	1
2015,0	Hombres	24	Campo de Daroca	49	Leves	1
2015,0	Hombres	25	Jiloca	70	Leves	1
2015,0	Hombres	26	Cuencas Mineras	61	Leves	1
2015,0	Hombres	27	Andorra-Sierra de Arcos	107	Leves	1
2015,0	Hombres	28	Bajo Aragón	109	Leves	1
2015,0	Hombres	29	Comunidad de Teruel	252	Leves	1
2015,0	Hombres	30	Maestrazgo	13	Leves	1
2015,0	Hombres	31	Sierra de Albarracín	14	Leves	1
2015,0	Hombres	32	Gúdar-Javalambre	40	Leves	1
2015,0	Hombres	33	Matarraña / Matarranya	50	Leves	1
2015,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	64	Leves	1
2015,0	Mujeres	01	La Jacetania	49	Leves	1
2015,0	Mujeres	02	Alto Gállego	38	Leves	1
2015,0	Mujeres	03	Sobrarbe	25	Leves	1
2015,0	Mujeres	04	La Ribagorza	33	Leves	1
2015,0	Mujeres	05	Cinco Villas	74	Leves	1
2015,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	229	Leves	1
2015,0	Mujeres	07	Somontano de Barbastro	74	Leves	1
2015,0	Mujeres	08	Cinca Medio	58	Leves	1
2015,0	Mujeres	09	La Litera / La Llitera	50	Leves	1
2015,0	Mujeres	10	Los Monegros	28	Leves	1
2015,0	Mujeres	11	Bajo Cinca / Baix Cinca	78	Leves	1
2015,0	Mujeres	12	Tarazona y el Moncayo	25	Leves	1
2015,0	Mujeres	13	Campo de Borja	40	Leves	1
2015,0	Mujeres	14	Aranda	16	Leves	1
2015,0	Mujeres	15	Ribera Alta del Ebro	107	Leves	1
2015,0	Mujeres	16	Valdejalón	127	Leves	1
2015,0	Mujeres	17	D.C. Zaragoza	3090	Leves	1
2015,0	Mujeres	18	Ribera Baja del Ebro	39	Leves	1
2015,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	42	Leves	1
2015,0	Mujeres	20	Comunidad de Calatayud	99	Leves	1
2015,0	Mujeres	21	Campo de Cariñena	26	Leves	1
2015,0	Mujeres	22	Campo de Belchite	5	Leves	1
2015,0	Mujeres	23	Bajo Martín	9	Leves	1
2015,0	Mujeres	24	Campo de Daroca	9	Leves	1
2015,0	Mujeres	25	Jiloca	17	Leves	1
2015,0	Mujeres	26	Cuencas Mineras	25	Leves	1
2015,0	Mujeres	27	Andorra-Sierra de Arcos	20	Leves	1
2015,0	Mujeres	28	Bajo Aragón	48	Leves	1
2015,0	Mujeres	29	Comunidad de Teruel	128	Leves	1
2015,0	Mujeres	31	Sierra de Albarracín	8	Leves	1
2015,0	Mujeres	32	Gúdar-Javalambre	18	Leves	1
2015,0	Mujeres	33	Matarraña / Matarranya	5	Leves	1
2015,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	11	Leves	1
2014,0	Hombres	01	La Jacetania	83	Leves	1
2014,0	Hombres	02	Alto Gállego	76	Leves	1
2014,0	Hombres	03	Sobrarbe	31	Leves	1
2014,0	Hombres	04	La Ribagorza	78	Leves	1
2014,0	Hombres	05	Cinco Villas	225	Leves	1
2014,0	Hombres	06	Hoya de Huesca / Plana de Uesca	471	Leves	1
2014,0	Hombres	07	Somontano de Barbastro	160	Leves	1
2014,0	Hombres	08	Cinca Medio	219	Leves	1
2014,0	Hombres	09	La Litera / La Llitera	175	Leves	1
2014,0	Hombres	10	Los Monegros	104	Leves	1
2014,0	Hombres	11	Bajo Cinca / Baix Cinca	251	Leves	1
2014,0	Hombres	12	Tarazona y el Moncayo	54	Leves	1
2014,0	Hombres	13	Campo de Borja	91	Leves	1
2014,0	Hombres	14	Aranda	32	Leves	1
2014,0	Hombres	15	Ribera Alta del Ebro	367	Leves	1
2014,0	Hombres	16	Valdejalón	358	Leves	1
2014,0	Hombres	17	D.C. Zaragoza	4257	Leves	1
2014,0	Hombres	18	Ribera Baja del Ebro	61	Leves	1
2014,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	71	Leves	1
2014,0	Hombres	20	Comunidad de Calatayud	171	Leves	1
2014,0	Hombres	21	Campo de Cariñena	95	Leves	1
2014,0	Hombres	22	Campo de Belchite	15	Leves	1
2014,0	Hombres	23	Bajo Martín	56	Leves	1
2014,0	Hombres	24	Campo de Daroca	47	Leves	1
2014,0	Hombres	25	Jiloca	79	Leves	1
2014,0	Hombres	26	Cuencas Mineras	75	Leves	1
2014,0	Hombres	27	Andorra-Sierra de Arcos	100	Leves	1
2014,0	Hombres	28	Bajo Aragón	131	Leves	1
2014,0	Hombres	29	Comunidad de Teruel	306	Leves	1
2014,0	Hombres	30	Maestrazgo	7	Leves	1
2014,0	Hombres	31	Sierra de Albarracín	11	Leves	1
2014,0	Hombres	32	Gúdar-Javalambre	47	Leves	1
2014,0	Hombres	33	Matarraña / Matarranya	28	Leves	1
2014,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	83	Leves	1
2014,0	Mujeres	01	La Jacetania	63	Leves	1
2014,0	Mujeres	02	Alto Gállego	32	Leves	1
2014,0	Mujeres	03	Sobrarbe	17	Leves	1
2014,0	Mujeres	04	La Ribagorza	39	Leves	1
2014,0	Mujeres	05	Cinco Villas	69	Leves	1
2014,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	217	Leves	1
2014,0	Mujeres	07	Somontano de Barbastro	54	Leves	1
2014,0	Mujeres	08	Cinca Medio	61	Leves	1
2014,0	Mujeres	09	La Litera / La Llitera	38	Leves	1
2014,0	Mujeres	10	Los Monegros	18	Leves	1
2014,0	Mujeres	11	Bajo Cinca / Baix Cinca	88	Leves	1
2014,0	Mujeres	12	Tarazona y el Moncayo	18	Leves	1
2014,0	Mujeres	13	Campo de Borja	39	Leves	1
2014,0	Mujeres	14	Aranda	15	Leves	1
2014,0	Mujeres	15	Ribera Alta del Ebro	88	Leves	1
2014,0	Mujeres	16	Valdejalón	120	Leves	1
2014,0	Mujeres	17	D.C. Zaragoza	2846	Leves	1
2014,0	Mujeres	18	Ribera Baja del Ebro	21	Leves	1
2014,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	29	Leves	1
2014,0	Mujeres	20	Comunidad de Calatayud	96	Leves	1
2014,0	Mujeres	21	Campo de Cariñena	18	Leves	1
2014,0	Mujeres	22	Campo de Belchite	1	Leves	1
2014,0	Mujeres	23	Bajo Martín	11	Leves	1
2014,0	Mujeres	24	Campo de Daroca	14	Leves	1
2014,0	Mujeres	25	Jiloca	19	Leves	1
2014,0	Mujeres	26	Cuencas Mineras	29	Leves	1
2014,0	Mujeres	27	Andorra-Sierra de Arcos	25	Leves	1
2014,0	Mujeres	28	Bajo Aragón	72	Leves	1
2014,0	Mujeres	29	Comunidad de Teruel	149	Leves	1
2014,0	Mujeres	30	Maestrazgo	1	Leves	1
2014,0	Mujeres	31	Sierra de Albarracín	6	Leves	1
2014,0	Mujeres	32	Gúdar-Javalambre	11	Leves	1
2014,0	Mujeres	33	Matarraña / Matarranya	10	Leves	1
2014,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	18	Leves	1
2013,0	Hombres	01	La Jacetania	123	Leves	1
2013,0	Hombres	02	Alto Gállego	62	Leves	1
2013,0	Hombres	03	Sobrarbe	29	Leves	1
2013,0	Hombres	04	La Ribagorza	76	Leves	1
2013,0	Hombres	05	Cinco Villas	197	Leves	1
2013,0	Hombres	06	Hoya de Huesca / Plana de Uesca	396	Leves	1
2013,0	Hombres	07	Somontano de Barbastro	156	Leves	1
2013,0	Hombres	08	Cinca Medio	213	Leves	1
2013,0	Hombres	09	La Litera / La Llitera	166	Leves	1
2013,0	Hombres	10	Los Monegros	123	Leves	1
2013,0	Hombres	11	Bajo Cinca / Baix Cinca	218	Leves	1
2013,0	Hombres	12	Tarazona y el Moncayo	56	Leves	1
2013,0	Hombres	13	Campo de Borja	95	Leves	1
2013,0	Hombres	14	Aranda	25	Leves	1
2013,0	Hombres	15	Ribera Alta del Ebro	277	Leves	1
2013,0	Hombres	16	Valdejalón	264	Leves	1
2013,0	Hombres	17	D.C. Zaragoza	4333	Leves	1
2013,0	Hombres	18	Ribera Baja del Ebro	58	Leves	1
2013,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	90	Leves	1
2013,0	Hombres	20	Comunidad de Calatayud	177	Leves	1
2013,0	Hombres	21	Campo de Cariñena	71	Leves	1
2013,0	Hombres	22	Campo de Belchite	15	Leves	1
2013,0	Hombres	23	Bajo Martín	43	Leves	1
2013,0	Hombres	24	Campo de Daroca	44	Leves	1
2013,0	Hombres	25	Jiloca	56	Leves	1
2013,0	Hombres	26	Cuencas Mineras	73	Leves	1
2013,0	Hombres	27	Andorra-Sierra de Arcos	89	Leves	1
2013,0	Hombres	28	Bajo Aragón	158	Leves	1
2013,0	Hombres	29	Comunidad de Teruel	307	Leves	1
2013,0	Hombres	30	Maestrazgo	8	Leves	1
2013,0	Hombres	31	Sierra de Albarracín	15	Leves	1
2013,0	Hombres	32	Gúdar-Javalambre	41	Leves	1
2013,0	Hombres	33	Matarraña / Matarranya	35	Leves	1
2013,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	91	Leves	1
2013,0	Mujeres	01	La Jacetania	48	Leves	1
2013,0	Mujeres	02	Alto Gállego	37	Leves	1
2013,0	Mujeres	03	Sobrarbe	10	Leves	1
2013,0	Mujeres	04	La Ribagorza	41	Leves	1
2013,0	Mujeres	05	Cinco Villas	68	Leves	1
2013,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	219	Leves	1
2013,0	Mujeres	07	Somontano de Barbastro	59	Leves	1
2013,0	Mujeres	08	Cinca Medio	58	Leves	1
2013,0	Mujeres	09	La Litera / La Llitera	39	Leves	1
2013,0	Mujeres	10	Los Monegros	20	Leves	1
2013,0	Mujeres	11	Bajo Cinca / Baix Cinca	70	Leves	1
2013,0	Mujeres	12	Tarazona y el Moncayo	29	Leves	1
2013,0	Mujeres	13	Campo de Borja	53	Leves	1
2013,0	Mujeres	14	Aranda	2	Leves	1
2013,0	Mujeres	15	Ribera Alta del Ebro	81	Leves	1
2013,0	Mujeres	16	Valdejalón	103	Leves	1
2013,0	Mujeres	17	D.C. Zaragoza	2781	Leves	1
2013,0	Mujeres	18	Ribera Baja del Ebro	36	Leves	1
2013,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	29	Leves	1
2013,0	Mujeres	20	Comunidad de Calatayud	90	Leves	1
2013,0	Mujeres	21	Campo de Cariñena	27	Leves	1
2013,0	Mujeres	22	Campo de Belchite	7	Leves	1
2013,0	Mujeres	23	Bajo Martín	4	Leves	1
2013,0	Mujeres	24	Campo de Daroca	15	Leves	1
2013,0	Mujeres	25	Jiloca	27	Leves	1
2013,0	Mujeres	26	Cuencas Mineras	22	Leves	1
2013,0	Mujeres	27	Andorra-Sierra de Arcos	17	Leves	1
2013,0	Mujeres	28	Bajo Aragón	54	Leves	1
2013,0	Mujeres	29	Comunidad de Teruel	181	Leves	1
2013,0	Mujeres	30	Maestrazgo	3	Leves	1
2013,0	Mujeres	31	Sierra de Albarracín	2	Leves	1
2013,0	Mujeres	32	Gúdar-Javalambre	10	Leves	1
2013,0	Mujeres	33	Matarraña / Matarranya	7	Leves	1
2013,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	13	Leves	1
2012,0	Hombres	01	La Jacetania	82	Leves	1
2012,0	Hombres	02	Alto Gállego	78	Leves	1
2012,0	Hombres	03	Sobrarbe	26	Leves	1
2012,0	Hombres	04	La Ribagorza	70	Leves	1
2012,0	Hombres	05	Cinco Villas	220	Leves	1
2012,0	Hombres	06	Hoya de Huesca / Plana de Uesca	417	Leves	1
2012,0	Hombres	07	Somontano de Barbastro	130	Leves	1
2012,0	Hombres	08	Cinca Medio	265	Leves	1
2012,0	Hombres	09	La Litera / La Llitera	148	Leves	1
2012,0	Hombres	10	Los Monegros	98	Leves	1
2012,0	Hombres	11	Bajo Cinca / Baix Cinca	246	Leves	1
2012,0	Hombres	12	Tarazona y el Moncayo	77	Leves	1
2012,0	Hombres	13	Campo de Borja	100	Leves	1
2012,0	Hombres	14	Aranda	29	Leves	1
2012,0	Hombres	15	Ribera Alta del Ebro	370	Leves	1
2012,0	Hombres	16	Valdejalón	291	Leves	1
2012,0	Hombres	17	D.C. Zaragoza	4594	Leves	1
2012,0	Hombres	18	Ribera Baja del Ebro	62	Leves	1
2012,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	95	Leves	1
2012,0	Hombres	20	Comunidad de Calatayud	169	Leves	1
2012,0	Hombres	21	Campo de Cariñena	93	Leves	1
2012,0	Hombres	22	Campo de Belchite	18	Leves	1
2012,0	Hombres	23	Bajo Martín	54	Leves	1
2012,0	Hombres	24	Campo de Daroca	38	Leves	1
2012,0	Hombres	25	Jiloca	67	Leves	1
2012,0	Hombres	26	Cuencas Mineras	77	Leves	1
2012,0	Hombres	27	Andorra-Sierra de Arcos	125	Leves	1
2012,0	Hombres	28	Bajo Aragón	156	Leves	1
2012,0	Hombres	29	Comunidad de Teruel	268	Leves	1
2012,0	Hombres	30	Maestrazgo	12	Leves	1
2012,0	Hombres	31	Sierra de Albarracín	17	Leves	1
2012,0	Hombres	32	Gúdar-Javalambre	45	Leves	1
2012,0	Hombres	33	Matarraña / Matarranya	33	Leves	1
2012,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	90	Leves	1
2012,0	Mujeres	01	La Jacetania	44	Leves	1
2012,0	Mujeres	02	Alto Gállego	26	Leves	1
2012,0	Mujeres	03	Sobrarbe	15	Leves	1
2012,0	Mujeres	04	La Ribagorza	22	Leves	1
2012,0	Mujeres	05	Cinco Villas	51	Leves	1
2012,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	182	Leves	1
2012,0	Mujeres	07	Somontano de Barbastro	48	Leves	1
2012,0	Mujeres	08	Cinca Medio	49	Leves	1
2012,0	Mujeres	09	La Litera / La Llitera	39	Leves	1
2012,0	Mujeres	10	Los Monegros	16	Leves	1
2012,0	Mujeres	11	Bajo Cinca / Baix Cinca	65	Leves	1
2012,0	Mujeres	12	Tarazona y el Moncayo	32	Leves	1
2012,0	Mujeres	13	Campo de Borja	59	Leves	1
2012,0	Mujeres	14	Aranda	12	Leves	1
2012,0	Mujeres	15	Ribera Alta del Ebro	68	Leves	1
2012,0	Mujeres	16	Valdejalón	100	Leves	1
2012,0	Mujeres	17	D.C. Zaragoza	2491	Leves	1
2012,0	Mujeres	18	Ribera Baja del Ebro	28	Leves	1
