Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2008	174511,0	PSOE	3,0
22	Huesca	2008	137070,0	PP	1,0
22	Huesca	2008	23949,0	PAR	0,0
22	Huesca	2008	13996,0	CHA	0,0
22	Huesca	2008	10108,0	IU	0,0
22	Huesca	2008	4638,0	UPyD	0,0
22	Huesca	2008	2822,0	LV	0,0
22	Huesca	2008	275,0	C's	0,0
22	Huesca	2008	478,0	PACMA	0,0
22	Huesca	2008	305,0	PUM+J	0,0
22	Huesca	2008	222,0	pCUA	0,0
22	Huesca	2008	243,0	PSD-FIA	0,0
22	Huesca	2008	126,0	TA	0,0
22	Huesca	2008	244,0	FE de las JONS	0,0
22	Huesca	2008	291,0	PFyV	0,0
22	Huesca	2008	191,0	DN	0,0
22	Huesca	2008	283,0	POSI	0,0
22	Huesca	2008	0,0	AuN	
22	Huesca	2008	0,0	FRENTE	
22	Huesca	2008	77,0	AES	0,0
22	Huesca	2008	0,0	FA	
22	Huesca	2008	82,0	PH	0,0
22	Huesca	2008	0,0	MCE	
22	Huesca	2008	39,0	CTC	0,0
22	Huesca	2008	0,0	PCPE	
44	Teruel	2008	107201,0	PSOE	3,0
44	Teruel	2008	95450,0	PP	1,0
44	Teruel	2008	21913,0	PAR	0,0
44	Teruel	2008	7786,0	CHA	0,0
44	Teruel	2008	6372,0	IU	0,0
44	Teruel	2008	2364,0	UPyD	0,0
44	Teruel	2008	648,0	LV	0,0
44	Teruel	2008	158,0	C's	0,0
44	Teruel	2008	327,0	PACMA	0,0
44	Teruel	2008	269,0	PUM+J	0,0
44	Teruel	2008	101,0	pCUA	0,0
44	Teruel	2008	89,0	PSD-FIA	0,0
44	Teruel	2008	0,0	TA	
44	Teruel	2008	151,0	FE de las JONS	0,0
44	Teruel	2008	39,0	PFyV	0,0
44	Teruel	2008	64,0	DN	0,0
44	Teruel	2008	70,0	POSI	0,0
44	Teruel	2008	359,0	AuN	0,0
44	Teruel	2008	0,0	FRENTE	
44	Teruel	2008	79,0	AES	0,0
44	Teruel	2008	0,0	FA	
44	Teruel	2008	0,0	PH	
44	Teruel	2008	44,0	MCE	0,0
44	Teruel	2008	29,0	CTC	0,0
44	Teruel	2008	114,0	PCPE	0,0
50	Zaragoza	2008	711921,0	PSOE	3,0
50	Zaragoza	2008	558106,0	PP	1,0
50	Zaragoza	2008	86876,0	PAR	0,0
50	Zaragoza	2008	85500,0	CHA	0,0
50	Zaragoza	2008	43893,0	IU	0,0
50	Zaragoza	2008	18300,0	UPyD	0,0
50	Zaragoza	2008	7436,0	LV	0,0
50	Zaragoza	2008	2727,0	C's	0,0
50	Zaragoza	2008	2095,0	PACMA	0,0
50	Zaragoza	2008	1223,0	PUM+J	0,0
50	Zaragoza	2008	1292,0	pCUA	0,0
50	Zaragoza	2008	881,0	PSD-FIA	0,0
50	Zaragoza	2008	802,0	TA	0,0
50	Zaragoza	2008	513,0	FE de las JONS	0,0
50	Zaragoza	2008	472,0	PFyV	0,0
50	Zaragoza	2008	441,0	DN	0,0
50	Zaragoza	2008	291,0	POSI	0,0
50	Zaragoza	2008	217,0	AuN	0,0
50	Zaragoza	2008	538,0	FRENTE	0,0
50	Zaragoza	2008	305,0	AES	0,0
50	Zaragoza	2008	348,0	FA	0,0
50	Zaragoza	2008	256,0	PH	0,0
50	Zaragoza	2008	263,0	MCE	0,0
50	Zaragoza	2008	136,0	CTC	0,0
50	Zaragoza	2008	0,0	PCPE	
