Año	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	CCAA
2019,0	Hombres	12803	Leves	1	Aragón
2019,0	Mujeres	5776	Leves	1	Aragón
2015,0	Hombres	9337	Leves	1	Aragón
2015,0	Mujeres	4650	Leves	1	Aragón
2014,0	Hombres	8415	Leves	1	Aragón
2014,0	Mujeres	4352	Leves	1	Aragón
2013,0	Hombres	8180	Leves	1	Aragón
2013,0	Mujeres	4262	Leves	1	Aragón
2012,0	Hombres	8660	Leves	1	Aragón
2012,0	Mujeres	3759	Leves	1	Aragón
2011,0	Hombres	10598	Leves	1	Aragón
2011,0	Mujeres	4645	Leves	1	Aragón
2010,0	Hombres	11854	Leves	1	Aragón
2010,0	Mujeres	5101	Leves	1	Aragón
2009,0	Hombres	12541	Leves	1	Aragón
2009,0	Mujeres	5118	Leves	1	Aragón
2008,0	Hombres	17375	Leves	1	Aragón
2008,0	Mujeres	5504	Leves	1	Aragón
2007,0	Hombres	19242	Leves	1	Aragón
2007,0	Mujeres	5501	Leves	1	Aragón
2006,0	Hombres	18194	Leves	1	Aragón
2006,0	Mujeres	4955	Leves	1	Aragón
2005,0	Hombres	17071	Leves	1	Aragón
2005,0	Mujeres	4685	Leves	1	Aragón
2004,0	Hombres	16328	Leves	1	Aragón
2004,0	Mujeres	4204	Leves	1	Aragón
2003,0	Hombres	16459	Leves	1	Aragón
2003,0	Mujeres	4089	Leves	1	Aragón
2019,0	Hombres	113	Graves o muy graves	2	Aragón
2019,0	Mujeres	11	Graves o muy graves	2	Aragón
2015,0	Hombres	83	Graves o muy graves	2	Aragón
2015,0	Mujeres	14	Graves o muy graves	2	Aragón
2014,0	Hombres	81	Graves o muy graves	2	Aragón
2014,0	Mujeres	7	Graves o muy graves	2	Aragón
2013,0	Hombres	72	Graves o muy graves	2	Aragón
2013,0	Mujeres	15	Graves o muy graves	2	Aragón
2012,0	Hombres	81	Graves o muy graves	2	Aragón
2012,0	Mujeres	14	Graves o muy graves	2	Aragón
2011,0	Hombres	89	Graves o muy graves	2	Aragón
2011,0	Mujeres	8	Graves o muy graves	2	Aragón
2010,0	Hombres	125	Graves o muy graves	2	Aragón
2010,0	Mujeres	16	Graves o muy graves	2	Aragón
2009,0	Hombres	128	Graves o muy graves	2	Aragón
2009,0	Mujeres	21	Graves o muy graves	2	Aragón
2008,0	Hombres	132	Graves o muy graves	2	Aragón
2008,0	Mujeres	9	Graves o muy graves	2	Aragón
2007,0	Hombres	181	Graves o muy graves	2	Aragón
2007,0	Mujeres	9	Graves o muy graves	2	Aragón
2006,0	Hombres	157	Graves o muy graves	2	Aragón
2006,0	Mujeres	11	Graves o muy graves	2	Aragón
2005,0	Hombres	182	Graves o muy graves	2	Aragón
2005,0	Mujeres	16	Graves o muy graves	2	Aragón
2004,0	Hombres	201	Graves o muy graves	2	Aragón
2004,0	Mujeres	25	Graves o muy graves	2	Aragón
2003,0	Hombres	211	Graves o muy graves	2	Aragón
2003,0	Mujeres	17	Graves o muy graves	2	Aragón
2019,0	Hombres	29	Mortales	3	Aragón
2015,0	Hombres	24	Mortales	3	Aragón
2015,0	Mujeres	5	Mortales	3	Aragón
2014,0	Hombres	16	Mortales	3	Aragón
2014,0	Mujeres	2	Mortales	3	Aragón
2013,0	Hombres	19	Mortales	3	Aragón
2013,0	Mujeres	2	Mortales	3	Aragón
2012,0	Hombres	18	Mortales	3	Aragón
2012,0	Mujeres	1	Mortales	3	Aragón
2011,0	Hombres	25	Mortales	3	Aragón
2011,0	Mujeres	2	Mortales	3	Aragón
2010,0	Hombres	30	Mortales	3	Aragón
2010,0	Mujeres	1	Mortales	3	Aragón
2009,0	Hombres	43	Mortales	3	Aragón
2008,0	Hombres	29	Mortales	3	Aragón
2008,0	Mujeres	1	Mortales	3	Aragón
2007,0	Hombres	38	Mortales	3	Aragón
2007,0	Mujeres	1	Mortales	3	Aragón
2006,0	Hombres	33	Mortales	3	Aragón
2006,0	Mujeres	1	Mortales	3	Aragón
2005,0	Hombres	34	Mortales	3	Aragón
2005,0	Mujeres	1	Mortales	3	Aragón
2004,0	Hombres	42	Mortales	3	Aragón
2004,0	Mujeres	2	Mortales	3	Aragón
2003,0	Hombres	31	Mortales	3	Aragón
2003,0	Mujeres	1	Mortales	3	Aragón
