Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Abril 2016	28	Bajo Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	11
Abril 2016	28	Bajo Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	137
Abril 2016	28	Bajo Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	788
Abril 2016	28	Bajo Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	172
Abril 2016	28	Bajo Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	16
Abril 2016	28	Bajo Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	142
Abril 2016	29	Comunidad de Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1021
Abril 2016	29	Comunidad de Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	92
Abril 2016	29	Comunidad de Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	19
Abril 2016	29	Comunidad de Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	132
Abril 2016	29	Comunidad de Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	1307
Abril 2016	29	Comunidad de Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	91
Abril 2016	29	Comunidad de Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9
Abril 2016	29	Comunidad de Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Abril 2016	29	Comunidad de Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	145
Abril 2016	30	Maestrazgo	Españoles	ESPAÑA	Españoles	Españoles	Hombres	52
Abril 2016	30	Maestrazgo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	7
Abril 2016	30	Maestrazgo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	30	Maestrazgo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	30	Maestrazgo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	8
Abril 2016	30	Maestrazgo	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	56
Abril 2016	30	Maestrazgo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Abril 2016	30	Maestrazgo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Abril 2016	30	Maestrazgo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	9
Abril 2016	31	Sierra de Albarracín	Españoles	ESPAÑA	Españoles	Españoles	Hombres	95
Abril 2016	31	Sierra de Albarracín	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Abril 2016	31	Sierra de Albarracín	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	31	Sierra de Albarracín	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	13
Abril 2016	31	Sierra de Albarracín	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	81
Abril 2016	31	Sierra de Albarracín	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	1
Abril 2016	31	Sierra de Albarracín	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2
Abril 2016	31	Sierra de Albarracín	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4
Abril 2016	32	Gúdar-Javalambre	Españoles	ESPAÑA	Españoles	Españoles	Hombres	156
Abril 2016	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	24
Abril 2016	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
Abril 2016	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	32	Gúdar-Javalambre	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	30
Abril 2016	32	Gúdar-Javalambre	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	194
Abril 2016	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	27
Abril 2016	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2
Abril 2016	32	Gúdar-Javalambre	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	30
Abril 2016	33	Matarraña / Matarranya	Españoles	ESPAÑA	Españoles	Españoles	Hombres	121
Abril 2016	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14
Abril 2016	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Abril 2016	33	Matarraña / Matarranya	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	20
Abril 2016	33	Matarraña / Matarranya	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	136
Abril 2016	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	14
Abril 2016	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2
Abril 2016	33	Matarraña / Matarranya	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	15
Marzo 2016	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Hombres	367
Marzo 2016	01	La Jacetania	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	16
Marzo 2016	01	La Jacetania	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	7
Marzo 2016	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	16
Marzo 2016	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	404
Marzo 2016	01	La Jacetania	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Marzo 2016	01	La Jacetania	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	8
Marzo 2016	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	26
Marzo 2016	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Hombres	259
Marzo 2016	02	Alto Gállego	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	27
Marzo 2016	02	Alto Gállego	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	15
Marzo 2016	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	34
Marzo 2016	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	253
Marzo 2016	02	Alto Gállego	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	22
Marzo 2016	02	Alto Gállego	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	8
Marzo 2016	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	34
Marzo 2016	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Hombres	134
Marzo 2016	03	Sobrarbe	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14
Marzo 2016	03	Sobrarbe	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Marzo 2016	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	6
Marzo 2016	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	96
Marzo 2016	03	Sobrarbe	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	18
Marzo 2016	03	Sobrarbe	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	8
Marzo 2016	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	1
Marzo 2016	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	170
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	38
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	6
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Marzo 2016	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	16
Marzo 2016	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	176
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	32
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	6
Marzo 2016	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Marzo 2016	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5
Marzo 2016	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Hombres	644
Marzo 2016	05	Cinco Villas	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	108
Marzo 2016	05	Cinco Villas	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Marzo 2016	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	93
Marzo 2016	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	960
Marzo 2016	05	Cinco Villas	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	148
Marzo 2016	05	Cinco Villas	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	8
Marzo 2016	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	77
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1585
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	89
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	29
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	222
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	1725
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	105
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	19
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	209
Marzo 2016	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	490
Marzo 2016	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	25
Marzo 2016	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Marzo 2016	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	77
Marzo 2016	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	612
Marzo 2016	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	30
Marzo 2016	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Marzo 2016	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	91
Marzo 2016	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Hombres	531
Marzo 2016	08	Cinca Medio	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	61
Marzo 2016	08	Cinca Medio	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Marzo 2016	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	122
Marzo 2016	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	656
Marzo 2016	08	Cinca Medio	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	74
Marzo 2016	08	Cinca Medio	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	12
Marzo 2016	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	124
Marzo 2016	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Hombres	287
Marzo 2016	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	26
Marzo 2016	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Marzo 2016	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	70
Marzo 2016	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	318
Marzo 2016	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	34
Marzo 2016	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Marzo 2016	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	64
Marzo 2016	10	Los Monegros	Españoles	ESPAÑA	Españoles	Españoles	Hombres	248
Marzo 2016	10	Los Monegros	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	44
Marzo 2016	10	Los Monegros	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Marzo 2016	10	Los Monegros	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	45
Marzo 2016	10	Los Monegros	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	287
Marzo 2016	10	Los Monegros	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	49
Marzo 2016	10	Los Monegros	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Marzo 2016	10	Los Monegros	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	41
Marzo 2016	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	356
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	138
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	11
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	122
Marzo 2016	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	470
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	210
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	43
Marzo 2016	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	101
Marzo 2016	12	Tarazona y el Moncayo	Españoles	ESPAÑA	Españoles	Españoles	Hombres	380
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	17
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	37
Marzo 2016	12	Tarazona y el Moncayo	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	611
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	29
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Marzo 2016	12	Tarazona y el Moncayo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	34
Marzo 2016	13	Campo de Borja	Españoles	ESPAÑA	Españoles	Españoles	Hombres	276
Marzo 2016	13	Campo de Borja	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	44
Marzo 2016	13	Campo de Borja	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Marzo 2016	13	Campo de Borja	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	42
Marzo 2016	13	Campo de Borja	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	360
Marzo 2016	13	Campo de Borja	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	58
Marzo 2016	13	Campo de Borja	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Marzo 2016	13	Campo de Borja	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	36
Marzo 2016	14	Aranda	Españoles	ESPAÑA	Españoles	Españoles	Hombres	181
Marzo 2016	14	Aranda	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	23
Marzo 2016	14	Aranda	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	15
Marzo 2016	14	Aranda	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	255
Marzo 2016	14	Aranda	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	30
Marzo 2016	14	Aranda	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	1
Marzo 2016	14	Aranda	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	10
Marzo 2016	15	Ribera Alta del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	641
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	56
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	12
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	43
Marzo 2016	15	Ribera Alta del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	930
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	85
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	12
Marzo 2016	15	Ribera Alta del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	80
Marzo 2016	16	Valdejalón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	632
Marzo 2016	16	Valdejalón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	246
Marzo 2016	16	Valdejalón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	20
Marzo 2016	16	Valdejalón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	137
Marzo 2016	16	Valdejalón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	871
