Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	22163	Nueno	0 a 15	Mujeres	12
1998	22	22163	Nueno	16 a 64	Mujeres	59
1998	22	22163	Nueno	65 y más	Mujeres	26
1998	22	22164	Olvena	0 a 15	Mujeres	4
1998	22	22164	Olvena	16 a 64	Mujeres	11
1998	22	22164	Olvena	65 y más	Mujeres	16
1998	22	22165	Ontiñena	0 a 15	Mujeres	40
1998	22	22165	Ontiñena	16 a 64	Mujeres	157
1998	22	22165	Ontiñena	65 y más	Mujeres	127
1998	22	22167	Osso de Cinca	0 a 15	Mujeres	55
1998	22	22167	Osso de Cinca	16 a 64	Mujeres	209
1998	22	22167	Osso de Cinca	65 y más	Mujeres	81
1998	22	22168	Palo	16 a 64	Mujeres	4
1998	22	22168	Palo	65 y más	Mujeres	8
1998	22	22170	Panticosa	0 a 15	Mujeres	56
1998	22	22170	Panticosa	16 a 64	Mujeres	210
1998	22	22170	Panticosa	65 y más	Mujeres	57
1998	22	22172	Peñalba	0 a 15	Mujeres	55
1998	22	22172	Peñalba	16 a 64	Mujeres	256
1998	22	22172	Peñalba	65 y más	Mujeres	95
1998	22	22173	Peñas de Riglos (Las)	0 a 15	Mujeres	4
1998	22	22173	Peñas de Riglos (Las)	16 a 64	Mujeres	51
1998	22	22173	Peñas de Riglos (Las)	65 y más	Mujeres	65
1998	22	22174	Peralta de Alcofea	0 a 15	Mujeres	32
1998	22	22174	Peralta de Alcofea	16 a 64	Mujeres	201
1998	22	22174	Peralta de Alcofea	65 y más	Mujeres	133
1998	22	22175	Peralta de Calasanz	0 a 15	Mujeres	5
1998	22	22175	Peralta de Calasanz	16 a 64	Mujeres	58
1998	22	22175	Peralta de Calasanz	65 y más	Mujeres	76
1998	22	22176	Peraltilla	0 a 15	Mujeres	7
1998	22	22176	Peraltilla	16 a 64	Mujeres	43
1998	22	22176	Peraltilla	65 y más	Mujeres	29
1998	22	22177	Perarrúa	0 a 15	Mujeres	4
1998	22	22177	Perarrúa	16 a 64	Mujeres	38
1998	22	22177	Perarrúa	65 y más	Mujeres	29
1998	22	22178	Pertusa	0 a 15	Mujeres	10
1998	22	22178	Pertusa	16 a 64	Mujeres	41
1998	22	22178	Pertusa	65 y más	Mujeres	21
1998	22	22181	Piracés	16 a 64	Mujeres	24
1998	22	22181	Piracés	65 y más	Mujeres	13
1998	22	22182	Plan	0 a 15	Mujeres	14
1998	22	22182	Plan	16 a 64	Mujeres	86
1998	22	22182	Plan	65 y más	Mujeres	38
1998	22	22184	Poleñino	0 a 15	Mujeres	8
1998	22	22184	Poleñino	16 a 64	Mujeres	74
1998	22	22184	Poleñino	65 y más	Mujeres	43
1998	22	22186	Pozán de Vero	0 a 15	Mujeres	13
1998	22	22186	Pozán de Vero	16 a 64	Mujeres	58
1998	22	22186	Pozán de Vero	65 y más	Mujeres	61
1998	22	22187	Puebla de Castro (La)	0 a 15	Mujeres	12
1998	22	22187	Puebla de Castro (La)	16 a 64	Mujeres	82
1998	22	22187	Puebla de Castro (La)	65 y más	Mujeres	52
1998	22	22188	Puente de Montañana	0 a 15	Mujeres	7
1998	22	22188	Puente de Montañana	16 a 64	Mujeres	35
1998	22	22188	Puente de Montañana	65 y más	Mujeres	27
1998	22	22189	Puértolas	0 a 15	Mujeres	11
1998	22	22189	Puértolas	16 a 64	Mujeres	56
1998	22	22189	Puértolas	65 y más	Mujeres	26
1998	22	22190	Pueyo de Araguás (El)	0 a 15	Mujeres	5
1998	22	22190	Pueyo de Araguás (El)	16 a 64	Mujeres	41
1998	22	22190	Pueyo de Araguás (El)	65 y más	Mujeres	17
1998	22	22193	Pueyo de Santa Cruz	0 a 15	Mujeres	19
1998	22	22193	Pueyo de Santa Cruz	16 a 64	Mujeres	103
1998	22	22193	Pueyo de Santa Cruz	65 y más	Mujeres	52
1998	22	22195	Quicena	0 a 15	Mujeres	7
1998	22	22195	Quicena	16 a 64	Mujeres	31
1998	22	22195	Quicena	65 y más	Mujeres	26
1998	22	22197	Robres	0 a 15	Mujeres	33
1998	22	22197	Robres	16 a 64	Mujeres	210
1998	22	22197	Robres	65 y más	Mujeres	90
1998	22	22199	Sabiñánigo	0 a 15	Mujeres	582
1998	22	22199	Sabiñánigo	16 a 64	Mujeres	2791
1998	22	22199	Sabiñánigo	65 y más	Mujeres	888
1998	22	22200	Sahún	0 a 15	Mujeres	16
1998	22	22200	Sahún	16 a 64	Mujeres	85
1998	22	22200	Sahún	65 y más	Mujeres	40
1998	22	22201	Salas Altas	0 a 15	Mujeres	16
1998	22	22201	Salas Altas	16 a 64	Mujeres	99
1998	22	22201	Salas Altas	65 y más	Mujeres	75
1998	22	22203	Salillas	0 a 15	Mujeres	2
1998	22	22203	Salillas	16 a 64	Mujeres	40
1998	22	22203	Salillas	65 y más	Mujeres	18
1998	22	22204	Sallent de Gállego	0 a 15	Mujeres	59
1998	22	22204	Sallent de Gállego	16 a 64	Mujeres	341
1998	22	22204	Sallent de Gállego	65 y más	Mujeres	79
1998	22	22205	San Esteban de Litera	0 a 15	Mujeres	27
1998	22	22205	San Esteban de Litera	16 a 64	Mujeres	180
1998	22	22205	San Esteban de Litera	65 y más	Mujeres	110
1998	22	22206	Sangarrén	0 a 15	Mujeres	12
1998	22	22206	Sangarrén	16 a 64	Mujeres	90
1998	22	22206	Sangarrén	65 y más	Mujeres	41
1998	22	22207	San Juan de Plan	0 a 15	Mujeres	9
1998	22	22207	San Juan de Plan	16 a 64	Mujeres	43
1998	22	22207	San Juan de Plan	65 y más	Mujeres	20
1998	22	22213	Sariñena	0 a 15	Mujeres	308
1998	22	22213	Sariñena	16 a 64	Mujeres	1204
1998	22	22213	Sariñena	65 y más	Mujeres	513
1998	22	22214	Secastilla	0 a 15	Mujeres	10
1998	22	22214	Secastilla	16 a 64	Mujeres	49
1998	22	22214	Secastilla	65 y más	Mujeres	34
1998	22	22215	Seira	0 a 15	Mujeres	16
1998	22	22215	Seira	16 a 64	Mujeres	54
1998	22	22215	Seira	65 y más	Mujeres	33
1998	22	22217	Sena	0 a 15	Mujeres	24
1998	22	22217	Sena	16 a 64	Mujeres	157
1998	22	22217	Sena	65 y más	Mujeres	102
1998	22	22218	Senés de Alcubierre	16 a 64	Mujeres	21
1998	22	22218	Senés de Alcubierre	65 y más	Mujeres	8
1998	22	22220	Sesa	0 a 15	Mujeres	4
1998	22	22220	Sesa	16 a 64	Mujeres	81
1998	22	22220	Sesa	65 y más	Mujeres	46
1998	22	22221	Sesué	0 a 15	Mujeres	11
1998	22	22221	Sesué	16 a 64	Mujeres	37
1998	22	22221	Sesué	65 y más	Mujeres	11
1998	22	22222	Siétamo	0 a 15	Mujeres	13
1998	22	22222	Siétamo	16 a 64	Mujeres	87
1998	22	22222	Siétamo	65 y más	Mujeres	66
1998	22	22223	Sopeira	0 a 15	Mujeres	4
