Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2009	50	Zaragoza	16-64	Mujer	1475,0	0	Sin clasificar
2009	50	Zaragoza	16-64	Mujer	3,0	1	No sabe leer ni escribir
2009	50	Zaragoza	16-64	Mujer	145,0	2	Inferior a graduado escolar o ESO
2009	50	Zaragoza	16-64	Mujer	1182,0	3	Graduado escolar o ESO
2009	50	Zaragoza	16-64	Mujer	2489,0	4	BUP, Bachiller, LOGSE ó superior
2009	50	Zaragoza	65 y más	Hombre	774,0	0	Sin clasificar
2009	50	Zaragoza	65 y más	Hombre	182,0	2	Inferior a graduado escolar o ESO
2009	50	Zaragoza	65 y más	Hombre	481,0	3	Graduado escolar o ESO
2009	50	Zaragoza	65 y más	Hombre	328,0	4	BUP, Bachiller, LOGSE ó superior
2009	50	Zaragoza	65 y más	Mujer	956,0	0	Sin clasificar
2009	50	Zaragoza	65 y más	Mujer	2,0	1	No sabe leer ni escribir
2009	50	Zaragoza	65 y más	Mujer	247,0	2	Inferior a graduado escolar o ESO
2009	50	Zaragoza	65 y más	Mujer	682,0	3	Graduado escolar o ESO
2009	50	Zaragoza	65 y más	Mujer	331,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	0-15	Hombre	220,0	0	Sin clasificar
2010	22	Huesca	0-15	Hombre	5,0	1	No sabe leer ni escribir
2010	22	Huesca	0-15	Hombre	47,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	0-15	Hombre	11,0	3	Graduado escolar o ESO
2010	22	Huesca	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	0-15	Mujer	255,0	0	Sin clasificar
2010	22	Huesca	0-15	Mujer	4,0	1	No sabe leer ni escribir
2010	22	Huesca	0-15	Mujer	40,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	0-15	Mujer	5,0	3	Graduado escolar o ESO
2010	22	Huesca	0-15	Mujer	2,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	16-64	Hombre	399,0	0	Sin clasificar
2010	22	Huesca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2010	22	Huesca	16-64	Hombre	56,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	16-64	Hombre	266,0	3	Graduado escolar o ESO
2010	22	Huesca	16-64	Hombre	627,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	16-64	Mujer	400,0	0	Sin clasificar
2010	22	Huesca	16-64	Mujer	51,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	16-64	Mujer	256,0	3	Graduado escolar o ESO
2010	22	Huesca	16-64	Mujer	724,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	65 y más	Hombre	469,0	0	Sin clasificar
2010	22	Huesca	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2010	22	Huesca	65 y más	Hombre	125,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	65 y más	Hombre	226,0	3	Graduado escolar o ESO
2010	22	Huesca	65 y más	Hombre	154,0	4	BUP, Bachiller, LOGSE ó superior
2010	22	Huesca	65 y más	Mujer	439,0	0	Sin clasificar
2010	22	Huesca	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2010	22	Huesca	65 y más	Mujer	153,0	2	Inferior a graduado escolar o ESO
2010	22	Huesca	65 y más	Mujer	291,0	3	Graduado escolar o ESO
2010	22	Huesca	65 y más	Mujer	165,0	4	BUP, Bachiller, LOGSE ó superior
2010	44	Teruel	0-15	Hombre	117,0	0	Sin clasificar
2010	44	Teruel	0-15	Hombre	3,0	1	No sabe leer ni escribir
2010	44	Teruel	0-15	Hombre	29,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	0-15	Hombre	5,0	3	Graduado escolar o ESO
2010	44	Teruel	0-15	Mujer	136,0	0	Sin clasificar
2010	44	Teruel	0-15	Mujer	21,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	0-15	Mujer	1,0	3	Graduado escolar o ESO
2010	44	Teruel	16-64	Hombre	317,0	0	Sin clasificar
2010	44	Teruel	16-64	Hombre	53,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	16-64	Hombre	217,0	3	Graduado escolar o ESO
2010	44	Teruel	16-64	Hombre	370,0	4	BUP, Bachiller, LOGSE ó superior
2010	44	Teruel	16-64	Mujer	282,0	0	Sin clasificar
2010	44	Teruel	16-64	Mujer	3,0	1	No sabe leer ni escribir
2010	44	Teruel	16-64	Mujer	56,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	16-64	Mujer	216,0	3	Graduado escolar o ESO
2010	44	Teruel	16-64	Mujer	395,0	4	BUP, Bachiller, LOGSE ó superior
2010	44	Teruel	65 y más	Hombre	322,0	0	Sin clasificar
2010	44	Teruel	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2010	44	Teruel	65 y más	Hombre	115,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	65 y más	Hombre	205,0	3	Graduado escolar o ESO
2010	44	Teruel	65 y más	Hombre	121,0	4	BUP, Bachiller, LOGSE ó superior
2010	44	Teruel	65 y más	Mujer	362,0	0	Sin clasificar
2010	44	Teruel	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2010	44	Teruel	65 y más	Mujer	143,0	2	Inferior a graduado escolar o ESO
2010	44	Teruel	65 y más	Mujer	208,0	3	Graduado escolar o ESO
2010	44	Teruel	65 y más	Mujer	89,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	0-15	Hombre	1273,0	0	Sin clasificar
2010	50	Zaragoza	0-15	Hombre	18,0	1	No sabe leer ni escribir
2010	50	Zaragoza	0-15	Hombre	184,0	2	Inferior a graduado escolar o ESO
2010	50	Zaragoza	0-15	Hombre	34,0	3	Graduado escolar o ESO
2010	50	Zaragoza	0-15	Hombre	7,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	0-15	Mujer	1128,0	0	Sin clasificar
2010	50	Zaragoza	0-15	Mujer	17,0	1	No sabe leer ni escribir
2010	50	Zaragoza	0-15	Mujer	164,0	2	Inferior a graduado escolar o ESO
2010	50	Zaragoza	0-15	Mujer	36,0	3	Graduado escolar o ESO
2010	50	Zaragoza	0-15	Mujer	11,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	16-64	Hombre	1377,0	0	Sin clasificar
2010	50	Zaragoza	16-64	Hombre	1,0	1	No sabe leer ni escribir
2010	50	Zaragoza	16-64	Hombre	195,0	2	Inferior a graduado escolar o ESO
2010	50	Zaragoza	16-64	Hombre	1059,0	3	Graduado escolar o ESO
2010	50	Zaragoza	16-64	Hombre	2352,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	16-64	Mujer	1555,0	0	Sin clasificar
2010	50	Zaragoza	16-64	Mujer	2,0	1	No sabe leer ni escribir
2010	50	Zaragoza	16-64	Mujer	161,0	2	Inferior a graduado escolar o ESO
2010	50	Zaragoza	16-64	Mujer	1173,0	3	Graduado escolar o ESO
2010	50	Zaragoza	16-64	Mujer	2775,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	65 y más	Hombre	762,0	0	Sin clasificar
2010	50	Zaragoza	65 y más	Hombre	181,0	2	Inferior a graduado escolar o ESO
