Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2000	02	Aragón	50 a 54	Mujeres	36860	0,1540011062510285715503303064693040407576
2001	02	Aragón	50 a 54	Mujeres	36567	0,15277695204235924514055692665933371835
2002	02	Aragón	50 a 54	Mujeres	36765	0,1536041961833712814174686304217027416834
2003	02	Aragón	50 a 54	Mujeres	37462	0,156516262679762136392253769423577535943
2004	02	Aragón	50 a 54	Mujeres	37637	0,157247412804393986636998962142843086869
2005	02	Aragón	50 a 54	Mujeres	37913	0,158400541000956219022997094660084755758
2006	02	Aragón	50 a 54	Mujeres	38897	0,1625116937017433083991643497215550535363
2007	02	Aragón	50 a 54	Mujeres	40279	0,1682856906859788343319521002245550042776
2008	02	Aragón	50 a 54	Mujeres	41649	0,1740095516616681762479573232268053172412
2009	02	Aragón	50 a 54	Mujeres	43056	0,1798879986637082522157086726897003466863
2010	02	Aragón	50 a 54	Mujeres	44633	0,1864767057868192684212124950798819113167
2011	02	Aragón	50 a 54	Mujeres	46014	0,1922465247703426123526017016244860589099
2012	02	Aragón	50 a 54	Mujeres	84030	0,3510773998446535775196488239993385389272
2013	02	Aragón	50 a 54	Mujeres	47546	0,1986472218614054384951710458868564818736
2014	02	Aragón	50 a 54	Mujeres	47724	0,199390905988173834744111870481309442244
2015	02	Aragón	50 a 54	Mujeres	48338	0,2019561984254535836028178609363325752073
1998	02	Aragón	50 a 54	Hombres	-35339	-0,1476463671677997474231449457492874524235
1999	02	Aragón	50 a 54	Hombres	-36353	-0,1518828598899522968412685195626318446462
2000	02	Aragón	50 a 54	Hombres	-36970	-0,1544606863293685917041701418928423870539
2001	02	Aragón	50 a 54	Hombres	-37090	-0,1549620464148304318719954169003387648317
2002	02	Aragón	50 a 54	Hombres	-37310	-0,1558812065715104721796750877474154574244
2003	02	Aragón	50 a 54	Hombres	-38020	-0,1588475870771596931726412982084356926099
2004	02	Aragón	50 a 54	Hombres	-38333	-0,1601553013000726596103855571863220779805
2005	02	Aragón	50 a 54	Hombres	-38719	-0,1617680095749749121502235251271020931658
2006	02	Aragón	50 a 54	Hombres	-39807	-0,1663136743498289296718393518617359183515
2007	02	Aragón	50 a 54	Hombres	-41446	-0,1731614175170952299640528996724572781671
2008	02	Aragón	50 a 54	Hombres	-43075	-0,1799673806772397102422810078992206065011
2009	02	Aragón	50 a 54	Hombres	-44816	-0,1872412799171485746771460394663138874279
2010	02	Aragón	50 a 54	Hombres	-46553	-0,194498467154208711106416895199823955762
2011	02	Aragón	50 a 54	Hombres	-47639	-0,1990357759276383646252356340176661746514
2012	02	Aragón	50 a 54	Hombres	-85964	-0,3591576532220135682244328395368218274466
2013	02	Aragón	50 a 54	Hombres	-49314	-0,2060339271205432169677967643306364478003
2014	02	Aragón	50 a 54	Hombres	-49244	-0,2057414670706904768698986872429302274299
2015	02	Aragón	50 a 54	Hombres	-49886	-0,2084237435279113217677639085330358485413
1998	02	Aragón	45 a 49	Mujeres	36409	0,1521168279298344889195869812327968209425
1999	02	Aragón	45 a 49	Mujeres	36530	0,1526223660160085110888108001986890018685
2000	02	Aragón	45 a 49	Mujeres	36866	0,1540261742553016635587215702196788596465
2001	02	Aragón	45 a 49	Mujeres	37903	0,1583587609938343990090116550761267242766
2002	02	Aragón	45 a 49	Mujeres	39155	0,1635896178854862647599886909876722657586
2003	02	Aragón	45 a 49	Mujeres	40246	0,1681478166624768282858001495974935003887
2004	02	Aragón	45 a 49	Mujeres	41748	0,1744231737321741943864131751079898289079
2005	02	Aragón	45 a 49	Mujeres	43449	0,1815299529435957787653364483392509839087
2006	02	Aragón	45 a 49	Mujeres	44897	0,1875796979748353167904281000963739424279
2007	02	Aragón	45 a 49	Mujeres	46317	0,1935124589861337587763605210184144127989
2008	02	Aragón	45 a 49	Mujeres	47316	0,1976862816976035781735059354558217577994
2009	02	Aragón	45 a 49	Mujeres	48371	0,2020940724489555896489698115633940790962
2010	02	Aragón	45 a 49	Mujeres	49131	0,2052693529902139107118632199442044716891
2011	02	Aragón	45 a 49	Mujeres	49354	0,2062010471490304970237385226664685737262
2012	02	Aragón	45 a 49	Mujeres	85724	0,358154933051089887888782289521829071891
2013	02	Aragón	45 a 49	Mujeres	50652	0,2116240920734427348390485806642210600231
2014	02	Aragón	45 a 49	Mujeres	50441	0,2107425339231723325439558054427065957638
2015	02	Aragón	45 a 49	Mujeres	50094	0,2092927676760451780586610518793629033562
1998	02	Aragón	45 a 49	Hombres	-37173	-0,1553088204739415379880745654471904261281
1999	02	Aragón	45 a 49	Hombres	-37256	-0,1556555945330526441041537139940420874244
2000	02	Aragón	45 a 49	Hombres	-37846	-0,1581206149532400249292946494475659448321
2001	02	Aragón	45 a 49	Hombres	-39023	-0,163038121791478240575380888479426250203
2002	02	Aragón	45 a 49	Hombres	-40614	-0,1696853209245598048004643262871490589074
2003	02	Aragón	45 a 49	Hombres	-41841	-0,1748117277984071205164777632387995216858
2004	02	Aragón	45 a 49	Hombres	-43782	-0,1829212271807523852310515864850534322422
2005	02	Aragón	45 a 49	Hombres	-45914	-0,191828724699124412212747305784905744095
2006	02	Aragón	45 a 49	Hombres	-47193	-0,1971723876100051920014850285731379705771
2007	02	Aragón	45 a 49	Hombres	-48563	-0,2028962485856945339174902515753882835407
2008	02	Aragón	45 a 49	Hombres	-50295	-0,2101325458191937603397683875169193361341
2009	02	Aragón	45 a 49	Hombres	-51485	-0,2151043666666903420040356980079250824309
2010	02	Aragón	45 a 49	Hombres	-52454	-0,2191528493567947013592247936934583329869
2011	02	Aragón	45 a 49	Hombres	-52796	-0,2205817256003609458375268274648230096537
2012	02	Aragón	45 a 49	Hombres	-89706	-0,3747917318869986174577843318539172078187
2013	02	Aragón	45 a 49	Hombres	-53862	-0,2250354743595469593283746871147491655801
2014	02	Aragón	45 a 49	Hombres	-52932	-0,2211499336972176980277288058066522378019
2015	02	Aragón	45 a 49	Hombres	-52471	-0,2192238753689017953830000409861869865054
1998	02	Aragón	40 a 44	Mujeres	38591	0,1612332254838156159712098984524392902028
1999	02	Aragón	40 a 44	Mujeres	39823	0,1663805223612238416942160551960687687219
2000	02	Aragón	40 a 44	Mujeres	41535	0,1735332595804794280885233119696837583523
2001	02	Aragón	40 a 44	Mujeres	42980	0,179570470609582420109419331851619307427
2002	02	Aragón	40 a 44	Mujeres	44197	0,1846550974763079158114473292193117387239
2003	02	Aragón	40 a 44	Mujeres	45062	0,1882690680923453470211878532316814618724
2004	02	Aragón	40 a 44	Mujeres	46141	0,1927771308607897265302167843407530587248
2005	02	Aragón	40 a 44	Mujeres	47390	0,1979954537503050462769981883771111907624
2006	02	Aragón	40 a 44	Mujeres	47722	0,1993825499867494707413147825645178359477
2007	02	Aragón	40 a 44	Mujeres	48538	0,202791798567889983882526652615493204837
2008	02	Aragón	40 a 44	Mujeres	49894	0,2084571675336087777789522602002022737265
2009	02	Aragón	40 a 44	Mujeres	50886	0,2126017442400933231663078669288389966899
2010	02	Aragón	40 a 44	Mujeres	50859	0,2124889382208644091285471800521523116899
2011	02	Aragón	40 a 44	Mujeres	51273	0,2142186305157077577075443788280148150234
2012	02	Aragón	40 a 44	Mujeres	83652	0,3494981155754487809909992077257249489271
2013	02	Aragón	40 a 44	Mujeres	51920	0,2169217969764895126124023199100994518756
2014	02	Aragón	40 a 44	Mujeres	51213	0,2139679504729768376236317413242666261345
2015	02	Aragón	40 a 44	Mujeres	51409	0,2147868386125645098977463571698440431716
1998	02	Aragón	40 a 44	Hombres	-39610	-0,1654906082095290753963261920577626981662
1999	02	Aragón	40 a 44	Hombres	-41099	-0,1717116512699680754787581461091135857595
2000	02	Aragón	40 a 44	Hombres	-43260	-0,1807403108089933805010116402024441889086
2001	02	Aragón	40 a 44	Hombres	-44878	-0,1875003159613038587638557648868536826131
2002	02	Aragón	40 a 44	Hombres	-46322	-0,1935333489896946687833532408103934285397
2003	02	Aragón	40 a 44	Hombres	-47491	-0,1984174318222354284182511281750873087254
2004	02	Aragón	40 a 44	Hombres	-48998	-0,2047136788954937045258568734775626529853
2005	02	Aragón	40 a 44	Hombres	-50827	-0,2123552421980745850837937733834866109491
2006	02	Aragón	40 a 44	Hombres	-51472	-0,215050052657431975985854626548779641505
2007	02	Aragón	40 a 44	Hombres	-52998	-0,2214256817442217101200327070607752455797
2008	02	Aragón	40 a 44	Hombres	-54601	-0,228123016885849458361898672369247692062
2009	02	Aragón	40 a 44	Hombres	-55563	-0,2321422535709685437072979603460103205809
2010	02	Aragón	40 a 44	Hombres	-55364	-0,2313108314292443254289877126252454940993
2011	02	Aragón	40 a 44	Hombres	-55833	-0,233270313763257684084904829112877170581
2012	02	Aragón	40 a 44	Hombres	-86654	-0,3620404737134191491894281708299259996692
2013	02	Aragón	40 a 44	Hombres	-56724	-0,2369929123978118473310074960435377755814
2014	02	Aragón	40 a 44	Hombres	-55527	-0,2319918455453299916569503778437614072476
2015	02	Aragón	40 a 44	Hombres	-55627	-0,2324096456165481917968047736833417220624
1998	02	Aragón	35 a 39	Mujeres	42411	0,1771931882043508613136478195244073161305
1999	02	Aragón	35 a 39	Mujeres	43070	0,1799464906736788002352882881072415907604
2000	02	Aragón	35 a 39	Mujeres	44386	0,185444739610910314075772137356118533724
2001	02	Aragón	35 a 39	Mujeres	44771	0,1870532698851003846142115613385027457612
2002	02	Aragón	35 a 39	Mujeres	45808	0,1913858566236331200645016461949506103913
2003	02	Aragón	35 a 39	Mujeres	46570	0,1945694931663158051301921424925526092805
2004	02	Aragón	35 a 39	Mujeres	47596	0,198856121897014538565098243806646639281
2005	02	Aragón	35 a 39	Mujeres	47857	0,1999465800828940409301182169479512609478
2006	02	Aragón	35 a 39	Mujeres	48245	0,2015676443592206574727532728055228824294
2007	02	Aragón	35 a 39	Mujeres	49217	0,2056286610514615628321380003662435424299
2008	02	Aragón	35 a 39	Mujeres	50686	0,2117661440976569228865990752496783670602
2009	02	Aragón	35 a 39	Mujeres	51617	0,2156558627606983661886435005161710979865
2010	02	Aragón	35 a 39	Mujeres	52247	0,2182880032093730270697261943055270813201
2011	02	Aragón	35 a 39	Mujeres	52795	0,2205775475996487638361282835064272065056
2012	02	Aragón	35 a 39	Mujeres	83436	0,348595667421617468688913712712231468927
2013	02	Aragón	35 a 39	Mujeres	53624	0,2240411101900476429955212250165480163208
2014	02	Aragón	35 a 39	Mujeres	52676	0,2200803655148991056697015524573266318759
2015	02	Aragón	35 a 39	Mujeres	51719	0,2160820188333409303312949842725430190977
1998	02	Aragón	35 a 39	Hombres	-44031	-0,1839615493580857035792890321256084161312
1999	02	Aragón	35 a 39	Hombres	-44812	-0,1872245679142998466715518636327306748353
2000	02	Aragón	35 a 39	Hombres	-46528	-0,1943940171364041610714532962399288770583
2001	02	Aragón	35 a 39	Hombres	-47659	-0,1991193359418820046532065131855822376143
2002	02	Aragón	35 a 39	Hombres	-49607	-0,2072580813292125433775701441406067702078
2003	02	Aragón	35 a 39	Hombres	-50251	-0,2099487137878577522782324533475039976155
2004	02	Aragón	35 a 39	Hombres	-51416	-0,2148160846175497839075361648786146652087
2005	02	Aragón	35 a 39	Hombres	-52388	-0,2188771013097906892669208924393353252091
2006	02	Aragón	35 a 39	Hombres	-53235	-0,222415867913008844451487625200580591691
2007	02	Aragón	35 a 39	Hombres	-54588	-0,228068702876591092343717600910102251136
2008	02	Aragón	35 a 39	Hombres	-57228	-0,2390986247567515760358736510750225622483
2009	02	Aragón	35 a 39	Hombres	-58592	-0,244797417728167825943487610326898056323
2010	02	Aragón	35 a 39	Hombres	-58931	-0,2462137599695975244175940122230753235454
2011	02	Aragón	35 a 39	Hombres	-59095	-0,2468989520863953726469552213999870398418
2012	02	Aragón	35 a 39	Hombres	-89816	-0,3752513119653386376116241672774555541151
2013	02	Aragón	35 a 39	Hombres	-59846	-0,2500366306212440556972617341552352041014
2014	02	Aragón	35 a 39	Hombres	-57714	-0,2411291331028720287155660148553828922486
2015	02	Aragón	35 a 39	Hombres	-56009	-0,2340056418886017163310485657905385246552
1998	02	Aragón	30 a 34	Mujeres	43253	0,1807110648040081064912218324936735668716
1999	02	Aragón	30 a 34	Mujeres	43268	0,1807737348146908365121999918696106140938
2000	02	Aragón	30 a 34	Mujeres	43806	0,1830214991978447532646166414865527077978
2001	02	Aragón	30 a 34	Mujeres	44225	0,184772081496249011850606560054394226872
2002	02	Aragón	30 a 34	Mujeres	45293	0,1892341862568593893442515076211119890947
2003	02	Aragón	30 a 34	Mujeres	45769	0,1912229145958580220099584318175142876135
2004	02	Aragón	30 a 34	Mujeres	47112	0,1968339695523184498882029679430779155771
2005	02	Aragón	30 a 34	Mujeres	48529	0,2027541965614803458699397569899309765036
2006	02	Aragón	30 a 34	Mujeres	49325	0,2060798851283772189831807478729902824299
2007	02	Aragón	30 a 34	Mujeres	50710	0,2118664161147492909201641302511776426157
2008	02	Aragón	30 a 34	Mujeres	52338	0,2186682012741815891969936945195451678017
2009	02	Aragón	30 a 34	Mujeres	53388	0,2230551020219726906654648508351384733577
2010	02	Aragón	30 a 34	Mujeres	52906	0,2210413056787009659913666628883613559501
2011	02	Aragón	30 a 34	Mujeres	51850	0,2166293369266367725145042428223932315052
2012	02	Aragón	30 a 34	Mujeres	74548	0,3114615970917438402586550104903330881822
2013	02	Aragón	30 a 34	Mujeres	48645	0,2032388446440934580321708561638441416889
2014	02	Aragón	30 a 34	Mujeres	45002	0,1880183880496144269372752157279332729835
2015	02	Aragón	30 a 34	Mujeres	42425	0,1772516802143214093332274349419485602046
1998	02	Aragón	30 a 34	Hombres	-45341	-0,1894347302910441254113816176241105402059
1999	02	Aragón	30 a 34	Hombres	-45120	-0,188511392133651903102303402818638044465
2000	02	Aragón	30 a 34	Hombres	-45896	-0,1917535206863051361875735145337812874284
2001	02	Aragón	30 a 34	Hombres	-47495	-0,198434143825084156423845304008670521318
2002	02	Aragón	30 a 34	Hombres	-49288	-0,2059252991020264849314346214123455659484
2003	02	Aragón	30 a 34	Hombres	-50893	-0,2126309902450785971760976746376096187269
2004	02	Aragón	30 a 34	Hombres	-52793	-0,2205691915982243998333311955896356002093
2005	02	Aragón	30 a 34	Hombres	-55112	-0,2302579752497744610765546351095031007659
2006	02	Aragón	30 a 34	Hombres	-55893	-0,23352099380598860416881746661662535947I5
2007	02	Aragón	30 a 34	Hombres	-57749	-0,2412753631277983987645150533992360024338
2008	02	Aragón	30 a 34	Hombres	-60103	-0,2511103768042748300566875314629566131756
2009	02	Aragón	30 a 34	Hombres	-61446	-0,2567214317607352579349320675885202411392
2010	02	Aragón	30 a 34	Hombres	-59712	-0,2494767785258116675098568437301975822495
2011	02	Aragón	30 a 34	Hombres	-57728	-0,2411876251128425767351456302729241363226
2012	02	Aragón	30 a 34	Hombres	-79860	-0,3336551368748546316877205174888394111476
2013	02	Aragón	30 a 34	Hombres	-52684	-0,2201137895205965616808899041244930570611
2014	02	Aragón	30 a 34	Hombres	-48029	-0,2006651962053893451706677777920294024293
2015	02	Aragón	30 a 34	Hombres	-45369	-0,189551714310985221450540848459193028354
1998	02	Aragón	25 a 29	Mujeres	42047	0,1756723959451166128045778186683349702044
1999	02	Aragón	25 a 29	Mujeres	42296	0,1767127181224499311528152643088899540934
2000	02	Aragón	25 a 29	Mujeres	43524	0,1818433029970094288702272452189362200199
2001	02	Aragón	25 a 29	Mujeres	44451	0,1857163096572021441666774946518457383536
2002	02	Aragón	25 a 29	Mujeres	45854	0,1915780446563934921288346682811575552061
2003	02	Aragón	25 a 29	Mujeres	46687	0,1950583192496410992938217856248615776139
2004	02	Aragón	25 a 29	Mujeres	47657	0,1991109799404576406504094252687906313181
2005	02	Aragón	25 a 29	Mujeres	48120	0,2010453942701979072979352780060474889109
2006	02	Aragón	25 a 29	Mujeres	47565	0,1987266038749368965217433810963767416884
2007	02	Aragón	25 a 29	Mujeres	47245	0,1973896436470386560742093144097197342808
2008	02	Aragón	25 a 29	Mujeres	47210	0,1972434136221122860252602758658666240956
2009	02	Aragón	25 a 29	Mujeres	45947	0,1919665987226264182588992564119672479839
2010	02	Aragón	25 a 29	Mujeres	43764	0,1828460231679331092058777952339289755755
2011	02	Aragón	25 a 29	Mujeres	41662	0,1740638656709265422661383946859507581672
2012	02	Aragón	25 a 29	Mujeres	57538	0,2403938049775279964694222781777215381744
2013	02	Aragón	25 a 29	Mujeres	39086	0,1633013358363457066634891578583618485364
2014	02	Aragón	25 a 29	Mujeres	36840	0,1539175462367849315223594273013879777946
2015	02	Aragón	25 a 29	Mujeres	35298	0,1474750691386002853658046434550595233494
1998	02	Aragón	25 a 29	Hombres	-44198	-0,184659275477020097812845873177707541872
1999	02	Aragón	25 a 29	Hombres	-44751	-0,1869697098708567445862406821705866827982
2000	02	Aragón	25 a 29	Hombres	-46278	-0,1933495169583586607218173066409780900211
2001	02	Aragón	25 a 29	Hombres	-48157	-0,2011999802965486413496814044666922053924
2002	02	Aragón	25 a 29	Hombres	-50703	-0,2118371701097640169103743225424070205787
2003	02	Aragón	25 a 29	Hombres	-51559	-0,2154135387193918101075279509292145153939
2004	02	Aragón	25 a 29	Hombres	-52912	-0,221066373682974057999757926638736174839
2005	02	Aragón	25 a 29	Hombres	-53774	-0,2246678102968749432053028187759184885431
2006	02	Aragón	25 a 29	Hombres	-52721	-0,2202683755469472957326360305851377735426
2007	02	Aragón	25 a 29	Hombres	-52028	-0,2173730210534051687634450674168461918756
2008	02	Aragón	25 a 29	Hombres	-52598	-0,2197544814593489095606151237024539863203
2009	02	Aragón	25 a 29	Hombres	-51190	-0,2138718564565966515914652302811631537271
2010	02	Aragón	25 a 29	Hombres	-48228	-0,2014966183471135634489780255127942289109
2011	02	Aragón	25 a 29	Hombres	-45328	-0,18938041628178575939320054616496509928I5
2012	02	Aragón	25 a 29	Hombres	-62654	-0,2617684566210511156243731693306504441027
2013	02	Aragón	25 a 29	Hombres	-41197	-0,1721210953397619116158154540319022942781
2014	02	Aragón	25 a 29	Hombres	-38258	-0,1598419512466590095054947603066368418693
2015	02	Aragón	25 a 29	Hombres	-36593	-0,1528855800608759771769190695776246002019
1998	02	Aragón	20 a 24	Mujeres	42152	0,17611108601989572295142493429989430076
1999	02	Aragón	20 a 24	Mujeres	41914	0,1751167218503964066185714722016931515006
2000	02	Aragón	20 a 24	Mujeres	41667	0,1740847556744874522731311144779297739079
2001	02	Aragón	20 a 24	Mujeres	41088	0,1716656932621340734633741625667597511299
2002	02	Aragón	20 a 24	Mujeres	40457	0,1690293748127472305808929248190079646481
2003	02	Aragón	20 a 24	Mujeres	39724	0,1659669002907178235557602033148842570552
2004	02	Aragón	20 a 24	Mujeres	38515	0,1609156974296897838649205576143582509435
2005	02	Aragón	20 a 24	Mujeres	37713	0,1575649408585198187432883029809241261283
2006	02	Aragón	20 a 24	Mujeres	36553	0,1527184600323886971209773112417924742759
2007	02	Aragón	20 a 24	Mujeres	36307	0,1516906718571919247769354974764248998314
2008	02	Aragón	20 a 24	Mujeres	36800	0,1537504262082976514664176689655558518687
2009	02	Aragón	20 a 24	Mujeres	36910	0,154210006286637671620257504389094198165
2010	02	Aragón	20 a 24	Mujeres	35892	0,1499568015616363941965397547421665933497
2011	02	Aragón	20 a 24	Mujeres	34435	0,1438694545239872181588612073594814064972
2012	02	Aragón	20 a 24	Mujeres	50100	0,2093178356803182700670523156297377222451
2013	02	Aragón	20 a 24	Mujeres	32556	0,136018991185797237530997109533767291126
2014	02	Aragón	20 a 24	Mujeres	30938	0,1292589860334867592681529848493577974215
2015	02	Aragón	20 a 24	Mujeres	30295	0,126572531575553732368889219600856373162
1998	02	Aragón	20 a 24	Hombres	-44661	-0,1865936898067603644603717259149643994648
1999	02	Aragón	20 a 24	Hombres	-44552	-0,1861382877291325263079304344498218563166
2000	02	Aragón	20 a 24	Hombres	-43944	-0,1835980632961258694576157077451735422423
2001	02	Aragón	20 a 24	Hombres	-43572	-0,182043847031194164937357355221934771131
2002	02	Aragón	20 a 24	Hombres	-43164	-0,1803392227406239083667514201964470866864
2003	02	Aragón	20 a 24	Hombres	-42338	-0,1768881941523615752115541105615136863156
2004	02	Aragón	20 a 24	Hombres	-41000	-0,1712980291994620573403022942279290740928
2005	02	Aragón	20 a 24	Hombres	-40582	-0,1695516249017699807557109196184833581667
2006	02	Aragón	20 a 24	Hombres	-39272	-0,164078443968811558923618334119981234092
2007	02	Aragón	20 a 24	Hombres	-38726	-0,1617972555799601861600133328358727152029
2008	02	Aragón	20 a 24	Hombres	-39565	-0,1653025981774808853333917139299515564995
2009	02	Aragón	20 a 24	Hombres	-39318	-0,1642706320015719309879513562061881789068
2010	02	Aragón	20 a 24	Hombres	-37684	-0,157443778837866540702730528187445834832
2011	02	Aragón	20 a 24	Hombres	-35853	-0,1497938595338612961419965403647302705719
2012	02	Aragón	20 a 24	Hombres	-53380	-0,2230216780162752346542764991679720481725
2013	02	Aragón	20 a 24	Hombres	-33733	-0,1409364980240354531770833485656275964969
2014	02	Aragón	20 a 24	Hombres	-32238	-0,1346903869593233610862601307639018900147
2015	02	Aragón	20 a 24	Hombres	-31327	-0,1308842283105255578121865846653252220513
1998	02	Aragón	15 a 19	Mujeres	35631	0,1488663433757568918315197816008619716829
1999	02	Aragón	15 a 19	Mujeres	33960	0,1418849041857007674945528271214749111266
2000	02	Aragón	15 a 19	Mujeres	32572	0,1360858391971921495533738128681001414964
2001	02	Aragón	15 a 19	Mujeres	31168	0,1302199261972886195898180952803925214957
2002	02	Aragón	15 a 19	Mujeres	30437	0,1271658076766835765674824616930604201991
2003	02	Aragón	15 a 19	Mujeres	29842	0,1246798972529352857353488064475575470507
2004	02	Aragón	15 a 19	Mujeres	29733	0,1242244951753074475829075149824150039025
2005	02	Aragón	15 a 19	Mujeres	29567	0,1235309470570852353507492178887116813098
2006	02	Aragón	15 a 19	Mujeres	29170	0,1218722807743489807955272664055778314948
2007	02	Aragón	15 a 19	Mujeres	29233	0,1221354948192164468836355357845134298282
2008	02	Aragón	15 a 19	Mujeres	29887	0,1248679072849834757982832845753686887173
2009	02	Aragón	15 a 19	Mujeres	29592	0,1236353970748897853857128168486067600135
2010	02	Aragón	15 a 19	Mujeres	29350	0,1226243209025417410472651789168223981615
2011	02	Aragón	15 a 19	Mujeres	29074	0,1214711927059795086612670463995807292725
2012	02	Aragón	15 a 19	Mujeres	47496	0,1984383218257963384252438479670663244661
2013	02	Aragón	15 a 19	Mujeres	28415	0,1187178902366515697396265778167464546426
2014	02	Aragón	15 a 19	Mujeres	27796	0,1161317077958109108739278675697443059386
2015	02	Aragón	15 a 19	Mujeres	27587	0,1152585056469648725816321802650214479756
1998	02	Aragón	15 a 19	Hombres	-37684	-0,157443778837866540702730528187445834832
1999	02	Aragón	15 a 19	Hombres	-35924	-0,1500904975844262182412931614108322940905
2000	02	Aragón	15 a 19	Hombres	-34704	-0,1449933367155641765350695321679524533492
2001	02	Aragón	15 a 19	Hombres	-33381	-0,1394658417733473886847958752103048883486
2002	02	Aragón	15 a 19	Hombres	-32478	-0,1356931071302470414219106807788946455704
2003	02	Aragón	15 a 19	Hombres	-31719	-0,1325220045897009023604158163564800561256
2004	02	Aragón	15 a 19	Hombres	-31406	-0,1312142903667879359226715573785936707551
2005	02	Aragón	15 a 19	Hombres	-31240	-0,1305207422485657236905132602848903481624
2006	02	Aragón	15 a 19	Hombres	-30798	-0,1286740659337812790723568306739453566807
2007	02	Aragón	15 a 19	Hombres	-30687	-0,1282103078547290769171184512920112072362
2008	02	Aragón	15 a 19	Hombres	-31502	-0,1316153784351574080569317773845907729773
2009	02	Aragón	15 a 19	Hombres	-31341	-0,1309427203204961058317662000828664661254
2010	02	Aragón	15 a 19	Hombres	-30845	-0,1288704319672538331380883967185481046437
2011	02	Aragón	15 a 19	Hombres	-30444	-0,1271950536816688505772722694018310422361
2012	02	Aragón	15 a 19	Hombres	-49390	-0,2063514551746690490740861051687174870596
2013	02	Aragón	15 a 19	Hombres	-30116	-0,1258246694480731541185498510480076096434
2014	02	Aragón	15 a 19	Hombres	-29670	-0,1239612811304399814947992456034794055691
2015	02	Aragón	15 a 19	Hombres	-29554	-0,1234766330478268693325681464295662403839
1998	02	Aragón	10 a 14	Mujeres	27682	0,1156554157146221627144938563126227470497
1999	02	Aragón	10 a 14	Mujeres	27418	0,1145524235266061143452782512961307159384
2000	02	Aragón	10 a 14	Mujeres	27017	0,1128770452410211317844621239794136535309
2001	02	Aragón	10 a 14	Mujeres	26322	0,1099733347460546408124740728943304655676
2002	02	Aragón	10 a 14	Mujeres	26197	0,109451084657031890637656078094855072049
2003	02	Aragón	10 a 14	Mujeres	26446	0,110491406834365208985893523735410055938
2004	02	Aragón	10 a 14	Mujeres	26494	0,1106919508685499450530236337384086070491
2005	02	Aragón	10 a 14	Mujeres	26740	0,1117197390437467173970654475037761814937
2006	02	Aragón	10 a 14	Mujeres	26957	0,1126263651982902117005494864756654646419
2007	02	Aragón	10 a 14	Mujeres	27144	0,1134076513314682459620772066956806533457
2008	02	Aragón	10 a 14	Mujeres	27409	0,1145148215201964763326913556705684876051
2009	02	Aragón	10 a 14	Mujeres	27572	0,1151958356362821425606540208890844007533
2010	02	Aragón	10 a 14	Mujeres	27614	0,1153713116661937866193928671417081329756
2011	02	Aragón	10 a 14	Mujeres	27856	0,1163823878385418309578405050734924948275
2012	02	Aragón	10 a 14	Mujeres	47386	0,1979787417474563182714040125435279781698
2013	02	Aragón	10 a 14	Mujeres	28622	0,1195827363840732440291251772046777063094
2014	02	Aragón	10 a 14	Mujeres	28894	0,1207191525777867484095291338883361626058
2015	02	Aragón	10 a 14	Mujeres	29402	0,1228415769395752051199894647534041618653
1998	02	Aragón	10 a 14	Hombres	-29146	-0,1217720087572566127619622114040785559392
1999	02	Aragón	10 a 14	Hombres	-28804	-0,1203431325136903682836601776327138792724
2000	02	Aragón	10 a 14	Hombres	-28380	-0,1185716602117251996906775392728933444574
2001	02	Aragón	10 a 14	Hombres	-27768	-0,1160147237758698148347686367346618177905
2002	02	Aragón	10 a 14	Hombres	-27474	-0,1147863915664883064235967129662956922348
2003	02	Aragón	10 a 14	Hombres	-27732	-0,1158643157502312627844210542324129044571
2004	02	Aragón	10 a 14	Hombres	-27840	-0,1163155398271469189354638017391596444572
2005	02	Aragón	10 a 14	Hombres	-27818	-0,1162236238114789149046958346544519751979
2006	02	Aragón	10 a 14	Hombres	-27863	-0,1164116338435271049676303127822631168646
2007	02	Aragón	10 a 14	Hombres	-28203	-0,1178321540856689854431352586368361872351
2008	02	Aragón	10 a 14	Hombres	-28810	-0,1203682005179634602920514413830886981613
2009	02	Aragón	10 a 14	Hombres	-29212	-0,122047756804260624854266112658201563717
2010	02	Aragón	10 a 14	Hombres	-29487	-0,1231967070001106752388657012170474294579
2011	02	Aragón	10 a 14	Hombres	-29807	-0,1245336672280089156863997679037044368655
2012	02	Aragón	10 a 14	Hombres	-50680	-0,2117410760933838308782078114993035481713
2013	02	Aragón	10 a 14	Hombres	-30723	-0,1283607158803676289674660337942601205696
2014	02	Aragón	10 a 14	Hombres	-30661	-0,1281016798362123448807563083737203253844
2015	02	Aragón	10 a 14	Hombres	-30982	-0,1294428180648227673296889190187731359401
1998	02	Aragón	05 a 09	Mujeres	24336	0,1016758253316611860349657715202654133444
1999	02	Aragón	05 a 09	Mujeres	24051	0,1004850951286893156363807433774615161221
2000	02	Aragón	05 a 09	Mujeres	24192	0,101074193229106977833575441511269760011
2001	02	Aragón	05 a 09	Mujeres	24229	0,1012287792554577118853215679719144764925
2002	02	Aragón	05 a 09	Mujeres	24488	0,102310881439912850247544453196427491863
2003	02	Aragón	05 a 09	Mujeres	24779	0,1035266796471578126545207450896062079743
2004	02	Aragón	05 a 09	Mujeres	25092	0,1048343938700707790922650040674925933448
