Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2010	02	Aragón	90 a 94	Hombres	-2782	-0,0116231979812903278907492922571243581494
2011	02	Aragón	90 a 94	Hombres	-3090	-0,0129100222006423843215008314430317277792
2012	02	Aragón	90 a 94	Hombres	-6846	-0,0286025928755979815744319391776683522253
2013	02	Aragón	90 a 94	Hombres	-3826	-0,0159850307248083373508291848223428448166
2014	02	Aragón	90 a 94	Hombres	-4168	-0,0174139069683745818291312185937075214834
2015	02	Aragón	90 a 94	Hombres	-4530	-0,0189263432261844663354041315329882611132
1998	02	Aragón	85 a 89	Mujeres	11540	0,0482141282185802961391972798875683296349
1999	02	Aragón	85 a 89	Mujeres	12197	0,0509590746864838710580406605536109979685
2000	02	Aragón	85 a 89	Mujeres	12869	0,0537666911650701759978622005955907135244
2001	02	Aragón	85 a 89	Mujeres	13195	0,0551287193972415084537875310326225398208
2002	02	Aragón	85 a 89	Mujeres	13292	0,0555339854663231625894462949970154451913
2003	02	Aragón	85 a 89	Mujeres	13169	0,055020091378724776417425388114331657969
2004	02	Aragón	85 a 89	Mujeres	13602	0,0568291656870995830229949220997144211173
2005	02	Aragón	85 a 89	Mujeres	13789	0,0576104518202776172845226423197296098211
2006	02	Aragón	85 a 89	Mujeres	14607	0,0610280564028424944285316002874965850067
2007	02	Aragón	85 a 89	Mujeres	15450	0,0645501110032119216075041572151586388959
2008	02	Aragón	85 a 89	Mujeres	16603	0,0693673458243577692200253412455196687113
2009	02	Aragón	85 a 89	Mujeres	17490	0,0730732324560632044605338323425970611191
2010	02	Aragón	85 a 89	Mujeres	18397	0,0768626791020122797290132026075905164899
2011	02	Aragón	85 a 89	Mujeres	18725	0,0782330633356079761877356209614139490826
2012	02	Aragón	85 a 89	Mujeres	37752	0,1577278828862949167978315173583604489061
2013	02	Aragón	85 a 89	Mujeres	19277	0,0805393197287324409597318859958972868607
2014	02	Aragón	85 a 89	Mujeres	19794	0,0826993460969305356827791124865275144535
2015	02	Aragón	85 a 89	Mujeres	20127	0,084090620334087142148494250632329962787
1998	02	Aragón	85 a 89	Hombres	-6206	-0,0259286724198015006793638058043543374102
1999	02	Aragón	85 a 89	Hombres	-6263	-0,0261668184603958747590808114329151168547
2000	02	Aragón	85 a 89	Hombres	-6591	-0,0275372026939915712178032297867385494475
2001	02	Aragón	85 a 89	Hombres	-6794	-0,0283853368385645175017076533410865885216
2002	02	Aragón	85 a 89	Hombres	-6770	-0,0282850648214721494681425983395873129661
2003	02	Aragón	85 a 89	Hombres	-6695	-0,0279717147680584993632518014599020768549
2004	02	Aragón	85 a 89	Hombres	-6785	-0,0283477348321548794891207577155243601883
2005	02	Aragón	85 a 89	Hombres	-6973	-0,0291331989660450957520470218939353520402
2006	02	Aragón	85 a 89	Hombres	-7472	-0,0312180213214239144499204571334411229664
2007	02	Aragón	85 a 89	Hombres	-8267	-0,0345395318876086055617629040581046257445
2008	02	Aragón	85 a 89	Hombres	-8965	-0,0374557763847116425379465870183752231522
2009	02	Aragón	85 a 89	Hombres	-9653	-0,0403302408746928595001448303946877890785
2010	02	Aragón	85 a 89	Hombres	-10355	-0,0432631973746446244819226891885415990788
2011	02	Aragón	85 a 89	Hombres	-10732	-0,0448383036431372390091737615037593859308
2012	02	Aragón	85 a 89	Hombres	-21796	-0,091063703522718902482664117194925417047
2013	02	Aragón	85 a 89	Hombres	-11300	-0,0472114080476566158035467298725755740792
2014	02	Aragón	85 a 89	Hombres	-11553	-0,0482684422278386621573783513467137705608
2015	02	Aragón	85 a 89	Hombres	-11931	-0,049847726497043458686027967620327360561
1998	02	Aragón	80 a 84	Mujeres	19111	0,079845771610510228727573588902193964268
1999	02	Aragón	80 a 84	Mujeres	19839	0,0828873561289787257457135906143386561202
2000	02	Aragón	80 a 84	Mujeres	20305	0,0848343044608555383974350752267829231574
2001	02	Aragón	80 a 84	Mujeres	21470	0,0897016752905475700267387867578935907505
2002	02	Aragón	80 a 84	Mujeres	22469	0,093875498002017389423884201195300935751
2003	02	Aragón	80 a 84	Mujeres	23856	0,0996703849898138253636646714902799022331
2004	02	Aragón	80 a 84	Mujeres	25004	0,1044667298073987629691931357286619163077
2005	02	Aragón	80 a 84	Mujeres	26221	0,1095513566741242586712211330963543476046
2006	02	Aragón	80 a 84	Mujeres	26297	0,1098688847282500907775104739344353868639
2007	02	Aragón	80 a 84	Mujeres	26720	0,1116361790295030773690945683358601185307
2008	02	Aragón	80 a 84	Mujeres	26799	0,1119662410857654554795795410491285672345
2009	02	Aragón	80 a 84	Mujeres	27257	0,1138797654119448121201126739944064090865
2010	02	Aragón	80 a 84	Mujeres	27596	0,1152961076533745105942190758905836763089
2011	02	Aragón	80 a 84	Mujeres	28358	0,1184797441960571956599095721881856751981
2012	02	Aragón	80 a 84	Mujeres	56586	0,2364163482995307311380084297849169411369
2013	02	Aragón	80 a 84	Mujeres	29201	0,1220017987964266228388821291158477290874
2014	02	Aragón	80 a 84	Mujeres	29507	0,1232802670143543152668365803849634924209
2015	02	Aragón	80 a 84	Mujeres	29428	0,1229502049580919371563516076716950437171
1998	02	Aragón	80 a 84	Hombres	-11558	-0,0482893322313995721643710711386927863016
1999	02	Aragón	80 a 84	Hombres	-11908	-0,0497516324806632726538614565772238881536
2000	02	Aragón	80 a 84	Hombres	-12229	-0,0510927707092736951027940672222766987093
2001	02	Aragón	80 a 84	Hombres	-13104	-0,0547485213324329463265200308186044533393
2002	02	Aragón	80 a 84	Hombres	-14151	-0,0591228880780875017907955552590103494509
2003	02	Aragón	80 a 84	Hombres	-15196	-0,0634888988223176932522739917826246392662
2004	02	Aragón	80 a 84	Hombres	-16279	-0,0680136735936108007668970987252794487111
2005	02	Aragón	80 a 84	Hombres	-17302	-0,0722877683221729881976075681641860692672
2006	02	Aragón	80 a 84	Hombres	-17724	-0,0740508846227137927877931186072149977859
2007	02	Aragón	80 a 84	Hombres	-17940	-0,074953332776545105089878613620708477786
2008	02	Aragón	80 a 84	Hombres	-18376	-0,0767749410870564576996437794812786503788
2009	02	Aragón	80 a 84	Hombres	-18667	-0,07799073929430142010662007137445736649I5
2010	02	Aragón	80 a 84	Hombres	-19053	-0,0796034475692036726464580393152373816754
2011	02	Aragón	80 a 84	Hombres	-19493	-0,0814417678825637532618173810093907668608
2012	02	Aragón	80 a 84	Hombres	-39644	-0,1656326602337432634438766866432200052033
2013	02	Aragón	80 a 84	Hombres	-20422	-0,0853231305441808325610647183590918914908
