Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	9	Ocupaciones elementales	Hombres	24
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	9	Ocupaciones elementales	Mujeres	56
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	1	Directores y gerentes	Hombres	2
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	2	Técnicos y profesionales científicos e intelectuales	Hombres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	3	Técnicos; profesionales de apoyo	Hombres	25
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	3	Técnicos; profesionales de apoyo	Mujeres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	21
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	47
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	27
