Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27_2007	109	Finlandia	07	Somontano de Barbastro	Hombre	1,0
2009	1	Europa	01	UE-27_2007	109	Finlandia	17	D.C. Zaragoza	Hombre	18,0
2009	1	Europa	01	UE-27_2007	109	Finlandia	26	Cuencas Mineras	Hombre	1,0
2009	1	Europa	01	UE-27_2007	109	Finlandia	29	Comunidad de Teruel	Hombre	4,0
2009	1	Europa	01	UE-27_2007	110	Francia	01	La Jacetania	Hombre	113,0
2009	1	Europa	01	UE-27_2007	110	Francia	02	Alto Gállego	Hombre	64,0
2009	1	Europa	01	UE-27_2007	110	Francia	03	Sobrarbe	Hombre	99,0
2009	1	Europa	01	UE-27_2007	110	Francia	04	La Ribagorza	Hombre	89,0
2009	1	Europa	01	UE-27_2007	110	Francia	05	Cinco Villas	Hombre	131,0
2009	1	Europa	01	UE-27_2007	110	Francia	06	Hoya de Huesca / Plana de Uesca	Hombre	213,0
2009	1	Europa	01	UE-27_2007	110	Francia	07	Somontano de Barbastro	Hombre	113,0
2009	1	Europa	01	UE-27_2007	110	Francia	08	Cinca Medio	Hombre	59,0
2009	1	Europa	01	UE-27_2007	110	Francia	09	La Litera / La Llitera	Hombre	58,0
2009	1	Europa	01	UE-27_2007	110	Francia	10	Los Monegros	Hombre	60,0
2009	1	Europa	01	UE-27_2007	110	Francia	11	Bajo Cinca / Baix Cinca	Hombre	55,0
2009	1	Europa	01	UE-27_2007	110	Francia	12	Tarazona y el Moncayo	Hombre	11,0
2009	1	Europa	01	UE-27_2007	110	Francia	13	Campo de Borja	Hombre	39,0
2009	1	Europa	01	UE-27_2007	110	Francia	14	Aranda	Hombre	1,0
2009	1	Europa	01	UE-27_2007	110	Francia	15	Ribera Alta del Ebro	Hombre	44,0
2009	1	Europa	01	UE-27_2007	110	Francia	16	Valdejalón	Hombre	27,0
2009	1	Europa	01	UE-27_2007	110	Francia	17	D.C. Zaragoza	Hombre	903,0
2009	1	Europa	01	UE-27_2007	110	Francia	18	Ribera Baja del Ebro	Hombre	56,0
2009	1	Europa	01	UE-27_2007	110	Francia	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	45,0
2009	1	Europa	01	UE-27_2007	110	Francia	20	Comunidad de Calatayud	Hombre	74,0
2009	1	Europa	01	UE-27_2007	110	Francia	21	Campo de Cariñena	Hombre	23,0
2009	1	Europa	01	UE-27_2007	110	Francia	22	Campo de Belchite	Hombre	43,0
2009	1	Europa	01	UE-27_2007	110	Francia	23	Bajo Martín	Hombre	34,0
2009	1	Europa	01	UE-27_2007	110	Francia	24	Campo de Daroca	Hombre	19,0
2009	1	Europa	01	UE-27_2007	110	Francia	25	Jiloca	Hombre	50,0
2009	1	Europa	01	UE-27_2007	110	Francia	26	Cuencas Mineras	Hombre	38,0
2009	1	Europa	01	UE-27_2007	110	Francia	27	Andorra-Sierra de Arcos	Hombre	34,0
2009	1	Europa	01	UE-27_2007	110	Francia	28	Bajo Aragón	Hombre	105,0
2009	1	Europa	01	UE-27_2007	110	Francia	29	Comunidad de Teruel	Hombre	167,0
