Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	Código	Municipio
2003,0	80	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2003,0	113	Menos de 10 trabajadores	Leves	1	44216	Teruel
2003,0	68	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2003,0	43	Menos de 10 trabajadores	Leves	1	50074	Caspe
2003,0	103	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2003,0	98	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2003,0	74	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2003,0	70	Menos de 10 trabajadores	Leves	1	50272	Utebo
2003,0	1624	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2019,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2019,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2019,0	3	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2019,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2019,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2019,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2019,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2019,0	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2015,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2015,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2015,0	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2014,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2014,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2014,0	3	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2014,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2014,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2014,0	12	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2013,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2013,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2013,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2013,0	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2012,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2012,0	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2011,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2011,0	4	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2011,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2011,0	3	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2010,0	5	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2010,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2010,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2010,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2010,0	5	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2009,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2009,0	6	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2009,0	15	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2008,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2008,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2008,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2008,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2008,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2008,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2008,0	11	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2007,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2007,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2007,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2007,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2007,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2007,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2007,0	4	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2007,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2007,0	16	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2006,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2006,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2006,0	3	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2006,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2006,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2006,0	19	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2005,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2005,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2005,0	2	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2005,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2005,0	22	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2004,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2004,0	2	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2004,0	3	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2004,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2004,0	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2004,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2004,0	15	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2003,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2003,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2003,0	5	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2003,0	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2003,0	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2003,0	2	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2003,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2003,0	4	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2003,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2003,0	2	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2003,0	17	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2019,0	1	Menos de 10 trabajadores	Mortales	3	50074	Caspe
2019,0	4	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2015,0	1	Menos de 10 trabajadores	Mortales	3	22112	Fraga
2015,0	1	Menos de 10 trabajadores	Mortales	3	50074	Caspe
2015,0	2	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2014,0	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2013,0	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2013,0	3	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2012,0	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2012,0	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2011,0	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2011,0	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2011,0	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2011,0	2	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2010,0	1	Menos de 10 trabajadores	Mortales	3	22158	Monzón
2010,0	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2010,0	3	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2009,0	1	Menos de 10 trabajadores	Mortales	3	22048	Barbastro
2009,0	1	Menos de 10 trabajadores	Mortales	3	22125	Huesca
2009,0	2	Menos de 10 trabajadores	Mortales	3	50089	Cuarte de Huerva
2009,0	4	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2008,0	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2008,0	5	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2007,0	1	Menos de 10 trabajadores	Mortales	3	22048	Barbastro
2007,0	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2007,0	1	Menos de 10 trabajadores	Mortales	3	44216	Teruel
2007,0	2	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2007,0	4	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2006,0	1	Menos de 10 trabajadores	Mortales	3	22125	Huesca
2006,0	1	Menos de 10 trabajadores	Mortales	3	44216	Teruel
2006,0	2	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2005,0	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2005,0	1	Menos de 10 trabajadores	Mortales	3	44013	Alcañiz
2005,0	1	Menos de 10 trabajadores	Mortales	3	50251	Tarazona
2005,0	3	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2004,0	1	Menos de 10 trabajadores	Mortales	3	22112	Fraga
2004,0	1	Menos de 10 trabajadores	Mortales	3	22125	Huesca
2004,0	3	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2004,0	1	Menos de 10 trabajadores	Mortales	3	22158	Monzón
2004,0	1	Menos de 10 trabajadores	Mortales	3	44216	Teruel
2004,0	5	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2003,0	1	Menos de 10 trabajadores	Mortales	3	22048	Barbastro
2003,0	1	Menos de 10 trabajadores	Mortales	3	44013	Alcañiz
2003,0	1	Menos de 10 trabajadores	Mortales	3	44216	Teruel
2003,0	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2003,0	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2003,0	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2019,0	32	De 10 a 19 trabajadores	Leves	1	22048	Barbastro
2019,0	48	De 10 a 19 trabajadores	Leves	1	22112	Fraga
2019,0	116	De 10 a 19 trabajadores	Leves	1	22125	Huesca
2019,0	21	De 10 a 19 trabajadores	Leves	1	22130	Jaca
2019,0	54	De 10 a 19 trabajadores	Leves	1	22158	Monzón
2019,0	19	De 10 a 19 trabajadores	Leves	1	44013	Alcañiz
2019,0	55	De 10 a 19 trabajadores	Leves	1	44216	Teruel
2019,0	33	De 10 a 19 trabajadores	Leves	1	50067	Calatayud
2019,0	14	De 10 a 19 trabajadores	Leves	1	50074	Caspe
2019,0	42	De 10 a 19 trabajadores	Leves	1	50089	Cuarte de Huerva
2019,0	22	De 10 a 19 trabajadores	Leves	1	50095	Ejea de los Caballeros
2019,0	22	De 10 a 19 trabajadores	Leves	1	50251	Tarazona
2019,0	21	De 10 a 19 trabajadores	Leves	1	50272	Utebo
2019,0	694	De 10 a 19 trabajadores	Leves	1	50297	Zaragoza
2015,0	38	De 10 a 19 trabajadores	Leves	1	22048	Barbastro
2015,0	30	De 10 a 19 trabajadores	Leves	1	22112	Fraga
2015,0	80	De 10 a 19 trabajadores	Leves	1	22125	Huesca
2015,0	15	De 10 a 19 trabajadores	Leves	1	22130	Jaca
2015,0	23	De 10 a 19 trabajadores	Leves	1	22158	Monzón
2015,0	5	De 10 a 19 trabajadores	Leves	1	44013	Alcañiz
2015,0	35	De 10 a 19 trabajadores	Leves	1	44216	Teruel
2015,0	27	De 10 a 19 trabajadores	Leves	1	50067	Calatayud
2015,0	13	De 10 a 19 trabajadores	Leves	1	50074	Caspe
2015,0	37	De 10 a 19 trabajadores	Leves	1	50089	Cuarte de Huerva
2015,0	23	De 10 a 19 trabajadores	Leves	1	50095	Ejea de los Caballeros
2015,0	19	De 10 a 19 trabajadores	Leves	1	50251	Tarazona
2015,0	18	De 10 a 19 trabajadores	Leves	1	50272	Utebo
2015,0	566	De 10 a 19 trabajadores	Leves	1	50297	Zaragoza
2014,0	23	De 10 a 19 trabajadores	Leves	1	22048	Barbastro
2014,0	33	De 10 a 19 trabajadores	Leves	1	22112	Fraga
2014,0	77	De 10 a 19 trabajadores	Leves	1	22125	Huesca
2014,0	19	De 10 a 19 trabajadores	Leves	1	22130	Jaca
2014,0	19	De 10 a 19 trabajadores	Leves	1	22158	Monzón
2014,0	12	De 10 a 19 trabajadores	Leves	1	44013	Alcañiz
