Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2015	Hombres	94	02	Aragón	-434	-0,0018132523090869886069680779437785662965
2015	Mujeres	94	02	Aragón	1225	0,005118050872422951713216349034858856482
1998	Hombres	93	02	Aragón	-279	-0,0011656621986987783901937643924290783335
1998	Mujeres	93	02	Aragón	680	0,0028410404842837609510098917091461407411
1999	Hombres	93	02	Aragón	-339	-0,0014163422414296984741064018961772672224
1999	Mujeres	93	02	Aragón	732	0,0030582965213172250237341775457279044448
2000	Hombres	93	02	Aragón	-339	-0,0014163422414296984741064018961772672224
2000	Mujeres	93	02	Aragón	748	0,0031251445327121370461108808800607548152
2001	Hombres	93	02	Aragón	-366	-0,0015291482606586125118670887728639522224
2001	Mujeres	93	02	Aragón	819	0,0034217825832770591454075019261627783337
2002	Hombres	93	02	Aragón	-371	-0,0015500382642195225188598085648429679631
2002	Mujeres	93	02	Aragón	838	0,0035011645968085171719798371356830381485
2003	Hombres	93	02	Aragón	-319	-0,0013327822271860584461355227282612042594
2003	Mujeres	93	02	Aragón	807	0,0033716465747308751286249744254131405559
2004	Hombres	93	02	Aragón	-364	-0,0015207922592342485090700008560723459261
2004	Mujeres	93	02	Aragón	927	0,0038730066601927152964502494329095183338
2005	Hombres	93	02	Aragón	-372	-0,0015542162649317045202583525232387711113
2005	Mujeres	93	02	Aragón	950	0,0039691006765729013286167604760129907412
2006	Hombres	93	02	Aragón	-445	-0,0018592103169209906223520614861324009261
2006	Mujeres	93	02	Aragón	1025	0,0042824507299865514335075573556982268523
2007	Hombres	93	02	Aragón	-386	-0,0016127082749022525398379679407800151854
2007	Mujeres	93	02	Aragón	1012	0,0042281367207281854153264858965527859264
2008	Hombres	93	02	Aragón	-393	-0,0016419542798875265496277756495506372224
2008	Mujeres	93	02	Aragón	1026	0,0042866287306987334349061013140940300005
2009	Hombres	93	02	Aragón	-409	-0,0017088022912824385720044789838834875928
2009	Mujeres	93	02	Aragón	1001	0,0041821787128941833999425023541989512968
2010	Hombres	93	02	Aragón	-391	-0,0016335982784631625468306877327590309261
2010	Mujeres	93	02	Aragón	1037	0,0043325867385327354502900848564478646301
2011	Hombres	93	02	Aragón	-398	-0,0016628442834484365566204954415296529631
2011	Mujeres	93	02	Aragón	1115	0,0046584707940829315593765136113205101857
2012	Hombres	93	02	Aragón	-840	-0,0035095205982328811747769250524746444448
2012	Mujeres	93	02	Aragón	2464	0,0102945937548164514460123134872589570382
2013	Hombres	93	02	Aragón	-444	-0,001855032316208808620953517527736597778
2013	Mujeres	93	02	Aragón	1271	0,0053102389051833237775493711210658012969
2014	Hombres	93	02	Aragón	-572	-0,002389816407368104799967144202399400741
2014	Mujeres	93	02	Aragón	1462	0,0061082370412100860446712671746642025933
2015	Hombres	93	02	Aragón	-677	-0,0028285064821472149468142598339587312966
2015	Mujeres	93	02	Aragón	1584	0,0066179531280962902152936300989521866674
1998	Hombres	92	02	Aragón	-419	-0,0017505822984042585859899185678415190743
1998	Mujeres	92	02	Aragón	889	0,0037142426331297992433055790138689987041
1999	Hombres	92	02	Aragón	-419	-0,0017505822984042585859899185678415190743
1999	Mujeres	92	02	Aragón	898	0,0037518446395394372558924746394312270374
2000	Hombres	92	02	Aragón	-457	-0,0019093463254671746391345889868820387039
2000	Mujeres	92	02	Aragón	969	0,004048482690104359355189095685533250556
2001	Hombres	92	02	Aragón	-493	-0,0020597543511057266894821714891309520373
2001	Mujeres	92	02	Aragón	1027	0,0042908067314109154363046452724898331486
2002	Hombres	92	02	Aragón	-437	-0,0018257863112235346111637098189659757409
2002	Mujeres	92	02	Aragón	1009	0,0042156027185916394111308540213653764819
2003	Hombres	92	02	Aragón	-449	-0,0018759223197697186279462373197156135187
2003	Mujeres	92	02	Aragón	1153	0,0048172348211458476125211840303610298153
2004	Hombres	92	02	Aragón	-458	-0,0019135243261793566405331329452778418521
2004	Mujeres	92	02	Aragón	1146	0,0047879888161605736027313763215904077783
2005	Hombres	92	02	Aragón	-575	-0,0024023504095046508041627760775868101854
2005	Mujeres	92	02	Aragón	1241	0,0051848988838178637355930523691917068524
2006	Hombres	92	02	Aragón	-487	-0,0020346863468326346810909077387561331484
2006	Mujeres	92	02	Aragón	1223	0,0051096948709985877104192611180672501857
2007	Hombres	92	02	Aragón	-531	-0,0022185183781686427426268419081714716669
2007	Mujeres	92	02	Aragón	1301	0,0054355789265487838195056898729398957413
2008	Hombres	92	02	Aragón	-548	-0,0022895443902757367664020892009001251854
2008	Mujeres	92	02	Aragón	1260	0,0052642808973493217621653875787119666672
2009	Hombres	92	02	Aragón	-500	-0,0020890003560910006992719791979015740743
2009	Mujeres	92	02	Aragón	1248	0,0052141448888031377453828600779623288895
2010	Hombres	92	02	Aragón	-534	-0,0022310523803051887468224737833588811114
2010	Mujeres	92	02	Aragón	1335	0,0055776309507629718670561844583972027784
2011	Hombres	92	02	Aragón	-546	-0,0022811883888513727636050012841085188891
2011	Mujeres	92	02	Aragón	1491	0,0062293990618633640852290419681424938896
2012	Hombres	92	02	Aragón	-1152	-0,0048130568204336656111226400719652266672
2012	Mujeres	92	02	Aragón	3030	0,0126593421579114642375881939392835388903
2013	Hombres	92	02	Aragón	-735	-0,0030708305234537710279298094209153138892
2013	Mujeres	92	02	Aragón	1727	0,0072154072299383164152854161495520368526
2014	Hombres	92	02	Aragón	-844	-0,0035262326010816091803711008860578570374
2014	Mujeres	92	02	Aragón	1850	0,0077293013175367025873063230322358240749
2015	Hombres	92	02	Aragón	-868	-0,003626504618173977213936155887557132593
2015	Mujeres	92	02	Aragón	1943	0,0081178553837696287173709111630455168527
1998	Hombres	91	02	Aragón	-515	-0,0021516703667737307202501385738386212965
1998	Mujeres	91	02	Aragón	1091	0,0045581987769905635258114586098212346301
1999	Hombres	91	02	Aragón	-563	-0,0023522144009584667873802485768371724077
1999	Mujeres	91	02	Aragón	1119	0,0046751827969316595649706894449037227783
2000	Hombres	91	02	Aragón	-601	-0,0025109784280213828405249189958776920373
2000	Mujeres	91	02	Aragón	1190	0,0049718208474965816642673104910057462968
2001	Hombres	91	02	Aragón	-555	-0,0023187903952610107761918969096707472225
