Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2008	18144,0	14387,0	10555,0	3832,0	273,0	209,0	10073,0	73,3648432612775
01	La Jacetania	2011	18664,0	14468,0	9681,0	4787,0	494,0	935,0	8252,0	66,9131877246337
01	La Jacetania	2015	18235,0	14326,0	9899,0	4427,0	329,0	644,0	8926,0	69,0981432360743
01	La Jacetania	2016	18080,0	14292,0	9528,0	4764,0	252,0	318,0	8958,0	66,6666666666667
01	La Jacetania	2019	17623,0	14142,0	9149,0	4993,0	197,0	225,0	8727,0	64,6938198274643
02	Alto Gállego	2008	13955,0	10738,0	8312,0	2426,0	160,0	168,0	7984,0	77,4073384242876
02	Alto Gállego	2011	14921,0	10623,0	7219,0	3404,0	406,0	667,0	6146,0	67,956321189871
02	Alto Gállego	2015	14139,0	10340,0	7433,0	2907,0	302,0	429,0	6702,0	71,8858800773694
02	Alto Gállego	2016	13766,0	10352,0	7024,0	3328,0	239,0	217,0	6568,0	67,8516228748068
02	Alto Gállego	2019	13474,0	10248,0	6664,0	3584,0	165,0	193,0	6306,0	65,0273224043716
03	Sobrarbe	2008	7483,0	5998,0	4847,0	1151,0	99,0	74,0	4674,0	80,81027009003
03	Sobrarbe	2011	7718,0	5849,0	4158,0	1691,0	164,0	260,0	3734,0	71,0890750555651
03	Sobrarbe	2015	7633,0	5744,0	4203,0	1541,0	113,0	218,0	3872,0	73,1720055710306
03	Sobrarbe	2016	7556,0	5684,0	4141,0	1543,0	99,0	135,0	3907,0	72,853624208304
03	Sobrarbe	2019	7382,0	5681,0	3888,0	1793,0	75,0	106,0	3707,0	68,438655166344
04	La Ribagorza	2008	12953,0	10325,0	7543,0	2782,0	151,0	212,0	7180,0	73,0556900726392
04	La Ribagorza	2011	13473,0	9974,0	6952,0	3022,0	366,0	538,0	6048,0	69,7012231802687
04	La Ribagorza	2015	12624,0	9354,0	6703,0	2651,0	209,0	380,0	6114,0	71,6591832371178
04	La Ribagorza	2016	12376,0	9304,0	6489,0	2815,0	211,0	279,0	5999,0	69,744196044712
04	La Ribagorza	2019	11991,0	9100,0	6108,0	2992,0	135,0	158,0	5815,0	67,1208791208791
05	Cinco Villas	2008	33196,0	25685,0	19594,0	6091,0	449,0	433,0	18712,0	76,2857699046136
05	Cinco Villas	2011	33331,0	24955,0	17998,0	6957,0	630,0	1004,0	16364,0	72,1218192746945
05	Cinco Villas	2015	31442,0	23997,0	17415,0	6582,0	599,0	878,0	15938,0	72,5715714464308
05	Cinco Villas	2016	31108,0	23790,0	16877,0	6913,0	473,0	531,0	15873,0	70,9415720891131
05	Cinco Villas	2019	30470,0	23228,0	16005,0	7223,0	351,0	486,0	15168,0	68,903909075254
06	Hoya de Huesca / Plana de Uesca	2008	65266,0	50993,0	39406,0	11587,0	875,0	812,0	37719,0	77,2772733512443
06	Hoya de Huesca / Plana de Uesca	2011	68428,0	51453,0	36466,0	14987,0	1724,0	2724,0	32018,0	70,8724466989291
06	Hoya de Huesca / Plana de Uesca	2015	68286,0	51537,0	37524,0	14013,0	1273,0	1800,0	34451,0	72,8098259502881
06	Hoya de Huesca / Plana de Uesca	2016	67806,0	51445,0	35989,0	15456,0	967,0	1187,0	33835,0	69,9562639712314
06	Hoya de Huesca / Plana de Uesca	2019	67446,0	51850,0	36291,0	15559,0	716,0	783,0	34792,0	69,9922854387657
07	Somontano de Barbastro	2008	23613,0	18714,0	14831,0	3883,0	329,0	276,0	14226,0	79,25082825692
07	Somontano de Barbastro	2011	24410,0	18688,0	13785,0	4903,0	523,0	1012,0	12250,0	73,7639126712329
07	Somontano de Barbastro	2015	24086,0	18458,0	13595,0	4863,0	431,0	755,0	12409,0	73,6537002925561
07	Somontano de Barbastro	2016	23925,0	18369,0	12981,0	5388,0	320,0	506,0	12155,0	70,6679732157439
07	Somontano de Barbastro	2019	23591,0	18256,0	13000,0	5256,0	276,0	348,0	12376,0	71,2094653812445
08	Cinca Medio	2008	23084,0	17627,0	13522,0	4105,0	399,0	249,0	12874,0	76,7118624836898
08	Cinca Medio	2011	24051,0	17442,0	12516,0	4926,0	495,0	629,0	11392,0	71,7578259373925
08	Cinca Medio	2015	24019,0	17191,0	12534,0	4657,0	434,0	507,0	11593,0	72,9102437321854
08	Cinca Medio	2016	23979,0	17150,0	11954,0	5196,0	343,0	325,0	11286,0	69,7026239067055
08	Cinca Medio	2019	23656,0	16985,0	11664,0	5321,0	255,0	201,0	11208,0	68,6723579629084
