Mes y año	Provincia código	Provincia nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
June 2020	22	Huesca	No consta	No consta		No consta	Hombres	2
June 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	4484
June 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	444
June 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	95
June 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	3
June 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	701
June 2020	22	Huesca	No consta	No consta		No consta	Mujeres	3
June 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	2286
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	173
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	32
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	4
June 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	304
June 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	2885
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	268
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	43
June 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
June 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	481
June 2020	44	Teruel	No consta	No consta		No consta	Mujeres	1
June 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	19926
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1752
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	300
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	16
June 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	2909
June 2020	50	Zaragoza	No consta	No consta		No consta	Hombres	4
June 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	27912
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2561
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	350
June 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	9
June 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4319
June 2020	50	Zaragoza	No consta	No consta		No consta	Mujeres	2
March 2017	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	3477
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	394
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	71
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	4
March 2017	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	534
March 2017	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	4385
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	520
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	84
March 2017	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	2
March 2017	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	634
March 2017	22	Huesca	No consta	No consta		No consta	Mujeres	1
March 2017	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	2305
March 2017	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	242
March 2017	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	51
March 2017	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	3
