Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2007	218023,0	177816,0	123673,0	54143,0	1215,0	2836,0	119622,0	69,5511090115625
22	Huesca	2011	228566,0	173108,0	123303,0	49805,0	1955,0	3391,0	117957,0	71,2289437807611
22	Huesca	2015	224909,0	170956,0	117492,0	53464,0	2390,0	3144,0	111958,0	68,7264559301809
44	Teruel	2007	142160,0	115924,0	85366,0	30558,0	1054,0	1684,0	82628,0	73,6396259618371
44	Teruel	2011	145277,0	110323,0	82688,0	27635,0	1463,0	2138,0	79087,0	74,9508262103097
44	Teruel	2015	140365,0	107508,0	77624,0	29884,0	2314,0	2121,0	73189,0	72,2029988465975
50	Zaragoza	2007	917288,0	730774,0	470028,0	260746,0	3611,0	11927,0	454490,0	64,3192012852127
50	Zaragoza	2011	973252,0	719154,0	489168,0	229986,0	7677,0	15951,0	465540,0	68,0199234100067
50	Zaragoza	2015	960111,0	721942,0	485553,0	236389,0	6725,0	10406,0	468422,0	67,2565109108488
