Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2004	32	Gúdar-Javalambre	15	3,44
2004	33	Matarraña / Matarranya	11	1,88
2005	01	La Jacetania	8	2,19
2005	02	Alto Gállego	18	26,61
2005	03	Sobrarbe	9	9,35
2005	04	La Ribagorza	29	89,57
2005	05	Cinco Villas	41	436,58
2005	06	Hoya de Huesca / Plana de Uesca	35	74,46
2005	07	Somontano de Barbastro	23	46,15
2005	08	Cinca Medio	34	80,07
2005	09	La Litera / La Llitera	17	18,14
2005	10	Los Monegros	44	79,33
2005	11	Bajo Cinca / Baix Cinca	19	59,83
2005	12	Tarazona y el Moncayo	9	16,88
2005	13	Campo de Borja	14	8,02
2005	14	Aranda	4	1,65
2005	15	Ribera Alta del Ebro	13	13,62
2005	16	Valdejalón	11	13,18
2005	17	Central	54	75,98
2005	18	Ribera Baja del Ebro	9	28,9
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19	6,94
2005	20	Comunidad de Calatayud	54	326,24
2005	21	Campo de Cariñena	19	99,19
2005	22	Campo de Belchite	15	13,32
2005	23	Bajo Martín	21	33,98
2005	24	Campo de Daroca	5	0,56
2005	25	Jiloca	17	131,95
2005	26	Cuencas Mineras	24	341,15
2005	27	Andorra-Sierra de Arcos	9	2,76
2005	28	Bajo Aragón	36	9,1
2005	29	Comunidad de Teruel	21	29,47
2005	30	Maestrazgo	8	1,43
2005	31	Sierra de Albarracín	10	3,14
2005	32	Gúdar-Javalambre	28	21,13
2005	33	Matarraña / Matarranya	34	15,52
2006	01	La Jacetania	5	23,14
2006	02	Alto Gállego	9	0,77
2006	03	Sobrarbe	10	3,57
2006	04	La Ribagorza	10	4,78
2006	05	Cinco Villas	30	209,44
2006	06	Hoya de Huesca / Plana de Uesca	31	99,91
2006	07	Somontano de Barbastro	15	9,32
2006	08	Cinca Medio	10	15,74
2006	09	La Litera / La Llitera	4	1454,14
2006	10	Los Monegros	17	66,01
2006	11	Bajo Cinca / Baix Cinca	14	32,3
2006	12	Tarazona y el Moncayo	4	1,01
2006	13	Campo de Borja	16	10,81
2006	14	Aranda	6	2,39
2006	15	Ribera Alta del Ebro	21	11,41
2006	16	Valdejalón	10	4,7
2006	17	Central	30	60,56
2006	18	Ribera Baja del Ebro	4	7,71
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	1,53
2006	20	Comunidad de Calatayud	28	55,68
2006	21	Campo de Cariñena	4	0,63
2006	22	Campo de Belchite	12	2,16
2006	23	Bajo Martín	12	13,51
2006	24	Campo de Daroca	2	0,44
2006	25	Jiloca	8	5,53
2006	26	Cuencas Mineras	11	2,9
2006	27	Andorra-Sierra de Arcos	7	0,21
2006	28	Bajo Aragón	12	42,2
2006	29	Comunidad de Teruel	11	4,64
2006	30	Maestrazgo	7	0,1
2006	31	Sierra de Albarracín	7	0,24
2006	32	Gúdar-Javalambre	16	3,78
2006	33	Matarraña / Matarranya	19	5,45
2007	01	La Jacetania	13	2,71
2007	02	Alto Gállego	3	1,65
2007	03	Sobrarbe	5	1,48
2007	04	La Ribagorza	5	3,93
2007	05	Cinco Villas	31	33,95
2007	06	Hoya de Huesca / Plana de Uesca	30	23,99
2007	07	Somontano de Barbastro	10	40,82
2007	08	Cinca Medio	6	24,44
2007	09	La Litera / La Llitera	6	13,8
2007	10	Los Monegros	21	27,4
2007	11	Bajo Cinca / Baix Cinca	7	6,32
2007	12	Tarazona y el Moncayo	3	1,9
2007	13	Campo de Borja	11	15,91
2007	14	Aranda	1	0,7
2007	15	Ribera Alta del Ebro	8	1,53
2007	16	Valdejalón	7	2,7
2007	17	Central	45	42,75
2007	18	Ribera Baja del Ebro	7	4,39
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	6,66
2007	20	Comunidad de Calatayud	41	45,07
2007	21	Campo de Cariñena	8	4,83
2007	22	Campo de Belchite	7	7,33
2007	23	Bajo Martín	20	13,13
2007	24	Campo de Daroca	7	6,24
2007	25	Jiloca	25	26,48
2007	26	Cuencas Mineras	8	1438,19
2007	27	Andorra-Sierra de Arcos	8	4,22
2007	28	Bajo Aragón	18	23,19
2007	29	Comunidad de Teruel	8	16,62
2007	30	Maestrazgo	5	0,09
2007	31	Sierra de Albarracín	6	2,12
2007	32	Gúdar-Javalambre	6	0,64
2007	33	Matarraña / Matarranya	15	6,27
2008	01	La Jacetania	9	0,89
2008	02	Alto Gállego	2	3,6
2008	03	Sobrarbe	5	4,8
2008	04	La Ribagorza	2	0,9
2008	05	Cinco Villas	28	24,14
2008	06	Hoya de Huesca / Plana de Uesca	24	27,29
2008	07	Somontano de Barbastro	16	17,7
2008	08	Cinca Medio	5	9,23
2008	09	La Litera / La Llitera	1	0,01
2008	10	Los Monegros	16	5,08
2008	11	Bajo Cinca / Baix Cinca	8	18,3
2008	12	Tarazona y el Moncayo	3	5,4
2008	13	Campo de Borja	12	11,93
2008	14	Aranda	5	5,5
2008	15	Ribera Alta del Ebro	10	14,28
2008	16	Valdejalón	11	12,66
2008	17	Central	36	2152,56
2008	18	Ribera Baja del Ebro	7	8,03
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	7,42
2008	20	Comunidad de Calatayud	35	74,67
2008	21	Campo de Cariñena	4	1,85
2008	22	Campo de Belchite	15	12,98
2008	23	Bajo Martín	4	16
2008	24	Campo de Daroca	4	3,42
2008	25	Jiloca	20	15,67
2008	26	Cuencas Mineras	9	1,57
2008	27	Andorra-Sierra de Arcos	3	0,03
2008	28	Bajo Aragón	8	0,53
2008	29	Comunidad de Teruel	15	22,73
2008	30	Maestrazgo	6	0,63
2008	31	Sierra de Albarracín	5	0,54
2008	32	Gúdar-Javalambre	7	4,19
2008	33	Matarraña / Matarranya	5	0,12
2009	01	La Jacetania	5	3,12
2009	02	Alto Gállego	3	0,07
2009	03	Sobrarbe	10	6,48
2009	04	La Ribagorza	10	3,88
2009	05	Cinco Villas	29	42,68
2009	06	Hoya de Huesca / Plana de Uesca	22	6,75
2009	07	Somontano de Barbastro	5	4,25
2009	08	Cinca Medio	10	3,46
2009	09	La Litera / La Llitera	6	3,42
2009	10	Los Monegros	23	34,37
2009	11	Bajo Cinca / Baix Cinca	10	815,13
2009	12	Tarazona y el Moncayo	7	9,53
2009	13	Campo de Borja	18	9,35
2009	14	Aranda	13	18,84
2009	15	Ribera Alta del Ebro	20	24,13
2009	16	Valdejalón	15	5,84
2009	17	Central	30	7756,51
2009	18	Ribera Baja del Ebro	10	10,94
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	0,7
2009	20	Comunidad de Calatayud	43	1129,15
2009	21	Campo de Cariñena	13	12,31
2009	22	Campo de Belchite	9	5,82
2009	23	Bajo Martín	7	6,2
2009	24	Campo de Daroca	6	7,96
2009	25	Jiloca	11	20,32
2009	26	Cuencas Mineras	14	6704,09
2009	27	Andorra-Sierra de Arcos	8	1147,53
2009	28	Bajo Aragón	17	531,45
2009	29	Comunidad de Teruel	12	1062,38
2009	30	Maestrazgo	8	1,36
2009	31	Sierra de Albarracín	7	3,64
2009	32	Gúdar-Javalambre	12	0,77
2009	33	Matarraña / Matarranya	25	222,79
2010	01	La Jacetania	4	2,02
2010	02	Alto Gállego	1	0,01
2010	03	Sobrarbe	1	0,07
2010	04	La Ribagorza	7	2,98
2010	05	Cinco Villas	20	807,5
2010	06	Hoya de Huesca / Plana de Uesca	23	8,71
2010	07	Somontano de Barbastro	3	3,57
2010	08	Cinca Medio	8	5,3
2010	09	La Litera / La Llitera	4	5,86
2010	10	Los Monegros	26	38,54
2010	11	Bajo Cinca / Baix Cinca	9	6,23
2010	12	Tarazona y el Moncayo	7	3,07
2010	13	Campo de Borja	23	26,46
2010	14	Aranda	6	29,61
2010	15	Ribera Alta del Ebro	8	4,83
2010	16	Valdejalón	6	32,19
2010	17	Central	30	19,33
2010	18	Ribera Baja del Ebro	9	9,6
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18	6,01
2010	20	Comunidad de Calatayud	39	41,06
2010	21	Campo de Cariñena	3	8,3
2010	22	Campo de Belchite	11	10,69
2010	23	Bajo Martín	2	6,16
2010	24	Campo de Daroca	1	0,01
2010	25	Jiloca	8	14,67
2010	26	Cuencas Mineras	7	1,76
2010	27	Andorra-Sierra de Arcos	1	0,01
2010	28	Bajo Aragón	13	1,77
2010	29	Comunidad de Teruel	11	22,06
2010	30	Maestrazgo	3	0,21
2010	31	Sierra de Albarracín	1	0,01
2010	32	Gúdar-Javalambre	5	0,74
2010	33	Matarraña / Matarranya	24	24,69
2011	01	La Jacetania	11	0,95
2011	02	Alto Gállego	4	0,98
2011	03	Sobrarbe	8	6,03
2011	04	La Ribagorza	4	0,63
2011	05	Cinco Villas	23	15,69
2011	06	Hoya de Huesca / Plana de Uesca	37	68,37
2011	07	Somontano de Barbastro	5	5,29
2011	08	Cinca Medio	23	37,3
2011	09	La Litera / La Llitera	5	1,02
2011	10	Los Monegros	26	31,72
2011	11	Bajo Cinca / Baix Cinca	11	18,95
2011	12	Tarazona y el Moncayo	5	5,93
2011	13	Campo de Borja	19	18,46
2011	14	Aranda	4	0,94
2011	15	Ribera Alta del Ebro	10	1,79
2011	16	Valdejalón	8	4,97
2011	17	Central	33	240,7
2011	18	Ribera Baja del Ebro	4	11,68
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	29,08
2011	20	Comunidad de Calatayud	57	87,65
2011	21	Campo de Cariñena	11	6,88
2011	22	Campo de Belchite	13	6,56
2011	23	Bajo Martín	9	13,78
2011	24	Campo de Daroca	9	3,54
2011	25	Jiloca	10	11,36
2011	26	Cuencas Mineras	12	97,55
2011	27	Andorra-Sierra de Arcos	5	0,32
2011	28	Bajo Aragón	9	4,77
2011	29	Comunidad de Teruel	9	143,39
2011	30	Maestrazgo	9	0,47
2011	31	Sierra de Albarracín	6	1,14
2011	32	Gúdar-Javalambre	15	5,75
2011	33	Matarraña / Matarranya	15	17,28
2013	01	La Jacetania	1	5
2013	02	Alto Gállego	1	0,01
2013	03	Sobrarbe	2	0,9
2013	04	La Ribagorza	6	105,87
2013	05	Cinco Villas	11	6
2013	06	Hoya de Huesca / Plana de Uesca	6	1,5
2013	07	Somontano de Barbastro	10	8,69
2013	08	Cinca Medio	5	6,43
2013	09	La Litera / La Llitera	5	5,56
2013	10	Los Monegros	9	13,31
2013	11	Bajo Cinca / Baix Cinca	6	1,96
2013	12	Tarazona y el Moncayo	4	0,98
2013	13	Campo de Borja	3	4,36
2013	14	Aranda	5	0,48
2013	15	Ribera Alta del Ebro	4	7,56
2013	16	Valdejalón	1	0,01
2013	17	Central	19	124,74
2013	18	Ribera Baja del Ebro	2	1,75
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	15	3,17
2013	20	Comunidad de Calatayud	32	21,9
2013	21	Campo de Cariñena	8	7,35
2013	22	Campo de Belchite	4	1,31
2013	23	Bajo Martín	2	0,84
2013	24	Campo de Daroca	2	0,48
2013	25	Jiloca	3	4,01
2013	26	Cuencas Mineras	3	0,46
2013	27	Andorra-Sierra de Arcos	1	0,04
2013	28	Bajo Aragón	11	1,72
2013	29	Comunidad de Teruel	7	7,89
2013	30	Maestrazgo	0	0
2013	31	Sierra de Albarracín	6	0,06
2013	32	Gúdar-Javalambre	12	0,84
2013	33	Matarraña / Matarranya	11	2,54
2014	01	La Jacetania	3	0,23
2014	02	Alto Gállego	0	0
2014	03	Sobrarbe	5	1,26
2014	04	La Ribagorza	7	25,9
2014	05	Cinco Villas	18	27,72
2014	06	Hoya de Huesca / Plana de Uesca	15	5,75
2014	07	Somontano de Barbastro	12	35,91
2014	08	Cinca Medio	12	9,52
2014	09	La Litera / La Llitera	3	0,98
2014	10	Los Monegros	15	8,99
2014	11	Bajo Cinca / Baix Cinca	15	10,43
2014	12	Tarazona y el Moncayo	9	4,75
2014	13	Campo de Borja	17	16,99
2014	14	Aranda	4	4,57
2014	15	Ribera Alta del Ebro	6	3,48
2014	16	Valdejalón	20	27,15
2014	17	Central	18	23,05
2014	18	Ribera Baja del Ebro	8	7,32
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	0,77
2014	20	Comunidad de Calatayud	38	76,76
2014	21	Campo de Cariñena	9	14,07
2014	22	Campo de Belchite	7	3,97
2014	23	Bajo Martín	7	6,83
2014	24	Campo de Daroca	6	6,61
2014	25	Jiloca	19	25,9
2014	26	Cuencas Mineras	6	1,01
2014	27	Andorra-Sierra de Arcos	12	28
2014	28	Bajo Aragón	12	14,87
