Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2008	18144,0	14387,0	10547,0	3840,0	57,0	123,0	10367,0	73,3092375060819
01	La Jacetania	2011	18664,0	14468,0	9803,0	4665,0	169,0	227,0	9407,0	67,7564279789881
01	La Jacetania	2015	18235,0	14326,0	10086,0	4240,0	82,0	100,0	9904,0	70,4034622364931
01	La Jacetania	2016	18080,0	14292,0	9675,0	4617,0	96,0	87,0	9492,0	67,6952141057934
01	La Jacetania	2019	17623,0	14142,0	9202,0	4940,0	104,0	93,0	9005,0	65,0685900155565
02	Alto Gállego	2008	13955,0	10738,0	8055,0	2683,0	31,0	113,0	7911,0	75,0139690817657
02	Alto Gállego	2011	14921,0	10623,0	7323,0	3300,0	177,0	194,0	6952,0	68,9353290031065
02	Alto Gállego	2015	14139,0	10340,0	7550,0	2790,0	82,0	80,0	7388,0	73,0174081237911
02	Alto Gállego	2016	13766,0	10352,0	7118,0	3234,0	75,0	54,0	6989,0	68,7596599690881
02	Alto Gállego	2019	13474,0	10248,0	6705,0	3543,0	83,0	97,0	6525,0	65,4274004683841
03	Sobrarbe	2008	7483,0	5998,0	4551,0	1447,0	20,0	56,0	4475,0	75,8752917639213
03	Sobrarbe	2011	7718,0	5849,0	4168,0	1681,0	80,0	86,0	4002,0	71,2600444520431
03	Sobrarbe	2015	7633,0	5744,0	4295,0	1449,0	28,0	63,0	4204,0	74,7736768802228
03	Sobrarbe	2016	7556,0	5684,0	4187,0	1497,0	34,0	49,0	4104,0	73,6629134412386
03	Sobrarbe	2019	7382,0	5681,0	3943,0	1738,0	39,0	63,0	3841,0	69,4067945784193
04	La Ribagorza	2008	12953,0	10325,0	7532,0	2793,0	59,0	126,0	7347,0	72,9491525423729
04	La Ribagorza	2011	13473,0	9974,0	6997,0	2977,0	165,0	197,0	6635,0	70,1523962301985
04	La Ribagorza	2015	12624,0	9354,0	6828,0	2526,0	70,0	85,0	6673,0	72,9955099422707
04	La Ribagorza	2016	12376,0	9304,0	6573,0	2731,0	75,0	99,0	6399,0	70,6470335339639
04	La Ribagorza	2019	11991,0	9100,0	6158,0	2942,0	65,0	76,0	6017,0	67,6703296703297
05	Cinco Villas	2008	33196,0	25684,0	19551,0	6133,0	105,0	227,0	19219,0	76,1213206665628
05	Cinco Villas	2011	33331,0	24955,0	18104,0	6851,0	263,0	337,0	17504,0	72,5465838509317
05	Cinco Villas	2015	31442,0	23997,0	17610,0	6387,0	148,0	185,0	17277,0	73,3841730216277
05	Cinco Villas	2016	31108,0	23790,0	17059,0	6731,0	152,0	178,0	16729,0	71,7065994115174
05	Cinco Villas	2019	30470,0	23228,0	16066,0	7162,0	158,0	191,0	15717,0	69,1665231617014
06	Hoya de Huesca / Plana de Uesca	2008	65266,0	51003,0	39174,0	11829,0	190,0	528,0	38456,0	76,807246632551
06	Hoya de Huesca / Plana de Uesca	2011	68428,0	51453,0	36836,0	14617,0	592,0	890,0	35354,0	71,59154956951
06	Hoya de Huesca / Plana de Uesca	2015	68286,0	51537,0	38010,0	13527,0	354,0	368,0	37288,0	73,7528377670411
06	Hoya de Huesca / Plana de Uesca	2016	67806,0	51445,0	36428,0	15017,0	366,0	334,0	35728,0	70,8096024880941
06	Hoya de Huesca / Plana de Uesca	2019	67446,0	51850,0	36272,0	15578,0	369,0	445,0	35458,0	69,9556412729026
07	Somontano de Barbastro	2008	23613,0	18710,0	14714,0	3996,0	114,0	176,0	14424,0	78,6424371993586
07	Somontano de Barbastro	2011	24410,0	18688,0	13906,0	4782,0	196,0	330,0	13380,0	74,4113869863014
07	Somontano de Barbastro	2015	24086,0	18458,0	13764,0	4694,0	118,0	136,0	13510,0	74,5692924477191
07	Somontano de Barbastro	2016	23925,0	18370,0	13172,0	5198,0	101,0	133,0	12938,0	71,7038649972782
07	Somontano de Barbastro	2019	23591,0	18256,0	13113,0	5143,0	117,0	139,0	12857,0	71,828439964943
08	Cinca Medio	2008	23084,0	17627,0	13535,0	4092,0	77,0	141,0	13317,0	76,7856129800874
08	Cinca Medio	2011	24051,0	17442,0	12578,0	4864,0	210,0	209,0	12159,0	72,1132897603486
08	Cinca Medio	2015	24019,0	17191,0	12657,0	4534,0	107,0	104,0	12446,0	73,6257343959048
08	Cinca Medio	2016	23979,0	17150,0	12056,0	5094,0	105,0	92,0	11859,0	70,2973760932945
08	Cinca Medio	2019	23656,0	16985,0	11719,0	5266,0	102,0	113,0	11504,0	68,9961730939064
09	La Litera / La Llitera	2008	18867,0	14708,0	11029,0	3679,0	97,0	170,0	10762,0	74,986401958118
09	La Litera / La Llitera	2011	19161,0	14271,0	10212,0	4059,0	208,0	249,0	9755,0	71,5577044355686
09	La Litera / La Llitera	2015	18696,0	13890,0	9956,0	3934,0	122,0	106,0	9728,0	71,6774658027358
09	La Litera / La Llitera	2016	18516,0	13777,0	9413,0	4364,0	88,0	99,0	9226,0	68,3240182913552
09	La Litera / La Llitera	2019	18216,0	13460,0	9041,0	4419,0	91,0	102,0	8848,0	67,1693907875186
10	Los Monegros	2008	20947,0	17460,0	14086,0	3374,0	96,0	176,0	13814,0	80,6758304696449
10	Los Monegros	2011	20942,0	16693,0	12611,0	4082,0	181,0	257,0	12173,0	75,5466363146229
10	Los Monegros	2015	19826,0	15643,0	11746,0	3897,0	131,0	111,0	11504,0	75,0878987406508
10	Los Monegros	2016	19566,0	15455,0	11392,0	4063,0	129,0	109,0	11154,0	73,7107732125526
10	Los Monegros	2019	18615,0	14670,0	10675,0	3995,0	119,0	126,0	10430,0	72,7675528289025
11	Bajo Cinca / Baix Cinca	2008	23645,0	17570,0	13462,0	4108,0	81,0	219,0	13162,0	76,6192373363688
11	Bajo Cinca / Baix Cinca	2011	24670,0	17162,0	12342,0	4820,0	250,0	357,0	11735,0	71,914695256963
11	Bajo Cinca / Baix Cinca	2015	24817,0	16796,0	12338,0	4458,0	108,0	152,0	12078,0	73,4579661824244
11	Bajo Cinca / Baix Cinca	2016	24619,0	16720,0	11644,0	5076,0	119,0	128,0	11397,0	69,6411483253589
11	Bajo Cinca / Baix Cinca	2019	24425,0	16389,0	11263,0	5126,0	159,0	164,0	10940,0	68,7229239123802
12	Tarazona y el Moncayo	2008	14690,0	11622,0	9149,0	2473,0	47,0	56,0	9046,0	78,7213904663569
12	Tarazona y el Moncayo	2011	14730,0	11522,0	8634,0	2888,0	146,0	155,0	8333,0	74,9349071341781
12	Tarazona y el Moncayo	2015	14405,0	11268,0	8434,0	2834,0	78,0	84,0	8272,0	74,8491302804402
12	Tarazona y el Moncayo	2016	14258,0	11188,0	8121,0	3067,0	94,0	60,0	7967,0	72,5867000357526
12	Tarazona y el Moncayo	2019	13796,0	10970,0	7728,0	3242,0	109,0	88,0	7531,0	70,4466727438469
13	Campo de Borja	2008	14914,0	11592,0	9169,0	2423,0	77,0	88,0	9004,0	79,0976535541753
13	Campo de Borja	2011	15517,0	11334,0	8620,0	2714,0	151,0	159,0	8310,0	76,0543497441327
13	Campo de Borja	2015	14600,0	10856,0	8076,0	2780,0	101,0	81,0	7894,0	74,3920412675018
13	Campo de Borja	2016	14346,0	10788,0	7748,0	3040,0	100,0	64,0	7584,0	71,8205413422321
13	Campo de Borja	2019	13824,0	10567,0	7312,0	3255,0	134,0	90,0	7088,0	69,1965553137125
14	Aranda	2008	7627,0	6222,0	4747,0	1475,0	19,0	36,0	4692,0	76,2937962070074
14	Aranda	2011	7617,0	5949,0	4246,0	1703,0	61,0	78,0	4107,0	71,3733400571525
14	Aranda	2015	7168,0	5718,0	4060,0	1658,0	40,0	43,0	3977,0	71,0038474991256
14	Aranda	2016	7082,0	5657,0	3836,0	1821,0	39,0	38,0	3759,0	67,8097931765954
14	Aranda	2019	6669,0	5330,0	3679,0	1651,0	47,0	45,0	3587,0	69,0243902439024
15	Ribera Alta del Ebro	2008	25745,0	20293,0	15530,0	4763,0	86,0	140,0	15304,0	76,5288523136057
15	Ribera Alta del Ebro	2011	27827,0	20664,0	14983,0	5681,0	179,0	244,0	14560,0	72,5077429345722
15	Ribera Alta del Ebro	2015	27379,0	20267,0	15002,0	5265,0	133,0	139,0	14730,0	74,0218088518281
15	Ribera Alta del Ebro	2016	27141,0	20218,0	14472,0	5746,0	125,0	89,0	14258,0	71,5797803937086
