Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2002	50181	Muel	1203,0	25827,0	25827,0	149796,0
2002	50182	Muela (La)	1592,0	33602,0	33602,0	168011,0
2002	50183	Munébrega	464,0	3038,0	3038,0	17012,0
2002	50184	Murero	216,0	1067,0	1067,0	6402,0
2002	50185	Murillo de Gállego	359,0	2665,0	2665,0	11995,0
2002	50186	Navardún	142,0	814,0	814,0	5046,0
2002	50187	Nigüella	174,0	869,0	869,0	3475,0
2002	50188	Nombrevilla	89,0	335,0	335,0	1340,0
2002	50189	Nonaspe	1114,0	12213,0	12213,0	73277,0
2002	50190	Novallas	638,0	6381,0	6381,0	54240,0
2002	50191	Novillas	451,0	8023,0	5901,0	35406,0
2002	50192	Nuévalos	569,0	7819,0	7819,0	46915,0
2002	50193	Nuez de Ebro	619,0	14549,0	14549,0	101843,0
2002	50194	Olvés	224,0	833,0	833,0	7085,0
2002	50195	Orcajo	153,0	637,0	637,0	2549,0
2002	50196	Orera	160,0	1660,0	1660,0	6639,0
2002	50197	Orés	228,0	922,0	922,0	6087,0
2002	50198	Oseja	85,0	205,0	205,0	819,0
2002	50199	Osera de Ebro	437,0	8737,0	8737,0	61159,0
2002	50200	Paniza	635,0	6229,0	6229,0	41737,0
2002	50201	Paracuellos de Jiloca	535,0	7381,0	7381,0	44285,0
2002	50202	Paracuellos de la Ribera	327,0	1379,0	1379,0	8962,0
2002	50203	Pastriz	886,0	22506,0	16968,0	101808,0
2002	50204	Pedrola	1808,0	51955,0	51955,0	285751,0
2002	50205	Pedrosas (Las)	130,0	897,0	897,0	5829,0
2002	50206	Perdiguera	411,0	5510,0	5510,0	33063,0
2002	50207	Piedratajada	151,0	1303,0	1303,0	6515,0
2002	50208	Pina de Ebro	1414,0	52860,0	52860,0	264300,0
2002	50209	Pinseque	1580,0	32278,0	32278,0	177529,0
2002	50210	Pintanos (Los)	150,0	589,0	589,0	3534,0
2002	50211	Plasencia de Jalón	367,0	3832,0	3832,0	15328,0
2002	50212	Pleitas	61,0	356,0	356,0	1662,0
2002	50213	Plenas	361,0	1816,0	1816,0	7265,0
2002	50214	Pomer	182,0	1188,0	568,0	2273,0
2002	50215	Pozuel de Ariza	194,0	836,0	836,0	3343,0
2002	50216	Pozuelo de Aragón	357,0	3239,0	3239,0	14577,0
2002	50217	Pradilla de Ebro	516,0	8170,0	5933,0	46220,0
2002	50218	Puebla de Albortón	177,0	1157,0	1157,0	4627,0
2002	50219	Puebla de Alfindén (La)	2450,0	153345,0	93421,0	392369,0
2002	50220	Puendeluna	113,0	653,0	653,0	5226,0
2002	50221	Purujosa	56,0	132,0	132,0	527,0
2002	50222	Quinto	1424,0	21149,0	21149,0	101516,0
2002	50223	Remolinos	771,0	8733,0	8733,0	52400,0
2002	50224	Retascón	116,0	681,0	681,0	2722,0
2002	50225	Ricla	1543,0	19394,0	19394,0	116362,0
2002	50227	Romanos	156,0	1384,0	1384,0	5537,0
2002	50228	Rueda de Jalón	307,0	3080,0	3080,0	20023,0
2002	50229	Ruesca	81,0	530,0	530,0	2120,0
2002	50230	Sádaba	1343,0	20458,0	20458,0	110676,0
2002	50231	Salillas de Jalón	402,0	3561,0	3561,0	21367,0
2002	50232	Salvatierra de Esca	349,0	2257,0	2257,0	13543,0
2002	50233	Samper del Salz	149,0	724,0	724,0	2896,0
2002	50234	San Martín de la Virgen de Moncayo	620,0	4925,0	4925,0	32016,0
2002	50235	San Mateo de Gállego	2015,0	40730,0	40730,0	268816,0
2002	50236	Santa Cruz de Grío	362,0	1962,0	1962,0	12750,0
2002	50237	Santa Cruz de Moncayo	157,0	719,0	719,0	3236,0
2002	50238	Santa Eulalia de Gállego	227,0	1433,0	1433,0	6446,0
2002	50239	Santed	122,0	574,0	574,0	3212,0
2002	50240	Sástago	1099,0	23548,0	20272,0	85142,0
2002	50241	Saviñán	638,0	7836,0	7836,0	66608,0
2002	50242	Sediles	142,0	679,0	679,0	4755,0
2002	50243	Sestrica	635,0	4144,0	4144,0	20719,0
2002	50244	Sierra de Luna	357,0	4361,0	2636,0	21091,0
2002	50245	Sigüés	248,0	1935,0	1935,0	11610,0
2002	50246	Sisamón	272,0	1486,0	1486,0	5943,0
2002	50247	Sobradiel	355,0	10648,0	10648,0	42591,0
2002	50248	Sos del Rey Católico	754,0	7470,0	7470,0	46311,0
2002	50249	Tabuenca	685,0	3871,0	3871,0	19356,0
2002	50250	Talamantes	174,0	814,0	814,0	3257,0
2002	50251	Tarazona	8910,0	123223,0	123223,0	866259,0
2002	50252	Tauste	4926,0	96571,0	96571,0	675997,0
2002	50253	Terrer	635,0	8047,0	8047,0	56329,0
2002	50254	Tierga	343,0	2015,0	2015,0	8061,0
2002	50255	Tobed	413,0	2718,0	2718,0	17669,0
2002	50256	Torralba de los Frailes	302,0	1726,0	1726,0	6904,0
2002	50257	Torralba de Ribota	302,0	1725,0	1725,0	6900,0
2002	50258	Torralbilla	184,0	969,0	969,0	3877,0
2002	50259	Torrehermosa	189,0	1392,0	1392,0	5570,0
2002	50260	Torrelapaja	117,0	652,0	652,0	2610,0
2002	50261	Torrellas	419,0	3067,0	3067,0	18405,0
2002	50262	Torres de Berrellén	883,0	14609,0	14609,0	58437,0
2002	50263	Torrijo de la Cañada	577,0	2453,0	2453,0	14718,0
2002	50264	Tosos	350,0	1934,0	1934,0	11604,0
2002	50265	Trasmoz	167,0	942,0	942,0	3770,0
2002	50266	Trasobares	465,0	1668,0	1668,0	6673,0
2002	50267	Uncastillo	888,0	7229,0	7229,0	54214,0
2002	50268	Undués de Lerda	132,0	600,0	600,0	3720,0
2002	50269	Urrea de Jalón	385,0	3924,0	3924,0	25508,0
2002	50270	Urriés	126,0	609,0	609,0	2436,0
2002	50271	Used	557,0	5189,0	5189,0	20755,0
2002	50272	Utebo	7782,0	371745,0	201466,0	1269236,0
2002	50273	Valdehorna	99,0	467,0	467,0	1870,0
2002	50274	Val de San Martín	121,0	390,0	390,0	1561,0
2002	50275	Valmadrid	90,0	773,0	773,0	3093,0
2002	50276	Valpalmas	199,0	1462,0	1462,0	11700,0
2002	50277	Valtorres	208,0	1622,0	1622,0	6489,0
2002	50278	Velilla de Ebro	331,0	2500,0	2500,0	17500,0
2002	50279	Velilla de Jiloca	226,0	1394,0	1394,0	8365,0
2002	50280	Vera de Moncayo	525,0	3572,0	3572,0	20003,0
2002	50281	Vierlas	109,0	1001,0	1001,0	6008,0
2002	50282	Vilueña (La)	169,0	1373,0	1373,0	6178,0
2002	50283	Villadoz	149,0	892,0	892,0	3566,0
