Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Abril 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	363
Abril 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	12
Abril 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3722
Abril 2017	Aragón	No consta	No consta		No consta	Hombres	2
Abril 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	34357
Abril 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3345
Abril 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	413
Abril 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	8
Abril 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4671
Abril 2017	Aragón	No consta	No consta		No consta	Mujeres	1
Marzo 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25400
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2932
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	383
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	16
Marzo 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4237
Marzo 2017	Aragón	No consta	No consta		No consta	Hombres	3
Marzo 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35629
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3627
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	432
Marzo 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	11
Marzo 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4862
Marzo 2017	Aragón	No consta	No consta		No consta	Mujeres	1
Febrero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26131
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2956
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	401
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	16
Febrero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4122
Febrero 2017	Aragón	No consta	No consta		No consta	Hombres	3
Febrero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36439
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3677
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	449
Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Febrero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4888
Febrero 2017	Aragón	No consta	No consta		No consta	Mujeres	1
Enero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27577
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3057
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	402
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	14
Enero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4303
Enero 2017	Aragón	No consta	No consta		No consta	Hombres	3
Enero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37623
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3667
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	472
Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Enero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4782
Enero 2017	Aragón	No consta	No consta		No consta	Mujeres	1
Diciembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27360
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3127
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	381
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	16
Diciembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4262
Diciembre 2016	Aragón	No consta	No consta		No consta	Hombres	2
Diciembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35986
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3656
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	444
Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	9
Diciembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4689
Diciembre 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Noviembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27243
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3079
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	380
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	19
Noviembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4493
Noviembre 2016	Aragón	No consta	No consta		No consta	Hombres	2
Noviembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37268
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3764
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	457
Noviembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	9
Noviembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4768
Noviembre 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Octubre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27239
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3067
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	382
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	19
Octubre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4331
Octubre 2016	Aragón	No consta	No consta		No consta	Hombres	2
Octubre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37420
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3549
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	442
Octubre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	7
Octubre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4596
Octubre 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Septiembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26985
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2893
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	387
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	19
Septiembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4092
Septiembre 2016	Aragón	No consta	No consta		No consta	Hombres	4
Septiembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37422
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3391
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	440
Septiembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	12
Septiembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4477
Septiembre 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Agosto 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26377
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2770
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	382
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	31
Agosto 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3738
Agosto 2016	Aragón	No consta	No consta		No consta	Hombres	3
Agosto 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36677
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3168
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	438
Agosto 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	11
Agosto 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4243
Agosto 2016	Aragón	No consta	No consta		No consta	Mujeres	2
Julio 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26166
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2726
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	368
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	23
Julio 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3909
Julio 2016	Aragón	No consta	No consta		No consta	Hombres	3
Julio 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36593
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3174
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	415
Julio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Julio 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4381
Julio 2016	Aragón	No consta	No consta		No consta	Mujeres	2
Junio 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26787
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2707
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	370
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	15
Junio 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3818
Junio 2016	Aragón	No consta	No consta		No consta	Hombres	3
Junio 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37023
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3299
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	432
Junio 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	7
Junio 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4600
Junio 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Mayo 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	28399
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3039
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	406
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	14
Mayo 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4267
Mayo 2016	Aragón	No consta	No consta		No consta	Hombres	2
Mayo 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	38192
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3468
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	480
Mayo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	8
Mayo 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4810
Mayo 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Abril 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	29867
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3493
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	454
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	14
Abril 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5203
Abril 2016	Aragón	No consta	No consta		No consta	Hombres	2
Abril 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	39193
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3833
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	533
Abril 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	8
Abril 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5145
Abril 2016	Aragón	No consta	No consta		No consta	Mujeres	2
Marzo 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	30721
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3658
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	444
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	14
Marzo 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5603
Marzo 2016	Aragón	No consta	No consta		No consta	Hombres	2
Marzo 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	39604
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3890
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	526
Marzo 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	8
Marzo 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5171
Febrero 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	30935
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3699
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	443
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	17
Febrero 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5548
Febrero 2016	Aragón	No consta	No consta		No consta	Hombres	1
Febrero 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	40235
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4056
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	532
Febrero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Febrero 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5205
Febrero 2016	Aragón	No consta	No consta		No consta	Mujeres	1
Enero 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	31261
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3741
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	460
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	14
Enero 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5438
Enero 2016	Aragón	No consta	No consta		No consta	Hombres	1
Enero 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	40656
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4027
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	527
Enero 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Enero 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5208
Enero 2016	Aragón	No consta	No consta		No consta	Mujeres	2
Diciembre 2015	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	30886
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3802
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	468
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	18
Diciembre 2015	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5417
Diciembre 2015	Aragón	No consta	No consta		No consta	Hombres	1
Diciembre 2015	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	38968
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4083
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	524
Diciembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	9
Diciembre 2015	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5106
Diciembre 2015	Aragón	No consta	No consta		No consta	Mujeres	2
Noviembre 2015	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	30740
Noviembre 2015	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3721
Noviembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	449
Noviembre 2015	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	12
Noviembre 2015	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5571
Noviembre 2015	Aragón	No consta	No consta		No consta	Hombres	1
