Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Julio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	367
Julio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	30
Julio 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3180
Julio 2021	Aragón	No consta	No consta		No consta	Hombres	5
Julio 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	4
Julio 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	33189
Julio 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3311
Julio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	462
Julio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	18
Julio 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	5215
Julio 2021	Aragón	No consta	No consta		No consta	Mujeres	3
Julio 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Junio 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	23862
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2395
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	415
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	30
Junio 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3362
Junio 2021	Aragón	No consta	No consta		No consta	Hombres	6
Junio 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	3
Junio 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35177
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3656
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	511
Junio 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	18
Junio 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6137
Junio 2021	Aragón	No consta	No consta		No consta	Mujeres	4
Junio 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Mayo 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25286
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2415
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	442
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	27
Mayo 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	3569
Mayo 2021	Aragón	No consta	No consta		No consta	Hombres	6
Mayo 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	3
Mayo 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36341
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3836
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	544
Mayo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	16
Mayo 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6489
Mayo 2021	Aragón	No consta	No consta		No consta	Mujeres	3
Mayo 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Abril 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26313
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2739
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	455
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	24
Abril 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4290
Abril 2021	Aragón	No consta	No consta		No consta	Hombres	9
Abril 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	3
Abril 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37607
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4234
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	579
Abril 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	15
Abril 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6892
Abril 2021	Aragón	No consta	No consta		No consta	Mujeres	3
Abril 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Marzo 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27238
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2817
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	459
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	23
Marzo 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4645
Marzo 2021	Aragón	No consta	No consta		No consta	Hombres	9
Marzo 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	5
Marzo 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	38539
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4398
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	590
Marzo 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	15
Marzo 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	7136
Marzo 2021	Aragón	No consta	No consta		No consta	Mujeres	5
Marzo 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	3
Febrero 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27986
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2774
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	479
