Año	Provincia nombre	Municipio código	Municipio nombre	Tasa bruta de saldo vegetativo	Tasa bruta de natalidad	Tasa bruta de mortalidad	Tasa global de fecundidad	Tasa bruta de nupcialidad
2015	Huesca	22079	Capdesaso	-17,6470588235294	0,0	17,6470588235294	0,0	0,0
2015	Huesca	22080	Capella	-19,3103448275862	0,0	19,3103448275862	0,0	0,0
2015	Huesca	22081	Casbas de Huesca	-13,6986301369863	0,0	13,6986301369863	0,0	0,0
2015	Huesca	22082	Castejón del Puente	-15,0375939849624	0,0	15,0375939849624	0,0	0,0
2015	Huesca	22083	Castejón de Monegros	-28,8028802880288	0,0	28,8028802880288	0,0	0,0
2015	Huesca	22084	Castejón de Sos	-10,8108108108108	0,0	10,8108108108108	0,0	1,35135135135135
2015	Huesca	22085	Castelflorite	-34,1880341880342	0,0	34,1880341880342	0,0	0,0
2015	Huesca	22086	Castiello de Jaca	-19,7628458498024	0,0	19,7628458498024	0,0	3,95256916996047
2015	Huesca	22087	Castigaleu	-43,7158469945355	0,0	43,7158469945355	0,0	0,0
2015	Huesca	22088	Castillazuelo	-33,6134453781513	0,0	33,6134453781513	0,0	0,0
2015	Huesca	22089	Castillonroy	-8,86262924667651	0,0	8,86262924667651	0,0	0,0
2015	Huesca	22090	Colungo	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22094	Chalamera	-18,2648401826484	0,0	18,2648401826484	0,0	0,0
2015	Huesca	22095	Chía	-34,2857142857143	0,0	34,2857142857143	0,0	0,0
2015	Huesca	22096	Chimillas	-16,4609053497942	0,0	16,4609053497942	0,0	2,74348422496571
2015	Huesca	22099	Esplús	-17,8716490658002	0,0	17,8716490658002	0,0	0,0
2015	Huesca	22102	Estada	-24,0963855421687	0,0	24,0963855421687	0,0	0,0
2015	Huesca	22103	Estadilla	-18,4388444990781	0,0	18,4388444990781	0,0	2,45851259987707
2015	Huesca	22105	Estopiñán del Castillo	-20,7612456747405	0,0	20,7612456747405	0,0	0,0
2015	Huesca	22106	Fago	0,0	0,0	0,0	0,0	42,5531914893617
2015	Huesca	22107	Fanlo	-9,1324200913242	0,0	9,1324200913242	0,0	0,0
2015	Huesca	22109	Fiscal	-11,444921316166	0,0	11,444921316166	0,0	2,86123032904149
2015	Huesca	22110	Fonz	-13,9634801288937	0,0	13,9634801288937	0,0	1,07411385606874
2015	Huesca	22111	Foradada del Toscar	-10,8108108108108	0,0	10,8108108108108	0,0	0,0
2015	Huesca	22112	Fraga	-9,85056624003217	0,0	9,85056624003217	0,0	3,08249011592843
2015	Huesca	22113	Fueva (La)	-11,3544201135442	0,0	11,3544201135442	0,0	4,8661800486618
2015	Huesca	22114	Gistaín	-7,27272727272727	0,0	7,27272727272727	0,0	0,0
2015	Huesca	22115	Grado (El)	-18,6915887850467	0,0	18,6915887850467	0,0	2,33644859813084
2015	Huesca	22116	Grañén	-14,7420147420147	0,0	14,7420147420147	0,0	1,63800163800164
2015	Huesca	22117	Graus	-16,1194029850746	0,0	16,1194029850746	0,0	0,298507462686567
2015	Huesca	22119	Gurrea de Gállego	-16,3505559189012	0,0	16,3505559189012	0,0	1,3080444735121
2015	Huesca	22122	Hoz de Jaca	-14,2857142857143	0,0	14,2857142857143	0,0	0,0
2015	Huesca	22124	Huerto	-25,6410256410256	0,0	25,6410256410256	0,0	4,27350427350427
2015	Huesca	22125	Huesca	-11,1173831096143	0,0	11,1173831096143	0,0	3,55909338793161
2015	Huesca	22126	Ibieca	-9,52380952380952	0,0	9,52380952380952	0,0	0,0
2015	Huesca	22127	Igriés	-18,5317177476835	0,0	18,5317177476835	0,0	0,0
2015	Huesca	22128	Ilche	-19,0930787589499	0,0	19,0930787589499	0,0	0,0
2015	Huesca	22129	Isábena	-7,38007380073801	0,0	7,38007380073801	0,0	11,070110701107
2015	Huesca	22130	Jaca	-12,607141484414	0,0	12,607141484414	0,0	3,38240381289157
2015	Huesca	22131	Jasa	-19,8019801980198	0,0	19,8019801980198	0,0	0,0
2015	Huesca	22133	Labuerda	-6,15384615384615	0,0	6,15384615384615	0,0	0,0
2015	Huesca	22135	Laluenga	-14,1509433962264	0,0	14,1509433962264	0,0	0,0
2015	Huesca	22136	Lalueza	-18,2648401826484	0,0	18,2648401826484	0,0	1,01471334348047
2015	Huesca	22137	Lanaja	-20,0080032012805	0,0	20,0080032012805	0,0	0,80032012805122
2015	Huesca	22139	Laperdiguera	-21,2765957446809	0,0	21,2765957446809	0,0	0,0
2015	Huesca	22141	Lascellas-Ponzano	-22,140221402214	0,0	22,140221402214	0,0	0,0
2015	Huesca	22142	Lascuarre	-7,32600732600733	0,0	7,32600732600733	0,0	0,0
2015	Huesca	22143	Laspaúles	-32,9067641681901	0,0	32,9067641681901	0,0	0,0
2015	Huesca	22144	Laspuña	-21,2765957446809	0,0	21,2765957446809	0,0	0,0
2015	Huesca	22149	Loarre	-14,8809523809524	0,0	14,8809523809524	0,0	5,95238095238095
2015	Huesca	22150	Loporzano	-11,2359550561798	0,0	11,2359550561798	0,0	3,74531835205993
2015	Huesca	22151	Loscorrales	-28,8461538461538	0,0	28,8461538461538	0,0	0,0
2015	Huesca	22155	Monesma y Cajigar	-35,0877192982456	0,0	35,0877192982456	0,0	0,0
2015	Huesca	22156	Monflorite-Lascasas	-8,91530460624071	0,0	8,91530460624071	0,0	5,94353640416048
2015	Huesca	22157	Montanuy	-13,5135135135135	0,0	13,5135135135135	0,0	4,50450450450451
2015	Huesca	22158	Monzón	-10,4936661158941	0,0	10,4936661158941	0,0	3,59451546511291
2015	Huesca	22160	Naval	-7,64818355640535	0,0	7,64818355640535	0,0	0,0
2015	Huesca	22162	Novales	-16,6666666666667	0,0	16,6666666666667	0,0	0,0
