Año	Municipio código	Municipio nombre	Incendios	Superficie forestal afectada
2001	22213	Sariñena	2	1,5
2001	22214	Secastilla	0	0
2001	22215	Seira	0	0
2001	22217	Sena	0	0
2001	22218	Senés de Alcubierre	0	0
2001	22220	Sesa	0	0
2001	22221	Sesué	0	0
2001	22222	Siétamo	2	4
2001	22223	Sopeira	0	0
2001	22225	Tamarite de Litera	1	0,02
2001	22226	Tardienta	0	0
2001	22227	Tella-Sin	0	0
2001	22228	Tierz	0	0
2001	22229	Tolva	0	0
2001	22230	Torla-Ordesa	0	0
2001	22232	Torralba de Aragón	1	1
2001	22233	Torre la Ribera	0	0
2001	22234	Torrente de Cinca	0	0
2001	22235	Torres de Alcanadre	0	0
2001	22236	Torres de Barbués	0	0
2001	22239	Tramaced	0	0
2001	22242	Valfarta	0	0
2001	22243	Valle de Bardají	0	0
2001	22244	Valle de Lierp	0	0
2001	22245	Velilla de Cinca	0	0
2001	22246	Beranuy	0	0
2001	22247	Viacamp y Litera	0	0
2001	22248	Vicién	0	0
2001	22249	Villanova	0	0
2001	22250	Villanúa	0	0
2001	22251	Villanueva de Sigena	0	0
2001	22252	Yebra de Basa	1	2,5
2001	22253	Yésero	0	0
2001	22254	Zaidín	0	0
2001	22901	Valle de Hecho	2	0,07
2001	22902	Puente la Reina de Jaca	0	0
2001	22903	San Miguel del Cinca	0	0
2001	22904	Sotonera (La)	1	1
2001	22905	Lupiñén-Ortilla	1	0,07
2001	22906	Santa María de Dulcis	0	0
2001	22907	Aínsa-Sobrarbe	1	1,5
2001	22908	Hoz y Costeán	0	0
2001	22909	Vencillón	0	0
2001	44001	Ababuj	0	0
2001	44002	Abejuela	0	0
2001	44003	Aguatón	0	0
2001	44004	Aguaviva	0	0
2001	44005	Aguilar del Alfambra	0	0
2001	44006	Alacón	1	0,07
2001	44007	Alba	0	0
2001	44008	Albalate del Arzobispo	2	1,2
2001	44009	Albarracín	4	0,76
2001	44010	Albentosa	0	0
2001	44011	Alcaine	0	0
2001	44012	Alcalá de la Selva	3	0,04
2001	44013	Alcañiz	7	1,15
2001	44014	Alcorisa	1	0,5
2001	44016	Alfambra	0	0
2001	44017	Aliaga	7	27,9
2001	44018	Almohaja	0	0
2001	44019	Alobras	0	0
2001	44020	Alpeñés	0	0
2001	44021	Allepuz	2	0,8
2001	44022	Alloza	0	0
2001	44023	Allueva	0	0
2001	44024	Anadón	0	0
2001	44025	Andorra	2	0,1
2001	44026	Arcos de las Salinas	0	0
2001	44027	Arens de Lledó	2	1,5
2001	44028	Argente	0	0
2001	44029	Ariño	0	0
2001	44031	Azaila	1	1,3
2001	44032	Bádenas	0	0
2001	44033	Báguena	1	5
2001	44034	Bañón	0	0
2001	44035	Barrachina	0	0
2001	44036	Bea	0	0
2001	44037	Beceite	5	3,6
2001	44038	Belmonte de San José	0	0
2001	44039	Bello	0	0
2001	44040	Berge	1	0
2001	44041	Bezas	1	0
2001	44042	Blancas	0	0
2001	44043	Blesa	1	0
2001	44044	Bordón	0	0
2001	44045	Bronchales	0	0
2001	44046	Bueña	0	0
2001	44047	Burbáguena	3	0,78
2001	44048	Cabra de Mora	1	0,01
2001	44049	Calaceite	3	0,07
2001	44050	Calamocha	4	0,33
2001	44051	Calanda	1	0,03
2001	44052	Calomarde	0	0
2001	44053	Camañas	0	0
2001	44054	Camarena de la Sierra	2	0,02
2001	44055	Camarillas	0	0
2001	44056	Caminreal	0	0
2001	44059	Cantavieja	1	0
2001	44060	Cañada de Benatanduz	0	0
2001	44061	Cañada de Verich (La)	1	0,03
2001	44062	Cañada Vellida	0	0
2001	44063	Cañizar del Olivar	0	0
2001	44064	Cascante del Río	0	0
2001	44065	Castejón de Tornos	0	0
2001	44066	Castel de Cabra	1	0,02
2001	44067	Castelnou	0	0
2001	44068	Castelserás	1	0,25
2001	44070	Castellar (El)	1	0,08
2001	44071	Castellote	1	0
2001	44074	Cedrillas	1	0,16
2001	44075	Celadas	0	0
2001	44076	Cella	1	4,5
2001	44077	Cerollera (La)	0	0
2001	44080	Codoñera (La)	1	0,01
2001	44082	Corbalán	0	0
2001	44084	Cortes de Aragón	1	4,04
2001	44085	Cosa	0	0
2001	44086	Cretas	0	0
2001	44087	Crivillén	1	0,01
2001	44088	Cuba (La)	0	0
2001	44089	Cubla	0	0
2001	44090	Cucalón	0	0
2001	44092	Cuervo (El)	0	0
2001	44093	Cuevas de Almudén	2	0,01
2001	44094	Cuevas Labradas	0	0
2001	44096	Ejulve	5	1,73
2001	44097	Escorihuela	0	0
2001	44099	Escucha	0	0
2001	44100	Estercuel	0	0
2001	44101	Ferreruela de Huerva	0	0
2001	44102	Fonfría	0	0
2001	44103	Formiche Alto	1	0,01
2001	44105	Fórnoles	0	0
2001	44106	Fortanete	0	0
2001	44107	Foz-Calanda	0	0
2001	44108	Fresneda (La)	0	0
2001	44109	Frías de Albarracín	0	0
2001	44110	Fuenferrada	0	0
2001	44111	Fuentes Calientes	0	0
2001	44112	Fuentes Claras	0	0
2001	44113	Fuentes de Rubielos	0	0
2001	44114	Fuentespalda	1	0,04
2001	44115	Galve	1	0,01
2001	44116	Gargallo	1	0
2001	44117	Gea de Albarracín	0	0
2001	44118	Ginebrosa (La)	1	0
2001	44119	Griegos	0	0
2001	44120	Guadalaviar	0	0
2001	44121	Gúdar	1	0,03
2001	44122	Híjar	2	1,05
2001	44123	Hinojosa de Jarque	1	0,03
2001	44124	Hoz de la Vieja (La)	0	0
2001	44125	Huesa del Común	1	0,06
2001	44126	Iglesuela del Cid (La)	0	0
2001	44127	Jabaloyas	0	0
2001	44128	Jarque de la Val	0	0
2001	44129	Jatiel	0	0
2001	44130	Jorcas	0	0
2001	44131	Josa	0	0
2001	44132	Lagueruela	0	0
2001	44133	Lanzuela	0	0
2001	44135	Libros	0	0
2001	44136	Lidón	0	0
2001	44137	Linares de Mora	1	0,01
2001	44138	Loscos	0	0
2001	44141	Lledó	0	0
2001	44142	Maicas	0	0
2001	44143	Manzanera	3	0,02
2001	44144	Martín del Río	1	0,05
2001	44145	Mas de las Matas	0	0
2001	44146	Mata de los Olmos (La)	1	0,03
2001	44147	Mazaleón	1	0,3
2001	44148	Mezquita de Jarque	0	0
2001	44149	Mirambel	0	0
2001	44150	Miravete de la Sierra	0	0
2001	44151	Molinos	2	0,01
2001	44152	Monforte de Moyuela	1	0,2
2001	44153	Monreal del Campo	0	0
2001	44154	Monroyo	4	0,55
2001	44155	Montalbán	1	0,03
2001	44156	Monteagudo del Castillo	0	0
2001	44157	Monterde de Albarracín	0	0
2001	44158	Mora de Rubielos	4	1,35
2001	44159	Moscardón	0	0
2001	44160	Mosqueruela	4	0,56
2001	44161	Muniesa	0	0
2001	44163	Noguera de Albarracín	0	0
2001	44164	Nogueras	0	0
2001	44165	Nogueruelas	2	0,66
2001	44167	Obón	0	0
2001	44168	Odón	0	0
2001	44169	Ojos Negros	0	0
2001	44171	Olba	0	0
2001	44172	Oliete	3	0,04
2001	44173	Olmos (Los)	0	0
2001	44174	Orihuela del Tremedal	1	0,02
2001	44175	Orrios	0	0
2001	44176	Palomar de Arroyos	1	0,01
2001	44177	Pancrudo	2	6,9
2001	44178	Parras de Castellote (Las)	0	0
2001	44179	Peñarroya de Tastavins	1	2,2
2001	44180	Peracense	1	0
2001	44181	Peralejos	0	0
2001	44182	Perales del Alfambra	0	0
2001	44183	Pitarque	1	0,5
2001	44184	Plou	0	0
2001	44185	Pobo (El)	0	0
2001	44187	Portellada (La)	0	0
2001	44189	Pozondón	0	0
2001	44190	Pozuel del Campo	0	0
2001	44191	Puebla de Híjar (La)	2	2,3
2001	44192	Puebla de Valverde (La)	3	1,12
2001	44193	Puertomingalvo	2	0,16
2001	44194	Ráfales	0	0
2001	44195	Rillo	0	0
2001	44196	Riodeva	0	0
2001	44197	Ródenas	0	0
2001	44198	Royuela	0	0
2001	44199	Rubiales	0	0
2001	44200	Rubielos de la Cérida	0	0
2001	44201	Rubielos de Mora	1	0
2001	44203	Salcedillo	0	0
2001	44204	Saldón	0	0
2001	44205	Samper de Calanda	1	0,66
2001	44206	San Agustín	0	0
2001	44207	San Martín del Río	1	5
2001	44208	Santa Cruz de Nogueras	0	0
2001	44209	Santa Eulalia	1	0,15
2001	44210	Sarrión	2	1,1
2001	44211	Segura de los Baños	3	0,04
2001	44212	Seno	0	0
2001	44213	Singra	0	0
2001	44215	Terriente	0	0
2001	44216	Teruel	3	0,37
2001	44217	Toril y Masegoso	0	0
2001	44218	Tormón	0	0
2001	44219	Tornos	0	0
2001	44220	Torralba de los Sisones	0	0
2001	44221	Torrecilla de Alcañiz	1	0,15
2001	44222	Torrecilla del Rebollar	0	0
2001	44223	Torre de Arcas	0	0
2001	44224	Torre de las Arcas	0	0
2001	44225	Torre del Compte	1	0,03
2001	44226	Torrelacárcel	0	0
2001	44227	Torre los Negros	0	0
2001	44228	Torremocha de Jiloca	0	0
2001	44229	Torres de Albarracín	0	0
2001	44230	Torrevelilla	1	0,05
2001	44231	Torrijas	1	0,03
2001	44232	Torrijo del Campo	0	0
2001	44234	Tramacastiel	0	0
2001	44235	Tramacastilla	1	0
2001	44236	Tronchón	0	0
2001	44237	Urrea de Gaén	1	0,2
2001	44238	Utrillas	0	0
2001	44239	Valacloche	0	0
2001	44240	Valbona	0	0
2001	44241	Valdealgorfa	0	0
2001	44243	Valdecuenca	0	0
2001	44244	Valdelinares	0	0
2001	44245	Valdeltormo	0	0
2001	44246	Valderrobres	5	0,06
2001	44247	Valjunquera	1	0,04
2001	44249	Vallecillo (El)	0	0
2001	44250	Veguillas de la Sierra	0	0
2001	44251	Villafranca del Campo	0	0
2001	44252	Villahermosa del Campo	0	0
2001	44256	Villanueva del Rebollar de la Sierra	0	0
2001	44257	Villar del Cobo	0	0
2001	44258	Villar del Salz	0	0
2001	44260	Villarluengo	1	3
2001	44261	Villarquemado	0	0
2001	44262	Villarroya de los Pinares	0	0
2001	44263	Villastar	0	0
2001	44264	Villel	2	0,06
2001	44265	Vinaceite	0	0
2001	44266	Visiedo	0	0
2001	44267	Vivel del Río Martín	0	0
2001	44268	Zoma (La)	2	0
2001	50001	Abanto	2	35,08
2001	50002	Acered	0	0
2001	50003	Agón	0	0
2001	50004	Aguarón	2	1,51
2001	50005	Aguilón	0	0
2001	50006	Ainzón	1	0,2
2001	50007	Aladrén	1	1,56
2001	50008	Alagón	0	0
2001	50009	Alarba	1	0,01
2001	50010	Alberite de San Juan	0	0
2001	50011	Albeta	1	1,5
2001	50012	Alborge	0	0
2001	50013	Alcalá de Ebro	2	0,36
2001	50014	Alcalá de Moncayo	1	0,03
2001	50015	Alconchel de Ariza	0	0
2001	50016	Aldehuela de Liestos	0	0
2001	50017	Alfajarín	1	0,12
2001	50018	Alfamén	0	0
2001	50019	Alforque	0	0
2001	50020	Alhama de Aragón	0	0
2001	50021	Almochuel	0	0
2001	50022	Almolda (La)	0	0
2001	50023	Almonacid de la Cuba	0	0
2001	50024	Almonacid de la Sierra	0	0
2001	50025	Almunia de Doña Godina (La)	0	0
2001	50026	Alpartir	1	0,09
2001	50027	Ambel	0	0
2001	50028	Anento	2	2
2001	50029	Aniñón	0	0
2001	50030	Añón de Moncayo	1	6,15
2001	50031	Aranda de Moncayo	2	4,5
2001	50032	Arándiga	0	0
2001	50033	Ardisa	0	0
2001	50034	Ariza	3	87,94
2001	50035	Artieda	0	0
2001	50036	Asín	0	0
2001	50037	Atea	1	0,3
2001	50038	Ateca	0	0
2001	50039	Azuara	0	0
2001	50040	Badules	0	0
2001	50041	Bagüés	0	0
2001	50042	Balconchán	0	0
2001	50043	Bárboles	0	0
2001	50044	Bardallur	0	0
2001	50045	Belchite	1	1
2001	50046	Belmonte de Gracián	0	0
2001	50047	Berdejo	0	0
2001	50048	Berrueco	1	0,13
2001	50050	Bijuesca	1	0,5
2001	50051	Biota	0	0
2001	50052	Bisimbre	0	0
2001	50053	Boquiñeni	1	6
2001	50054	Bordalba	1	0,02
2001	50055	Borja	0	0
2001	50056	Botorrita	3	2,1
2001	50057	Brea de Aragón	1	4,5
2001	50058	Bubierca	1	0,01
2001	50059	Bujaraloz	0	0
2001	50060	Bulbuente	0	0
2001	50061	Bureta	0	0
2001	50062	Burgo de Ebro (El)	0	0
2001	50063	Buste (El)	0	0
2001	50064	Cabañas de Ebro	1	0,02
2001	50065	Cabolafuente	0	0
2001	50066	Cadrete	2	0,04
2001	50067	Calatayud	1	0,15
2001	50068	Calatorao	1	0,4
2001	50069	Calcena	0	0
2001	50070	Calmarza	0	0
2001	50071	Campillo de Aragón	0	0
2001	50072	Carenas	0	0
2001	50073	Cariñena	0	0
2001	50074	Caspe	9	4,19
2001	50075	Castejón de Alarba	0	0
2001	50076	Castejón de las Armas	0	0
2001	50077	Castejón de Valdejasa	2	8,51
2001	50078	Castiliscar	2	2,7
2001	50079	Cervera de la Cañada	0	0
2001	50080	Cerveruela	0	0
2001	50081	Cetina	0	0
2001	50082	Cimballa	0	0
2001	50083	Cinco Olivas	0	0
2001	50084	Clarés de Ribota	1	0,5
2001	50085	Codo	0	0
2001	50086	Codos	0	0
2001	50087	Contamina	0	0
2001	50088	Cosuenda	1	0,01
2001	50089	Cuarte de Huerva	3	1,5
2001	50090	Cubel	1	0,93
2001	50091	Cuerlas (Las)	0	0
2001	50092	Chiprana	1	0,1
2001	50093	Chodes	0	0
2001	50094	Daroca	3	0,05
2001	50095	Ejea de los Caballeros	9	2,13
2001	50096	Embid de Ariza	0	0
2001	50098	Encinacorba	2	1,23
2001	50099	Épila	2	0,16
2001	50100	Erla	0	0
2001	50101	Escatrón	1	13
2001	50102	Fabara	1	0,2
2001	50104	Farlete	0	0
2001	50105	Fayón	0	0
2001	50106	Fayos (Los)	0	0
2001	50107	Figueruelas	0	0
2001	50108	Fombuena	0	0
2001	50109	Frago (El)	2	0,01
2001	50110	Frasno (El)	0	0
2001	50111	Fréscano	0	0
2001	50113	Fuendejalón	0	0
2001	50114	Fuendetodos	0	0
2001	50115	Fuentes de Ebro	2	1,04
2001	50116	Fuentes de Jiloca	1	1
2001	50117	Gallocanta	0	0
2001	50118	Gallur	0	0
2001	50119	Gelsa	0	0
2001	50120	Godojos	0	0
2001	50121	Gotor	0	0
2001	50122	Grisel	0	0
2001	50123	Grisén	0	0
2001	50124	Herrera de los Navarros	1	0,04
2001	50125	Ibdes	1	3
2001	50126	Illueca	2	1,1
2001	50128	Isuerre	0	0
2001	50129	Jaraba	1	0,6
2001	50130	Jarque de Moncayo	2	1,6
2001	50131	Jaulín	0	0
2001	50132	Joyosa (La)	0	0
2001	50133	Lagata	0	0
2001	50134	Langa del Castillo	0	0
2001	50135	Layana	1	1
2001	50136	Lécera	0	0
2001	50137	Leciñena	2	1,01
2001	50138	Lechón	0	0
2001	50139	Letux	1	2
2001	50140	Litago	1	0
2001	50141	Lituénigo	1	0,05
2001	50142	Lobera de Onsella	0	0
2001	50143	Longares	0	0
2001	50144	Longás	0	0
2001	50146	Lucena de Jalón	0	0
2001	50147	Luceni	0	0
2001	50148	Luesia	2	1,01
2001	50149	Luesma	0	0
2001	50150	Lumpiaque	0	0
2001	50151	Luna	2	0,37
2001	50152	Maella	2	1
2001	50153	Magallón	0	0
2001	50154	Mainar	0	0
2001	50155	Malanquilla	0	0
2001	50156	Maleján	0	0
2001	50157	Malón	0	0
2001	50159	Maluenda	0	0
2001	50160	Mallén	0	0
2001	50161	Manchones	1	0,06
2001	50162	Mara	0	0
2001	50163	María de Huerva	1	0,04
2001	50164	Mediana de Aragón	0	0
2001	50165	Mequinenza	1	0,01
2001	50166	Mesones de Isuela	0	0
2001	50167	Mezalocha	0	0
2001	50168	Mianos	0	0
2001	50169	Miedes de Aragón	0	0
2001	50170	Monegrillo	1	0,01
2001	50171	Moneva	0	0
2001	50172	Monreal de Ariza	0	0
2001	50173	Monterde	1	2
2001	50174	Montón	0	0
2001	50175	Morata de Jalón	2	0,65
2001	50176	Morata de Jiloca	0	0
2001	50177	Morés	1	0,5
2001	50178	Moros	2	1,51
2001	50179	Moyuela	0	0
2001	50180	Mozota	0	0
2001	50181	Muel	0	0
2001	50182	Muela (La)	0	0
2001	50183	Munébrega	1	0,06
2001	50184	Murero	0	0
2001	50185	Murillo de Gállego	0	0
2001	50186	Navardún	0	0
2001	50187	Nigüella	0	0
2001	50188	Nombrevilla	0	0
2001	50189	Nonaspe	0	0
2001	50190	Novallas	0	0
2001	50191	Novillas	1	2
2001	50192	Nuévalos	2	0,5
2001	50193	Nuez de Ebro	0	0
2001	50194	Olvés	0	0
2001	50195	Orcajo	1	0,01
2001	50196	Orera	0	0
2001	50197	Orés	0	0
2001	50198	Oseja	0	0
2001	50199	Osera de Ebro	1	0,1
2001	50200	Paniza	1	0,42
2001	50201	Paracuellos de Jiloca	0	0
2001	50202	Paracuellos de la Ribera	1	0,4
2001	50203	Pastriz	0	0
2001	50204	Pedrola	1	0,02
2001	50205	Pedrosas (Las)	0	0
2001	50206	Perdiguera	0	0
2001	50207	Piedratajada	0	0
2001	50208	Pina de Ebro	3	8,04
2001	50209	Pinseque	0	0
2001	50210	Pintanos (Los)	2	0,26
2001	50211	Plasencia de Jalón	0	0
2001	50212	Pleitas	0	0
2001	50213	Plenas	0	0
2001	50214	Pomer	0	0
2001	50215	Pozuel de Ariza	1	0,5
2001	50216	Pozuelo de Aragón	0	0
2001	50217	Pradilla de Ebro	0	0
2001	50218	Puebla de Albortón	1	2
2001	50219	Puebla de Alfindén (La)	1	0,03
2001	50220	Puendeluna	0	0
2001	50221	Purujosa	0	0
2001	50222	Quinto	3	0,07
2001	50223	Remolinos	0	0
2001	50224	Retascón	0	0
2001	50225	Ricla	0	0
2001	50227	Romanos	0	0
2001	50228	Rueda de Jalón	0	0
2001	50229	Ruesca	0	0
2001	50230	Sádaba	6	3,64
2001	50231	Salillas de Jalón	0	0
2001	50232	Salvatierra de Esca	0	0
2001	50233	Samper del Salz	0	0
2001	50234	San Martín de la Virgen de Moncayo	0	0
2001	50235	San Mateo de Gállego	1	0,9
2001	50236	Santa Cruz de Grío	2	347,67
2001	50237	Santa Cruz de Moncayo	1	35,81
2001	50238	Santa Eulalia de Gállego	0	0
2001	50239	Santed	0	0
2001	50240	Sástago	0	0
2001	50241	Saviñán	2	1,01
2001	50242	Sediles	0	0
2001	50243	Sestrica	1	0,01
2001	50244	Sierra de Luna	0	0
2001	50245	Sigüés	0	0
2001	50246	Sisamón	1	1
2001	50247	Sobradiel	0	0
2001	50248	Sos del Rey Católico	1	0,12
2001	50249	Tabuenca	0	0
2001	50250	Talamantes	0	0
2001	50251	Tarazona	3	2,15
2001	50252	Tauste	1	0,02
2001	50253	Terrer	1	0,01
2001	50254	Tierga	0	0
2001	50255	Tobed	1	0,04
2001	50256	Torralba de los Frailes	0	0
2001	50257	Torralba de Ribota	0	0
2001	50258	Torralbilla	0	0
2001	50259	Torrehermosa	1	0,5
2001	50260	Torrelapaja	0	0
2001	50261	Torrellas	0	0
2001	50262	Torres de Berrellén	0	0
2001	50263	Torrijo de la Cañada	1	0,05
2001	50264	Tosos	1	0,05
2001	50265	Trasmoz	2	5,05
2001	50266	Trasobares	0	0
2001	50267	Uncastillo	3	1,55
2001	50268	Undués de Lerda	0	0
2001	50269	Urrea de Jalón	0	0
2001	50270	Urriés	0	0
2001	50271	Used	1	2,02
2001	50272	Utebo	0	0
2001	50273	Valdehorna	0	0
2001	50274	Val de San Martín	1	0,01
2001	50275	Valmadrid	0	0
2001	50276	Valpalmas	1	0,05
2001	50277	Valtorres	0	0
2001	50278	Velilla de Ebro	0	0
2001	50279	Velilla de Jiloca	0	0
2001	50280	Vera de Moncayo	0	0
2001	50281	Vierlas	0	0
2001	50282	Vilueña (La)	0	0
2001	50283	Villadoz	1	0,09
2001	50284	Villafeliche	0	0
2001	50285	Villafranca de Ebro	0	0
2001	50286	Villalba de Perejil	0	0
2001	50287	Villalengua	0	0
2001	50288	Villanueva de Gállego	1	0,04
2001	50289	Villanueva de Jiloca	0	0
2001	50290	Villanueva de Huerva	1	52,3
2001	50291	Villar de los Navarros	0	0
2001	50292	Villarreal de Huerva	0	0
2001	50293	Villarroya de la Sierra	3	0,41
2001	50294	Villarroya del Campo	0	0
2001	50295	Vistabella	0	0
2001	50296	Zaida (La)	1	0,63
2001	50297	Zaragoza	4	218,27
2001	50298	Zuera	3	44,42
2001	50901	Biel	0	0
2001	50902	Marracos	0	0
2002	22001	Abiego	1	0,07
2002	22002	Abizanda	0	0
2002	22003	Adahuesca	0	0
2002	22004	Agüero	0	0
2002	22006	Aísa	0	0
2002	22007	Albalate de Cinca	0	0
2002	22008	Albalatillo	1	30
2002	22009	Albelda	0	0
2002	22011	Albero Alto	0	0
2002	22012	Albero Bajo	0	0
2002	22013	Alberuela de Tubo	0	0
2002	22014	Alcalá de Gurrea	0	0
2002	22015	Alcalá del Obispo	0	0
2002	22016	Alcampell	0	0
2002	22017	Alcolea de Cinca	0	0
2002	22018	Alcubierre	0	0
2002	22019	Alerre	0	0
2002	22020	Alfántega	0	0
2002	22021	Almudévar	0	0
2002	22022	Almunia de San Juan	1	75
2002	22023	Almuniente	1	0,5
2002	22024	Alquézar	0	0
2002	22025	Altorricón	0	0
2002	22027	Angüés	0	0
2002	22028	Ansó	0	0
2002	22029	Antillón	0	0
2002	22032	Aragüés del Puerto	0	0
2002	22035	Arén	1	1
2002	22036	Argavieso	0	0
2002	22037	Arguis	0	0
2002	22039	Ayerbe	5	13,49
2002	22040	Azanuy-Alins	2	26
2002	22041	Azara	0	0
2002	22042	Azlor	0	0
2002	22043	Baells	0	0
2002	22044	Bailo	1	0,5
2002	22045	Baldellou	0	0
2002	22046	Ballobar	0	0
2002	22047	Banastás	0	0
2002	22048	Barbastro	3	8,05
2002	22049	Barbués	0	0
2002	22050	Barbuñales	0	0
2002	22051	Bárcabo	0	0
2002	22052	Belver de Cinca	0	0
2002	22053	Benabarre	0	0
2002	22054	Benasque	0	0
2002	22055	Berbegal	0	0
2002	22057	Bielsa	0	0
2002	22058	Bierge	0	0
2002	22059	Biescas	0	0
2002	22060	Binaced	0	0
2002	22061	Binéfar	0	0
