Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
50110	Frasno (El)	2011	476,0	431,0	371,0	60,0	5,0	2,0	364,0	86,0788863109049
50110	Frasno (El)	2015	439,0	372,0	291,0	81,0	7,0	8,0	276,0	78,2258064516129
50111	Fréscano	2007	237,0	210,0	198,0	12,0	5,0	3,0	190,0	94,2857142857143
50111	Fréscano	2011	220,0	198,0	174,0	24,0	2,0	5,0	167,0	87,8787878787879
50111	Fréscano	2015	207,0	188,0	164,0	24,0	6,0	5,0	153,0	87,2340425531915
50113	Fuendejalón	2007	851,0	773,0	679,0	94,0	11,0	4,0	664,0	87,8395860284605
50113	Fuendejalón	2011	953,0	721,0	626,0	95,0	4,0	13,0	609,0	86,8238557558946
50113	Fuendejalón	2015	859,0	675,0	544,0	131,0	9,0	12,0	523,0	80,5925925925926
50114	Fuendetodos	2007	167,0	182,0	141,0	41,0	3,0	10,0	128,0	77,4725274725275
50114	Fuendetodos	2011	174,0	161,0	138,0	23,0	5,0	5,0	128,0	85,7142857142857
50114	Fuendetodos	2015	153,0	129,0	109,0	20,0	0,0	2,0	107,0	84,4961240310077
50115	Fuentes de Ebro	2007	4002,0	3172,0	2383,0	789,0	14,0	50,0	2319,0	75,1261034047919
50115	Fuentes de Ebro	2011	4617,0	3296,0	2376,0	920,0	27,0	54,0	2295,0	72,0873786407767
50115	Fuentes de Ebro	2015	4643,0	3306,0	2331,0	975,0	68,0	75,0	2188,0	70,508166969147
50116	Fuentes de Jiloca	2007	296,0	278,0	218,0	60,0	1,0	2,0	215,0	78,4172661870503
50116	Fuentes de Jiloca	2011	280,0	224,0	180,0	44,0	1,0	7,0	172,0	80,3571428571429
50116	Fuentes de Jiloca	2015	243,0	192,0	145,0	47,0	5,0	6,0	134,0	75,5208333333333
50117	Gallocanta	2007	155,0	124,0	110,0	14,0	5,0	1,0	104,0	88,7096774193548
50117	Gallocanta	2011	152,0	130,0	112,0	18,0	2,0	3,0	107,0	86,1538461538462
50117	Gallocanta	2015	158,0	129,0	99,0	30,0	3,0	4,0	92,0	76,7441860465116
50118	Gallur	2007	2899,0	2462,0	1970,0	492,0	16,0	21,0	1933,0	80,0162469536962
50118	Gallur	2011	3007,0	2342,0	1854,0	488,0	31,0	41,0	1782,0	79,1631084543126
50118	Gallur	2015	2779,0	2230,0	1631,0	599,0	27,0	34,0	1570,0	73,1390134529148
50119	Gelsa	2007	1205,0	1085,0	865,0	220,0	24,0	12,0	829,0	79,7235023041475
50119	Gelsa	2011	1201,0	1002,0	795,0	207,0	24,0	15,0	756,0	79,3413173652695
50119	Gelsa	2015	1122,0	928,0	718,0	210,0	24,0	13,0	681,0	77,3706896551724
50120	Godojos	2007	57,0	59,0	44,0	15,0	1,0	0,0	43,0	74,5762711864407
50120	Godojos	2011	46,0	53,0	48,0	5,0	0,0	0,0	48,0	90,5660377358491
50120	Godojos	2015	36,0	52,0	39,0	13,0	3,0	5,0	31,0	75,0
50121	Gotor	2007	382,0	310,0	278,0	32,0	4,0	2,0	272,0	89,6774193548387
50121	Gotor	2011	399,0	298,0	271,0	27,0	7,0	4,0	260,0	90,9395973154362
50121	Gotor	2015	347,0	281,0	237,0	44,0	9,0	3,0	225,0	84,3416370106761
50122	Grisel	2007	79,0	93,0	83,0	10,0	5,0	3,0	75,0	89,247311827957
50122	Grisel	2011	79,0	72,0	65,0	7,0	3,0	0,0	62,0	90,2777777777778
50122	Grisel	2015	67,0	73,0	65,0	8,0	0,0	0,0	65,0	89,0410958904109
50123	Grisén	2007	467,0	394,0	304,0	90,0	3,0	6,0	295,0	77,1573604060914
50123	Grisén	2011	554,0	421,0	358,0	63,0	2,0	9,0	347,0	85,0356294536817
