Año	Población	Municipio código	Municipio nombre
1996	8759,0	22199	Sabiñánigo
1996	323,0	22200	Sahún
1996	403,0	22201	Salas Altas
1996	180,0	22202	Salas Bajas
1996	130,0	22203	Salillas
1996	983,0	22204	Sallent de Gállego
1996	658,0	22205	San Esteban de Litera
1996	285,0	22206	Sangarrén
1996	166,0	22207	San Juan de Plan
1996	205,0	22208	Santa Cilia
1996	162,0	22209	Santa Cruz de la Serós
1996	101,0	22212	Santaliestra y San Quílez
1996	4058,0	22213	Sariñena
1996	168,0	22214	Secastilla
1996	202,0	22215	Seira
1996	615,0	22217	Sena
1996	60,0	22218	Senés de Alcubierre
1996	281,0	22220	Sesa
1996	117,0	22221	Sesué
1996	361,0	22222	Siétamo
1996	113,0	22223	Sopeira
1996	3867,0	22225	Tamarite de Litera
1996	1087,0	22226	Tardienta
1996	293,0	22227	Tella-Sin
1996	183,0	22228	Tierz
1996	220,0	22229	Tolva
1996	344,0	22230	Torla-Ordesa
1996	136,0	22232	Torralba de Aragón
1996	120,0	22233	Torre la Ribera
1996	1142,0	22234	Torrente de Cinca
1996	139,0	22235	Torres de Alcanadre
1996	370,0	22236	Torres de Barbués
1996	104,0	22239	Tramaced
1996	109,0	22242	Valfarta
1996	57,0	22243	Valle de Bardají
1996	63,0	22244	Valle de Lierp
1996	499,0	22245	Velilla de Cinca
1996	116,0	22246	Beranuy
1996	32,0	22247	Viacamp y Litera
1996	126,0	22248	Vicién
1996	113,0	22249	Villanova
1996	317,0	22250	Villanúa
1996	492,0	22251	Villanueva de Sigena
1996	172,0	22252	Yebra de Basa
1996	70,0	22253	Yésero
1996	1698,0	22254	Zaidín
1996	1005,0	22901	Valle de Hecho
1996	269,0	22902	Puente la Reina de Jaca
1996	918,0	22903	San Miguel del Cinca
1996	1127,0	22904	Sotonera (La)
1996	366,0	22905	Lupiñén-Ortilla
1996	214,0	22906	Santa María de Dulcis
1996	1512,0	22907	Aínsa-Sobrarbe
1996	275,0	22908	Hoz y Costeán
1996	481,0	22909	Vencillón
1996	85,0	44001	Ababuj
1996	70,0	44002	Abejuela
1996	26,0	44003	Aguatón
1996	641,0	44004	Aguaviva
1996	88,0	44005	Aguilar del Alfambra
1996	481,0	44006	Alacón
1996	294,0	44007	Alba
1996	2434,0	44008	Albalate del Arzobispo
1996	1061,0	44009	Albarracín
1996	268,0	44010	Albentosa
1996	61,0	44011	Alcaine
1996	442,0	44012	Alcalá de la Selva
1996	12679,0	44013	Alcañiz
1996	3316,0	44014	Alcorisa
1996	705,0	44016	Alfambra
1996	440,0	44017	Aliaga
1996	35,0	44018	Almohaja
1996	94,0	44019	Alobras
1996	32,0	44020	Alpeñés
1996	146,0	44021	Allepuz
1996	831,0	44022	Alloza
1996	19,0	44023	Allueva
1996	23,0	44024	Anadón
1996	8282,0	44025	Andorra
1996	178,0	44026	Arcos de las Salinas
1996	243,0	44027	Arens de Lledó
1996	276,0	44028	Argente
1996	930,0	44029	Ariño
1996	192,0	44031	Azaila
1996	25,0	44032	Bádenas
1996	558,0	44033	Báguena
1996	188,0	44034	Bañón
1996	176,0	44035	Barrachina
1996	46,0	44036	Bea
1996	693,0	44037	Beceite
1996	151,0	44038	Belmonte de San José
1996	411,0	44039	Bello
1996	237,0	44040	Berge
1996	72,0	44041	Bezas
1996	203,0	44042	Blancas
1996	159,0	44043	Blesa
1996	139,0	44044	Bordón
1996	447,0	44045	Bronchales
1996	110,0	44046	Bueña
1996	356,0	44047	Burbáguena
1996	97,0	44048	Cabra de Mora
1996	1238,0	44049	Calaceite
1996	4019,0	44050	Calamocha
1996	3596,0	44051	Calanda
1996	90,0	44052	Calomarde
1996	144,0	44053	Camañas
1996	167,0	44054	Camarena de la Sierra
1996	131,0	44055	Camarillas
1996	832,0	44056	Caminreal
1996	739,0	44059	Cantavieja
1996	69,0	44060	Cañada de Benatanduz
1996	106,0	44061	Cañada de Verich (La)
1996	63,0	44062	Cañada Vellida
1996	129,0	44063	Cañizar del Olivar
1996	126,0	44064	Cascante del Río
1996	109,0	44065	Castejón de Tornos
1996	192,0	44066	Castel de Cabra
1996	106,0	44067	Castelnou
1996	873,0	44068	Castelserás
1996	95,0	44070	Castellar (El)
1996	735,0	44071	Castellote
1996	552,0	44074	Cedrillas
1996	433,0	44075	Celadas
1996	3030,0	44076	Cella
1996	87,0	44077	Cerollera (La)
1996	358,0	44080	Codoñera (La)
1996	75,0	44082	Corbalán
1996	143,0	44084	Cortes de Aragón
1996	106,0	44085	Cosa
1996	638,0	44086	Cretas
1996	138,0	44087	Crivillén
1996	70,0	44088	Cuba (La)
1996	60,0	44089	Cubla
1996	83,0	44090	Cucalón
1996	138,0	44092	Cuervo (El)
1996	111,0	44093	Cuevas de Almudén
1996	180,0	44094	Cuevas Labradas
1996	236,0	44096	Ejulve
1996	240,0	44097	Escorihuela
1996	1179,0	44099	Escucha
1996	386,0	44100	Estercuel
1996	87,0	44101	Ferreruela de Huerva
1996	33,0	44102	Fonfría
1996	201,0	44103	Formiche Alto
1996	108,0	44105	Fórnoles
1996	195,0	44106	Fortanete
1996	255,0	44107	Foz-Calanda
1996	435,0	44108	Fresneda (La)
1996	180,0	44109	Frías de Albarracín
1996	49,0	44110	Fuenferrada
1996	143,0	44111	Fuentes Calientes
1996	689,0	44112	Fuentes Claras
1996	83,0	44113	Fuentes de Rubielos
1996	379,0	44114	Fuentespalda
1996	144,0	44115	Galve
1996	128,0	44116	Gargallo
1996	503,0	44117	Gea de Albarracín
1996	275,0	44118	Ginebrosa (La)
1996	155,0	44119	Griegos
1996	297,0	44120	Guadalaviar
1996	83,0	44121	Gúdar
1996	1974,0	44122	Híjar
1996	186,0	44123	Hinojosa de Jarque
1996	139,0	44124	Hoz de la Vieja (La)
1996	138,0	44125	Huesa del Común
1996	502,0	44126	Iglesuela del Cid (La)
1996	101,0	44127	Jabaloyas
1996	106,0	44128	Jarque de la Val
1996	72,0	44129	Jatiel
1996	54,0	44130	Jorcas
1996	47,0	44131	Josa
1996	73,0	44132	Lagueruela
1996	32,0	44133	Lanzuela
1996	182,0	44135	Libros
1996	85,0	44136	Lidón
1996	317,0	44137	Linares de Mora
1996	223,0	44138	Loscos
1996	217,0	44141	Lledó
1996	25,0	44142	Maicas
1996	487,0	44143	Manzanera
1996	518,0	44144	Martín del Río
1996	1483,0	44145	Mas de las Matas
1996	281,0	44146	Mata de los Olmos (La)
1996	608,0	44147	Mazaleón
1996	144,0	44148	Mezquita de Jarque
1996	144,0	44149	Mirambel
1996	50,0	44150	Miravete de la Sierra
1996	359,0	44151	Molinos
1996	85,0	44152	Monforte de Moyuela
1996	2305,0	44153	Monreal del Campo
1996	393,0	44154	Monroyo
1996	1668,0	44155	Montalbán
1996	68,0	44156	Monteagudo del Castillo
1996	76,0	44157	Monterde de Albarracín
1996	1346,0	44158	Mora de Rubielos
1996	48,0	44159	Moscardón
1996	719,0	44160	Mosqueruela
1996	756,0	44161	Muniesa
1996	183,0	44163	Noguera de Albarracín
1996	23,0	44164	Nogueras
1996	224,0	44165	Nogueruelas
1996	60,0	44167	Obón
1996	271,0	44168	Odón
1996	611,0	44169	Ojos Negros
1996	220,0	44171	Olba
1996	499,0	44172	Oliete
1996	154,0	44173	Olmos (Los)
1996	620,0	44174	Orihuela del Tremedal
1996	209,0	44175	Orrios
1996	274,0	44176	Palomar de Arroyos
1996	202,0	44177	Pancrudo
1996	109,0	44178	Parras de Castellote (Las)
1996	552,0	44179	Peñarroya de Tastavins
1996	118,0	44180	Peracense
1996	101,0	44181	Peralejos
1996	294,0	44182	Perales del Alfambra
1996	114,0	44183	Pitarque
1996	54,0	44184	Plou
1996	155,0	44185	Pobo (El)
1996	342,0	44187	Portellada (La)
1996	88,0	44189	Pozondón
1996	116,0	44190	Pozuel del Campo
1996	1145,0	44191	Puebla de Híjar (La)
1996	476,0	44192	Puebla de Valverde (La)
1996	136,0	44193	Puertomingalvo
1996	225,0	44194	Ráfales
1996	151,0	44195	Rillo
1996	245,0	44196	Riodeva
1996	98,0	44197	Ródenas
1996	238,0	44198	Royuela
1996	64,0	44199	Rubiales
1996	61,0	44200	Rubielos de la Cérida
1996	620,0	44201	Rubielos de Mora
1996	9,0	44203	Salcedillo
1996	47,0	44204	Saldón
1996	1032,0	44205	Samper de Calanda
1996	156,0	44206	San Agustín
1996	312,0	44207	San Martín del Río
1996	28,0	44208	Santa Cruz de Nogueras
1996	1283,0	44209	Santa Eulalia
1996	1026,0	44210	Sarrión
1996	56,0	44211	Segura de los Baños
1996	56,0	44212	Seno
1996	98,0	44213	Singra
1996	186,0	44215	Terriente
1996	28994,0	44216	Teruel
1996	37,0	44217	Toril y Masegoso
1996	43,0	44218	Tormón
1996	271,0	44219	Tornos
1996	229,0	44220	Torralba de los Sisones
1996	453,0	44221	Torrecilla de Alcañiz
1996	170,0	44222	Torrecilla del Rebollar
1996	117,0	44223	Torre de Arcas
1996	40,0	44224	Torre de las Arcas
1996	189,0	44225	Torre del Compte
1996	313,0	44226	Torrelacárcel
1996	98,0	44227	Torre los Negros
1996	182,0	44228	Torremocha de Jiloca
1996	162,0	44229	Torres de Albarracín
1996	207,0	44230	Torrevelilla
1996	85,0	44231	Torrijas
1996	592,0	44232	Torrijo del Campo
1996	120,0	44234	Tramacastiel
1996	143,0	44235	Tramacastilla
1996	92,0	44236	Tronchón
1996	633,0	44237	Urrea de Gaén
1996	3343,0	44238	Utrillas
1996	21,0	44239	Valacloche
1996	195,0	44240	Valbona
1996	780,0	44241	Valdealgorfa
1996	37,0	44243	Valdecuenca
1996	126,0	44244	Valdelinares
1996	396,0	44245	Valdeltormo
1996	1935,0	44246	Valderrobres
1996	460,0	44247	Valjunquera
1996	40,0	44249	Vallecillo (El)
1996	31,0	44250	Veguillas de la Sierra
1996	404,0	44251	Villafranca del Campo
1996	68,0	44252	Villahermosa del Campo
1996	47,0	44256	Villanueva del Rebollar de la Sierra
1996	235,0	44257	Villar del Cobo
1996	115,0	44258	Villar del Salz
1996	205,0	44260	Villarluengo
1996	1005,0	44261	Villarquemado
1996	214,0	44262	Villarroya de los Pinares
1996	345,0	44263	Villastar
1996	345,0	44264	Villel
1996	306,0	44265	Vinaceite
1996	228,0	44266	Visiedo
1996	110,0	44267	Vivel del Río Martín
1996	34,0	44268	Zoma (La)
1996	191,0	50001	Abanto
1996	297,0	50002	Acered
1996	201,0	50003	Agón
1996	746,0	50004	Aguarón
1996	263,0	50005	Aguilón
1996	1221,0	50006	Ainzón
1996	64,0	50007	Aladrén
1996	5595,0	50008	Alagón
1996	166,0	50009	Alarba
1996	107,0	50010	Alberite de San Juan
1996	130,0	50011	Albeta
1996	128,0	50012	Alborge
1996	312,0	50013	Alcalá de Ebro
1996	162,0	50014	Alcalá de Moncayo
1996	171,0	50015	Alconchel de Ariza
1996	67,0	50016	Aldehuela de Liestos
1996	1450,0	50017	Alfajarín
1996	1319,0	50018	Alfamén
1996	89,0	50019	Alforque
1996	1217,0	50020	Alhama de Aragón
1996	45,0	50021	Almochuel
1996	717,0	50022	Almolda (La)
1996	355,0	50023	Almonacid de la Cuba
1996	864,0	50024	Almonacid de la Sierra
1996	5373,0	50025	Almunia de Doña Godina (La)
1996	629,0	50026	Alpartir
1996	371,0	50027	Ambel
1996	73,0	50028	Anento
1996	911,0	50029	Aniñón
1996	317,0	50030	Añón de Moncayo
1996	254,0	50031	Aranda de Moncayo
1996	535,0	50032	Arándiga
1996	85,0	50033	Ardisa
1996	1385,0	50034	Ariza
1996	105,0	50035	Artieda
1996	108,0	50036	Asín
1996	251,0	50037	Atea
1996	2059,0	50038	Ateca
1996	759,0	50039	Azuara
1996	122,0	50040	Badules
1996	34,0	50041	Bagüés
1996	34,0	50042	Balconchán
1996	317,0	50043	Bárboles
1996	311,0	50044	Bardallur
1996	1628,0	50045	Belchite
1996	310,0	50046	Belmonte de Gracián
1996	53,0	50047	Berdejo
1996	38,0	50048	Berrueco
1996	148,0	50050	Bijuesca
1996	1255,0	50051	Biota
1996	141,0	50052	Bisimbre
1996	1028,0	50053	Boquiñeni
1996	101,0	50054	Bordalba
1996	4174,0	50055	Borja
1996	467,0	50056	Botorrita
1996	2019,0	50057	Brea de Aragón
1996	112,0	50058	Bubierca
1996	1035,0	50059	Bujaraloz
1996	265,0	50060	Bulbuente
1996	333,0	50061	Bureta
1996	1447,0	50062	Burgo de Ebro (El)
1996	121,0	50063	Buste (El)
1996	524,0	50064	Cabañas de Ebro
1996	86,0	50065	Cabolafuente
1996	1243,0	50066	Cadrete
1996	17078,0	50067	Calatayud
1996	2692,0	50068	Calatorao
1996	102,0	50069	Calcena
1996	94,0	50070	Calmarza
1996	214,0	50071	Campillo de Aragón
1996	251,0	50072	Carenas
1996	2852,0	50073	Cariñena
1996	7770,0	50074	Caspe
1996	121,0	50075	Castejón de Alarba
1996	154,0	50076	Castejón de las Armas
1996	351,0	50077	Castejón de Valdejasa
1996	437,0	50078	Castiliscar
1996	354,0	50079	Cervera de la Cañada
1996	6,0	50080	Cerveruela
1996	761,0	50081	Cetina
1996	141,0	50082	Cimballa
1996	134,0	50083	Cinco Olivas
1996	101,0	50084	Clarés de Ribota
1996	299,0	50085	Codo
1996	306,0	50086	Codos
1996	61,0	50087	Contamina
1996	431,0	50088	Cosuenda
1996	1720,0	50089	Cuarte de Huerva
1996	249,0	50090	Cubel
1996	103,0	50091	Cuerlas (Las)
1996	406,0	50092	Chiprana
1996	131,0	50093	Chodes
1996	2335,0	50094	Daroca
1996	15227,0	50095	Ejea de los Caballeros
1996	64,0	50096	Embid de Ariza
1996	347,0	50098	Encinacorba
1996	3957,0	50099	Épila
1996	484,0	50100	Erla
1996	1371,0	50101	Escatrón
1996	1261,0	50102	Fabara
1996	468,0	50104	Farlete
1996	392,0	50105	Fayón
1996	201,0	50106	Fayos (Los)
1996	955,0	50107	Figueruelas
1996	21,0	50108	Fombuena
1996	106,0	50109	Frago (El)
1996	573,0	50110	Frasno (El)
1996	261,0	50111	Fréscano
1996	935,0	50113	Fuendejalón
1996	154,0	50114	Fuendetodos
1996	3763,0	50115	Fuentes de Ebro
1996	372,0	50116	Fuentes de Jiloca
1996	191,0	50117	Gallocanta
1996	2992,0	50118	Gallur
1996	1289,0	50119	Gelsa
1996	77,0	50120	Godojos
1996	392,0	50121	Gotor
1996	65,0	50122	Grisel
1996	480,0	50123	Grisén
1996	605,0	50124	Herrera de los Navarros
1996	620,0	50125	Ibdes
1996	3282,0	50126	Illueca
1996	67,0	50128	Isuerre
1996	329,0	50129	Jaraba
1996	591,0	50130	Jarque
1996	306,0	50131	Jaulín
1996	363,0	50132	Joyosa (La)
1996	157,0	50133	Lagata
1996	190,0	50134	Langa del Castillo
1996	159,0	50135	Layana
1996	879,0	50136	Lécera
1996	1413,0	50137	Leciñena
1996	58,0	50138	Lechón
1996	506,0	50139	Letux
1996	183,0	50140	Litago
1996	122,0	50141	Lituénigo
1996	66,0	50142	Lobera de Onsella
1996	870,0	50143	Longares
1996	42,0	50144	Longás
1996	273,0	50146	Lucena de Jalón
1996	1074,0	50147	Luceni
1996	440,0	50148	Luesia
1996	22,0	50149	Luesma
1996	962,0	50150	Lumpiaque
1996	961,0	50151	Luna
1996	2079,0	50152	Maella
1996	1243,0	50153	Magallón
1996	194,0	50154	Mainar
1996	139,0	50155	Malanquilla
1996	314,0	50156	Maleján
1996	491,0	50157	Malón
1996	1031,0	50159	Maluenda
1996	2963,0	50160	Mallén
1996	162,0	50161	Manchones
1996	214,0	50162	Mara
1996	849,0	50163	María de Huerva
1996	515,0	50164	Mediana de Aragón
1996	2582,0	50165	Mequinenza
1996	392,0	50166	Mesones de Isuela
1996	318,0	50167	Mezalocha
1996	37,0	50168	Mianos
1996	532,0	50169	Miedes de Aragón
1996	553,0	50170	Monegrillo
1996	127,0	50171	Moneva
1996	324,0	50172	Monreal de Ariza
1996	238,0	50173	Monterde
1996	140,0	50174	Montón
1996	1614,0	50175	Morata de Jalón
1996	359,0	50176	Morata de Jiloca
1996	518,0	50177	Morés
1996	555,0	50178	Moros
1996	365,0	50179	Moyuela
1996	115,0	50180	Mozota
1996	1128,0	50181	Muel
1996	1098,0	50182	Muela (La)
1996	485,0	50183	Munébrega
1996	144,0	50184	Murero
1996	139,0	50185	Murillo de Gállego
1996	64,0	50186	Navardún
1996	123,0	50187	Nigüella
1996	33,0	50188	Nombrevilla
1996	1100,0	50189	Nonaspe
1996	773,0	50190	Novallas
1996	713,0	50191	Novillas
1996	297,0	50192	Nuévalos
1996	550,0	50193	Nuez de Ebro
1996	178,0	50194	Olvés
1996	47,0	50195	Orcajo
1996	143,0	50196	Orera
1996	108,0	50197	Orés
1996	60,0	50198	Oseja
1996	361,0	50199	Osera de Ebro
1996	702,0	50200	Paniza
1996	512,0	50201	Paracuellos de Jiloca
1996	331,0	50202	Paracuellos de la Ribera
1996	893,0	50203	Pastriz
1996	2582,0	50204	Pedrola
1996	109,0	50205	Pedrosas (Las)
1996	447,0	50206	Perdiguera
1996	200,0	50207	Piedratajada
1996	2187,0	50208	Pina de Ebro
1996	1472,0	50209	Pinseque
1996	88,0	50210	Pintanos (Los)
1996	361,0	50211	Plasencia de Jalón
1996	74,0	50212	Pleitas
1996	167,0	50213	Plenas
1996	22,0	50214	Pomer
1996	29,0	50215	Pozuel de Ariza
1996	367,0	50216	Pozuelo de Aragón
1996	652,0	50217	Pradilla de Ebro
1996	158,0	50218	Puebla de Albortón
1996	1578,0	50219	Puebla de Alfindén (La)
1996	61,0	50220	Puendeluna
1996	34,0	50221	Purujosa
1996	2152,0	50222	Quinto
1996	1253,0	50223	Remolinos
1996	76,0	50224	Retascón
1996	2043,0	50225	Ricla
1996	154,0	50227	Romanos
1996	358,0	50228	Rueda de Jalón
1996	93,0	50229	Ruesca
1996	1722,0	50230	Sádaba
1996	372,0	50231	Salillas de Jalón
1996	291,0	50232	Salvatierra de Esca
1996	149,0	50233	Samper del Salz
1996	314,0	50234	San Martín de la Virgen de Moncayo
1996	2031,0	50235	San Mateo de Gállego
1996	238,0	50236	Santa Cruz de Grío
1996	101,0	50237	Santa Cruz de Moncayo
1996	138,0	50238	Santa Eulalia de Gállego
1996	83,0	50239	Santed
1996	1510,0	50240	Sástago
1996	997,0	50241	Saviñán
1996	111,0	50242	Sediles
1996	485,0	50243	Sestrica
1996	275,0	50244	Sierra de Luna
1996	185,0	50245	Sigüés
1996	89,0	50246	Sisamón
1996	596,0	50247	Sobradiel
1996	850,0	50248	Sos del Rey Católico
1996	497,0	50249	Tabuenca
1996	67,0	50250	Talamantes
1996	10365,0	50251	Tarazona
1996	7017,0	50252	Tauste
1996	708,0	50253	Terrer
1996	265,0	50254	Tierga
1996	299,0	50255	Tobed
1996	112,0	50256	Torralba de los Frailes
1996	237,0	50257	Torralba de Ribota
1996	77,0	50258	Torralbilla
1996	119,0	50259	Torrehermosa
1996	48,0	50260	Torrelapaja
1996	336,0	50261	Torrellas
1996	1402,0	50262	Torres de Berrellén
1996	426,0	50263	Torrijo de la Cañada
1996	211,0	50264	Tosos
1996	67,0	50265	Trasmoz
1996	249,0	50266	Trasobares
1996	967,0	50267	Uncastillo
1996	59,0	50268	Undués de Lerda
1996	354,0	50269	Urrea de Jalón
1996	88,0	50270	Urriés
1996	404,0	50271	Used
1996	9075,0	50272	Utebo
1996	62,0	50273	Valdehorna
1996	74,0	50274	Val de San Martín
1996	63,0	50275	Valmadrid
1996	203,0	50276	Valpalmas
1996	102,0	50277	Valtorres
1996	290,0	50278	Velilla de Ebro
1996	130,0	50279	Velilla de Jiloca
1996	483,0	50280	Vera de Moncayo
1996	106,0	50281	Vierlas
1996	103,0	50282	Vilueña (La)
1996	87,0	50283	Villadoz
1996	241,0	50284	Villafeliche
1996	688,0	50285	Villafranca de Ebro
1996	126,0	50286	Villalba de Perejil
1996	453,0	50287	Villalengua
1996	2734,0	50288	Villanueva de Gállego
1996	127,0	50289	Villanueva de Jiloca
1996	617,0	50290	Villanueva de Huerva
1996	158,0	50291	Villar de los Navarros
1996	181,0	50292	Villarreal de Huerva
1996	725,0	50293	Villarroya de la Sierra
1996	83,0	50294	Villarroya del Campo
1996	34,0	50295	Vistabella
1996	619,0	50296	Zaida (La)
1996	601674,0	50297	Zaragoza
1996	5374,0	50298	Zuera
1996	204,0	50901	Biel
1998	290,0	22001	Abiego
1998	140,0	22002	Abizanda
1998	158,0	22003	Adahuesca
1998	157,0	22004	Agüero
1998	363,0	22006	Aísa
1998	1090,0	22007	Albalate de Cinca
1998	270,0	22008	Albalatillo
1998	962,0	22009	Albelda
1998	100,0	22011	Albero Alto
1998	119,0	22012	Albero Bajo
1998	388,0	22013	Alberuela de Tubo
1998	342,0	22014	Alcalá de Gurrea
1998	355,0	22015	Alcalá del Obispo
1998	950,0	22016	Alcampell
1998	1237,0	22017	Alcolea de Cinca
1998	467,0	22018	Alcubierre
1998	181,0	22019	Alerre
1998	128,0	22020	Alfántega
1998	2373,0	22021	Almudévar
1998	709,0	22022	Almunia de San Juan
1998	619,0	22023	Almuniente
1998	304,0	22024	Alquézar
1998	1448,0	22025	Altorricón
1998	429,0	22027	Angüés
1998	527,0	22028	Ansó
1998	161,0	22029	Antillón
1998	138,0	22032	Aragüés del Puerto
1998	398,0	22035	Arén
1998	127,0	22036	Argavieso
1998	57,0	22037	Arguis
1998	1116,0	22039	Ayerbe
1998	203,0	22040	Azanuy-Alins
1998	224,0	22041	Azara
1998	166,0	22042	Azlor
1998	157,0	22043	Baells
1998	321,0	22044	Bailo
1998	156,0	22045	Baldellou
1998	1084,0	22046	Ballobar
1998	177,0	22047	Banastás
1998	14462,0	22048	Barbastro
1998	119,0	22049	Barbués
1998	109,0	22050	Barbuñales
1998	120,0	22051	Bárcabo
1998	1397,0	22052	Belver de Cinca
1998	1166,0	22053	Benabarre
1998	1312,0	22054	Benasque
1998	476,0	22055	Berbegal
1998	461,0	22057	Bielsa
1998	224,0	22058	Bierge
1998	1243,0	22059	Biescas
1998	1597,0	22060	Binaced
1998	8115,0	22061	Binéfar
1998	220,0	22062	Bisaurri
1998	227,0	22063	Biscarrués
1998	178,0	22064	Blecua y Torres
1998	846,0	22066	Boltaña
1998	74,0	22067	Bonansa
1998	76,0	22068	Borau
1998	511,0	22069	Broto
1998	260,0	22072	Caldearenas
1998	360,0	22074	Campo
1998	254,0	22075	Camporrells
1998	433,0	22076	Canal de Berdún
1998	569,0	22077	Candasnos
1998	526,0	22078	Canfranc
1998	177,0	22079	Capdesaso
1998	402,0	22080	Capella
1998	308,0	22081	Casbas de Huesca
1998	400,0	22082	Castejón del Puente
1998	723,0	22083	Castejón de Monegros
1998	532,0	22084	Castejón de Sos
1998	152,0	22085	Castelflorite
1998	160,0	22086	Castiello de Jaca
1998	104,0	22087	Castigaleu
