Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Comarca
2017	345688189,0		01	La Jacetania
2017	243578720,0		02	Alto Gállego
2017	125883918,0		03	Sobrarbe
2017	193536963,0		04	La Ribagorza
2017	412333499,0		05	Cinco Villas
2017	1224681699,0		06	Hoya de Huesca / Plana de Uesca
2017	368733303,0		07	Somontano de Barbastro
2017	360029474,0		08	Cinca Medio
2017	256326694,0		09	La Litera / La Llitera
2017	228511479,0		10	Los Monegros
2017	334318472,0		11	Bajo Cinca / Baix Cinca
2017	185124929,0		12	Tarazona y el Moncayo
2017	180496863,0		13	Campo de Borja
2017	78367309,0		14	Aranda
2017	359395409,0		15	Ribera Alta del Ebro
2017	347579776,0		16	Valdejalón
2017	13205051837,0		17	D.C. Zaragoza
2017	112048791,0		18	Ribera Baja del Ebro
2017	174224284,0		19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	486091869,0		20	Comunidad de Calatayud
2017	113486229,0		21	Campo de Cariñena
2017	40224395,0		22	Campo de Belchite
2017	73798150,0		23	Bajo Martín
2017	70258070,0		24	Campo de Daroca
2017	149373287,0		25	Jiloca
2017	108193991,0		26	Cuencas Mineras
2017	158599199,0		27	Andorra-Sierra de Arcos
2017	406204043,0		28	Bajo Aragón
2017	752976402,0		29	Comunidad de Teruel
2017	38043487,0		30	Maestrazgo
2017	51233104,0		31	Sierra de Albarracín
2017	99338584,0		32	Gúdar-Javalambre
2017	91771590,0		33	Matarraña / Matarranya
2016	339043168,0	18980,1919050551	01	La Jacetania
2016	234497172,0	17320,1249723022	02	Alto Gállego
2016	118142513,0	15941,5076238025	03	Sobrarbe
2016	181996688,0	15022,4257531985	04	La Ribagorza
2016	399106625,0	13008,2665167367	05	Cinco Villas
2016	1186575414,0	17527,7399884781	06	Hoya de Huesca / Plana de Uesca
2016	357300384,0	15053,7343164104	07	Somontano de Barbastro
2016	342782467,0	14321,98825938	08	Cinca Medio
2016	249306477,0	13572,8700457317	09	La Litera / La Llitera
2016	215930627,0	11263,3992488655	10	Los Monegros
2016	323069742,0	13209,7044608905	11	Bajo Cinca / Baix Cinca
2016	179487470,0	12724,1932510988	12	Tarazona y el Moncayo
2016	175456379,0	12433,1334325397	13	Campo de Borja
2016	77102371,0	11054,1033691756	14	Aranda
2016	347522427,0	12908,492199688	15	Ribera Alta del Ebro
2016	337539302,0	11848,0572150655	16	Valdejalón
2016	12803823501,0	17307,4225332122	17	D.C. Zaragoza
2016	108712758,0	12410,1321917808	18	Ribera Baja del Ebro
2016	168491065,0	11603,2687142759	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	477819866,0	12499,2117296223	20	Comunidad de Calatayud
2016	110571127,0	10878,7019874065	21	Campo de Cariñena
2016	40595973,0	8501,77445026178	22	Campo de Belchite
2016	72058276,0	11045,1066830166	23	Bajo Martín
2016	65848794,0	11402,3885714286	24	Campo de Daroca
2016	146953211,0	11566,565210547	25	Jiloca
2016	108214278,0	12882,6521428571	26	Cuencas Mineras
2016	158777053,0	15182,3535092752	27	Andorra-Sierra de Arcos
2016	400771887,0	13799,7344191171	28	Bajo Aragón
2016	732580514,0	15875,9646757975	29	Comunidad de Teruel
2016	36338024,0	11139,7988963826	30	Maestrazgo
2016	49339834,0	10820,1390350877	31	Sierra de Albarracín
2016	93255875,0	12262,4424720579	32	Gúdar-Javalambre
2016	89719745,0	10839,6454029238	33	Matarraña / Matarranya
2015	327766898,0	18128,7001106195	01	La Jacetania
2015	227651650,0	16537,2403021938	02	Alto Gállego
2015	111990364,0	14821,382212811	03	Sobrarbe
2015	177365847,0	14331,4356011635	04	La Ribagorza
2015	386706158,0	12431,0839012473	05	Cinco Villas
2015	1156275335,0	17052,6993923842	06	Hoya de Huesca / Plana de Uesca
2015	345367876,0	14435,4389132706	07	Somontano de Barbastro
2015	332467341,0	13864,9376954835	08	Cinca Medio
2015	242516711,0	13097,6836789803	09	La Litera / La Llitera
2015	215407262,0	11009,264131657	10	Los Monegros
2015	312262178,0	12683,7880498802	11	Bajo Cinca / Baix Cinca
2015	173024080,0	12135,2279422079	12	Tarazona y el Moncayo
2015	167234060,0	11657,1908545936	13	Campo de Borja
2015	74725060,0	10551,4063823779	14	Aranda
2015	336708477,0	12405,89797723	15	Ribera Alta del Ebro
2015	322272633,0	11204,4165420853	16	Valdejalón
2015	12475563659,0	16798,5765401478	17	D.C. Zaragoza
2015	108900048,0	12148,5997322624	18	Ribera Baja del Ebro
2015	164952087,0	11064,6691038369	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	459949990,0	11989,7291590637	20	Comunidad de Calatayud
2015	106345627,0	10272,954694745	21	Campo de Cariñena
2015	39602867,0	8107,035209826	22	Campo de Belchite
2015	71487224,0	10800,3057863726	23	Bajo Martín
2015	64739512,0	10970,9391628538	24	Campo de Daroca
2015	143535073,0	11058,1720338983	25	Jiloca
2015	105864284,0	12322,696310092	26	Cuencas Mineras
2015	158706580,0	14773,0224332123	27	Andorra-Sierra de Arcos
2015	388637273,0	13214,460149609	28	Bajo Aragón
2015	703352426,0	15149,9682505493	29	Comunidad de Teruel
2015	35676470,0	10704,0114011401	30	Maestrazgo
2015	48018621,0	10322,1455288048	31	Sierra de Albarracín
2015	88849627,0	11401,2096753497	32	Gúdar-Javalambre
2015	86644712,0	10333,298986285	33	Matarraña / Matarranya
2014	321822448,0	17648,6124485879	01	La Jacetania
2014	223396211,0	15800,00077799	02	Alto Gállego
2014	109764295,0	14380,229922704	03	Sobrarbe
