Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Comarca
2014	105261858,0	11564,6954515491	18	Ribera Baja del Ebro
2014	161094457,0	10743,9280378818	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	456902183,0	11541,7228635663	20	Comunidad de Calatayud
2014	107071900,0	10041,442370815	21	Campo de Cariñena
2014	41348612,0	8324,66519025569	22	Campo de Belchite
2014	69735582,0	10425,4121692331	23	Bajo Martín
2014	65640904,0	10892,947892466	24	Campo de Daroca
2014	141156286,0	10689,6089360091	25	Jiloca
2014	105816919,0	12161,4663831743	26	Cuencas Mineras
2014	157947643,0	14482,6373555841	27	Andorra-Sierra de Arcos
2014	380959665,0	12852,8901821862	28	Bajo Aragón
2014	689776637,0	14762,7907927403	29	Comunidad de Teruel
2014	35202942,0	10347,7195767196	30	Maestrazgo
2014	46804963,0	9979,73624733476	31	Sierra de Albarracín
2014	87825286,0	11093,2532524946	32	Gúdar-Javalambre
2014	84362142,0	9935,47780002356	33	Matarraña / Matarranya
2013	325414515,0	17665,4098583139	01	La Jacetania
2013	225886566,0	15635,5344362151	02	Alto Gállego
2013	110277574,0	14282,809739671	03	Sobrarbe
2013	178292525,0	13776,2729871735	04	La Ribagorza
2013	383118202,0	11944,8214129825	05	Cinco Villas
2013	1149038518,0	16828,332132396	06	Hoya de Huesca / Plana de Uesca
2013	345089456,0	14312,5318734188	07	Somontano de Barbastro
2013	328810349,0	13578,2271638586	08	Cinca Medio
2013	238498618,0	12676,6566386733	09	La Litera / La Llitera
2013	217917747,0	10802,9817073171	10	Los Monegros
2013	306256434,0	12349,0497580645	11	Bajo Cinca / Baix Cinca
2013	168317068,0	11631,3363278281	12	Tarazona y el Moncayo
2013	163584248,0	10926,7415670296	13	Campo de Borja
2013	76246064,0	10490,6527242708	14	Aranda
2013	326953976,0	11775,7599855934	15	Ribera Alta del Ebro
2013	319053419,0	10804,7485184056	16	Valdejalón
2013	12282033544,0	16195,0915688705	17	D.C. Zaragoza
2013	106743213,0	11573,5891792258	18	Ribera Baja del Ebro
2013	161726890,0	10776,0454424307	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	472599837,0	11717,4481689931	20	Comunidad de Calatayud
2013	106303280,0	9841,07387520829	21	Campo de Cariñena
2013	41201366,0	8089,80286667976	22	Campo de Belchite
2013	70255581,0	10380,552748227	23	Bajo Martín
2013	66716937,0	10890,7830558276	24	Campo de Daroca
2013	143209965,0	10659,4689244511	25	Jiloca
2013	108382687,0	12267,4235427278	26	Cuencas Mineras
2013	162075975,0	14584,3584090705	27	Andorra-Sierra de Arcos
2013	383422399,0	12834,2225606695	28	Bajo Aragón
2013	699283669,0	14820,0417293631	29	Comunidad de Teruel
2013	35634596,0	10287,123556582	30	Maestrazgo
2013	47735693,0	9980,28287685553	31	Sierra de Albarracín
2013	89015874,0	10996,4019765287	32	Gúdar-Javalambre
2013	82304208,0	9536,98818076477	33	Matarraña / Matarranya
2012	339819228,0	18331,9430328532	01	La Jacetania
2012	238767165,0	16308,1186394372	02	Alto Gállego
2012	113514379,0	14530,7704813108	03	Sobrarbe
2012	184027867,0	13960,5421787286	04	La Ribagorza
2012	398655627,0	12205,8610269128	05	Cinco Villas
2012	1187189612,0	17411,0464318188	06	Hoya de Huesca / Plana de Uesca
2012	362754236,0	14849,9359751105	07	Somontano de Barbastro
2012	337905001,0	13994,8229861255	08	Cinca Medio
2012	247911382,0	13074,8052317916	09	La Litera / La Llitera
2012	215162334,0	10428,0683371298	10	Los Monegros
2012	323717018,0	13038,3848074754	11	Bajo Cinca / Baix Cinca
2012	176082668,0	12006,1821900995	12	Tarazona y el Moncayo
2012	170345162,0	11082,2433153341	13	Campo de Borja
2012	80270796,0	10829,8429573664	14	Aranda
2012	342805870,0	12281,2263103214	15	Ribera Alta del Ebro
2012	332071239,0	11169,5674066599	16	Valdejalón
2012	12081529942,0	16004,5701859898	17	D.C. Zaragoza
2012	108395503,0	11594,3419617071	18	Ribera Baja del Ebro
2012	165125625,0	10979,8274486336	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	492134240,0	12032,9162082202	20	Comunidad de Calatayud
2012	110812331,0	10020,1040781264	21	Campo de Cariñena
2012	40186788,0	7746,10408635312	22	Campo de Belchite
2012	73523240,0	10591,0746182656	23	Bajo Martín
2012	67171096,0	10800,9480623895	24	Campo de Daroca
2012	148447191,0	10837,9346572242	25	Jiloca
2012	112711400,0	12672,745671239	26	Cuencas Mineras
2012	173311442,0	15338,6531551465	27	Andorra-Sierra de Arcos
2012	401721365,0	13355,0985704787	28	Bajo Aragón
2012	723142348,0	15313,3504436398	29	Comunidad de Teruel
2012	37545732,0	10423,5791227096	30	Maestrazgo
2012	49202130,0	9980,14807302231	31	Sierra de Albarracín
2012	92433352,0	11099,1056676273	32	Gúdar-Javalambre
2012	84142706,0	9635,02874155502	33	Matarraña / Matarranya
2011	364931501,0	19505,6657758298	01	La Jacetania
2011	252466795,0	17035,5462213225	02	Alto Gállego
2011	119436268,0	15331,9984595635	03	Sobrarbe
2011	194229055,0	14500,1160880926	04	La Ribagorza
2011	422715317,0	12751,5932730015	05	Cinco Villas
2011	1266582130,0	18494,5699725483	06	Hoya de Huesca / Plana de Uesca
2011	389267654,0	16016,6085418038	07	Somontano de Barbastro
2011	356579601,0	14778,6638345491	08	Cinca Medio
2011	260040639,0	13589,7903841129	09	La Litera / La Llitera
2011	233331536,0	11196,8681798551	10	Los Monegros
2011	331369091,0	13465,3619001178	11	Bajo Cinca / Baix Cinca
2011	187025255,0	12666,7968167965	12	Tarazona y el Moncayo
2011	180152465,0	11663,3733652726	13	Campo de Borja
2011	83831681,0	11176,0673243568	14	Aranda
2011	363498926,0	13087,2700630063	15	Ribera Alta del Ebro
2011	349724069,0	11650,478679459	16	Valdejalón
2011	12768817900,0	17062,4003153562	17	D.C. Zaragoza
2011	115263129,0	12246,4012962176	18	Ribera Baja del Ebro
2011	171604097,0	11381,8463222126	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	516515635,0	12593,9491136957	20	Comunidad de Calatayud
2011	115301551,0	10158,7269603524	21	Campo de Cariñena
2011	43285427,0	8191,79163512491	22	Campo de Belchite
2011	77975577,0	11049,394501913	23	Bajo Martín
2011	72875573,0	11527,2972160709	24	Campo de Daroca
2011	159154415,0	11419,5605223506	25	Jiloca
2011	120913546,0	13370,9549928121	26	Cuencas Mineras
2011	185564028,0	16206,4653275109	27	Andorra-Sierra de Arcos
2011	427212778,0	14080,3789591642	28	Bajo Aragón
2011	771649244,0	16471,3380293716	29	Comunidad de Teruel
2011	38954663,0	10614,3495912807	30	Maestrazgo
2011	53138217,0	10668,1824934752	31	Sierra de Albarracín
2011	96354095,0	11369,2147492625	32	Gúdar-Javalambre
2011	88735140,0	10077,8126064736	33	Matarraña / Matarranya
2010	362020778,0	19396,7412130304	01	La Jacetania
2010	255428970,0	17118,7567857382	02	Alto Gállego
2010	118675008,0	15376,393884426	03	Sobrarbe
2010	192834630,0	14312,672010688	04	La Ribagorza
2010	417880033,0	12537,278599502	05	Cinco Villas
2010	1245797296,0	18205,9580288771	06	Hoya de Huesca / Plana de Uesca
2010	382192185,0	15657,1972552233	07	Somontano de Barbastro
2010	348325962,0	14482,8057877011	08	Cinca Medio
2010	255183897,0	13317,8799123219	09	La Litera / La Llitera
2010	228456794,0	10909,0246394805	10	Los Monegros
2010	331227353,0	13426,3215646534	11	Bajo Cinca / Baix Cinca
2010	183385393,0	12449,7890699253	12	Tarazona y el Moncayo
2010	179350892,0	11558,3483920861	13	Campo de Borja
2010	82222132,0	10794,5558618879	14	Aranda
2010	360543613,0	12956,6109533906	15	Ribera Alta del Ebro
2010	346648065,0	11353,226509023	16	Valdejalón
2010	12580368272,0	16847,5266760321	17	D.C. Zaragoza
2010	111432238,0	11789,2761320355	18	Ribera Baja del Ebro
2010	169148316,0	11264,5388918487	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	514810786,0	12253,6068835837	20	Comunidad de Calatayud
2010	113651284,0	10171,957755303	21	Campo de Cariñena
2010	44173209,0	8397,94847908745	22	Campo de Belchite
2010	77945617,0	10924,4032235459	23	Bajo Martín
2010	70487746,0	11383,6799095607	24	Campo de Daroca
2010	155643893,0	11005,7907650969	25	Jiloca
2010	118720141,0	13054,7768858588	26	Cuencas Mineras
2010	174067399,0	15106,0833984206	27	Andorra-Sierra de Arcos
2010	424518327,0	14005,421365181	28	Bajo Aragón
2010	762726724,0	16243,0888685393	29	Comunidad de Teruel
2010	38634702,0	10492,8576860402	30	Maestrazgo
2010	51915444,0	10530,5160243408	31	Sierra de Albarracín
2010	97358663,0	11307,6263646922	32	Gúdar-Javalambre
2010	88705232,0	9974,72528955358	33	Matarraña / Matarranya
2009	389600466,0	20830,9076618724	01	La Jacetania
2009	268734189,0	18016,5050281577	02	Alto Gállego
2009	118623267,0	15278,6278979907	03	Sobrarbe
2009	196159213,0	14713,4123162316	04	La Ribagorza
2009	425784177,0	12679,695562835	05	Cinco Villas
2009	1256496071,0	18480,0575214731	06	Hoya de Huesca / Plana de Uesca
2009	387838051,0	15907,3889914278	07	Somontano de Barbastro
2009	356368421,0	14844,3546049069	08	Cinca Medio
2009	261694531,0	13565,6280649007	09	La Litera / La Llitera
2009	231694488,0	10913,5415920867	10	Los Monegros
2009	325533411,0	13199,2624984795	11	Bajo Cinca / Baix Cinca
2009	186159762,0	12557,1508937605	12	Tarazona y el Moncayo
2009	177719096,0	11376,9346392677	13	Campo de Borja
2009	83756475,0	10883,1178534304	14	Aranda
2009	348738772,0	12540,0493347717	15	Ribera Alta del Ebro
2009	342395682,0	11270,4306122449	16	Valdejalón
2009	12731916211,0	17129,367413357	17	D.C. Zaragoza
2009	114648310,0	12284,1862209365	18	Ribera Baja del Ebro
2009	169154012,0	11448,6640947547	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2009	519952495,0	12286,5023984499	20	Comunidad de Calatayud
2009	113467896,0	10118,4141252006	21	Campo de Cariñena
2009	43171760,0	8164,09984871407	22	Campo de Belchite
2009	77022249,0	10660,5188927336	23	Bajo Martín
2009	71339081,0	11284,2583043341	24	Campo de Daroca
2009	157112273,0	10878,8445506163	25	Jiloca
2009	117689860,0	12697,1474808501	26	Cuencas Mineras
2009	172749631,0	14890,9258684596	27	Andorra-Sierra de Arcos
2009	419030812,0	13797,5242673691	28	Bajo Aragón
2009	756810546,0	15979,6149996833	29	Comunidad de Teruel
2009	39568571,0	10467,8759259259	30	Maestrazgo
2009	48354661,0	9733,2248389694	31	Sierra de Albarracín
2009	93957189,0	10686,6684485896	32	Gúdar-Javalambre
2009	89246373,0	9979,46695739685	33	Matarraña / Matarranya
2008	389085467,0	21019,148992491	01	La Jacetania
2008	265866128,0	18247,5036376115	02	Alto Gállego
2008	116785671,0	15104,199560269	03	Sobrarbe
2008	198849483,0	14978,1171286532	04	La Ribagorza
2008	433295525,0	12901,8438839924	05	Cinco Villas
2008	1262458471,0	18901,0595571392	06	Hoya de Huesca / Plana de Uesca
2008	390011967,0	16189,7869240349	07	Somontano de Barbastro
2008	352518388,0	14861,6521079258	08	Cinca Medio
2008	260909068,0	13613,1205259313	09	La Litera / La Llitera
2008	228857230,0	10775,8371786421	10	Los Monegros
2008	328728435,0	13644,713390337	11	Bajo Cinca / Baix Cinca
2008	190102164,0	12890,9041839018	12	Tarazona y el Moncayo
2008	178156249,0	11548,3405069035	13	Campo de Borja
2008	86240729,0	11301,3666622985	14	Aranda
2008	354204519,0	13142,0495325022	15	Ribera Alta del Ebro
2008	343552394,0	11673,9404668864	16	Valdejalón
2008	12900083639,0	17639,5720571847	17	D.C. Zaragoza
2008	115072349,0	12453,7174242424	18	Ribera Baja del Ebro
2008	165670982,0	11884,5754662841	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	528981426,0	12482,1592298072	20	Comunidad de Calatayud
2008	114711378,0	10440,6460362246	21	Campo de Cariñena
2008	43280679,0	8193,99450965543	22	Campo de Belchite
2008	78420990,0	10726,4382437423	23	Bajo Martín
2008	74320126,0	11446,1922069921	24	Campo de Daroca
2008	158664559,0	10875,6295153883	25	Jiloca
2008	121348264,0	12928,6452162796	26	Cuencas Mineras
2008	174368944,0	15107,3422283833	27	Andorra-Sierra de Arcos
2008	422668207,0	14020,7061301665	28	Bajo Aragón
2008	746168859,0	15889,117757288	29	Comunidad de Teruel
2008	40027071,0	10564,0197941409	30	Maestrazgo
2008	46940261,0	9361,83905065816	31	Sierra de Albarracín
2008	93573139,0	10765,432466636	32	Gúdar-Javalambre
2008	87429224,0	9830,13537216101	33	Matarraña / Matarranya
2007	371675043,0	20484,7356150794	01	La Jacetania
2007	263676324,0	18894,7562880688	02	Alto Gállego
2007	111107656,0	14848,0096218094	03	Sobrarbe
2007	184622271,0	14253,2441133328	04	La Ribagorza
2007	409844662,0	12346,2062296662	05	Cinco Villas
2007	1207401980,0	18499,7085772071	06	Hoya de Huesca / Plana de Uesca
2007	371532359,0	15734,2294075298	07	Somontano de Barbastro
2007	333184958,0	14433,5885461792	08	Cinca Medio
2007	271282913,0	14378,6989452483	09	La Litera / La Llitera
2007	224457074,0	10715,4759154055	10	Los Monegros
2007	312934917,0	13234,7184182702	11	Bajo Cinca / Baix Cinca
2007	184281803,0	12544,7108917631	12	Tarazona y el Moncayo
2007	162707886,0	10909,7415850878	13	Campo de Borja
2007	81753445,0	10718,9517503606	14	Aranda
2007	332870899,0	12929,5357933579	15	Ribera Alta del Ebro
2007	319918359,0	11666,0598402801	16	Valdejalón
2007	12228241619,0	17111,9131980789	17	D.C. Zaragoza
2007	107508555,0	11743,1518296013	18	Ribera Baja del Ebro
2007	157519502,0	11603,6465561694	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	498106685,0	12044,3632121095	20	Comunidad de Calatayud
2007	107483294,0	10134,1970582689	21	Campo de Cariñena
2007	41554013,0	7957,49004212945	22	Campo de Belchite
2007	74457435,0	10025,2369732059	23	Bajo Martín
2007	70762318,0	10821,5809756844	24	Campo de Daroca
2007	150271344,0	10543,1378657125	25	Jiloca
2007	115647401,0	12178,5384372367	26	Cuencas Mineras
2007	163481575,0	14452,0487093352	27	Andorra-Sierra de Arcos
2007	395774518,0	13480,9768376592	28	Bajo Aragón
2007	692130657,0	15061,7077666311	29	Comunidad de Teruel
2007	37454202,0	10027,8987951807	30	Maestrazgo
2007	44982255,0	8923,28010315414	31	Sierra de Albarracín
2007	91028026,0	10494,3539312889	32	Gúdar-Javalambre
2007	82948050,0	9429,12924860748	33	Matarraña / Matarranya
2006	357955284,0	19704,6836948145	01	La Jacetania
2006	246424088,0	18311,9631418593	02	Alto Gállego
2006	109099598,0	14959,4951323187	03	Sobrarbe
2006	173495365,0	13542,6871438607	04	La Ribagorza
2006	392329387,0	11833,5460879532	05	Cinco Villas
2006	1147772837,0	17786,3792130914	06	Hoya de Huesca / Plana de Uesca
2006	353989872,0	15086,5100579611	07	Somontano de Barbastro
2006	318541977,0	13806,4310419556	08	Cinca Medio
2006	234377317,0	12435,789091102	09	La Litera / La Llitera
2006	214999987,0	10289,0499138591	10	Los Monegros
2006	300655223,0	12867,2097492083	11	Bajo Cinca / Baix Cinca
2006	167850889,0	11516,3560205832	12	Tarazona y el Moncayo
2006	157241610,0	10826,3295235472	13	Campo de Borja
2006	80682388,0	10504,1515427679	14	Aranda
2006	316693627,0	12731,4020904523	15	Ribera Alta del Ebro
2006	298566572,0	11293,5118205545	16	Valdejalón
2006	11625492250,0	16544,9280735261	17	D.C. Zaragoza
2006	104868327,0	11402,4493856692	18	Ribera Baja del Ebro
2006	150058883,0	11028,8757165956	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	462051940,0	11457,6323554938	20	Comunidad de Calatayud
2006	104651345,0	9891,43147448015	21	Campo de Cariñena
2006	39320494,0	7567,4545804465	22	Campo de Belchite
2006	70703475,0	9749,5139271925	23	Bajo Martín
2006	67876554,0	10293,6842584167	24	Campo de Daroca
2006	137337565,0	9829,48504151159	25	Jiloca
2006	110480440,0	11658,9742507387	26	Cuencas Mineras
2006	153910274,0	13837,1189427313	27	Andorra-Sierra de Arcos
2006	373010811,0	12805,9190812963	28	Bajo Aragón
2006	655744716,0	14471,4478405756	29	Comunidad de Teruel
2006	36733025,0	9829,549103559	30	Maestrazgo
2006	42243358,0	8600,03216612378	31	Sierra de Albarracín
2006	86361497,0	10072,4862374621	32	Gúdar-Javalambre
2006	79721033,0	9191,86359967716	33	Matarraña / Matarranya
2005	331430279,0	18484,6781372002	01	La Jacetania
2005	230094791,0	17536,3761146254	02	Alto Gállego
2005	99455126,0	13907,8626765487	03	Sobrarbe
2005	160023421,0	12595,3105863833	04	La Ribagorza
2005	314862030,0	9438,02733731003	05	Cinco Villas
2005	1070486090,0	16875,5886433143	06	Hoya de Huesca / Plana de Uesca
2005	333203130,0	14232,7593866131	07	Somontano de Barbastro
2005	296738036,0	12937,65416812	08	Cinca Medio
2005	221150606,0	11764,5816576232	09	La Litera / La Llitera
2005	194845055,0	9354,50837774257	10	Los Monegros
2005	276047428,0	11773,7536466775	11	Bajo Cinca / Baix Cinca
2005	156149151,0	10793,4714177093	12	Tarazona y el Moncayo
2005	146960354,0	10163,2333333333	13	Campo de Borja
2005	76738155,0	9796,77709689774	14	Aranda
2005	292867068,0	12025,4195614683	15	Ribera Alta del Ebro
2005	272170095,0	10434,3695368808	16	Valdejalón
2005	10987096109,0	15751,3864725919	17	D.C. Zaragoza
2005	98775827,0	10709,7286132495	18	Ribera Baja del Ebro
2005	148698543,0	11230,1595800921	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	437114048,0	10654,3019962464	20	Comunidad de Calatayud
2005	98072413,0	9029,77746063898	21	Campo de Cariñena
2005	37029039,0	7092,32694886037	22	Campo de Belchite
2005	66231325,0	9102,7109675646	23	Bajo Martín
2005	62447345,0	9591,05283366611	24	Campo de Daroca
2005	129235033,0	9270,80581061693	25	Jiloca
2005	104287250,0	11035,6878306878	26	Cuencas Mineras
2005	151327009,0	13562,1983330346	27	Andorra-Sierra de Arcos
2005	347070862,0	12083,7985516329	28	Bajo Aragón
2005	620077982,0	13839,1729232692	29	Comunidad de Teruel
2005	33115179,0	8856,69403583846	30	Maestrazgo
2005	39264257,0	8059,16605090312	31	Sierra de Albarracín
2005	77951420,0	9282,14098594904	32	Gúdar-Javalambre
2005	73117539,0	8375,43402061856	33	Matarraña / Matarranya
2004	310383101,0	17613,3867324935	01	La Jacetania
2004	213739025,0	16765,16001255	02	Alto Gállego
2004	93968312,0	13514,7867107723	03	Sobrarbe
2004	147956984,0	11790,3405849072	04	La Ribagorza
2004	348092217,0	10538,9874655606	05	Cinco Villas
2004	999643002,0	16015,556691286	06	Hoya de Huesca / Plana de Uesca
2004	314916416,0	13565,2128365281	07	Somontano de Barbastro
2004	280690615,0	12414,9946923791	08	Cinca Medio
2004	209150873,0	11166,6242925788	09	La Litera / La Llitera
2004	198190238,0	9495,9627233961	10	Los Monegros
2004	260971265,0	11311,6581422565	11	Bajo Cinca / Baix Cinca
2004	145107375,0	10089,5129328327	12	Tarazona y el Moncayo
2004	134678302,0	9398,34626657362	13	Campo de Borja
2004	74154509,0	9278,59221721722	14	Aranda
2004	272782137,0	11581,1385327333	15	Ribera Alta del Ebro
2004	251091577,0	9973,05385868054	16	Valdejalón
2004	10271791440,0	14976,2294768857	17	D.C. Zaragoza
2004	93509260,0	10131,014084507	18	Ribera Baja del Ebro
2004	128307198,0	9950,15106630477	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004	411524241,0	10145,0606695592	20	Comunidad de Calatayud
2004	87830428,0	8193,90129676276	21	Campo de Cariñena
2004	35422722,0	6707,57848892255	22	Campo de Belchite
2004	64840314,0	8913,98322793511	23	Bajo Martín
2004	60560852,0	9405,31945954341	24	Campo de Daroca
2004	123717981,0	8990,47896228472	25	Jiloca
2004	99980720,0	10629,4620455029	26	Cuencas Mineras
2004	145814374,0	13090,4366639734	27	Andorra-Sierra de Arcos
2004	323627391,0	11501,8442264634	28	Bajo Aragón
2004	579439794,0	13127,0200946965	29	Comunidad de Teruel
2004	31707268,0	8457,52680714857	30	Maestrazgo
2004	38935974,0	7912,20768136558	31	Sierra de Albarracín
2004	71404393,0	8767,72998526523	32	Gúdar-Javalambre
2004	69526710,0	8027,56148250779	33	Matarraña / Matarranya
2003	297151055,0	17177,3544713567	01	La Jacetania
2003	205258395,0	16299,4040339871	02	Alto Gállego
2003	86881873,0	12586,1035781544	03	Sobrarbe
2003	140218337,0	11434,2605398353	04	La Ribagorza
2003	332876203,0	10211,2397006043	05	Cinco Villas
2003	955098481,0	15490,0092606108	06	Hoya de Huesca / Plana de Uesca
2003	304787757,0	13170,8982757876	07	Somontano de Barbastro
2003	266570301,0	11751,986112948	08	Cinca Medio
2003	200888440,0	10731,2200854701	09	La Litera / La Llitera
2003	188717564,0	8998,54873164219	10	Los Monegros
2003	253822051,0	11054,4859108924	11	Bajo Cinca / Baix Cinca
2003	138047533,0	9622,71943398857	12	Tarazona y el Moncayo
2003	128809210,0	8980,00627440045	13	Campo de Borja
2003	70968532,0	8811,58827911597	14	Aranda
2003	253160113,0	10952,6742666782	15	Ribera Alta del Ebro
2003	228973262,0	9315,80869848244	16	Valdejalón
2003	9918731145,0	14798,7973618366	17	D.C. Zaragoza
