Año	Provincia código	Provincia nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2004	44	Teruel	564,0	427,0	137,0	248504,0	178408,0	70096,0	915,0	193,0	72,0	89,0	79,0	ESTIMACIÓN
2004	50	Zaragoza	3303,0	2595,0	708,0	2149605,0	1545561,0	604044,0	8950,0	659,0	120,0	554,0	646,0	ESTIMACIÓN
2003	22	Huesca	1174,0	810,0	364,0	826910,0	575038,0	251872,0	2948,0	278,0	212,0	50,0	55,0	ESTIMACIÓN
2003	44	Teruel	561,0	367,0	194,0	279740,0	172812,0	106928,0	830,0	141,0	40,0	56,0	58,0	ESTIMACIÓN
2003	50	Zaragoza	2628,0	2207,0	421,0	1884910,0	1295639,0	589271,0	7536,0	525,0	231,0	398,0	638,0	ESTIMACIÓN
2002	22	Huesca	1040,0	785,0	255,0	625908,0	428310,0	197598,0	2621,0	225,0	116,0	45,0	51,0	ESTIMACIÓN
2002	44	Teruel	459,0	316,0	143,0	293868,0	205534,0	88334,0	847,0	178,0	53,0	42,0	44,0	ESTIMACIÓN
2002	50	Zaragoza	2808,0	2507,0	301,0	2174343,0	1595843,0	578500,0	9360,0	543,0	181,0	344,0	525,0	ESTIMACIÓN
2001	22	Huesca	926,0	585,0	341,0	599272,0	409060,0	190212,0	2712,0	213,0	117,0	50,0	41,0	ESTIMACIÓN
2001	44	Teruel	427,0	305,0	122,0	238577,0	155720,0	82857,0	761,0	177,0	56,0	47,0	48,0	ESTIMACIÓN
2001	50	Zaragoza	2665,0	2125,0	540,0	1932645,0	1339057,0	593588,0	7919,0	468,0	206,0	340,0	553,0	ESTIMACIÓN
2000	22	Huesca	944,0	641,0	303,0	515972,0	354621,0	161351,0	2319,0	248,0	172,0	53,0	74,0	ESTIMACIÓN
2000	44	Teruel	468,0	333,0	135,0	227976,0	148142,0	79834,0	694,0	233,0	80,0	34,0	33,0	ESTIMACIÓN
2000	50	Zaragoza	2528,0	2077,0	451,0	1901555,0	1467884,0	433671,0	7728,0	509,0	222,0	381,0	590,0	ESTIMACIÓN
