Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2005	08	Cinca Medio	17068,0	304536,0	295574,0	2553782,0	2552875,0
2005	09	La Litera / La Llitera	14615,0	274953,0	254084,0	1917492,0	1915633,0
2005	10	Los Monegros	15663,0	328499,0	289630,0	1662151,0	1648063,0
2005	11	Bajo Cinca / Baix Cinca	16142,0	377715,0	358244,0	2542277,0	2500715,0
2005	12	Tarazona y el Moncayo	15410,0	185017,0	181878,0	1383994,0	1383989,0
2005	13	Campo de Borja	12854,0	178166,0	177172,0	1134897,0	1134720,0
2005	14	Aranda	9542,0	87174,0	86776,0	429580,0	427737,0
2005	15	Ribera Alta del Ebro	16775,0	666210,0	514573,0	2930589,0	2919438,0
2005	16	Valdejalón	20057,0	484641,0	484641,0	2676709,0	2673176,0
2005	17	D.C. Zaragoza	460574,0	19236887,0	18868519,0	102942662,0	99098176,0
2005	18	Ribera Baja del Ebro	7530,0	168379,0	162764,0	829264,0	829261,0
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11394,0	221115,0	221115,0	1549429,0	1549427,0
2005	20	Comunidad de Calatayud	46239,0	696143,0	669121,0	3734280,0	3687455,0
2005	21	Campo de Cariñena	9847,0	140673,0	133317,0	831594,0	828001,0
2005	22	Campo de Belchite	6725,0	56326,0	56326,0	289740,0	289726,0
2005	23	Bajo Martín	8094,0	104951,0	89986,0	517745,0	516393,0
2005	24	Campo de Daroca	10937,0	109666,0	99830,0	516504,0	513322,0
2005	25	Jiloca	19864,0	224255,0	221802,0	1109799,0	1109799,0
2005	26	Cuencas Mineras	13374,0	96585,0	96585,0	588240,0	588240,0
2005	27	Andorra-Sierra de Arcos	10764,0	186272,0	186272,0	1073038,0	1072645,0
2005	28	Bajo Aragón	26492,0	408529,0	402884,0	2749644,0	2748340,0
2005	29	Comunidad de Teruel	42213,0	996924,0	996924,0	5010546,0	4926478,0
2005	30	Maestrazgo	6429,0	47690,0	47689,0	251564,0	251564,0
2005	31	Sierra de Albarracín	9285,0	98699,0	85736,0	465591,0	457159,0
2005	32	Gúdar-Javalambre	17530,0	189732,0	179951,0	1032150,0	1032140,0
2005	33	Matarraña / Matarranya	10124,0	145892,0	129731,0	753740,0	753734,0
2006	01	La Jacetania	37199,0	848737,0	828843,0	6102472,0	6101842,0
