Año	Provincia código	Provincia nombre	Población
1996	22	Huesca	206916,0
1996	44	Teruel	138211,0
1996	50	Zaragoza	842419,0
1998	22	Huesca	204956,0
1998	44	Teruel	136840,0
1998	50	Zaragoza	841438,0
1999	22	Huesca	205429,0
1999	44	Teruel	136849,0
1999	50	Zaragoza	844571,0
2000	22	Huesca	205430,0
2000	44	Teruel	136473,0
2000	50	Zaragoza	848006,0
2001	22	Huesca	205955,0
2001	44	Teruel	136233,0
2001	50	Zaragoza	857565,0
2002	22	Huesca	208963,0
2002	44	Teruel	137342,0
2002	50	Zaragoza	871209,0
2003	22	Huesca	211286,0
2003	44	Teruel	138686,0
2003	50	Zaragoza	880118,0
2004	22	Huesca	212901,0
2004	44	Teruel	139333,0
2004	50	Zaragoza	897350,0
2005	22	Huesca	215864,0
2005	44	Teruel	141091,0
2005	50	Zaragoza	912072,0
2006	22	Huesca	218023,0
2006	44	Teruel	142160,0
2006	50	Zaragoza	917288,0
2007	22	Huesca	220107,0
2007	44	Teruel	144046,0
2007	50	Zaragoza	932502,0
2008	22	Huesca	225271,0
2008	44	Teruel	146324,0
2008	50	Zaragoza	955323,0
2009	22	Huesca	228409,0
2009	44	Teruel	146751,0
2009	50	Zaragoza	970313,0
2010	22	Huesca	228566,0
2010	44	Teruel	145277,0
2010	50	Zaragoza	973252,0
2011	22	Huesca	228361,0
2011	44	Teruel	144607,0
2011	50	Zaragoza	973325,0
2012	22	Huesca	227609,0
2012	44	Teruel	143728,0
2012	50	Zaragoza	978130,0
2013	22	Huesca	226329,0
2013	44	Teruel	142183,0
2013	50	Zaragoza	978638,0
2014	22	Huesca	224909,0
2014	44	Teruel	140365,0
2014	50	Zaragoza	960111,0
2015	22	Huesca	222909,0
2015	44	Teruel	138932,0
2015	50	Zaragoza	956006,0
2016	22	Huesca	221079,0
2016	44	Teruel	136977,0
2016	50	Zaragoza	950507,0
2019	22	Huesca	220461,0
2019	44	Teruel	134137,0
2019	50	Zaragoza	964693,0
2020	22	Huesca	222687,0
2020	44	Teruel	134176,0
2020	50	Zaragoza	972528,0
