Año	Municipio código	Municipio	Superficie (km2)
2015,0	22001	Abiego	38,19
2015,0	22002	Abizanda	44,84
2015,0	22003	Adahuesca	52,47
2015,0	22004	Agüero	94,16
2015,0	22006	Aísa	80,97
2015,0	22007	Albalate de Cinca	44,23
2015,0	22008	Albalatillo	9,15
2015,0	22009	Albelda	51,92
2015,0	22011	Albero Alto	19,28
2015,0	22012	Albero Bajo	22,22
2015,0	22013	Alberuela de Tubo	20,79
2015,0	22014	Alcalá de Gurrea	71,42
2015,0	22015	Alcalá del Obispo	47,85
2015,0	22016	Alcampell	58,0
2015,0	22017	Alcolea de Cinca	83,24
2015,0	22018	Alcubierre	115,32
2015,0	22019	Alerre	8,94
2015,0	22020	Alfántega	8,76
2015,0	22021	Almudévar	201,49
2015,0	22022	Almunia de San Juan	35,66
2015,0	22023	Almuniente	37,56
2015,0	22024	Alquézar	32,36
2015,0	22025	Altorricón	32,41
2015,0	22027	Angüés	56,52
2015,0	22028	Ansó	201,47
2015,0	22029	Antillón	22,41
2015,0	22032	Aragüés del Puerto	64,44
2015,0	22035	Arén	119,32
2015,0	22036	Argavieso	9,71
2015,0	22037	Arguis	62,75
2015,0	22039	Ayerbe	63,89
2015,0	22040	Azanuy-Alins	51,17
2015,0	22041	Azara	14,49
2015,0	22042	Azlor	15,89
2015,0	22043	Baells	39,82
2015,0	22044	Bailo	164,43
2015,0	22045	Baldellou	30,42
2015,0	22046	Ballobar	127,73
2015,0	22047	Banastás	4,66
2015,0	22048	Barbastro	107,6
2015,0	22049	Barbués	19,59
2015,0	22050	Barbuñales	18,75
2015,0	22051	Bárcabo	87,92
2015,0	22052	Belver de Cinca	82,63
2015,0	22053	Benabarre	157,14
2015,0	22054	Benasque	233,2
2015,0	22055	Berbegal	49,03
2015,0	22057	Bielsa	202,41
2015,0	22058	Bierge	145,03
2015,0	22059	Biescas	189,09
2015,0	22060	Binaced	78,49
2015,0	22061	Binéfar	25,1
2015,0	22062	Bisaurri	63,19
2015,0	22063	Biscarrués	30,18
2015,0	22064	Blecua y Torres	36,2
2015,0	22066	Boltaña	139,45
2015,0	22067	Bonansa	37,29
2015,0	22068	Borau	41,72
2015,0	22069	Broto	128,05
2015,0	22072	Caldearenas	192,31
2015,0	22074	Campo	22,86
2015,0	22075	Camporrells	26,71
2015,0	22076	Canal de Berdún	133,27
2015,0	22077	Candasnos	122,45
2015,0	22078	Canfranc	71,56
2015,0	22079	Capdesaso	17,7
2015,0	22080	Capella	60,71
2015,0	22081	Casbas de Huesca	132,69
2015,0	22082	Castejón del Puente	25,43
2015,0	22083	Castejón de Monegros	165,33
2015,0	22084	Castejón de Sos	31,55
2015,0	22085	Castelflorite	34,76
2015,0	22086	Castiello de Jaca	17,31
2015,0	22087	Castigaleu	26,53
2015,0	22088	Castillazuelo	15,32
2015,0	22089	Castillonroy	37,58
2015,0	22090	Colungo	40,64
2015,0	22094	Chalamera	11,5
2015,0	22095	Chía	26,1
2015,0	22096	Chimillas	10,04
2015,0	22099	Esplús	73,0
2015,0	22102	Estada	15,87
2015,0	22103	Estadilla	50,39
2015,0	22105	Estopiñán del Castillo	88,71
2015,0	22106	Fago	50,37
2015,0	22107	Fanlo	187,1
2015,0	22109	Fiscal	170,06
2015,0	22110	Fonz	51,86
2015,0	22111	Foradada del Toscar	106,25
2015,0	22112	Fraga	437,64
2015,0	22113	Fueva (La)	218,85
2015,0	22114	Gistaín	75,9
2015,0	22115	Grado (El)	63,77
2015,0	22116	Grañén	123,98
2015,0	22117	Graus	299,79
2015,0	22119	Gurrea de Gállego	191,97
2015,0	22122	Hoz de Jaca	12,45
2015,0	22124	Huerto	86,72
2015,0	22125	Huesca	161,04
2015,0	22126	Ibieca	14,94
2015,0	22127	Igriés	19,17
2015,0	22128	Ilche	63,72
2015,0	22129	Isábena	118,53
2015,0	22130	Jaca	406,34
2015,0	22131	Jasa	8,9
2015,0	22133	Labuerda	17,85
2015,0	22135	Laluenga	36,47
2015,0	22136	Lalueza	88,19
2015,0	22137	Lanaja	183,7
2015,0	22139	Laperdiguera	11,32
2015,0	22141	Lascellas-Ponzano	27,33
2015,0	22142	Lascuarre	31,87
2015,0	22143	Laspaúles	81,75
2015,0	22144	Laspuña	45,29
2015,0	22149	Loarre	74,42
2015,0	22150	Loporzano	169,28
2015,0	22151	Loscorrales	40,25
2015,0	22155	Monesma y Cajigar	62,6
2015,0	22156	Monflorite-Lascasas	29,16
2015,0	22157	Montanuy	174,2
2015,0	22158	Monzón	155,02
2015,0	22160	Naval	47,32
2015,0	22162	Novales	20,08
2015,0	22163	Nueno	147,24
2015,0	22164	Olvena	15,89
2015,0	22165	Ontiñena	136,96
2015,0	22167	Osso de Cinca	27,66
2015,0	22168	Palo	14,4
2015,0	22170	Panticosa	95,9
2015,0	22172	Peñalba	156,7
2015,0	22173	Peñas de Riglos (Las)	217,87
2015,0	22174	Peralta de Alcofea	116,14
2015,0	22175	Peralta de Calasanz	114,88
2015,0	22176	Peraltilla	16,2
2015,0	22177	Perarrúa	30,05
2015,0	22178	Pertusa	29,37
2015,0	22181	Piracés	25,15
2015,0	22182	Plan	93,36
2015,0	22184	Poleñino	33,02
2015,0	22186	Pozán de Vero	14,75
2015,0	22187	Puebla de Castro (La)	29,39
2015,0	22188	Puente de Montañana	48,56
2015,0	22189	Puértolas	99,86
2015,0	22190	Pueyo de Araguás (El)	61,84
2015,0	22193	Pueyo de Santa Cruz	9,29
2015,0	22195	Quicena	9,67
2015,0	22197	Robres	64,24
2015,0	22199	Sabiñánigo	586,82
2015,0	22200	Sahún	73,36
2015,0	22201	Salas Altas	20,74
2015,0	22202	Salas Bajas	12,93
2015,0	22203	Salillas	28,33
2015,0	22204	Sallent de Gállego	162,14
2015,0	22205	San Esteban de Litera	71,9
2015,0	22206	Sangarrén	32,22
2015,0	22207	San Juan de Plan	55,53
2015,0	22208	Santa Cilia	28,08
2015,0	22209	Santa Cruz de la Serós	26,96
2015,0	22212	Santaliestra y San Quílez	23,34
2015,0	22213	Sariñena	275,57
2015,0	22214	Secastilla	47,42
2015,0	22215	Seira	69,4
2015,0	22217	Sena	104,69
2015,0	22218	Senés de Alcubierre	20,53
2015,0	22220	Sesa	30,84
2015,0	22221	Sesué	5,35
2015,0	22222	Siétamo	48,98
2015,0	22223	Sopeira	44,09
2015,0	22225	Tamarite de Litera	110,58
2015,0	22226	Tardienta	90,65
2015,0	22227	Tella-Sin	89,51
2015,0	22228	Tierz	6,54
2015,0	22229	Tolva	58,97
2015,0	22230	Torla-Ordesa	185,21
2015,0	22232	Torralba de Aragón	40,39
2015,0	22233	Torre la Ribera	32,06
2015,0	22234	Torrente de Cinca	56,8
2015,0	22235	Torres de Alcanadre	17,63
2015,0	22236	Torres de Barbués	13,94
2015,0	22239	Tramaced	15,42
2015,0	22242	Valfarta	33,2
2015,0	22243	Valle de Bardají	45,48
2015,0	22244	Valle de Lierp	32,76
2015,0	22245	Velilla de Cinca	16,54
2015,0	22246	Beranuy	63,76
2015,0	22247	Viacamp y Litera	107,74
2015,0	22248	Vicién	13,76
2015,0	22249	Villanova	7,05
2015,0	22250	Villanúa	58,19
2015,0	22251	Villanueva de Sigena	146,37
2015,0	22252	Yebra de Basa	90,87
2015,0	22253	Yésero	30,23
2015,0	22254	Zaidín	92,55
2015,0	22901	Valle de Hecho	234,43
2015,0	22902	Puente la Reina de Jaca	48,13
2015,0	22903	San Miguel del Cinca	106,49
2015,0	22904	Sotonera (La)	165,54
2015,0	22905	Lupiñén-Ortilla	110,08
2015,0	22906	Santa María de Dulcis	27,16
2015,0	22907	Aínsa-Sobrarbe	284,77
2015,0	22908	Hoz y Costeán	57,48
2015,0	22909	Vencillón	10,37
2015,0	44001	Ababuj	54,3
2015,0	44002	Abejuela	86,67
2015,0	44003	Aguatón	21,64
2015,0	44004	Aguaviva	42,15
2015,0	44005	Aguilar del Alfambra	39,04
2015,0	44006	Alacón	47,5
2015,0	44007	Alba	69,53
2015,0	44008	Albalate del Arzobispo	205,69
2015,0	44009	Albarracín	452,72
2015,0	44010	Albentosa	68,0
2015,0	44011	Alcaine	57,38
2015,0	44012	Alcalá de la Selva	104,95
2015,0	44013	Alcañiz	472,12
2015,0	44014	Alcorisa	121,2
2015,0	44016	Alfambra	122,44
2015,0	44017	Aliaga	193,08
2015,0	44018	Almohaja	25,55
2015,0	44019	Alobras	30,72
2015,0	44020	Alpeñés	28,62
2015,0	44021	Allepuz	67,26
2015,0	44022	Alloza	81,6
2015,0	44023	Allueva	18,65
2015,0	44024	Anadón	24,62
2015,0	44025	Andorra	141,36
2015,0	44026	Arcos de las Salinas	112,99
2015,0	44027	Arens de Lledó	34,27
2015,0	44028	Argente	62,58
2015,0	44029	Ariño	81,93
2015,0	44031	Azaila	81,44
2015,0	44032	Bádenas	31,31
2015,0	44033	Báguena	25,17
2015,0	44034	Bañón	54,27
2015,0	44035	Barrachina	24,86
2015,0	44036	Bea	23,37
2015,0	44037	Beceite	96,72
2015,0	44038	Belmonte de San José	33,96
2015,0	44039	Bello	52,49
2015,0	44040	Berge	42,64
2015,0	44041	Bezas	26,32
2015,0	44042	Blancas	73,8
2015,0	44043	Blesa	80,39
2015,0	44044	Bordón	29,98
2015,0	44045	Bronchales	59,6
2015,0	44046	Bueña	40,75
2015,0	44047	Burbáguena	39,02
2015,0	44048	Cabra de Mora	34,31
2015,0	44049	Calaceite	81,33
2015,0	44050	Calamocha	316,63
2015,0	44051	Calanda	112,25
2015,0	44052	Calomarde	28,18
2015,0	44053	Camañas	78,67
2015,0	44054	Camarena de la Sierra	79,54
2015,0	44055	Camarillas	50,55
2015,0	44056	Caminreal	44,39
2015,0	44059	Cantavieja	124,56
2015,0	44060	Cañada de Benatanduz	34,89
2015,0	44061	Cañada de Verich (La)	10,86
2015,0	44062	Cañada Vellida	23,3
2015,0	44063	Cañizar del Olivar	22,29
2015,0	44064	Cascante del Río	32,38
2015,0	44065	Castejón de Tornos	30,9
2015,0	44066	Castel de Cabra	29,44
2015,0	44067	Castelnou	37,09
2015,0	44068	Castelserás	31,52
2015,0	44070	Castellar (El)	50,33
2015,0	44071	Castellote	235,18
2015,0	44074	Cedrillas	73,57
2015,0	44075	Celadas	100,45
2015,0	44076	Cella	124,68
2015,0	44077	Cerollera (La)	33,75
2015,0	44080	Codoñera (La)	20,97
2015,0	44082	Corbalán	82,44
2015,0	44084	Cortes de Aragón	24,43
2015,0	44085	Cosa	54,81
2015,0	44086	Cretas	52,66
2015,0	44087	Crivillén	42,03
2015,0	44088	Cuba (La)	6,51
2015,0	44089	Cubla	48,63
2015,0	44090	Cucalón	31,93
2015,0	44092	Cuervo (El)	20,76
2015,0	44093	Cuevas de Almudén	35,85
2015,0	44094	Cuevas Labradas	40,81
2015,0	44096	Ejulve	109,49
2015,0	44097	Escorihuela	56,99
2015,0	44099	Escucha	41,57
2015,0	44100	Estercuel	55,59
