Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2019,0	Hombres	01	La Jacetania	2	Leves	1
2019,0	Hombres	02	Alto Gállego	5	Leves	1
2019,0	Hombres	04	La Ribagorza	4	Leves	1
2019,0	Hombres	05	Cinco Villas	15	Leves	1
2019,0	Hombres	06	Hoya de Huesca / Plana de Uesca	46	Leves	1
2019,0	Hombres	07	Somontano de Barbastro	6	Leves	1
2019,0	Hombres	08	Cinca Medio	18	Leves	1
2019,0	Hombres	09	La Litera / La Llitera	17	Leves	1
2019,0	Hombres	10	Los Monegros	9	Leves	1
2019,0	Hombres	11	Bajo Cinca / Baix Cinca	8	Leves	1
2019,0	Hombres	12	Tarazona y el Moncayo	6	Leves	1
2019,0	Hombres	13	Campo de Borja	5	Leves	1
2019,0	Hombres	14	Aranda	1	Leves	1
2019,0	Hombres	15	Ribera Alta del Ebro	69	Leves	1
2019,0	Hombres	16	Valdejalón	24	Leves	1
2019,0	Hombres	17	D.C. Zaragoza	568	Leves	1
2019,0	Hombres	18	Ribera Baja del Ebro	4	Leves	1
2019,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	Leves	1
2019,0	Hombres	20	Comunidad de Calatayud	16	Leves	1
2019,0	Hombres	21	Campo de Cariñena	4	Leves	1
2019,0	Hombres	22	Campo de Belchite	1	Leves	1
2019,0	Hombres	23	Bajo Martín	5	Leves	1
2019,0	Hombres	24	Campo de Daroca	1	Leves	1
2019,0	Hombres	25	Jiloca	2	Leves	1
2019,0	Hombres	26	Cuencas Mineras	1	Leves	1
2019,0	Hombres	27	Andorra-Sierra de Arcos	3	Leves	1
2019,0	Hombres	28	Bajo Aragón	8	Leves	1
2019,0	Hombres	29	Comunidad de Teruel	19	Leves	1
2019,0	Hombres	30	Maestrazgo	1	Leves	1
2019,0	Hombres	31	Sierra de Albarracín	1	Leves	1
2019,0	Hombres	33	Matarraña / Matarranya	2	Leves	1
2019,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	16	Leves	1
2019,0	Mujeres	01	La Jacetania	4	Leves	1
2019,0	Mujeres	02	Alto Gállego	7	Leves	1
2019,0	Mujeres	03	Sobrarbe	3	Leves	1
2019,0	Mujeres	04	La Ribagorza	1	Leves	1
2019,0	Mujeres	05	Cinco Villas	23	Leves	1
2019,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	66	Leves	1
2019,0	Mujeres	07	Somontano de Barbastro	19	Leves	1
2019,0	Mujeres	08	Cinca Medio	8	Leves	1
2019,0	Mujeres	09	La Litera / La Llitera	10	Leves	1
2019,0	Mujeres	10	Los Monegros	8	Leves	1
2019,0	Mujeres	11	Bajo Cinca / Baix Cinca	20	Leves	1
2019,0	Mujeres	12	Tarazona y el Moncayo	6	Leves	1
2019,0	Mujeres	13	Campo de Borja	6	Leves	1
2019,0	Mujeres	14	Aranda	1	Leves	1
2019,0	Mujeres	15	Ribera Alta del Ebro	35	Leves	1
2019,0	Mujeres	16	Valdejalón	32	Leves	1
2019,0	Mujeres	17	D.C. Zaragoza	930	Leves	1
2019,0	Mujeres	18	Ribera Baja del Ebro	9	Leves	1
2019,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Leves	1
2019,0	Mujeres	20	Comunidad de Calatayud	19	Leves	1
2019,0	Mujeres	21	Campo de Cariñena	1	Leves	1
2019,0	Mujeres	23	Bajo Martín	3	Leves	1
2019,0	Mujeres	24	Campo de Daroca	1	Leves	1
2019,0	Mujeres	25	Jiloca	5	Leves	1
2019,0	Mujeres	26	Cuencas Mineras	3	Leves	1
2019,0	Mujeres	27	Andorra-Sierra de Arcos	2	Leves	1
2019,0	Mujeres	28	Bajo Aragón	10	Leves	1
2019,0	Mujeres	29	Comunidad de Teruel	25	Leves	1
2019,0	Mujeres	30	Maestrazgo	1	Leves	1
2019,0	Mujeres	32	Gúdar-Javalambre	1	Leves	1
2019,0	Mujeres	33	Matarraña / Matarranya	1	Leves	1
2019,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	3	Leves	1
2015,0	Hombres	01	La Jacetania	1	Leves	1
2015,0	Hombres	02	Alto Gállego	2	Leves	1
2015,0	Hombres	03	Sobrarbe	1	Leves	1
2015,0	Hombres	04	La Ribagorza	4	Leves	1
2015,0	Hombres	05	Cinco Villas	15	Leves	1
2015,0	Hombres	06	Hoya de Huesca / Plana de Uesca	26	Leves	1
2015,0	Hombres	07	Somontano de Barbastro	5	Leves	1
2015,0	Hombres	08	Cinca Medio	6	Leves	1
2015,0	Hombres	09	La Litera / La Llitera	12	Leves	1
2015,0	Hombres	10	Los Monegros	4	Leves	1
2015,0	Hombres	11	Bajo Cinca / Baix Cinca	15	Leves	1
2015,0	Hombres	12	Tarazona y el Moncayo	9	Leves	1
2015,0	Hombres	13	Campo de Borja	2	Leves	1
2015,0	Hombres	14	Aranda	1	Leves	1
2015,0	Hombres	15	Ribera Alta del Ebro	21	Leves	1
2015,0	Hombres	16	Valdejalón	14	Leves	1
2015,0	Hombres	17	D.C. Zaragoza	446	Leves	1
2015,0	Hombres	18	Ribera Baja del Ebro	3	Leves	1
2015,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1
2015,0	Hombres	20	Comunidad de Calatayud	9	Leves	1
2015,0	Hombres	21	Campo de Cariñena	7	Leves	1
2015,0	Hombres	24	Campo de Daroca	1	Leves	1
2015,0	Hombres	25	Jiloca	2	Leves	1
2015,0	Hombres	26	Cuencas Mineras	2	Leves	1
2015,0	Hombres	28	Bajo Aragón	3	Leves	1
2015,0	Hombres	29	Comunidad de Teruel	13	Leves	1
2015,0	Hombres	30	Maestrazgo	1	Leves	1
2015,0	Mujeres	01	La Jacetania	10	Leves	1
2015,0	Mujeres	02	Alto Gállego	7	Leves	1
2015,0	Mujeres	03	Sobrarbe	1	Leves	1
2015,0	Mujeres	04	La Ribagorza	2	Leves	1
2015,0	Mujeres	05	Cinco Villas	8	Leves	1
2015,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	40	Leves	1
2015,0	Mujeres	07	Somontano de Barbastro	15	Leves	1
2015,0	Mujeres	08	Cinca Medio	7	Leves	1
2015,0	Mujeres	09	La Litera / La Llitera	6	Leves	1
2015,0	Mujeres	10	Los Monegros	4	Leves	1
2015,0	Mujeres	11	Bajo Cinca / Baix Cinca	10	Leves	1
2015,0	Mujeres	12	Tarazona y el Moncayo	4	Leves	1
2015,0	Mujeres	13	Campo de Borja	1	Leves	1
2015,0	Mujeres	14	Aranda	2	Leves	1
2015,0	Mujeres	15	Ribera Alta del Ebro	17	Leves	1
2015,0	Mujeres	16	Valdejalón	15	Leves	1
2015,0	Mujeres	17	D.C. Zaragoza	760	Leves	1
2015,0	Mujeres	18	Ribera Baja del Ebro	11	Leves	1
2015,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Leves	1
2015,0	Mujeres	20	Comunidad de Calatayud	13	Leves	1
2015,0	Mujeres	21	Campo de Cariñena	2	Leves	1
2015,0	Mujeres	23	Bajo Martín	2	Leves	1
2015,0	Mujeres	24	Campo de Daroca	1	Leves	1
2015,0	Mujeres	25	Jiloca	6	Leves	1
2015,0	Mujeres	26	Cuencas Mineras	2	Leves	1
2015,0	Mujeres	27	Andorra-Sierra de Arcos	3	Leves	1
2015,0	Mujeres	28	Bajo Aragón	7	Leves	1
2015,0	Mujeres	29	Comunidad de Teruel	21	Leves	1
2015,0	Mujeres	31	Sierra de Albarracín	1	Leves	1
2015,0	Mujeres	32	Gúdar-Javalambre	1	Leves	1
2015,0	Mujeres	33	Matarraña / Matarranya	1	Leves	1
2015,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	1	Leves	1
2014,0	Hombres	01	La Jacetania	6	Leves	1
2014,0	Hombres	02	Alto Gállego	2	Leves	1
2014,0	Hombres	03	Sobrarbe	1	Leves	1
2014,0	Hombres	04	La Ribagorza	3	Leves	1
