Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22124	Huerto		7390,0	7307,0	47469,0	47469,0
2003	22125	Huesca		16400,0	15759,0	97700,0	97700,0
2003	22126	Ibieca		512,0	496,0	2479,0	2479,0
2003	22127	Igriés		963,0	820,0	2459,0	2459,0
2003	22128	Ilche		7947,0	7943,0	47654,0	47654,0
2003	22129	Isábena		1219,0	1132,0	3395,0	3395,0
2003	22130	Jaca		12019,0	10202,0	61213,0	61213,0
2003	22131	Jasa		163,0	60,0	361,0	361,0
2003	22133	Labuerda		276,0	245,0	1470,0	1470,0
2003	22135	Laluenga		2867,0	2863,0	18609,0	18609,0
2003	22136	Lalueza		11173,0	11082,0	95300,0	95300,0
2003	22137	Lanaja		15304,0	14637,0	90727,0	90727,0
2003	22139	Laperdiguera		755,0	750,0	4874,0	4874,0
2003	22141	Lascellas-Ponzano		954,0	952,0	4762,0	4762,0
2003	22142	Lascuarre		564,0	537,0	4295,0	4295,0
2003	22143	Laspaúles		964,0	719,0	2875,0	2875,0
2003	22144	Laspuña		640,0	269,0	2153,0	2153,0
2003	22149	Loarre		2405,0	1876,0	12193,0	12193,0
2003	22150	Loporzano		4154,0	3968,0	15871,0	15871,0
2003	22151	Loscorrales		2619,0	2460,0	14763,0	14763,0
2003	22155	Monesma y Cajigar		819,0	795,0	5564,0	5564,0
2003	22156	Monflorite-Lascasas		3912,0	3909,0	17592,0	17592,0
2003	22157	Montanuy		1587,0	1463,0	8776,0	8776,0
2003	22158	Monzón		29196,0	28893,0	182000,0	182000,0
2003	22160	Naval		473,0	464,0	2875,0	2875,0
2003	22162	Novales		1482,0	1423,0	6972,0	6972,0
2003	22163	Nueno		1997,0	1786,0	5359,0	5359,0
2003	22164	Olvena		277,0	230,0	1498,0	1498,0
2003	22165	Ontiñena		5116,0	4803,0	23945,0	23945,0
2003	22167	Osso de Cinca		9424,0	9049,0	54291,0	54291,0
2003	22168	Palo		210,0	181,0	1175,0	1175,0
2003	22170	Panticosa		638,0	139,0	624,0	624,0
2003	22172	Peñalba		4811,0	4537,0	25405,0	25405,0
2003	22173	Peñas de Riglos (Las)		2541,0	2053,0	13346,0	13346,0
2003	22174	Peralta de Alcofea		6790,0	6667,0	38670,0	38670,0
2003	22175	Peralta de Calasanz		2062,0	1916,0	12453,0	12453,0
2003	22176	Peraltilla		692,0	691,0	2281,0	2281,0
2003	22177	Perarrúa		654,0	604,0	4831,0	4831,0
2003	22178	Pertusa		2574,0	2541,0	18552,0	18552,0
2003	22181	Piracés		1617,0	1605,0	10272,0	10272,0
2003	22182	Plan		1056,0	622,0	4043,0	4043,0
2003	22184	Poleñino		4827,0	4673,0	37851,0	37851,0
2003	22186	Pozán de Vero		552,0	543,0	3259,0	3259,0
2003	22187	Puebla de Castro (La)		525,0	524,0	3146,0	3146,0
2003	22188	Puente de Montañana		799,0	798,0	4787,0	4787,0
2003	22189	Puértolas		1590,0	428,0	3426,0	3426,0
2003	22190	Pueyo de Araguás (El)		898,0	824,0	4946,0	4946,0
2003	22193	Pueyo de Santa Cruz		1905,0	1702,0	10215,0	10215,0
2003	22195	Quicena		697,0	697,0	2928,0	2928,0
2003	22197	Robres		5269,0	5063,0	23794,0	23794,0
