Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
13	Campo de Borja	2017	Regadío	4655,0	1213,0	1,0	4,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	1,0	1190,0	12,0	0,0	0,0	2,0	2402,0	0,0	2399,0	3,0	1040,0	1040,0	0,0	0,0
13	Campo de Borja	2017	Secano	8505,0	4232,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	4224,0	0,0	0,0	0,0	3,0	3872,0	0,0	3872,0	0,0	358,0	358,0	43,0	0,0
14	Aranda	2017	Regadío	213,0	161,0	5,0	2,0	0,0	2,0	88,0	5,0	7,0	0,0	0,0	0,0	49,0	3,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	51,0	51,0	0,0	0,0
14	Aranda	2017	Secano	2657,0	2219,0	0,0	0,0	0,0	0,0	217,0	0,0	3,0	0,0	0,0	0,0	1999,0	0,0	0,0	0,0	0,0	164,0	0,0	164,0	0,0	256,0	256,0	18,0	0,0
15	Ribera Alta del Ebro	2017	Regadío	642,0	418,0	97,0	104,0	0,0	26,0	9,0	33,0	7,0	0,0	0,0	28,0	58,0	19,0	0,0	37,0	0,0	3,0	0,0	3,0	0,0	212,0	212,0	9,0	0,0
15	Ribera Alta del Ebro	2017	Secano	111,0	48,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,0	38,0	0,0	0,0	0,0	0,0	7,0	0,0	7,0	0,0	56,0	56,0	0,0	0,0
16	Valdejalón	2017	Regadío	9145,0	8023,0	1538,0	652,0	0,0	492,0	1843,0	1912,0	149,0	6,0	0,0	3,0	726,0	15,0	0,0	679,0	8,0	504,0	5,0	499,0	0,0	618,0	618,0	0,0	0,0
16	Valdejalón	2017	Secano	5840,0	3328,0	10,0	3,0	0,0	41,0	243,0	57,0	2,0	0,0	0,0	1,0	2948,0	1,0	0,0	19,0	3,0	1084,0	0,0	1084,0	0,0	1428,0	1428,0	0,0	0,0
17	D.C. Zaragoza	2017	Regadío	1662,0	1101,0	3,0	85,0	0,0	164,0	10,0	42,0	33,0	1,0	0,0	2,0	733,0	10,0	0,0	15,0	3,0	38,0	4,0	32,0	2,0	520,0	520,0	3,0	0,0
17	D.C. Zaragoza	2017	Secano	600,0	303,0	0,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	2,0	229,0	0,0	0,0	67,0	2,0	112,0	2,0	110,0	0,0	177,0	177,0	8,0	0,0
18	Ribera Baja del Ebro	2017	Regadío	2291,0	1096,0	14,0	84,0	0,0	69,0	85,0	209,0	45,0	1,0	0,0	10,0	402,0	4,0	0,0	168,0	5,0	16,0	16,0	0,0	0,0	1179,0	1179,0	0,0	0,0
18	Ribera Baja del Ebro	2017	Secano	130,0	46,0	0,0	1,0	0,0	1,0	0,0	2,0	0,0	0,0	0,0	0,0	30,0	0,0	0,0	12,0	0,0	3,0	0,0	3,0	0,0	81,0	81,0	0,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Regadío	7038,0	5708,0	16,0	68,0	0,0	396,0	748,0	1427,0	177,0	8,0	0,0	0,0	2007,0	11,0	0,0	832,0	18,0	111,0	28,0	83,0	0,0	1218,0	1218,0	1,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Secano	8487,0	4938,0	0,0	0,0	0,0	11,0	60,0	155,0	5,0	0,0	0,0	0,0	4592,0	0,0	0,0	109,0	6,0	405,0	2,0	401,0	2,0	3144,0	3144,0	0,0	0,0
20	Comunidad de Calatayud	2017	Regadío	4165,0	3405,0	587,0	797,0	0,0	44,0	1044,0	387,0	319,0	0,0	0,0	2,0	214,0	6,0	0,0	3,0	2,0	518,0	1,0	517,0	0,0	233,0	233,0	9,0	0,0
20	Comunidad de Calatayud	2017	Secano	14649,0	10293,0	40,0	32,0	0,0	13,0	2114,0	89,0	114,0	0,0	0,0	2,0	7872,0	3,0	0,0	1,0	13,0	3821,0	0,0	3821,0	0,0	467,0	467,0	68,0	0,0
21	Campo de Cariñena	2017	Regadío	5388,0	1092,0	163,0	95,0	0,0	58,0	242,0	303,0	31,0	0,0	0,0	0,0	130,0	1,0	0,0	66,0	3,0	4110,0	10,0	4100,0	0,0	186,0	186,0	0,0	0,0
21	Campo de Cariñena	2017	Secano	11285,0	1422,0	5,0	0,0	0,0	3,0	59,0	10,0	0,0	0,0	0,0	1,0	1342,0	0,0	0,0	0,0	2,0	9514,0	31,0	9481,0	2,0	322,0	322,0	27,0	0,0
22	Campo de Belchite	2017	Regadío	2049,0	652,0	9,0	35,0	0,0	1,0	0,0	0,0	5,0	0,0	0,0	0,0	595,0	7,0	0,0	0,0	0,0	185,0	0,0	185,0	0,0	1212,0	1212,0	0,0	0,0
22	Campo de Belchite	2017	Secano	1905,0	1549,0	1,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	3,0	1542,0	1,0	0,0	0,0	0,0	268,0	0,0	268,0	0,0	81,0	81,0	7,0	0,0
23	Bajo Martín	2017	Regadío	863,0	290,0	0,0	3,0	0,0	10,0	7,0	106,0	2,0	3,0	0,0	1,0	157,0	0,0	0,0	0,0	1,0	19,0	0,0	19,0	0,0	553,0	553,0	1,0	0,0
23	Bajo Martín	2017	Secano	3036,0	1528,0	0,0	0,0	0,0	6,0	11,0	1,0	0,0	0,0	0,0	3,0	1507,0	0,0	0,0	0,0	0,0	181,0	0,0	181,0	0,0	1324,0	1324,0	3,0	0,0
24	Campo de Daroca	2017	Regadío	63,0	57,0	0,0	0,0	0,0	0,0	11,0	0,0	0,0	0,0	0,0	0,0	46,0	0,0	0,0	0,0	0,0	5,0	0,0	5,0	0,0	0,0	0,0	1,0	0,0
24	Campo de Daroca	2017	Secano	3005,0	2006,0	0,0	1,0	0,0	1,0	152,0	0,0	4,0	0,0	0,0	7,0	1830,0	9,0	0,0	0,0	2,0	839,0	0,0	839,0	0,0	14,0	14,0	146,0	0,0
25	Jiloca	2017	Regadío	42,0	20,0	1,0	0,0	0,0	0,0	7,0	0,0	1,0	0,0	0,0	0,0	1,0	9,0	0,0	0,0	1,0	1,0	0,0	1,0	0,0	0,0	0,0	21,0	0,0
25	Jiloca	2017	Secano	1586,0	667,0	0,0	0,0	0,0	0,0	26,0	0,0	0,0	0,0	0,0	9,0	599,0	32,0	0,0	0,0	1,0	419,0	1,0	418,0	0,0	0,0	0,0	500,0	0,0
26	Cuencas Mineras	2017	Regadío	15,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	5,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	1,0	1,0	4,0	0,0
26	Cuencas Mineras	2017	Secano	1216,0	665,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,0	650,0	4,0	0,0	0,0	1,0	226,0	1,0	225,0	0,0	67,0	67,0	258,0	0,0
27	Andorra-Sierra de Arcos	2017	Regadío	83,0	21,0	0,0	0,0	0,0	0,0	8,0	0,0	0,0	0,0	0,0	3,0	7,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	62,0	62,0	0,0	0,0
27	Andorra-Sierra de Arcos	2017	Secano	2647,0	622,0	0,0	0,0	0,0	0,0	24,0	0,0	0,0	0,0	0,0	2,0	593,0	2,0	0,0	0,0	1,0	173,0	0,0	173,0	0,0	1762,0	1762,0	90,0	0,0
28	Bajo Aragón	2017	Regadío	3529,0	2359,0	7,0	15,0	0,0	177,0	6,0	1470,0	43,0	1,0	0,0	2,0	598,0	26,0	0,0	9,0	5,0	6,0	0,0	6,0	0,0	1142,0	1142,0	22,0	0,0
