Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2019,0	01	La Jacetania	6	Leves	1	01	General
2019,0	02	Alto Gállego	12	Leves	1	01	General
2019,0	03	Sobrarbe	3	Leves	1	01	General
2019,0	04	La Ribagorza	5	Leves	1	01	General
2019,0	05	Cinco Villas	37	Leves	1	01	General
2019,0	05	Cinco Villas	1	Leves	1	05	Trabajadores Autónomos
2019,0	06	Hoya de Huesca / Plana de Uesca	111	Leves	1	01	General
2019,0	06	Hoya de Huesca / Plana de Uesca	1	Leves	1	05	Trabajadores Autónomos
2019,0	07	Somontano de Barbastro	24	Leves	1	01	General
2019,0	07	Somontano de Barbastro	1	Leves	1	05	Trabajadores Autónomos
2019,0	08	Cinca Medio	25	Leves	1	01	General
2019,0	08	Cinca Medio	1	Leves	1	05	Trabajadores Autónomos
2019,0	09	La Litera / La Llitera	27	Leves	1	01	General
2019,0	10	Los Monegros	16	Leves	1	01	General
2019,0	10	Los Monegros	1	Leves	1	05	Trabajadores Autónomos
2019,0	11	Bajo Cinca / Baix Cinca	27	Leves	1	01	General
2019,0	11	Bajo Cinca / Baix Cinca	1	Leves	1	05	Trabajadores Autónomos
2019,0	12	Tarazona y el Moncayo	11	Leves	1	01	General
2019,0	12	Tarazona y el Moncayo	1	Leves	1	05	Trabajadores Autónomos
2019,0	13	Campo de Borja	10	Leves	1	01	General
2019,0	13	Campo de Borja	1	Leves	1	05	Trabajadores Autónomos
2019,0	14	Aranda	2	Leves	1	01	General
2019,0	15	Ribera Alta del Ebro	104	Leves	1	01	General
2019,0	16	Valdejalón	56	Leves	1	01	General
2019,0	17	D.C. Zaragoza	1458	Leves	1	01	General
2019,0	17	D.C. Zaragoza	40	Leves	1	05	Trabajadores Autónomos
2019,0	18	Ribera Baja del Ebro	12	Leves	1	01	General
2019,0	18	Ribera Baja del Ebro	1	Leves	1	05	Trabajadores Autónomos
2019,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Leves	1	01	General
2019,0	20	Comunidad de Calatayud	35	Leves	1	01	General
2019,0	21	Campo de Cariñena	5	Leves	1	01	General
2019,0	22	Campo de Belchite	1	Leves	1	05	Trabajadores Autónomos
2019,0	23	Bajo Martín	8	Leves	1	01	General
2019,0	24	Campo de Daroca	2	Leves	1	01	General
2019,0	25	Jiloca	7	Leves	1	01	General
2019,0	26	Cuencas Mineras	4	Leves	1	01	General
2019,0	27	Andorra-Sierra de Arcos	5	Leves	1	01	General
2019,0	28	Bajo Aragón	18	Leves	1	01	General
2019,0	29	Comunidad de Teruel	42	Leves	1	01	General
2019,0	29	Comunidad de Teruel	2	Leves	1	05	Trabajadores Autónomos
2019,0	30	Maestrazgo	2	Leves	1	01	General
2019,0	31	Sierra de Albarracín	1	Leves	1	01	General
2019,0	32	Gúdar-Javalambre	1	Leves	1	01	General
2019,0	33	Matarraña / Matarranya	2	Leves	1	01	General
2019,0	33	Matarraña / Matarranya	1	Leves	1	05	Trabajadores Autónomos
2019,0	NC	Municipio del centro de trabajo fuera de Aragón	16	Leves	1	01	General
2019,0	NC	Municipio del centro de trabajo fuera de Aragón	3	Leves	1	05	Trabajadores Autónomos
2015,0	01	La Jacetania	11	Leves	1	01	General
2015,0	02	Alto Gállego	9	Leves	1	01	General
