Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2008	292,0	249,0	199,0	50,0	0,0	3,0	196,0	79,9196787148594
22001	Abiego	2011	281,0	242,0	177,0	65,0	4,0	2,0	171,0	73,1404958677686
22001	Abiego	2015	267,0	226,0	166,0	60,0	0,0	0,0	166,0	73,4513274336283
22001	Abiego	2016	253,0	225,0	151,0	74,0	0,0	1,0	150,0	67,1111111111111
22001	Abiego	2019	237,0	212,0	147,0	65,0	1,0	0,0	146,0	69,3396226415094
22002	Abizanda	2008	133,0	111,0	97,0	14,0	0,0	1,0	96,0	87,3873873873874
22002	Abizanda	2011	132,0	107,0	85,0	22,0	1,0	3,0	81,0	79,4392523364486
22002	Abizanda	2015	140,0	109,0	94,0	15,0	1,0	0,0	93,0	86,2385321100917
22002	Abizanda	2016	142,0	107,0	95,0	12,0	0,0	0,0	95,0	88,785046728972
22002	Abizanda	2019	151,0	99,0	81,0	18,0	0,0	0,0	81,0	81,8181818181818
22003	Adahuesca	2008	169,0	139,0	115,0	24,0	1,0	1,0	113,0	82,7338129496403
22003	Adahuesca	2011	166,0	148,0	117,0	31,0	1,0	2,0	114,0	79,0540540540541
22003	Adahuesca	2015	172,0	143,0	120,0	23,0	0,0	1,0	119,0	83,9160839160839
22003	Adahuesca	2016	173,0	137,0	110,0	27,0	3,0	1,0	106,0	80,2919708029197
22003	Adahuesca	2019	172,0	135,0	107,0	28,0	0,0	0,0	107,0	79,2592592592593
22004	Agüero	2008	161,0	152,0	114,0	38,0	3,0	0,0	111,0	75,0
22004	Agüero	2011	164,0	146,0	97,0	49,0	0,0	2,0	95,0	66,4383561643836
22004	Agüero	2015	150,0	136,0	79,0	57,0	0,0	0,0	79,0	58,0882352941176
22004	Agüero	2016	145,0	135,0	81,0	54,0	1,0	0,0	80,0	60,0
