Año	Comarca código	Comarca nombre	Contenedores de vidrio	Kg vidrio doméstico
2015	10	Los Monegros	145	271680
2015	11	Bajo Cinca / Baix Cinca	123	377180
2015	12	Tarazona y el Moncayo	83	214960
2015	13	Campo de Borja	0	230740
2015	14	Aranda	42	68400
2015	15	Ribera Alta del Ebro	127	316320
2015	16	Valdejalón	124	297980
2015	17	Central	2186	8308450
2015	18	Ribera Baja del Ebro	53	88680
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	70	184560
2015	20	Comunidad de Calatayud	242	505330
2015	21	Campo de Cariñena	102	172990
2015	22	Campo de Belchite	44	66400
2015	23	Bajo Martín	34	75380
2015	24	Campo de Daroca	68	105690
2015	25	Jiloca	128	204380
2015	26	Cuencas Mineras	67	77440
2015	27	Andorra-Sierra de Arcos	62	135580
2015	28	Bajo Aragón	146	412560
2015	29	Comunidad de Teruel	281	635610
2015	30	Maestrazgo	53	77800
2015	31	Sierra de Albarracín	46	85080
2015	32	Gúdar-Javalambre	129	215200
2015	33	Matarraña / Matarranya	69	196700
2014	01	La Jacetania	188	447533
2014	02	Alto Gállego	230	401860
2014	03	Sobrarbe	110	262000
2014	04	La Ribagorza	212	341416
2014	05	Cinco Villas	179	360959
2014	06	Hoya de Huesca / Plana de Uesca	511	1088957
2014	07	Somontano de Barbastro	167	454220
2014	08	Cinca Medio	123	359424
2014	09	La Litera / La Llitera	158	277891
2014	10	Los Monegros	142	247125
2014	11	Bajo Cinca / Baix Cinca	130	334444
2014	12	Tarazona y el Moncayo	83	235928
2014	13	Campo de Borja	90	185593
2014	14	Aranda	41	53450
2014	15	Ribera Alta del Ebro	126	305745
2014	16	Valdejalón	130	267593
2014	17	Central	2068	8168290
2014	18	Ribera Baja del Ebro	55	87949
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	76	150398
2014	20	Comunidad de Calatayud	228	467920
2014	21	Campo de Cariñena	82	133566
2014	22	Campo de Belchite	40	57887
2014	23	Bajo Martín	32	66361
2014	24	Campo de Daroca	61	97317
2014	25	Jiloca	142	186036
2014	26	Cuencas Mineras	69	89550
2014	27	Andorra-Sierra de Arcos	56	129832
2014	28	Bajo Aragón	170	347330
2014	29	Comunidad de Teruel	301	542050
2014	30	Maestrazgo	53	61155
2014	31	Sierra de Albarracín	47	86850
2014	32	Gúdar-Javalambre	121	191357
2014	33	Matarraña / Matarranya	66	180172
2013	01	La Jacetania	182	594439
2013	02	Alto Gállego	230	410440
2013	03	Sobrarbe	105	254850
2013	04	La Ribagorza	174	539261
2013	05	Cinco Villas	173	559327
2013	06	Hoya de Huesca / Plana de Uesca	482	1260105
2013	07	Somontano de Barbastro	163	521882
2013	08	Cinca Medio	105	582494
2013	09	La Litera / La Llitera	136	401726
2013	10	Los Monegros	119	413034
2013	11	Bajo Cinca / Baix Cinca	101	447478
2013	12	Tarazona y el Moncayo	72	329083
2013	13	Campo de Borja	86	333889
2013	14	Aranda	35	109845
2013	15	Ribera Alta del Ebro	110	445821
2013	16	Valdejalón	96	372844
2013	17	Central	2016	8646608
2013	18	Ribera Baja del Ebro	55	166499
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	229677
2013	20	Comunidad de Calatayud	213	763279
2013	21	Campo de Cariñena	60	262809
2013	22	Campo de Belchite	37	105702
2013	23	Bajo Martín	29	114758
2013	24	Campo de Daroca	55	153403
2013	25	Jiloca	124	259085
2013	26	Cuencas Mineras	66	131132
2013	27	Andorra-Sierra de Arcos	54	172115
2013	28	Bajo Aragón	143	523262
2013	29	Comunidad de Teruel	257	712182
2013	30	Maestrazgo	50	112392
2013	31	Sierra de Albarracín	44	97464
2013	32	Gúdar-Javalambre	102	237034
2013	33	Matarraña / Matarranya	57	205746
2012	01	La Jacetania	182	621447
2012	02	Alto Gállego	230	404680
2012	03	Sobrarbe	105	284120
2012	04	La Ribagorza	174	612258
2012	05	Cinco Villas	173	760276
2012	06	Hoya de Huesca / Plana de Uesca	317	1273009
2012	07	Somontano de Barbastro	163	542714
2012	08	Cinca Medio	105	804474
2012	09	La Litera / La Llitera	136	557302
2012	10	Los Monegros	118	481594
2012	11	Bajo Cinca / Baix Cinca	98	641192
2012	12	Tarazona y el Moncayo	72	389521
2012	13	Campo de Borja	86	385895
2012	14	Aranda	35	130791
2012	15	Ribera Alta del Ebro	110	597167
2012	16	Valdejalón	96	551926
2012	17	Central	1983	9120892
2012	18	Ribera Baja del Ebro	55	247989
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	359905
2012	20	Comunidad de Calatayud	213	978725
2012	21	Campo de Cariñena	60	353085
2012	22	Campo de Belchite	37	130350
2012	23	Bajo Martín	29	142209
2012	24	Campo de Daroca	55	230238
2012	25	Jiloca	124	337985
2012	26	Cuencas Mineras	66	179758
2012	27	Andorra-Sierra de Arcos	54	209007
2012	28	Bajo Aragón	139	642916
2012	29	Comunidad de Teruel	253	964571
2012	30	Maestrazgo	50	139629
2012	31	Sierra de Albarracín	44	169002
2012	32	Gúdar-Javalambre	102	304475
2012	33	Matarraña / Matarranya	57	272668
2011	01	La Jacetania	176	600270
2011	02	Alto Gállego	111	447090
2011	03	Sobrarbe	103	246460
2011	04	La Ribagorza	173	582290
2011	05	Cinco Villas	173	753210
2011	06	Hoya de Huesca / Plana de Uesca	376	1237080
2011	07	Somontano de Barbastro	161	558910
2011	08	Cinca Medio	105	843610
2011	09	La Litera / La Llitera	136	554700
2011	10	Los Monegros	117	440160
2011	11	Bajo Cinca / Baix Cinca	98	644260
2011	12	Tarazona y el Moncayo	72	380250
2011	13	Campo de Borja	86	347440
2011	14	Aranda	35	129800
2011	15	Ribera Alta del Ebro	114	582160
2011	16	Valdejalón	96	540270
2011	17	Central	1891	8953430
2011	18	Ribera Baja del Ebro	55	243630
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	355990
2011	20	Comunidad de Calatayud	216	884340
2011	21	Campo de Cariñena	61	357960
2011	22	Campo de Belchite	37	112910
2011	23	Bajo Martín	29	142340
2011	24	Campo de Daroca	55	177090
2011	25	Jiloca	125	317250
2011	26	Cuencas Mineras	66	155500
2011	27	Andorra-Sierra de Arcos	54	206260
2011	28	Bajo Aragón	139	633660
2011	29	Comunidad de Teruel	253	950310
2011	30	Maestrazgo	52	139420
2011	31	Sierra de Albarracín	44	160300
2011	32	Gúdar-Javalambre	103	288150
2011	33	Matarraña / Matarranya	57	264750
