Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2019,0	15436	Leves	1	01	General	Aragón
2019,0	979	Leves	1	05	Trabajadores Autónomos	Aragón
2019,0	1	Leves	1	08	Especial Trabajadores del Mar	Aragón
2019,0	4	Leves	1	09	Especial Minería del Carbón	Aragón
2015,0	12018	Leves	1	01	General	Aragón
2015,0	294	Leves	1	05	Trabajadores Autónomos	Aragón
2015,0	2	Leves	1	08	Especial Trabajadores del Mar	Aragón
2015,0	62	Leves	1	09	Especial Minería del Carbón	Aragón
2014,0	10865	Leves	1	01	General	Aragón
2014,0	310	Leves	1	05	Trabajadores Autónomos	Aragón
2014,0	55	Leves	1	09	Especial Minería del Carbón	Aragón
2013,0	10472	Leves	1	01	General	Aragón
2013,0	319	Leves	1	05	Trabajadores Autónomos	Aragón
2013,0	55	Leves	1	09	Especial Minería del Carbón	Aragón
2012,0	10558	Leves	1	01	General	Aragón
2012,0	317	Leves	1	05	Trabajadores Autónomos	Aragón
2012,0	101	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2012,0	15	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2012,0	66	Leves	1	09	Especial Minería del Carbón	Aragón
2011,0	12906	Leves	1	01	General	Aragón
2011,0	282	Leves	1	05	Trabajadores Autónomos	Aragón
2011,0	304	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	41	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2011,0	2	Leves	1	08	Especial Trabajadores del Mar	Aragón
2011,0	95	Leves	1	09	Especial Minería del Carbón	Aragón
2010,0	14378	Leves	1	01	General	Aragón
2010,0	257	Leves	1	05	Trabajadores Autónomos	Aragón
2010,0	291	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010,0	41	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2010,0	98	Leves	1	09	Especial Minería del Carbón	Aragón
2009,0	15168	Leves	1	01	General	Aragón
2009,0	287	Leves	1	05	Trabajadores Autónomos	Aragón
2009,0	270	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	27	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2009,0	99	Leves	1	09	Especial Minería del Carbón	Aragón
2008,0	22130	Leves	1	01	General	Aragón
2008,0	257	Leves	1	05	Trabajadores Autónomos	Aragón
2008,0	255	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2008,0	60	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2008,0	177	Leves	1	09	Especial Minería del Carbón	Aragón
2007,0	24053	Leves	1	01	General	Aragón
