Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2007,0	126	Leves	1	05	Trabajadores Autónomos	Aragón
2007,0	276	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2007,0	108	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2007,0	1	Leves	1	08	Especial Trabajadores del Mar	Aragón
2007,0	179	Leves	1	09	Especial Minería del Carbón	Aragón
2006,0	22457	Leves	1	01	General	Aragón
2006,0	115	Leves	1	05	Trabajadores Autónomos	Aragón
2006,0	300	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2006,0	130	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2006,0	147	Leves	1	09	Especial Minería del Carbón	Aragón
2005,0	21128	Leves	1	01	General	Aragón
2005,0	94	Leves	1	05	Trabajadores Autónomos	Aragón
2005,0	327	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2005,0	91	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2005,0	116	Leves	1	09	Especial Minería del Carbón	Aragón
2004,0	19980	Leves	1	01	General	Aragón
2004,0	71	Leves	1	05	Trabajadores Autónomos	Aragón
2004,0	262	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2004,0	96	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2004,0	123	Leves	1	09	Especial Minería del Carbón	Aragón
2003,0	20098	Leves	1	01	General	Aragón
2003,0	240	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2003,0	92	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2003,0	118	Leves	1	09	Especial Minería del Carbón	Aragón
2019,0	91	Graves o muy graves	2	01	General	Aragón
2019,0	17	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2015,0	77	Graves o muy graves	2	01	General	Aragón
2015,0	2	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2015,0	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2014,0	71	Graves o muy graves	2	01	General	Aragón
2014,0	8	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2014,0	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2013,0	61	Graves o muy graves	2	01	General	Aragón
2013,0	11	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012,0	73	Graves o muy graves	2	01	General	Aragón
2012,0	10	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012,0	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	62	Graves o muy graves	2	01	General	Aragón
2011,0	12	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2011,0	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	4	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2010,0	96	Graves o muy graves	2	01	General	Aragón
2010,0	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2010,0	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2010,0	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2009,0	125	Graves o muy graves	2	01	General	Aragón
2009,0	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2009,0	3	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2008,0	132	Graves o muy graves	2	01	General	Aragón
2008,0	4	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2008,0	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2008,0	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2008,0	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2007,0	177	Graves o muy graves	2	01	General	Aragón
2007,0	3	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2007,0	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2007,0	4	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2007,0	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2006,0	152	Graves o muy graves	2	01	General	Aragón
2006,0	6	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2006,0	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2006,0	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2006,0	3	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2005,0	177	Graves o muy graves	2	01	General	Aragón
2005,0	3	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2005,0	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2005,0	11	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2005,0	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2004,0	205	Graves o muy graves	2	01	General	Aragón
2004,0	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2004,0	8	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2004,0	10	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2004,0	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2003,0	204	Graves o muy graves	2	01	General	Aragón
2003,0	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2003,0	19	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2003,0	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2019,0	22	Mortales	3	01	General	Aragón
2019,0	4	Mortales	3	05	Trabajadores Autónomos	Aragón
2015,0	26	Mortales	3	01	General	Aragón
2015,0	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2014,0	15	Mortales	3	01	General	Aragón
2013,0	16	Mortales	3	01	General	Aragón
2013,0	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2012,0	16	Mortales	3	01	General	Aragón
2012,0	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2012,0	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	20	Mortales	3	01	General	Aragón
2011,0	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	2	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2010,0	25	Mortales	3	01	General	Aragón
2009,0	34	Mortales	3	01	General	Aragón
2009,0	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	1	Mortales	3	09	Especial Minería del Carbón	Aragón
2008,0	30	Mortales	3	01	General	Aragón
2007,0	36	Mortales	3	01	General	Aragón
2007,0	2	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2007,0	1	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2006,0	32	Mortales	3	01	General	Aragón
2006,0	2	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2005,0	34	Mortales	3	01	General	Aragón
2005,0	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2004,0	42	Mortales	3	01	General	Aragón
2004,0	2	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2003,0	32	Mortales	3	01	General	Aragón
