Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22014	Alcalá de Gurrea	2017	Secano	66,0	63,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	63,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	2,0	2,0	0,0	0,0
22015	Alcalá del Obispo	2017	Regadío	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22015	Alcalá del Obispo	2017	Secano	36,0	32,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	32,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	3,0	3,0	0,0	0,0
22016	Alcampell	2017	Regadío	37,0	31,0	5,0	3,0	0,0	0,0	0,0	7,0	2,0	0,0	0,0	0,0	10,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0
22016	Alcampell	2017	Secano	290,0	112,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	112,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	176,0	176,0	0,0	0,0
22017	Alcolea de Cinca	2017	Regadío	345,0	289,0	22,0	28,0	0,0	15,0	53,0	65,0	2,0	1,0	0,0	0,0	16,0	0,0	0,0	67,0	20,0	2,0	0,0	2,0	0,0	54,0	54,0	0,0	0,0
22017	Alcolea de Cinca	2017	Secano	22,0	13,0	0,0	0,0	0,0	0,0	6,0	1,0	0,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9,0	9,0	0,0	0,0
22018	Alcubierre	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22018	Alcubierre	2017	Secano	71,0	19,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	19,0	0,0	0,0	0,0	0,0	29,0	0,0	29,0	0,0	23,0	23,0	0,0	0,0
22019	Alerre	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22019	Alerre	2017	Secano	10,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	3,0	0,0	3,0	0,0	1,0	1,0	0,0	0,0
22020	Alfántega	2017	Regadío	66,0	58,0	2,0	6,0	0,0	0,0	0,0	34,0	1,0	0,0	0,0	0,0	8,0	0,0	0,0	7,0	0,0	1,0	0,0	1,0	0,0	4,0	4,0	3,0	0,0
22020	Alfántega	2017	Secano	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0
22021	Almudévar	2017	Regadío	76,0	22,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	53,0	53,0	0,0	0,0
22021	Almudévar	2017	Secano	577,0	367,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	367,0	0,0	0,0	0,0	0,0	74,0	0,0	74,0	0,0	105,0	105,0	31,0	0,0
22022	Almunia de San Juan	2017	Regadío	15,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	10,0	0,0	10,0	0,0	4,0	4,0	0,0	0,0
22022	Almunia de San Juan	2017	Secano	17,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	7,0	0,0	7,0	0,0	9,0	9,0	0,0	0,0
22023	Almuniente	2017	Regadío	235,0	234,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	233,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22023	Almuniente	2017	Secano	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22024	Alquézar	2017	Regadío	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
22024	Alquézar	2017	Secano	225,0	91,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	89,0	1,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	123,0	123,0	7,0	0,0
22025	Altorricón	2017	Regadío	189,0	184,0	45,0	71,0	1,0	2,0	2,0	17,0	6,0	7,0	0,0	0,0	5,0	0,0	0,0	28,0	0,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0	0,0
22025	Altorricón	2017	Secano	10,0	9,0	5,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22027	Angüés	2017	Regadío	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22027	Angüés	2017	Secano	101,0	31,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	31,0	0,0	0,0	0,0	0,0	54,0	0,0	54,0	0,0	16,0	16,0	0,0	0,0
22028	Ansó	2017	Regadío											0,0														
22028	Ansó	2017	Secano											0,0														
22029	Antillón	2017	Regadío	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0
22029	Antillón	2017	Secano	139,0	110,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	110,0	0,0	0,0	0,0	0,0	13,0	0,0	13,0	0,0	16,0	16,0	0,0	0,0
22032	Aragüés del Puerto	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22032	Aragüés del Puerto	2017	Secano	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0
22035	Arén	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22035	Arén	2017	Secano	14,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	1,0	1,0	6,0	0,0
22036	Argavieso	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22036	Argavieso	2017	Secano	5,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0
22037	Arguis	2017	Regadío											0,0														
22037	Arguis	2017	Secano											0,0														
22039	Ayerbe	2017	Regadío	49,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	1,0	23,0	0,0	23,0	0,0	20,0	20,0	1,0	0,0
22039	Ayerbe	2017	Secano	313,0	227,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	219,0	0,0	0,0	0,0	7,0	42,0	0,0	42,0	0,0	28,0	28,0	16,0	0,0
22040	Azanuy-Alins	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22040	Azanuy-Alins	2017	Secano	206,0	106,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	106,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	95,0	95,0	4,0	0,0
22041	Azara	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22041	Azara	2017	Secano	162,0	114,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	114,0	0,0	0,0	0,0	0,0	23,0	0,0	23,0	0,0	25,0	25,0	0,0	0,0
22042	Azlor	2017	Regadío	6,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22042	Azlor	2017	Secano	261,0	191,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	191,0	0,0	0,0	0,0	0,0	31,0	0,0	31,0	0,0	39,0	39,0	0,0	0,0
22043	Baells	2017	Regadío	5,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0
22043	Baells	2017	Secano	140,0	83,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	83,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	49,0	49,0	7,0	0,0
22044	Bailo	2017	Regadío	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22044	Bailo	2017	Secano	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,0	0,0
22045	Baldellou	2017	Regadío	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22045	Baldellou	2017	Secano	141,0	49,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	49,0	0,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	88,0	88,0	0,0	0,0
22046	Ballobar	2017	Regadío	297,0	294,0	7,0	60,0	0,0	24,0	25,0	83,0	0,0	0,0	0,0	0,0	31,0	0,0	0,0	62,0	2,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0
22046	Ballobar	2017	Secano	164,0	25,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	22,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	137,0	137,0	0,0	0,0
22047	Banastás	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22047	Banastás	2017	Secano	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	0,0	5,0	0,0	1,0	1,0	0,0	0,0
22048	Barbastro	2017	Regadío	1028,0	39,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	38,0	0,0	0,0	0,0	1,0	897,0	1,0	896,0	0,0	92,0	92,0	0,0	0,0
22048	Barbastro	2017	Secano	1177,0	243,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	239,0	0,0	0,0	0,0	4,0	468,0	0,0	465,0	3,0	466,0	466,0	0,0	0,0
22049	Barbués	2017	Regadío											0,0														
22049	Barbués	2017	Secano											0,0														
22050	Barbuñales	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22050	Barbuñales	2017	Secano	56,0	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,0	0,0	0,0	0,0	0,0	39,0	0,0	39,0	0,0	10,0	10,0	0,0	0,0
22051	Bárcabo	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22051	Bárcabo	2017	Secano	72,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	22,0	22,0	30,0	0,0
