Año	Inscripcion municipio estrato	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Sexo	Nivel de estudios Código	Edad (grandes grupos)	Nivel de estudios Nombre	Personas
2009	6	22	Huesca	22130	Jaca	Mujer	0	65 y más	Sin clasificar	27,0
2009	6	22	Huesca	22130	Jaca	Mujer	1	0-15	No sabe leer ni escribir	1,0
2009	6	22	Huesca	22130	Jaca	Mujer	2	0-15	Inferior a graduado escolar o ESO	4,0
2009	6	22	Huesca	22130	Jaca	Mujer	2	16-64	Inferior a graduado escolar o ESO	7,0
2009	6	22	Huesca	22130	Jaca	Mujer	2	65 y más	Inferior a graduado escolar o ESO	10,0
2009	6	22	Huesca	22130	Jaca	Mujer	3	16-64	Graduado escolar o ESO	21,0
2009	6	22	Huesca	22130	Jaca	Mujer	3	65 y más	Graduado escolar o ESO	17,0
2009	6	22	Huesca	22130	Jaca	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	45,0
2009	6	22	Huesca	22130	Jaca	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	7,0
2009	6	22	Huesca	22158	Monzón	Hombre	0	0-15	Sin clasificar	16,0
2009	6	22	Huesca	22158	Monzón	Hombre	0	16-64	Sin clasificar	13,0
2009	6	22	Huesca	22158	Monzón	Hombre	0	65 y más	Sin clasificar	16,0
2009	6	22	Huesca	22158	Monzón	Hombre	2	0-15	Inferior a graduado escolar o ESO	3,0
2009	6	22	Huesca	22158	Monzón	Hombre	2	16-64	Inferior a graduado escolar o ESO	7,0
2009	6	22	Huesca	22158	Monzón	Hombre	2	65 y más	Inferior a graduado escolar o ESO	2,0
2009	6	22	Huesca	22158	Monzón	Hombre	3	16-64	Graduado escolar o ESO	10,0
2009	6	22	Huesca	22158	Monzón	Hombre	3	65 y más	Graduado escolar o ESO	6,0
2009	6	22	Huesca	22158	Monzón	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	20,0
2009	6	22	Huesca	22158	Monzón	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	5,0
2009	6	22	Huesca	22158	Monzón	Mujer	0	0-15	Sin clasificar	15,0
2009	6	22	Huesca	22158	Monzón	Mujer	0	16-64	Sin clasificar	20,0
2009	6	22	Huesca	22158	Monzón	Mujer	0	65 y más	Sin clasificar	18,0
2009	6	22	Huesca	22158	Monzón	Mujer	1	0-15	No sabe leer ni escribir	1,0
2009	6	22	Huesca	22158	Monzón	Mujer	2	0-15	Inferior a graduado escolar o ESO	4,0
2009	6	22	Huesca	22158	Monzón	Mujer	2	16-64	Inferior a graduado escolar o ESO	5,0
2009	6	22	Huesca	22158	Monzón	Mujer	2	65 y más	Inferior a graduado escolar o ESO	6,0
2009	6	22	Huesca	22158	Monzón	Mujer	3	16-64	Graduado escolar o ESO	8,0
2009	6	22	Huesca	22158	Monzón	Mujer	3	65 y más	Graduado escolar o ESO	12,0
2009	6	22	Huesca	22158	Monzón	Mujer	4	0-15	BUP, Bachiller, LOGSE ó superior	1,0
2009	6	22	Huesca	22158	Monzón	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	27,0
2009	6	22	Huesca	22158	Monzón	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	4,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	0	0-15	Sin clasificar	5,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	0	16-64	Sin clasificar	18,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	0	65 y más	Sin clasificar	17,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	2	0-15	Inferior a graduado escolar o ESO	1,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	2	16-64	Inferior a graduado escolar o ESO	2,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	2	65 y más	Inferior a graduado escolar o ESO	3,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	3	16-64	Graduado escolar o ESO	13,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	3	65 y más	Graduado escolar o ESO	6,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	20,0
2009	6	44	Teruel	44013	Alcañiz	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	5,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	0	0-15	Sin clasificar	8,0
