Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
201409	Septiembre 2014	Mujeres	No consta	35
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	12541
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	14530
201409	Septiembre 2014	Hombres	Extranjeros no comunitarios	15966
201409	Septiembre 2014	Mujeres	Extranjeros no comunitarios	11912
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	2539
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	1860
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	206
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	138
201406	Junio 2014	Hombres	Españoles	247025
201406	Junio 2014	Mujeres	Españoles	202748
201406	Junio 2014	Hombres	No consta	20
201406	Junio 2014	Mujeres	No consta	39
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	15409
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	17035
201406	Junio 2014	Hombres	Extranjeros no comunitarios	19865
201406	Junio 2014	Mujeres	Extranjeros no comunitarios	12431
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	2686
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	2114
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	213
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	162
201403	Marzo 2014	Hombres	Españoles	242496
201403	Marzo 2014	Mujeres	Españoles	202715
201403	Marzo 2014	Hombres	No consta	19
201403	Marzo 2014	Mujeres	No consta	30
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	10928
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	12927
201403	Marzo 2014	Hombres	Extranjeros no comunitarios	14127
201403	Marzo 2014	Mujeres	Extranjeros no comunitarios	11983
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	2511
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	1767
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	234
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	180
201312	Diciembre 2013	Hombres	Españoles	241010
201312	Diciembre 2013	Mujeres	Españoles	203258
201312	Diciembre 2013	Hombres	No consta	17
201312	Diciembre 2013	Mujeres	No consta	32
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	10665
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	12852
201312	Diciembre 2013	Hombres	Extranjeros no comunitarios	14417
201312	Diciembre 2013	Mujeres	Extranjeros no comunitarios	12598
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	2417
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	1747
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	233
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	180
201309	Septiembre 2013	Hombres	Españoles	242596
201309	Septiembre 2013	Mujeres	Españoles	199678
201309	Septiembre 2013	Hombres	No consta	15
201309	Septiembre 2013	Mujeres	No consta	51
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	12086
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	14234
201309	Septiembre 2013	Hombres	Extranjeros no comunitarios	17405
201309	Septiembre 2013	Mujeres	Extranjeros no comunitarios	13173
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	2505
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	1863
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	205
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	148
201306	Junio 2013	Hombres	Españoles	245048
201306	Junio 2013	Mujeres	Españoles	199184
201306	Junio 2013	Hombres		19
201306	Junio 2013	Mujeres		46
201306	Junio 2013	Hombres	Extranjeros comunitarios (UE-27)	13997
201306	Junio 2013	Mujeres	Extranjeros comunitarios (UE-27)	16290
201306	Junio 2013	Hombres	Extranjeros no comunitarios	20177
201306	Junio 2013	Mujeres	Extranjeros no comunitarios	13570
201306	Junio 2013	Hombres	Extranjeros comunitarios (UE-27)	2772
201306	Junio 2013	Mujeres	Extranjeros comunitarios (UE-27)	2108
201306	Junio 2013	Hombres	Extranjeros no comunitarios	211
201306	Junio 2013	Mujeres	Extranjeros no comunitarios	148
201303	Marzo 2013	Hombres	Españoles	241873
201303	Marzo 2013	Mujeres	Españoles	199945
201303	Marzo 2013	Hombres		23
201303	Marzo 2013	Mujeres		41
201303	Marzo 2013	Hombres	Extranjeros comunitarios (UE-27)	10966
201303	Marzo 2013	Mujeres	Extranjeros comunitarios (UE-27)	13060
201303	Marzo 2013	Hombres	Extranjeros no comunitarios	15366
201303	Marzo 2013	Mujeres	Extranjeros no comunitarios	13297
201303	Marzo 2013	Hombres	Extranjeros comunitarios (UE-27)	2595
201303	Marzo 2013	Mujeres	Extranjeros comunitarios (UE-27)	1739
201303	Marzo 2013	Hombres	Extranjeros no comunitarios	227
201303	Marzo 2013	Mujeres	Extranjeros no comunitarios	173
201212	Diciembre 2012	Hombres	Españoles	244819
201212	Diciembre 2012	Mujeres	Españoles	203217
201212	Diciembre 2012	Hombres		23
201212	Diciembre 2012	Mujeres		42
201212	Diciembre 2012	Hombres	Extranjeros comunitarios (UE-27)	11365
201212	Diciembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	13363
201212	Diciembre 2012	Hombres	Extranjeros no comunitarios	16103
201212	Diciembre 2012	Mujeres	Extranjeros no comunitarios	13680
201212	Diciembre 2012	Hombres	Extranjeros comunitarios (UE-27)	2639
201212	Diciembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	1821
201212	Diciembre 2012	Hombres	Extranjeros no comunitarios	207
201212	Diciembre 2012	Mujeres	Extranjeros no comunitarios	164
201209	Septiembre 2012	Hombres	Españoles	250447
201209	Septiembre 2012	Mujeres	Españoles	203439
201209	Septiembre 2012	Hombres		27
201209	Septiembre 2012	Mujeres		49
201209	Septiembre 2012	Hombres	Extranjeros comunitarios (UE-27)	14027
201209	Septiembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	14774
201209	Septiembre 2012	Hombres	Extranjeros no comunitarios	19501
201209	Septiembre 2012	Mujeres	Extranjeros no comunitarios	13987
201209	Septiembre 2012	Hombres	Extranjeros comunitarios (UE-27)	2939
201209	Septiembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	2087
201209	Septiembre 2012	Hombres	Extranjeros no comunitarios	181
201209	Septiembre 2012	Mujeres	Extranjeros no comunitarios	140
201206	Junio 2012	Hombres	Españoles	253253
201206	Junio 2012	Mujeres	Españoles	201073
201206	Junio 2012	Hombres		35
201206	Junio 2012	Mujeres		41
201206	Junio 2012	Hombres	Extranjeros comunitarios (UE-27)	15859
201206	Junio 2012	Mujeres	Extranjeros comunitarios (UE-27)	14714
201206	Junio 2012	Hombres	Extranjeros no comunitarios	22131
201206	Junio 2012	Mujeres	Extranjeros no comunitarios	13295
201206	Junio 2012	Hombres	Extranjeros comunitarios (UE-27)	3172
201206	Junio 2012	Mujeres	Extranjeros comunitarios (UE-27)	2331
201206	Junio 2012	Hombres	Extranjeros no comunitarios	197
201206	Junio 2012	Mujeres	Extranjeros no comunitarios	150
201203	Marzo 2012	Hombres	Españoles	251671
201203	Marzo 2012	Mujeres	Españoles	201973
201203	Marzo 2012	Hombres		27
201203	Marzo 2012	Mujeres		30
201203	Marzo 2012	Hombres	Extranjeros comunitarios (UE-27)	12909
201203	Marzo 2012	Mujeres	Extranjeros comunitarios (UE-27)	9912
201203	Marzo 2012	Hombres	Extranjeros no comunitarios	17596
201203	Marzo 2012	Mujeres	Extranjeros no comunitarios	12177
201203	Marzo 2012	Hombres	Extranjeros comunitarios (UE-27)	3037
201203	Marzo 2012	Mujeres	Extranjeros comunitarios (UE-27)	1815
201203	Marzo 2012	Hombres	Extranjeros no comunitarios	215
201203	Marzo 2012	Mujeres	Extranjeros no comunitarios	166
201112	Diciembre 2011	Hombres	Españoles	253037
201112	Diciembre 2011	Mujeres	Españoles	204518
201112	Diciembre 2011	Hombres		27
201112	Diciembre 2011	Mujeres		31
201112	Diciembre 2011	Hombres	Extranjeros comunitarios (UE-27)	12260
201112	Diciembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	9698
201112	Diciembre 2011	Hombres	Extranjeros no comunitarios	17610
201112	Diciembre 2011	Mujeres	Extranjeros no comunitarios	12092
201112	Diciembre 2011	Hombres	Extranjeros comunitarios (UE-27)	3217
201112	Diciembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	1845
201112	Diciembre 2011	Hombres	Extranjeros no comunitarios	212
201112	Diciembre 2011	Mujeres	Extranjeros no comunitarios	162
201109	Septiembre 2011	Hombres	Españoles	258326
201109	Septiembre 2011	Mujeres	Españoles	205001
201109	Septiembre 2011	Hombres		32
201109	Septiembre 2011	Mujeres		36
201109	Septiembre 2011	Hombres	Extranjeros comunitarios (UE-27)	14011
201109	Septiembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	10962
201109	Septiembre 2011	Hombres	Extranjeros no comunitarios	18812
201109	Septiembre 2011	Mujeres	Extranjeros no comunitarios	12731
201109	Septiembre 2011	Hombres	Extranjeros comunitarios (UE-27)	3431
201109	Septiembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	1994
201109	Septiembre 2011	Hombres	Extranjeros no comunitarios	208
201109	Septiembre 2011	Mujeres	Extranjeros no comunitarios	157
201106	Junio 2011	Hombres	No consta	299226
201106	Junio 2011	Mujeres	No consta	228999
201103	Marzo 2011	Hombres	No consta	294718
201103	Marzo 2011	Mujeres	No consta	228577
201012	Diciembre 2010	Hombres	No consta	297420
201012	Diciembre 2010	Mujeres	No consta	232449
201009	Septiembre 2010	Hombres	No consta	303996
201009	Septiembre 2010	Mujeres	No consta	231400
201006	Junio 2010	Hombres	No consta	307998
201006	Junio 2010	Mujeres	No consta	230459
201003	Marzo 2010	Hombres	No consta	302293
201003	Marzo 2010	Mujeres	No consta	229323
