Mes y año	Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Agosto 2021	01	La Jacetania	16-19	Hombres	6
Agosto 2021	01	La Jacetania	16-19	Mujeres	11
Agosto 2021	01	La Jacetania	20-24	Hombres	16
Agosto 2021	01	La Jacetania	20-24	Mujeres	29
Agosto 2021	01	La Jacetania	25-29	Hombres	33
Agosto 2021	01	La Jacetania	25-29	Mujeres	35
Agosto 2021	01	La Jacetania	30-34	Hombres	21
Agosto 2021	01	La Jacetania	30-34	Mujeres	39
Agosto 2021	01	La Jacetania	35-39	Hombres	27
Agosto 2021	01	La Jacetania	35-39	Mujeres	42
Agosto 2021	01	La Jacetania	40-44	Hombres	33
Agosto 2021	01	La Jacetania	40-44	Mujeres	64
Agosto 2021	01	La Jacetania	45-49	Hombres	35
Agosto 2021	01	La Jacetania	45-49	Mujeres	34
Agosto 2021	01	La Jacetania	50-54	Hombres	31
Agosto 2021	01	La Jacetania	50-54	Mujeres	46
Agosto 2021	01	La Jacetania	55-59	Hombres	31
Agosto 2021	01	La Jacetania	55-59	Mujeres	57
Agosto 2021	01	La Jacetania	60-64	Hombres	27
Agosto 2021	01	La Jacetania	60-64	Mujeres	48
Agosto 2021	02	Alto Gállego	16-19	Hombres	4
Agosto 2021	02	Alto Gállego	16-19	Mujeres	4
Agosto 2021	02	Alto Gállego	20-24	Hombres	22
Agosto 2021	02	Alto Gállego	20-24	Mujeres	13
Agosto 2021	02	Alto Gállego	25-29	Hombres	18
Agosto 2021	02	Alto Gállego	25-29	Mujeres	19
Agosto 2021	02	Alto Gállego	30-34	Hombres	26
Agosto 2021	02	Alto Gállego	30-34	Mujeres	37
Agosto 2021	02	Alto Gállego	35-39	Hombres	26
Agosto 2021	02	Alto Gállego	35-39	Mujeres	33
Agosto 2021	02	Alto Gállego	40-44	Hombres	29
Agosto 2021	02	Alto Gállego	40-44	Mujeres	40
Agosto 2021	02	Alto Gállego	45-49	Hombres	23
Agosto 2021	02	Alto Gállego	45-49	Mujeres	35
Agosto 2021	02	Alto Gállego	50-54	Hombres	28
Agosto 2021	02	Alto Gállego	50-54	Mujeres	35
