Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2008	1	14277,0	PSOE
01	La Jacetania	2008	2	9493,0	PP
01	La Jacetania	2008	3	2096,0	PAR
01	La Jacetania	2008	4	1587,0	CHA
01	La Jacetania	2008	5	937,0	IU
01	La Jacetania	2008	6	310,0	UPyD
01	La Jacetania	2008	7	156,0	LV
01	La Jacetania	2008	8	27,0	C's
01	La Jacetania	2008	9	0,0	PACMA
01	La Jacetania	2008	10	31,0	PUM+J
01	La Jacetania	2008	11	20,0	pCUA
01	La Jacetania	2008	12	8,0	PSD-FIA
01	La Jacetania	2008	13	5,0	TA
01	La Jacetania	2008	14	15,0	FE de las JONS
01	La Jacetania	2008	15	13,0	PFyV
01	La Jacetania	2008	16	7,0	DN
01	La Jacetania	2008	17	8,0	POSI
01	La Jacetania	2008	18	0,0	AuN
01	La Jacetania	2008	19	0,0	FRENTE
01	La Jacetania	2008	20	13,0	AES
01	La Jacetania	2008	21	0,0	FA
01	La Jacetania	2008	22	13,0	PH
01	La Jacetania	2008	23	0,0	MCE
01	La Jacetania	2008	24	4,0	CTC
01	La Jacetania	2008	25	0,0	PCPE
02	Alto Gállego	2008	1	10831,0	PSOE
02	Alto Gállego	2008	2	6893,0	PP
02	Alto Gállego	2008	3	2090,0	PAR
02	Alto Gállego	2008	4	1250,0	CHA
02	Alto Gállego	2008	5	841,0	IU
02	Alto Gállego	2008	6	268,0	UPyD
02	Alto Gállego	2008	7	169,0	LV
02	Alto Gállego	2008	8	14,0	C's
02	Alto Gállego	2008	9	0,0	PACMA
02	Alto Gállego	2008	10	24,0	PUM+J
02	Alto Gállego	2008	11	19,0	pCUA
02	Alto Gállego	2008	12	10,0	PSD-FIA
02	Alto Gállego	2008	13	6,0	TA
02	Alto Gállego	2008	14	11,0	FE de las JONS
02	Alto Gállego	2008	15	10,0	PFyV
02	Alto Gállego	2008	16	7,0	DN
02	Alto Gállego	2008	17	8,0	POSI
02	Alto Gállego	2008	18	0,0	AuN
02	Alto Gállego	2008	19	0,0	FRENTE
02	Alto Gállego	2008	20	5,0	AES
02	Alto Gállego	2008	21	0,0	FA
02	Alto Gállego	2008	22	3,0	PH
02	Alto Gállego	2008	23	0,0	MCE
02	Alto Gállego	2008	24	0,0	CTC
02	Alto Gállego	2008	25	0,0	PCPE
03	Sobrarbe	2008	1	6183,0	PSOE
03	Sobrarbe	2008	2	4406,0	PP
03	Sobrarbe	2008	3	873,0	PAR
03	Sobrarbe	2008	4	736,0	CHA
03	Sobrarbe	2008	5	500,0	IU
03	Sobrarbe	2008	6	94,0	UPyD
03	Sobrarbe	2008	7	59,0	LV
03	Sobrarbe	2008	8	6,0	C's
03	Sobrarbe	2008	9	0,0	PACMA
03	Sobrarbe	2008	10	7,0	PUM+J
03	Sobrarbe	2008	11	6,0	pCUA
03	Sobrarbe	2008	12	4,0	PSD-FIA
03	Sobrarbe	2008	13	6,0	TA
03	Sobrarbe	2008	14	9,0	FE de las JONS
03	Sobrarbe	2008	15	4,0	PFyV
03	Sobrarbe	2008	16	1,0	DN
03	Sobrarbe	2008	17	2,0	POSI
03	Sobrarbe	2008	18	0,0	AuN
03	Sobrarbe	2008	19	0,0	FRENTE
03	Sobrarbe	2008	20	1,0	AES
03	Sobrarbe	2008	21	0,0	FA
03	Sobrarbe	2008	22	3,0	PH
03	Sobrarbe	2008	23	0,0	MCE
03	Sobrarbe	2008	24	1,0	CTC
03	Sobrarbe	2008	25	0,0	PCPE
04	La Ribagorza	2008	1	9228,0	PSOE
04	La Ribagorza	2008	2	7902,0	PP
04	La Ribagorza	2008	3	1703,0	PAR
04	La Ribagorza	2008	4	872,0	CHA
