Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
08	Cinca Medio	2011	9	86,0	PUM+J
08	Cinca Medio	2011	11	24,0	UCE
08	Cinca Medio	2011	12	0,0	DeC
08	Cinca Medio	2011	13	0,0	PH
08	Cinca Medio	2011	14	0,0	P-LIB
08	Cinca Medio	2011	15	0,0	SXT
09	La Litera / La Llitera	2011	1	14354,0	PP-PAR
09	La Litera / La Llitera	2011	2	9857,0	PSOE
09	La Litera / La Llitera	2011	3	1457,0	CHA-IU
09	La Litera / La Llitera	2011	4	300,0	UPyD
09	La Litera / La Llitera	2011	5	202,0	EQUO
09	La Litera / La Llitera	2011	6	118,0	PACMA
09	La Litera / La Llitera	2011	7	0,0	Eb
09	La Litera / La Llitera	2011	8	70,0	PCPE
09	La Litera / La Llitera	2011	9	83,0	PUM+J
09	La Litera / La Llitera	2011	11	22,0	UCE
09	La Litera / La Llitera	2011	12	0,0	DeC
09	La Litera / La Llitera	2011	13	0,0	PH
09	La Litera / La Llitera	2011	14	0,0	P-LIB
09	La Litera / La Llitera	2011	15	0,0	SXT
10	Los Monegros	2011	1	17718,0	PP-PAR
10	Los Monegros	2011	2	12528,0	PSOE
10	Los Monegros	2011	3	1854,0	CHA-IU
10	Los Monegros	2011	4	389,0	UPyD
10	Los Monegros	2011	5	229,0	EQUO
10	Los Monegros	2011	6	62,0	PACMA
10	Los Monegros	2011	7	25,0	Eb
10	Los Monegros	2011	8	49,0	PCPE
10	Los Monegros	2011	9	62,0	PUM+J
10	Los Monegros	2011	11	21,0	UCE
10	Los Monegros	2011	12	8,0	DeC
10	Los Monegros	2011	13	1,0	PH
10	Los Monegros	2011	14	5,0	P-LIB
10	Los Monegros	2011	15	0,0	SXT
11	Bajo Cinca / Baix Cinca	2011	1	17914,0	PP-PAR
11	Bajo Cinca / Baix Cinca	2011	2	11735,0	PSOE
11	Bajo Cinca / Baix Cinca	2011	3	1284,0	CHA-IU
11	Bajo Cinca / Baix Cinca	2011	4	355,0	UPyD
11	Bajo Cinca / Baix Cinca	2011	5	177,0	EQUO
11	Bajo Cinca / Baix Cinca	2011	6	102,0	PACMA
11	Bajo Cinca / Baix Cinca	2011	7	25,0	Eb
11	Bajo Cinca / Baix Cinca	2011	8	66,0	PCPE
11	Bajo Cinca / Baix Cinca	2011	9	101,0	PUM+J
11	Bajo Cinca / Baix Cinca	2011	11	35,0	UCE
11	Bajo Cinca / Baix Cinca	2011	12	6,0	DeC
11	Bajo Cinca / Baix Cinca	2011	13	6,0	PH
