Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	22112	Fraga	23	Fabricación de otros productos minerales no metálicos	11
2018	22112	Fraga	25	Fabricación de productos metálicos, excepto maquinaria y equipo	33
2018	22112	Fraga	28	Fabricación de maquinaria y equipo n.c.o.p.	14
2018	22112	Fraga	29	Fabricación de vehículos de motor, remolques y semirremolques	6
2018	22112	Fraga	31	Fabricación de muebles	6
2018	22112	Fraga	32	Otras industrias manufactureras	6
2018	22112	Fraga	33	Reparación e instalación de maquinaria y equipo	5
2018	22112	Fraga	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	32
2018	22112	Fraga	36	Captación, depuración y distribución de agua	1
2018	22112	Fraga	37	Recogida y tratamiento de aguas residuales	2
2018	22112	Fraga	38	Recogida, tratamiento y eliminación de residuos; valorización	4
2018	22112	Fraga	39	Actividades de descontaminación y otros servicios de gestión de residuos	2
2018	22112	Fraga	41	Construcción de edificios	106
2018	22112	Fraga	42	Ingeniería civil	8
2018	22112	Fraga	43	Actividades de construcción especializada	182
2018	22112	Fraga	45	Venta y reparación de vehículos de motor y motocicletas	94
2018	22112	Fraga	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	205
2018	22112	Fraga	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	472
2018	22112	Fraga	49	Transporte terrestre y por tubería	98
2018	22112	Fraga	50	Transporte marítimo y por vías navegables interiores	1
2018	22112	Fraga	52	Almacenamiento y actividades anexas al transporte	24
2018	22112	Fraga	53	Actividades postales y de correos	7
2018	22112	Fraga	55	Servicios de alojamiento	11
2018	22112	Fraga	56	Servicios de comidas y bebidas	141
2018	22112	Fraga	58	Edición	4
2018	22112	Fraga	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1
2018	22112	Fraga	61	Telecomunicaciones	1
2018	22112	Fraga	62	Programación, consultoría y otras actividades relacionadas con la informática	10
2018	22112	Fraga	63	Servicios de información	1
2018	22112	Fraga	64	Servicios financieros, excepto seguros y fondos de pensiones	10
2018	22112	Fraga	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	3
