Año	Nº Accidentes	Temporalidad	Ord_Temporalidad	Sector Código	Sector Descripción	CCAA
2015,0	452	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2015,0	1120	Temporal	2	2	Industria y energía	Aragón
2015,0	556	Temporal	2	3	Construcción	Aragón
2015,0	2212	Temporal	2	4	Servicios	Aragón
2019,0	523	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2019,0	1712	Temporal	2	2	Industria y energía	Aragón
2019,0	981	Temporal	2	3	Construcción	Aragón
2019,0	3036	Temporal	2	4	Servicios	Aragón
2003,0	6	Sin clasificar	3	2	Industria y energía	Aragón
2003,0	3	Sin clasificar	3	3	Construcción	Aragón
2003,0	65	Sin clasificar	3	4	Servicios	Aragón
2004,0	1	Sin clasificar	3	2	Industria y energía	Aragón
2004,0	4	Sin clasificar	3	4	Servicios	Aragón
2005,0	30	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2005,0	3	Sin clasificar	3	2	Industria y energía	Aragón
2005,0	13	Sin clasificar	3	3	Construcción	Aragón
2005,0	23	Sin clasificar	3	4	Servicios	Aragón
2006,0	75	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2006,0	8	Sin clasificar	3	2	Industria y energía	Aragón
2006,0	26	Sin clasificar	3	3	Construcción	Aragón
2006,0	60	Sin clasificar	3	4	Servicios	Aragón
2007,0	88	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2007,0	9	Sin clasificar	3	2	Industria y energía	Aragón
2007,0	37	Sin clasificar	3	3	Construcción	Aragón
2007,0	66	Sin clasificar	3	4	Servicios	Aragón
2008,0	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2008,0	17	Sin clasificar	3	2	Industria y energía	Aragón
2008,0	88	Sin clasificar	3	3	Construcción	Aragón
2008,0	71	Sin clasificar	3	4	Servicios	Aragón
2009,0	159	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2009,0	18	Sin clasificar	3	2	Industria y energía	Aragón
2009,0	63	Sin clasificar	3	3	Construcción	Aragón
2009,0	70	Sin clasificar	3	4	Servicios	Aragón
2010,0	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2010,0	15	Sin clasificar	3	2	Industria y energía	Aragón
2010,0	54	Sin clasificar	3	3	Construcción	Aragón
2010,0	83	Sin clasificar	3	4	Servicios	Aragón
2011,0	146	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2011,0	31	Sin clasificar	3	2	Industria y energía	Aragón
2011,0	68	Sin clasificar	3	3	Construcción	Aragón
2011,0	96	Sin clasificar	3	4	Servicios	Aragón
2012,0	156	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2012,0	31	Sin clasificar	3	2	Industria y energía	Aragón
