Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
202106	Junio 2021	Albalate de Cinca	22007	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albalate de Cinca	22007	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Albalate del Arzobispo	44008	Hombres	Españoles	341
202106	Junio 2021	Albalate del Arzobispo	44008	Mujeres	Españoles	189
202106	Junio 2021	Albalate del Arzobispo	44008	Hombres	Extranjeros comunitarios (UE-28)	16
202106	Junio 2021	Albalate del Arzobispo	44008	Mujeres	Extranjeros comunitarios (UE-28)	22
202106	Junio 2021	Albalate del Arzobispo	44008	Hombres	Extranjeros no comunitarios	40
202106	Junio 2021	Albalate del Arzobispo	44008	Mujeres	Extranjeros no comunitarios	10
202106	Junio 2021	Albalate del Arzobispo	44008	Hombres	Extranjeros comunitarios (UE-28)	5
202106	Junio 2021	Albalate del Arzobispo	44008	Mujeres	Extranjeros comunitarios (UE-28)	3
202106	Junio 2021	Albalatillo	22008	Hombres	Españoles	37
202106	Junio 2021	Albalatillo	22008	Mujeres	Españoles	14
202106	Junio 2021	Albalatillo	22008	Hombres	Extranjeros comunitarios (UE-28)	15
202106	Junio 2021	Albalatillo	22008	Mujeres	Extranjeros comunitarios (UE-28)	12
202106	Junio 2021	Albalatillo	22008	Hombres	Extranjeros no comunitarios	3
202106	Junio 2021	Albalatillo	22008	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Albalatillo	22008	Hombres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Albarracín	44009	Hombres	Españoles	174
202106	Junio 2021	Albarracín	44009	Mujeres	Españoles	235
202106	Junio 2021	Albarracín	44009	Hombres	Extranjeros comunitarios (UE-28)	6
202106	Junio 2021	Albarracín	44009	Mujeres	Extranjeros comunitarios (UE-28)	7
202106	Junio 2021	Albarracín	44009	Hombres	Extranjeros no comunitarios	14
202106	Junio 2021	Albarracín	44009	Mujeres	Extranjeros no comunitarios	22
202106	Junio 2021	Albarracín	44009	Hombres	Extranjeros comunitarios (UE-28)	3
202106	Junio 2021	Albarracín	44009	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albelda	22009	Hombres	Españoles	142
202106	Junio 2021	Albelda	22009	Mujeres	Españoles	105
202106	Junio 2021	Albelda	22009	Hombres	Extranjeros comunitarios (UE-28)	7
202106	Junio 2021	Albelda	22009	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Albelda	22009	Hombres	Extranjeros no comunitarios	47
202106	Junio 2021	Albelda	22009	Mujeres	Extranjeros no comunitarios	5
202106	Junio 2021	Albelda	22009	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albentosa	44010	Hombres	Españoles	125
202106	Junio 2021	Albentosa	44010	Mujeres	Españoles	65
202106	Junio 2021	Albentosa	44010	Hombres	Extranjeros comunitarios (UE-28)	5
202106	Junio 2021	Albentosa	44010	Mujeres	Extranjeros comunitarios (UE-28)	3
202106	Junio 2021	Albentosa	44010	Hombres	Extranjeros no comunitarios	21
202106	Junio 2021	Albentosa	44010	Mujeres	Extranjeros no comunitarios	5
202106	Junio 2021	Albentosa	44010	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albentosa	44010	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Alberite de San Juan	50010	Hombres	Españoles	10
202106	Junio 2021	Alberite de San Juan	50010	Mujeres	Españoles	7
202106	Junio 2021	Alberite de San Juan	50010	Hombres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Albero Alto	22011	Hombres	Españoles	17
202106	Junio 2021	Albero Alto	22011	Mujeres	Españoles	2
202106	Junio 2021	Albero Alto	22011	Hombres	Extranjeros comunitarios (UE-28)	4
202106	Junio 2021	Albero Alto	22011	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albero Alto	22011	Hombres	Extranjeros no comunitarios	1
202106	Junio 2021	Albero Bajo	22012	Hombres	Españoles	16
202106	Junio 2021	Albero Bajo	22012	Mujeres	Españoles	3
202106	Junio 2021	Alberuela de Tubo	22013	Hombres	Españoles	57
202106	Junio 2021	Alberuela de Tubo	22013	Mujeres	Españoles	18
202106	Junio 2021	Alberuela de Tubo	22013	Hombres	Extranjeros comunitarios (UE-28)	4
202106	Junio 2021	Alberuela de Tubo	22013	Hombres	Extranjeros no comunitarios	2
202106	Junio 2021	Alberuela de Tubo	22013	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Alberuela de Tubo	22013	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Alberuela de Tubo	22013	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Albeta	50011	Hombres	Españoles	29
202106	Junio 2021	Albeta	50011	Mujeres	Españoles	13
202106	Junio 2021	Albeta	50011	Hombres	Extranjeros comunitarios (UE-28)	1
