Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	CCAA
2008,0	5143	45	Construcción	Aragón
2008,0	1232	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2008,0	993	60	Transporte terrestre; transporte por tuberías	Aragón
2008,0	934	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2008,0	885	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2008,0	755	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008,0	666	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2008,0	573	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008,0	566	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2008,0	530	15	Industria de productos alimenticios y bebidas	Aragón
2007,0	6143	45	Construcción	Aragón
2007,0	1544	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2007,0	1164	60	Transporte terrestre; transporte por tuberías	Aragón
2007,0	1063	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2007,0	932	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007,0	887	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2007,0	644	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007,0	571	15	Industria de productos alimenticios y bebidas	Aragón
2007,0	568	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2007,0	556	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006,0	5566	45	Construcción	Aragón
2006,0	1450	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2006,0	1077	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2006,0	1073	60	Transporte terrestre; transporte por tuberías	Aragón
2006,0	898	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006,0	749	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2006,0	631	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2006,0	611	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006,0	609	15	Industria de productos alimenticios y bebidas	Aragón
2006,0	599	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2005,0	5026	45	Construcción	Aragón
2005,0	1236	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2005,0	1036	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2005,0	1026	60	Transporte terrestre; transporte por tuberías	Aragón
2005,0	849	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2005,0	737	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005,0	678	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2005,0	626	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2005,0	623	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2005,0	592	15	Industria de productos alimenticios y bebidas	Aragón
2004,0	4529	45	Construcción	Aragón
2004,0	1261	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2004,0	1084	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2004,0	1048	60	Transporte terrestre; transporte por tuberías	Aragón
2004,0	793	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2004,0	783	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2004,0	605	15	Industria de productos alimenticios y bebidas	Aragón
2004,0	593	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2004,0	566	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004,0	544	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2003,0	4634	45	Construcción	Aragón
2003,0	1272	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2003,0	1083	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2003,0	1031	60	Transporte terrestre; transporte por tuberías	Aragón
2003,0	808	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2003,0	786	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2003,0	651	15	Industria de productos alimenticios y bebidas	Aragón
2003,0	589	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2003,0	588	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2003,0	564	75	Administración pública, defensa y seguridad social obligatoria	Aragón
