Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
06	Hoya de Huesca / Plana de Uesca	2017	Regadío	20951,0	15283,0	4256,0	7891,0	77,0	0,0	0,0	0,0	27,0	2924,0	7,0	0,0	0,0	1,0	100,0	0,0	0,0	934,0	1,0	100,0	0,0	0,0	658,0	174,0	0,0	0,0	0,0	1,0	0,0	8,0	0,0	8,0	0,0	0,0	274,0	0,0	0,0	0,0	0,0	0,0	99,0	15,0	0,0	0,0	0,0	0,0	160,0	0,0	0,0	3964,0	0,0	0,0	191,0	246,0	3442,0	0,0	8,0	16,0	0,0	0,0	0,0	0,0	50,0	0,0	11,0	488,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	460,0	7,0	0,0	20,0	0,0	0,0	0,0
06	Hoya de Huesca / Plana de Uesca	2017	Secano	83733,0	72190,0	23780,0	46659,0	569,0	34,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	22,0	1123,0	0,0	0,0	7810,0	0,0	294,0	0,0	14,0	4847,0	2634,0	0,0	0,0	0,0	21,0	0,0	0,0	0,0	0,0	0,0	0,0	1240,0	0,0	0,0	0,0	0,0	0,0	156,0	0,0	0,0	0,0	0,0	118,0	966,0	0,0	14,0	2479,0	0,0	0,0	205,0	269,0	1024,0	0,0	319,0	227,0	0,0	0,0	0,0	0,0	349,0	0,0	86,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
07	Somontano de Barbastro	2017	Regadío	13324,0	10313,0	814,0	4727,0	43,0	3,0	20,0	0,0	30,0	4630,0	36,0	0,0	2,0	0,0	8,0	0,0	0,0	147,0	0,0	1,0	0,0	1,0	76,0	69,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	126,0	0,0	0,0	0,0	0,0	0,0	105,0	1,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	2591,0	0,0	0,0	192,0	79,0	2267,0	0,0	5,0	32,0	0,0	0,0	0,0	0,0	13,0	0,0	3,0	146,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	0,0	0,0	0,0	0,0	21,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	105,0	0,0	0,0	12,0	0,0	0,0	0,0
07	Somontano de Barbastro	2017	Secano	23330,0	19719,0	4144,0	15156,0	241,0	14,0	0,0	0,0	0,0	24,0	19,0	0,0	2,0	0,0	119,0	0,0	0,0	2072,0	0,0	38,0	0,0	7,0	1285,0	742,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	138,0	0,0	0,0	0,0	0,0	0,0	12,0	0,0	0,0	0,0	0,0	17,0	109,0	0,0	0,0	1398,0	0,0	0,0	258,0	146,0	460,0	0,0	153,0	264,0	5,0	0,0	0,0	0,0	89,0	0,0	23,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
08	Cinca Medio	2017	Regadío	27110,0	17771,0	1304,0	8957,0	121,0	2,0	91,0	0,0	1853,0	5283,0	97,0	6,0	0,0	18,0	39,0	0,0	0,0	266,0	0,0	0,0	8,0	1,0	74,0	183,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	196,0	0,0	0,0	0,0	0,0	0,0	161,0	0,0	0,0	0,0	0,0	0,0	35,0	0,0	0,0	7996,0	0,0	0,0	1080,0	516,0	6166,0	0,0	3,0	87,0	1,0	0,0	0,0	0,0	116,0	0,0	27,0	880,0	1,0	0,0	0,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	3,0	4,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	1,0	0,0	24,0	0,0	5,0	0,0	0,0	0,0	71,0	6,0	741,0	0,0	0,0	19,0	0,0	0,0	0,0
08	Cinca Medio	2017	Secano	3249,0	3032,0	293,0	2550,0	65,0	7,0	0,0	0,0	3,0	39,0	0,0	0,0	0,0	5,0	70,0	0,0	0,0	90,0	0,0	0,0	0,0	0,0	58,0	32,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	126,0	0,0	0,0	22,0	16,0	47,0	0,0	8,0	13,0	0,0	0,0	0,0	0,0	17,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
09	La Litera / La Llitera	2017	Regadío	23007,0	15762,0	2388,0	7679,0	65,0	1,0	5,0	0,0	0,0	5320,0	10,0	5,0	0,0	88,0	201,0	0,0	0,0	263,0	0,0	0,0	0,0	0,0	174,0	89,0	0,0	0,0	0,0	0,0	0,0	9,0	0,0	9,0	0,0	0,0	150,0	0,0	0,0	0,0	0,0	0,0	55,0	0,0	0,0	0,0	0,0	0,0	95,0	0,0	0,0	6527,0	0,0	0,0	1154,0	131,0	5099,0	0,0	4,0	76,0	0,0	0,0	0,0	0,0	51,0	0,0	12,0	296,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	258,0	16,0	0,0	20,0	0,0	0,0	0,0
09	La Litera / La Llitera	2017	Secano	12463,0	11728,0	1357,0	9938,0	137,0	10,0	0,0	0,0	0,0	28,0	0,0	0,0	0,0	4,0	254,0	0,0	0,0	368,0	0,0	1,0	0,0	0,0	75,0	292,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	48,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	45,0	0,0	0,0	317,0	0,0	0,0	33,0	18,0	155,0	0,0	21,0	49,0	0,0	0,0	0,0	0,0	32,0	0,0	9,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
10	Los Monegros	2017	Regadío	68423,0	47064,0	4784,0	23187,0	169,0	3,0	14,0	0,0	1275,0	16960,0	223,0	0,0	0,0	85,0	364,0	0,0	0,0	1363,0	0,0	66,0	0,0	0,0	952,0	340,0	0,0	0,0	0,0	5,0	0,0	10,0	0,0	10,0	0,0	0,0	471,0	0,0	0,0	0,0	0,0	0,0	346,0	31,0	0,0	0,0	0,0	0,0	94,0	0,0	0,0	17159,0	0,0	0,0	1694,0	1867,0	13307,0	3,0	4,0	54,0	0,0	0,0	0,0	0,0	183,0	0,0	47,0	2356,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	3,0	0,0	103,0	0,0	1,0	1,0	0,0	0,0	0,0	1,0	16,0	7,0	1,0	0,0	0,0	249,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	1853,0	84,0	0,0	23,0	0,0	0,0	0,0
10	Los Monegros	2017	Secano	62442,0	59102,0	15833,0	39583,0	781,0	165,0	134,0	0,0	1,0	110,0	4,0	0,0	0,0	10,0	2481,0	0,0	0,0	2383,0	0,0	7,0	11,0	2,0	2004,0	353,0	0,0	0,0	2,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	108,0	0,0	0,0	0,0	0,0	0,0	18,0	0,0	0,0	0,0	0,0	4,0	86,0	0,0	0,0	841,0	0,0	0,0	28,0	75,0	539,0	0,0	0,0	51,0	0,0	0,0	0,0	0,0	118,0	0,0	30,0	8,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11	Bajo Cinca / Baix Cinca	2017	Regadío	15566,0	11372,0	1549,0	4976,0	321,0	0,0	0,0	0,0	85,0	4231,0	66,0	0,0	0,0	63,0	81,0	0,0	0,0	206,0	0,0	0,0	0,0	0,0	164,0	42,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	40,0	0,0	0,0	0,0	0,0	0,0	26,0	0,0	0,0	0,0	0,0	1,0	13,0	0,0	0,0	3393,0	0,0	0,0	454,0	73,0	2834,0	0,0	0,0	16,0	0,0	0,0	0,0	0,0	14,0	0,0	2,0	555,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	14,0	0,0	0,0	0,0	0,0	0,0	41,0	0,0	490,0	0,0	0,0	7,0	0,0	0,0	0,0
11	Bajo Cinca / Baix Cinca	2017	Secano	16561,0	16302,0	2362,0	12307,0	339,0	17,0	36,0	13,0	0,0	89,0	6,0	0,0	0,0	0,0	1133,0	0,0	0,0	91,0	0,0	0,0	0,0	0,0	31,0	60,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	22,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	0,0	0,0	0,0	9,0	0,0	0,0	0,0	146,0	0,0	0,0	42,0	3,0	94,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12	Tarazona y el Moncayo	2017	Regadío	2797,0	2522,0	687,0	1459,0	5,0	0,0	0,0	0,0	0,0	356,0	0,0	0,0	0,0	0,0	15,0	0,0	0,0	40,0	2,0	0,0	0,0	0,0	31,0	7,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	8,0	0,0	0,0	58,0	0,0	0,0	0,0	0,0	0,0	40,0	9,0	0,0	0,0	0,0	0,0	9,0	0,0	0,0	65,0	0,0	0,0	5,0	0,0	42,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	14,0	0,0	3,0	104,0	1,0	0,0	16,0	0,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	13,0	0,0	0,0	60,0	0,0	0,0	0,0
12	Tarazona y el Moncayo	2017	Secano	4395,0	4243,0	1895,0	2225,0	0,0	32,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	87,0	0,0	0,0	106,0	0,0	0,0	0,0	0,0	105,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	30,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	30,0	0,0	0,0	16,0	0,0	0,0	0,0	0,0	12,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
13	Campo de Borja	2017	Regadío	5135,0	3337,0	1439,0	1234,0	6,0	0,0	0,0	0,0	0,0	609,0	4,0	0,0	0,0	0,0	45,0	0,0	0,0	111,0	0,0	44,0	0,0	0,0	17,0	40,0	0,0	0,0	0,0	10,0	0,0	11,0	0,0	11,0	0,0	0,0	34,0	0,0	0,0	0,0	0,0	0,0	34,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1470,0	0,0	0,0	68,0	102,0	1286,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	11,0	0,0	3,0	172,0	0,0	0,0	8,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	4,0	0,0	0,0	0,0	10,0	0,0	0,0	1,0	31,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,0	48,0	0,0	53,0	0,0	0,0	0,0
13	Campo de Borja	2017	Secano	7761,0	7616,0	3422,0	3726,0	44,0	180,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	3,0	239,0	0,0	0,0	65,0	0,0	3,0	0,0	0,0	45,0	2,0	0,0	0,0	0,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	77,0	0,0	0,0	0,0	6,0	14,0	0,0	7,0	0,0	0,0	0,0	0,0	0,0	41,0	0,0	9,0	2,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14	Aranda	2017	Regadío	84,0	45,0	21,0	21,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	39,0	0,0	0,0	19,0	0,0	14,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14	Aranda	2017	Secano	2207,0	2058,0	629,0	1294,0	3,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	127,0	0,0	0,0	32,0	0,0	0,0	0,0	0,0	1,0	11,0	0,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	65,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	0,0	0,0	0,0	0,0	52,0	0,0	0,0	52,0	0,0	0,0	10,0	0,0	1,0	0,0	39,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
