Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22017	Alcolea de Cinca	2011	1	PP	107,0
22017	Alcolea de Cinca	2011	2	PSOE	140,0
22017	Alcolea de Cinca	2011	3	PAR	419,0
22017	Alcolea de Cinca	2011	5	IU	48,0
22017	Alcolea de Cinca	2015	5	PAR	287,0
22017	Alcolea de Cinca	2015	6	PSOE	159,0
22017	Alcolea de Cinca	2015	8	PP	116,0
22017	Alcolea de Cinca	2015	76	CAMBIAR	76,0
22018	Alcubierre	2007	1	PSOE	173,0
22018	Alcubierre	2007	3	PAR	161,0
22018	Alcubierre	2011	2	PSOE	170,0
22018	Alcubierre	2011	3	PAR	150,0
22018	Alcubierre	2015	5	PAR	102,0
22018	Alcubierre	2015	6	PSOE	160,0
22019	Alerre	2007	1	PSOE	68,0
22019	Alerre	2007	2	PP	53,0
22019	Alerre	2007	3	PAR	59,0
22019	Alerre	2007	4	CHA	7,0
22019	Alerre	2011	1	PP	35,0
22019	Alerre	2011	2	PSOE	93,0
22019	Alerre	2011	3	PAR	34,0
22019	Alerre	2015	5	PAR	40,0
22019	Alerre	2015	6	PSOE	92,0
22019	Alerre	2015	8	PP	27,0
22020	Alfántega	2007	1	PSOE	48,0
22020	Alfántega	2007	2	PP	31,0
22020	Alfántega	2007	3	PAR	35,0
22020	Alfántega	2007	4	CHA	13,0
22020	Alfántega	2011	1	PP	24,0
22020	Alfántega	2011	2	PSOE	32,0
22020	Alfántega	2011	3	PAR	36,0
22020	Alfántega	2011	4	CHA	7,0
22020	Alfántega	2015	5	PAR	51,0
22020	Alfántega	2015	6	PSOE	38,0
22020	Alfántega	2015	8	PP	11,0
22021	Almudévar	2007	1	PSOE	720,0
22021	Almudévar	2007	2	PP	304,0
22021	Almudévar	2007	3	PAR	264,0
22021	Almudévar	2007	4	CHA	181,0
22021	Almudévar	2011	1	PP	424,0
22021	Almudévar	2011	2	PSOE	558,0
22021	Almudévar	2011	3	PAR	142,0
22021	Almudévar	2011	4	CHA	304,0
22021	Almudévar	2015	6	PSOE	599,0
22021	Almudévar	2015	7	CHA	204,0
22021	Almudévar	2015	8	PP	534,0
22022	Almunia de San Juan	2007	1	PSOE	299,0
22022	Almunia de San Juan	2007	2	PP	112,0
22022	Almunia de San Juan	2007	3	PAR	60,0
22022	Almunia de San Juan	2011	1	PP	142,0
22022	Almunia de San Juan	2011	2	PSOE	244,0
22022	Almunia de San Juan	2011	3	PAR	84,0
22022	Almunia de San Juan	2015	5	PAR	10,0
22022	Almunia de San Juan	2015	6	PSOE	233,0
22022	Almunia de San Juan	2015	7	CHA	44,0
22022	Almunia de San Juan	2015	8	PP	101,0
22023	Almuniente	2007	1	PSOE	217,0
22023	Almuniente	2007	2	PP	129,0
22023	Almuniente	2007	3	PAR	61,0
22023	Almuniente	2011	1	PP	141,0
22023	Almuniente	2011	2	PSOE	198,0
22023	Almuniente	2011	3	PAR	52,0
22023	Almuniente	2015	6	PSOE	200,0
22023	Almuniente	2015	8	PP	195,0
22024	Alquézar	2007	1	PSOE	78,0
22024	Alquézar	2007	3	PAR	86,0
22024	Alquézar	2007	13	LV-GV	35,0
22024	Alquézar	2011	1	PP	35,0
22024	Alquézar	2011	2	PSOE	103,0
22024	Alquézar	2011	3	PAR	32,0
22024	Alquézar	2015	5	PAR	7,0
22024	Alquézar	2015	6	PSOE	119,0
22024	Alquézar	2015	8	PP	23,0
22025	Altorricón	2007	1	PSOE	528,0
22025	Altorricón	2007	2	PP	195,0
22025	Altorricón	2007	3	PAR	121,0
22025	Altorricón	2011	1	PP	278,0
22025	Altorricón	2011	2	PSOE	448,0
22025	Altorricón	2011	3	PAR	64,0
22025	Altorricón	2015	5	PAR	57,0
22025	Altorricón	2015	6	PSOE	482,0
22025	Altorricón	2015	8	PP	218,0
22027	Angüés	2007	1	PSOE	143,0
22027	Angüés	2007	2	PP	124,0
22027	Angüés	2011	2	PSOE	154,0
22027	Angüés	2015	6	PSOE	148,0
22028	Ansó	2007	1	PSOE	191,0
22028	Ansó	2007	3	PAR	178,0
22028	Ansó	2011	2	PSOE	175,0
22028	Ansó	2011	3	PAR	145,0
22028	Ansó	2015	6	PSOE	162,0
22029	Antillón	2007	1	PSOE	52,0
22029	Antillón	2007	2	PP	60,0
22029	Antillón	2007	3	PAR	54,0
22029	Antillón	2007	4	CHA	51,0
22029	Antillón	2011	1	PP	33,0
22029	Antillón	2011	2	PSOE	65,0
22029	Antillón	2011	3	PAR	51,0
22029	Antillón	2015	5	PAR	46,0
22029	Antillón	2015	6	PSOE	61,0
22029	Antillón	2015	8	PP	48,0
22032	Aragüés del Puerto	2007	1	PSOE	63,0
22032	Aragüés del Puerto	2007	2	PP	37,0
22032	Aragüés del Puerto	2007	3	PAR	37,0
22032	Aragüés del Puerto	2007	4	CHA	19,0
22032	Aragüés del Puerto	2011	1	PP	1,0
22032	Aragüés del Puerto	2011	2	PSOE	42,0
22032	Aragüés del Puerto	2011	3	PAR	37,0
22032	Aragüés del Puerto	2015	5	PAR	33,0
22032	Aragüés del Puerto	2015	6	PSOE	45,0
22032	Aragüés del Puerto	2015	8	PP	2,0
22035	Arén	2007	1	PSOE	144,0
22035	Arén	2007	2	PP	37,0
22035	Arén	2007	4	CHA	25,0
22035	Arén	2011	1	PP	32,0
22035	Arén	2011	2	PSOE	149,0
22035	Arén	2011	4	CHA	15,0
22035	Arén	2011	20	CDF	17,0
22035	Arén	2015	6	PSOE	132,0
22036	Argavieso	2007	1	PSOE	16,0
22036	Argavieso	2007	2	PP	62,0
22036	Argavieso	2007	3	PAR	6,0
22036	Argavieso	2007	4	CHA	4,0
22036	Argavieso	2011	1	PP	48,0
22036	Argavieso	2011	2	PSOE	35,0
22036	Argavieso	2011	3	PAR	2,0
22036	Argavieso	2015	5	PAR	0,0
22036	Argavieso	2015	6	PSOE	7,0
22036	Argavieso	2015	8	PP	56,0
22037	Arguis	2007	1	PSOE	30,0
22037	Arguis	2007	2	PP	35,0
22037	Arguis	2007	3	PAR	3,0
22037	Arguis	2007	4	CHA	8,0
22037	Arguis	2011	1	PP	48,0
22037	Arguis	2011	2	PSOE	19,0
22037	Arguis	2011	3	PAR	9,0
22037	Arguis	2011	4	CHA	16,0
22037	Arguis	2015	5	PAR	37,0
22037	Arguis	2015	6	PSOE	31,0
22037	Arguis	2015	7	CHA	21,0
22037	Arguis	2015	8	PP	42,0
22039	Ayerbe	2007	1	PSOE	318,0
22039	Ayerbe	2007	2	PP	236,0
22039	Ayerbe	2007	3	PAR	114,0
22039	Ayerbe	2007	4	CHA	104,0
22039	Ayerbe	2011	1	PP	282,0
22039	Ayerbe	2011	2	PSOE	225,0
22039	Ayerbe	2011	3	PAR	74,0
22039	Ayerbe	2011	4	CHA	149,0
22039	Ayerbe	2015	5	PAR	50,0
22039	Ayerbe	2015	6	PSOE	301,0
22039	Ayerbe	2015	7	CHA	112,0
22039	Ayerbe	2015	8	PP	230,0
22040	Azanuy-Alins	2007	1	PSOE	39,0
22040	Azanuy-Alins	2007	2	PP	10,0
22040	Azanuy-Alins	2007	3	PAR	77,0
22040	Azanuy-Alins	2007	4	CHA	4,0
22040	Azanuy-Alins	2011	1	PP	28,0
22040	Azanuy-Alins	2011	2	PSOE	44,0
22040	Azanuy-Alins	2011	3	PAR	63,0
22040	Azanuy-Alins	2011	4	CHA	4,0
22040	Azanuy-Alins	2015	5	PAR	54,0
22040	Azanuy-Alins	2015	6	PSOE	47,0
22040	Azanuy-Alins	2015	7	CHA	5,0
22040	Azanuy-Alins	2015	8	PP	25,0
22041	Azara	2007	1	PSOE	77,0
22041	Azara	2007	2	PP	61,0
22041	Azara	2007	4	CHA	7,0
22041	Azara	2011	1	PP	62,0
22041	Azara	2011	2	PSOE	72,0
22041	Azara	2011	3	PAR	1,0
22041	Azara	2015	5	PAR	15,0
22041	Azara	2015	6	PSOE	69,0
22041	Azara	2015	8	PP	45,0
22042	Azlor	2007	1	PSOE	62,0
22042	Azlor	2007	2	PP	35,0
22042	Azlor	2007	4	CHA	12,0
22042	Azlor	2011	1	PP	10,0
22042	Azlor	2011	2	PSOE	61,0
22042	Azlor	2011	3	PAR	29,0
22042	Azlor	2015	5	PAR	16,0
22042	Azlor	2015	6	PSOE	50,0
22042	Azlor	2015	8	PP	35,0
22043	Baells	2007	1	PSOE	27,0
22043	Baells	2007	2	PP	12,0
22043	Baells	2007	3	PAR	53,0
22043	Baells	2007	4	CHA	3,0
22043	Baells	2011	1	PP	17,0
22043	Baells	2011	2	PSOE	16,0
22043	Baells	2011	3	PAR	38,0
22043	Baells	2015	5	PAR	29,0
22043	Baells	2015	6	PSOE	28,0
22043	Baells	2015	8	PP	10,0
22044	Bailo	2007	1	PSOE	120,0
22044	Bailo	2007	2	PP	13,0
22044	Bailo	2007	3	PAR	91,0
22044	Bailo	2007	4	CHA	7,0
22044	Bailo	2011	1	PP	76,0
22044	Bailo	2011	2	PSOE	157,0
22044	Bailo	2015	6	PSOE	141,0
22044	Bailo	2015	8	PP	64,0
22045	Baldellou	2007	1	PSOE	49,0
22045	Baldellou	2007	2	PP	8,0
22045	Baldellou	2007	3	PAR	29,0
22045	Baldellou	2007	4	CHA	7,0
22045	Baldellou	2011	1	PP	11,0
22045	Baldellou	2011	2	PSOE	55,0
22045	Baldellou	2011	3	PAR	25,0
22045	Baldellou	2011	4	CHA	27,0
22045	Baldellou	2015	5	PAR	9,0
22045	Baldellou	2015	6	PSOE	59,0
22045	Baldellou	2015	7	CHA	4,0
22045	Baldellou	2015	8	PP	0,0
22046	Ballobar	2007	1	PSOE	381,0
22046	Ballobar	2007	2	PP	216,0
22046	Ballobar	2007	3	PAR	114,0
22046	Ballobar	2011	1	PP	246,0
22046	Ballobar	2011	2	PSOE	323,0
22046	Ballobar	2011	3	PAR	97,0
22046	Ballobar	2015	5	PAR	61,0
22046	Ballobar	2015	6	PSOE	304,0
22046	Ballobar	2015	8	PP	259,0
22047	Banastás	2007	1	PSOE	52,0
22047	Banastás	2007	2	PP	94,0
22047	Banastás	2007	3	PAR	2,0
22047	Banastás	2007	4	CHA	32,0
