Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2008	292,0	249,0	197,0	52,0	3,0	1,0	193,0	79,1164658634538
22001	Abiego	2011	281,0	242,0	172,0	70,0	4,0	7,0	161,0	71,0743801652892
22001	Abiego	2015	267,0	226,0	165,0	61,0	3,0	2,0	160,0	73,0088495575221
22001	Abiego	2016	253,0	225,0	147,0	78,0	3,0	3,0	141,0	65,3333333333333
22001	Abiego	2019	237,0	212,0	145,0	67,0	4,0	1,0	140,0	68,3962264150943
22002	Abizanda	2008	133,0	111,0	97,0	14,0	1,0	2,0	94,0	87,3873873873874
22002	Abizanda	2011	132,0	107,0	84,0	23,0	0,0	6,0	78,0	78,5046728971963
22002	Abizanda	2015	140,0	109,0	94,0	15,0	1,0	1,0	92,0	86,2385321100917
22002	Abizanda	2016	142,0	107,0	95,0	12,0	1,0	2,0	92,0	88,785046728972
22002	Abizanda	2019	151,0	99,0	81,0	18,0	0,0	0,0	81,0	81,8181818181818
22003	Adahuesca	2008	169,0	139,0	115,0	24,0	3,0	1,0	111,0	82,7338129496403
22003	Adahuesca	2011	166,0	148,0	116,0	32,0	1,0	6,0	109,0	78,3783783783784
22003	Adahuesca	2015	172,0	143,0	118,0	25,0	0,0	3,0	115,0	82,5174825174825
22003	Adahuesca	2016	173,0	137,0	107,0	30,0	0,0	2,0	105,0	78,1021897810219
22003	Adahuesca	2019	172,0	135,0	106,0	29,0	1,0	1,0	104,0	78,5185185185185
22004	Agüero	2008	161,0	152,0	114,0	38,0	4,0	1,0	109,0	75,0
22004	Agüero	2011	164,0	146,0	97,0	49,0	3,0	4,0	90,0	66,4383561643836
22004	Agüero	2015	150,0	136,0	78,0	58,0	2,0	1,0	75,0	57,3529411764706
22004	Agüero	2016	145,0	135,0	80,0	55,0	3,0	0,0	77,0	59,2592592592593
22004	Agüero	2019	130,0	123,0	82,0	41,0	3,0	0,0	79,0	66,6666666666667
22006	Aísa	2008	408,0	339,0	219,0	120,0	12,0	3,0	204,0	64,6017699115044
22006	Aísa	2011	362,0	319,0	203,0	116,0	16,0	39,0	148,0	63,6363636363636
22006	Aísa	2015	363,0	298,0	211,0	87,0	11,0	28,0	172,0	70,8053691275168
22006	Aísa	2016	358,0	298,0	199,0	99,0	7,0	14,0	178,0	66,7785234899329
22006	Aísa	2019	321,0	268,0	166,0	102,0	6,0	9,0	151,0	61,9402985074627
22007	Albalate de Cinca	2008	1131,0	874,0	694,0	180,0	15,0	10,0	669,0	79,4050343249428
22007	Albalate de Cinca	2011	1237,0	863,0	635,0	228,0	25,0	27,0	583,0	73,5805330243337
22007	Albalate de Cinca	2015	1201,0	797,0	603,0	194,0	16,0	36,0	551,0	75,6587202007528
22007	Albalate de Cinca	2016	1151,0	792,0	580,0	212,0	15,0	23,0	542,0	73,2323232323232
22007	Albalate de Cinca	2019	1102,0	751,0	523,0	228,0	18,0	3,0	502,0	69,6404793608522
22008	Albalatillo	2008	265,0	207,0	172,0	35,0	4,0	5,0	163,0	83,0917874396135
22008	Albalatillo	2011	243,0	194,0	166,0	28,0	2,0	18,0	146,0	85,5670103092783
22008	Albalatillo	2015	207,0	173,0	133,0	40,0	2,0	5,0	126,0	76,878612716763
22008	Albalatillo	2016	205,0	173,0	132,0	41,0	2,0	8,0	122,0	76,3005780346821
22008	Albalatillo	2019	181,0	144,0	110,0	34,0	1,0	3,0	106,0	76,3888888888889
22009	Albelda	2008	875,0	751,0	540,0	211,0	20,0	14,0	506,0	71,9041278295606
22009	Albelda	2011	847,0	704,0	486,0	218,0	31,0	30,0	425,0	69,0340909090909
