Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2018	22212	Santaliestra y San Quílez	2	1764	22
2018	22213	Sariñena	96	66117	22
2018	22214	Secastilla	5	3041	22
2018	22215	Seira	7	2899	22
2018	22217	Sena	10	7654	22
2018	22218	Senés de Alcubierre	2	668	22
2018	22220	Sesa	2	4807	22
2018	22221	Sesué	5	2554	22
2018	22222	Siétamo	13	18707	22
2018	22223	Sopeira	5	1946	22
2018	22225	Tamarite de Litera	56	60638	22
2018	22226	Tardienta	29	15483	22
2018	22227	Tella-Sin	7	4428	22
2018	22228	Tierz	8	20713	22
2018	22229	Tolva	5	2575	22
2018	22230	Torla-Ordesa	22	5732	22
2018	22232	Torralba de Aragón	6	1814	22
2018	22233	Torre la Ribera	10	2088	22
2018	22234	Torrente de Cinca	13	19796	22
2018	22235	Torres de Alcanadre	2	1519	22
2018	22236	Torres de Barbués	11	4328	22
2018	22239	Tramaced	1	2939	22
2018	22242	Valfarta	2	1050	22
2018	22243	Valle de Bardají	4	710	22
2018	22244	Valle de Lierp	4	973	22
2018	22245	Velilla de Cinca	6	7834	22
2018	22246	Beranuy	4	1561	22
2018	22247	Viacamp y Litera	3	710	22
2018	22248	Vicién	2	3324	22
2018	22249	Villanova	5	3325	22
2018	22250	Villanúa	18	12362	22
2018	22251	Villanueva de Sigena	13	6445	22
2018	22252	Yebra de Basa	4	4038	22
2018	22253	Yésero	2	1538	22
2018	22254	Zaidín	19	30988	22
2018	22901	Valle de Hecho	13	23405	22
2018	22902	Puente la Reina de Jaca	8	7225	22
2018	22903	San Miguel del Cinca	15	15263	22
2018	22904	Sotonera (La)	11	25603	22
2018	22905	Lupiñén-Ortilla	9	9203	22
2018	22906	Santa María de Dulcis	5	3480	22
2018	22907	Aínsa-Sobrarbe	73	40793	22
2018	22908	Hoz y Costeán	3	3610	22
2018	22909	Vencillón	10	6778	22
2018	44001	Ababuj	1	701	44
2018	44002	Abejuela	2	480	44
2018	44003	Aguatón	1	183	44
2018	44004	Aguaviva	12	7620	44
2018	44005	Aguilar del Alfambra	1	624	44
2018	44006	Alacón	10	3879	44
2018	44007	Alba	1	1777	44
2018	44008	Albalate del Arzobispo	29	28569	44
2018	44009	Albarracín	4	10030	44
2018	44010	Albentosa	3	2450	44
2018	44011	Alcaine	1	596	44
2018	44012	Alcalá de la Selva	5	3545	44
2018	44013	Alcañiz	156	293760	44
2018	44014	Alcorisa	49	47541	44
2018	44016	Alfambra	4	5322	44
2018	44017	Aliaga	2	3343	44
2018	44018	Almohaja	1	173	44
2018	44019	Alobras	1	624	44
2018	44020	Alpeñés	1	221	44
2018	44021	Allepuz	1	1239	44
2018	44022	Alloza	10	8409	44
2018	44023	Allueva	1	426	44
2018	44024	Anadón	1	259	44
2018	44025	Andorra	90	110411	44
2018	44026	Arcos de las Salinas	2	1018	44
2018	44027	Arens de Lledó	7	5113	44
2018	44028	Argente	1	1989	44
2018	44029	Ariño	10	10377	44
2018	44031	Azaila	6	1401	44
2018	44032	Bádenas	2	247	44
2018	44033	Báguena	5	4371	44
2018	44034	Bañón	2	2048	44
2018	44035	Barrachina	2	1663	44
2018	44036	Bea	1	412	44
2018	44037	Beceite	30	14158	44
2018	44038	Belmonte de San José	4	1622	44
2018	44039	Bello	4	3353	44
2018	44040	Berge	3	3516	44
2018	44041	Bezas	1	596	44
2018	44042	Blancas	2	1842	44
2018	44043	Blesa	1	932	44
2018	44044	Bordón	1	1038	44
2018	44045	Bronchales	4	4227	44
2018	44046	Bueña	1	783	44
2018	44047	Burbáguena	3	3491	44
2018	44048	Cabra de Mora	2	615	44
2018	44049	Calaceite	31	26672	44
2018	44050	Calamocha	94	59827	44
2018	44051	Calanda	55	53510	44
2018	44052	Calomarde	1	749	44
2018	44053	Camañas	1	1239	44
2018	44054	Camarena de la Sierra	0	0	44
2018	44055	Camarillas	1	855	44
2018	44056	Caminreal	10	8466	44
2018	44059	Cantavieja	5	6888	44
